report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2020-03-31,6469000000.0,2913000000.0,1279000000.0,4843000000.0,1613000000.0,1419000000.0,,635000000.0,1611000000.0,152000000.0,60000000.0,35000000.0,31000000.0,0.0,-295000000.0,23000000.0,60000000.0,-318000000.0,1419000000.0,1.3102,,,0.0,212000000.0,0.037197768133911964,0.009275003864584944,0.037243947858473,0.09435133457479826,0.023496676456948525,0.05013192612137203,-0.1973929236499069,0.13159528243327126,0.879727216367018,2.27756059421423,,,,,,,,,,,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2020-06-30,5733000000.0,2010000000.0,1084000000.0,4573000000.0,1146000000.0,1276000000.0,,595000000.0,2798000000.0,85000000.0,-32000000.0,75000000.0,0.0,0.0,-265000000.0,44000000.0,128000000.0,-309000000.0,1276000000.0,,,,0.0,213000000.0,-0.027923211169284468,-0.005581719867434153,-0.01143674052894925,0.030378842030021443,0.01482644339787197,0.03509496284062758,-0.11043602573266618,0.07612580414581845,1.1134380453752182,1.8542435424354244,,,,,,,,,,,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2020-09-30,6146000000.0,2521000000.0,1226000000.0,4658000000.0,1474000000.0,1277000000.0,,802000000.0,4213000000.0,126000000.0,-45000000.0,97000000.0,5000000.0,-0.41,-18000000.0,126000000.0,191000000.0,-144000000.0,1277000000.0,,,,-0.41,317000000.0,-0.030529172320217096,-0.007321835340058575,-0.01068122478044149,0.029907429385236172,0.02050113895216401,0.04580152671755725,-0.03417991929741277,0.07524329456444338,0.8663500678426052,2.0562805872756935,,,,,,,,,,,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2020-12-31,6314000000.0,2642000000.0,1473000000.0,4867000000.0,1433000000.0,1278000000.0,,787000000.0,-2947000000.0,-283000000.0,-92000000.0,-89000000.0,-35000000.0,-0.5900000000000001,584000000.0,-30000000.0,-128000000.0,554000000.0,1278000000.0,1.7936,0.5731,,-0.5900000000000001,-411000000.0,-0.0642009769713887,-0.014570795058599937,0.031218187987784186,0.09602986087546658,-0.044821032625910674,-0.10438952416082627,-0.18798778418730913,0.13946386155412283,0.8918353105373342,1.7936184657162253,5675000000.0,-109000000.0,80000000.0,-217000000.0,331000000.0,118000000.0,-1.0,-1.0,3.8610271903323263,0.6779661016949152,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2021-03-31,6573000000.0,2958000000.0,1612000000.0,5083000000.0,1476000000.0,1592000000.0,,763000000.0,1675000000.0,113000000.0,52000000.0,23000000.0,16000000.0,0.46,-294000000.0,28000000.0,63000000.0,-322000000.0,1592000000.0,,0.4868,,0.46,176000000.0,0.03523035230352303,0.007911151681119732,0.031044776119402984,0.06746268656716418,0.017191541153202494,0.036831812255541066,-0.19223880597014925,0.10507462686567164,1.0785907859078592,1.8349875930521091,5739000000.0,-117000000.0,41000000.0,-221000000.0,295000000.0,106000000.0,-0.54,-0.54,5.396610169491526,0.3867924528301887,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2021-06-30,6543000000.0,3018000000.0,1850000000.0,4915000000.0,1614000000.0,1593000000.0,,540000000.0,3476000000.0,-382000000.0,-375000000.0,48000000.0,-92000000.0,-3.41,-461000000.0,72000000.0,125000000.0,-533000000.0,1593000000.0,,0.6169,,-3.41,-257000000.0,-0.23234200743494424,-0.05731315910132966,-0.10788262370540852,-0.10989643268124281,-0.058383004737887816,-0.11911443716869348,-0.15333716915995396,-0.0739355581127733,0.9869888475836431,1.6313513513513513,6417000000.0,-460000000.0,-426000000.0,-445000000.0,-175000000.0,79000000.0,-3.95,-3.95,-9.102857142857143,-5.3924050632911396,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2021-09-30,6496000000.0,3009000000.0,1914000000.0,4918000000.0,1564000000.0,1593000000.0,,349000000.0,5366000000.0,-314000000.0,-359000000.0,74000000.0,-81000000.0,-3.28,-503000000.0,123000000.0,186000000.0,-626000000.0,1593000000.0,,0.5052,,-3.28,-128000000.0,-0.22953964194373402,-0.05526477832512315,-0.06690272083488633,-0.05851658591129333,-0.048337438423645324,-0.09946151409566044,-0.11666045471487141,-0.023853894893775623,1.0185421994884911,1.5721003134796239,7570000000.0,-774000000.0,-866000000.0,-927000000.0,-620000000.0,56000000.0,-6.82,-6.82,-2.5693548387096774,-15.464285714285714,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2021-12-31,6580000000.0,3168000000.0,2063000000.0,5021000000.0,1545000000.0,1594000000.0,,335000000.0,-3013000000.0,291000000.0,285000000.0,-45000000.0,95000000.0,2.5800000000000005,851000000.0,-39000000.0,-121000000.0,812000000.0,1594000000.0,1.5356,0.4684,,2.5800000000000005,170000000.0,0.18446601941747573,0.04331306990881459,-0.09459010952538997,-0.0965814802522403,0.04422492401215806,0.09270468302007008,-0.269498838367076,-0.05642217059409227,1.031715210355987,1.5356277266117304,7504000000.0,-397000000.0,-292000000.0,-669000000.0,-39000000.0,100000000.0,-3.6499999999999995,-3.6499999999999995,-40.87179487179487,-2.92,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2022-03-31,6768000000.0,3369000000.0,2324000000.0,5207000000.0,1547000000.0,1595000000.0,100000000.0,210000000.0,,96000000.0,42000000.0,25000000.0,12000000.0,0.39,-103000000.0,95000000.0,60000000.0,-198000000.0,1695000000.0,,0.3355,,0.39,156000000.0,0.027149321266968326,0.0062056737588652485,,,0.014184397163120567,0.02961135101789019,,,1.0956690368455075,1.4496557659208262,,-407000000.0,-309000000.0,-545000000.0,-59000000.0,102000000.0,-3.7199999999999993,-3.7199999999999993,-28.728813559322035,-3.0294117647058822,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
2022-06-30,6913000000.0,3674000000.0,2256000000.0,5105000000.0,1793000000.0,1596000000.0,50000000.0,252000000.0,4739000000.0,240000000.0,156000000.0,51000000.0,50000000.0,1.44,59000000.0,128000000.0,122000000.0,-69000000.0,1646000000.0,,0.3343,21.8746,1.44,362000000.0,0.08700501952035694,0.022566179661507306,0.03291833720194134,0.05064359569529436,0.034717199479242004,0.06978772899098575,-0.01456003376239713,0.07638742350706901,0.9180145008365868,1.62854609929078,,124000000.0,313000000.0,-81000000.0,560000000.0,105000000.0,1.1300000000000008,1.1300000000000008,2.9392857142857145,2.980952380952381,1.6409159,29.91,16.35,1.25943,3009.3904,1.5825,0.3697
