report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,roi,roic,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,4938453000.0,659118000.0,335996000.0,2558636000.0,1487861000.0,,220543000.0,,164369000.0,42667000.0,32428000.0,28910000.0,0.92,46539949000.0,183111000.0,3107000.0,180004000.0,0.0,,31.8123,2.5899,0.92,164369000.0,0.028676737947966914,0.008639750140377968,,0.033283499913839415,0.11047335739024008,,0.0,1.9616840676674723,,,,,,,,,,,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2010-09-30,4950942000.0,640187000.0,395274000.0,2354959000.0,1712068000.0,,255452000.0,,259959000.0,76622000.0,48750000.0,52878000.0,1.57,48741873000.0,351480000.0,5316000.0,346164000.0,0.0,,39.3498,3.3718,1.57,259959000.0,0.04475406350682333,0.015476246742539097,,0.052506977460047,0.15183917928493496,,0.0,1.6196031107535531,,,,,,,,,,,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2010-12-31,5291215000.0,769430000.0,407457000.0,2502621000.0,1799963000.0,,313328000.0,,374032000.0,138633000.0,66178000.0,91523000.0,2.81,49398535.0,480699000.0,8762000.0,471937000.0,0.0,1.6075,36.9189,3.7675,2.81,374032000.0,0.07701991652050626,0.026200598539276896,,0.07068924623172561,0.2077998269964438,,0.0,1.8883710428339677,,,,,,,,,,,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2011-03-31,5259300000.0,781600000.0,383100000.0,2377000000.0,1761200000.0,,252800000.0,,124900000.0,39100000.0,19400000.0,26700000.0,0.74,53100000.0,130200000.0,1700000.0,128500000.0,0.0,,35.4608,3.7024,0.74,124900000.0,0.0222007722007722,0.007434449451447911,,0.02374840758275816,0.07091755621167387,,0.0,2.040198381623597,,297022000.0,923260000.0,1126605000.0,923260000.0,166756000.0,6.04,6.04,0.0,5.536592386480846,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2011-06-30,5325000000.0,877200000.0,387200000.0,2346500000.0,1833800000.0,,311200000.0,,264900000.0,84500000.0,37400000.0,53400000.0,1.59,53300000.0,310400000.0,4400000.0,306000000.0,0.0,,29.2727,3.1743,1.59,264900000.0,0.04607917984513033,0.015868544600938967,,0.049746478873239436,0.14445413894644998,,0.0,2.2654958677685952,,338855000.0,1023791000.0,1252601000.0,1023791000.0,171728000.0,6.71,6.71,0.0,5.961701062144787,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2011-09-30,5131800000.0,757200000.0,369000000.0,2235900000.0,1805600000.0,,323300000.0,,390900000.0,124600000.0,55600000.0,73200000.0,2.34,53200000.0,554200000.0,8300000.0,545900000.0,0.0,,21.7854,2.3581,2.34,390900000.0,0.06900753212228622,0.02427997973420632,,0.07617210335554776,0.21649313247673904,,0.0,2.0520325203252034,,386833000.0,1154732000.0,1452337000.0,1154732000.0,178578000.0,7.4799999999999995,7.4799999999999995,0.0,6.466261241586309,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2011-12-31,5218900000.0,876400000.0,417600000.0,2267500000.0,1866000000.0,,449500000.0,,-294600000.0,-83300000.0,-38600000.0,-60200000.0,-1.56,-106600000.0,-286300000.0,1700000.0,-288000000.0,0.0,1.8582,30.4357,2.9441,-1.56,-294600000.0,-0.044640943193997855,-0.015961217881162698,,-0.05644867692425607,-0.15787781350482316,,0.0,2.0986590038314175,,164900000.0,486100000.0,692400000.0,486100000.0,73800000.0,3.11,3.11,0.0,6.586720867208672,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2012-03-31,5209900000.0,895200000.0,347000000.0,2226700000.0,1862400000.0,,393700000.0,,108800000.0,37400000.0,18600000.0,24600000.0,0.71,52900000.0,,,,0.0,,35.9873,3.4648,0.71,108800000.0,0.020081615120274916,0.0071786406648880014,,0.020883318297856005,0.058419243986254296,,0.0,2.5798270893371757,,163200000.0,470000000.0,,470000000.0,73000000.0,3.079999999999999,3.079999999999999,0.0,6.438356164383562,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2012-06-30,5614700000.0,775500000.0,330300000.0,2395600000.0,1857600000.0,,311000000.0,,133800000.0,44000000.0,37100000.0,26600000.0,0.83,52800000.0,236000000.0,5000000.0,231000000.0,0.0,,45.651,3.4141,0.83,133800000.0,0.023686477174849268,0.007836571856020803,,0.023830302598535986,0.07202842377260982,,0.0,2.3478655767484105,,122700000.0,338900000.0,,338900000.0,72700000.0,2.3199999999999994,2.3199999999999994,0.0,4.66162310866575,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
2012-09-30,6030800000.0,838100000.0,372900000.0,2663000000.0,1931000000.0,,372600000.0,,139700000.0,54900000.0,21800000.0,19400000.0,1.04,53000000.0,211100000.0,4900000.0,206200000.0,0.0,,45.1841,3.6634,1.04,139700000.0,0.028430864836872086,0.009103269881276115,,0.023164422630496784,0.0723459347488348,,0.0,2.2475194422097076,,53000000.0,87700000.0,,87700000.0,38900000.0,1.0199999999999996,1.0199999999999996,0.0,2.2544987146529563,1.2062643,334.78,139.22,0.36953,7085.0547,9.8857,2.504,3.4155
