report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,5642101000.0,560946000.0,337906000.0,,2534936000.0,286514000.0,348479000.0,77579000.0,30287000.0,48934000.0,0.48,160292000.0,152874000.0,6355000.0,,146519000.0,0.0,,,9.029,0.48,0.03060392846209924,0.013750019717832063,0.22262173617348535,0.42045288238315653,0.0,1.6600652252401555,,,,,,,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2010-06-30,5762845000.0,373412000.0,351621000.0,,2526839000.0,166858000.0,573296000.0,86631000.0,61066000.0,55387000.0,0.54,158601000.0,260437000.0,10270000.0,,250167000.0,0.0,,159.62,7.9493,0.54,0.0342843370709412,0.015032679171485612,0.15111042114370238,0.4363662052412715,0.0,1.061972976585585,,,,,,,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2010-09-30,5837165000.0,276963000.0,378647000.0,,2575270000.0,2078000.0,800257000.0,78463000.0,94872000.0,49485000.0,0.49,158493000.0,398868000.0,12284000.0,,386584000.0,0.0,,98.8969,7.7613,0.49,0.03046787327154046,0.013441970545633026,0.09804725232019214,0.48307481221657544,0.0,0.7314543625065034,,,,,,,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2011-06-30,5309907000.0,443888000.0,352040000.0,,2244927000.0,288839000.0,494205000.0,26260000.0,,12806000.0,0.16,158729000.0,313613000.0,2830000.0,,310783000.0,0.0,,,8.888,0.16,0.011697485040716247,0.004945472679653335,0.05313584443702512,0.6288544227597859,0.0,1.2609021702079308,2216237000.0,268933000.0,1094053000.0,,1.67,1.67,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2012-03-31,6277945000.0,462879000.0,554535000.0,3884856000.0,2393089000.0,122898000.0,246893000.0,-41800000.0,37205000.0,-27843000.0,-0.26,158913000.0,155977000.0,1622000.0,,154355000.0,0.0,,230.2814,7.58,-0.26,-0.01746696424579278,-0.0066582297232613535,-0.16930411149769334,0.6251898595747956,0.0,0.8347155725066948,2114651000.0,149554000.0,1101889000.0,,0.93,0.93,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2012-09-30,6657720000.0,270535000.0,545744000.0,4375893000.0,2281827000.0,151000.0,984226000.0,-39960000.0,124090000.0,-17910000.0,-0.25,159297000.0,461123000.0,3056000.0,,458067000.0,0.0,,,8.779,-0.25,-0.01751228292065963,-0.006002054757484544,-0.04060043120177683,0.4654083513339416,0.0,0.4957177724354276,2525581000.0,22963000.0,1309789000.0,,0.14,0.14,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2012-12-31,6728735000.0,327614000.0,455143000.0,4371343000.0,2357392000.0,252000.0,1457704000.0,13002000.0,168798000.0,12054000.0,0.08,160307000.0,647099000.0,4762000.0,,642337000.0,0.0,0.7209,780.0,7.4737,0.08,0.00551541703713256,0.0019323097134899799,0.008919506292086734,0.4406498164236361,0.0,0.7198045449452151,3183028000.0,-42498000.0,1565542000.0,,-0.26999999999999996,-0.26999999999999996,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2013-03-31,6866531000.0,370640000.0,607663000.0,4609139000.0,2257392000.0,194000.0,319239000.0,-75610000.0,42210000.0,-47180000.0,,160125000.0,201249000.0,1071000.0,,200178000.0,0.0,,,8.9467,,-0.033494404161970984,-0.01101138260353008,-0.23684449581661388,0.6270474472103972,0.0,0.6099433403053995,3008062000.0,-144368000.0,1454937000.0,372303000.0,,,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2013-06-30,6930182000.0,273448000.0,504376000.0,4544399000.0,2385783000.0,284000.0,992595000.0,68373000.0,87281000.0,50314000.0,,161223000.0,279889000.0,2033000.0,,277856000.0,0.0,,185.966,7.7937,,0.028658515883464675,0.00986597465982856,0.06888307920148701,0.27992887330683713,0.0,0.5421510936285628,3753764000.0,-34195000.0,1578438000.0,422379000.0,,,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
2013-09-30,7030630000.0,222732000.0,453583000.0,4639629000.0,2391001000.0,255000.0,1434633000.0,87551000.0,131602000.0,62180000.0,,161321000.0,502866000.0,4326000.0,,498540000.0,0.0,,88.1949,7.0866,,0.036616881381479977,0.012452795837641861,0.06102675736582108,0.3475035078657747,0.0,0.49105014958673493,4204171000.0,93316000.0,1618911000.0,429891000.0,,,0.5737787,48.31,30.32,3.73411,10227.305,15.5424,1.9345,3.4156
