report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,58693000000.0,,,,,,3949000000.0,,,,,,,,,0.0,,6.4703,1.1064,,,,,,,,,,,,,,,,,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2010-06-30,,58750000000.0,,,,,,7709000000.0,,,,,,,,,0.0,,6.0557,1.0934,,,,,,,,,,,,,,,,,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2010-09-30,51082000000.0,35103000000.0,15979000000.0,3975000000.0,,,,9908000000.0,,1554000000.0,,580000000.0,4.76,1893000000.0,38000000.0,1855000000.0,3975000000.0,,6.4508,1.232,4.76,,0.09725264409537518,0.030421674953995538,0.1568429551877271,,,,0.18722244650787243,,0.24876400275361413,,,,,,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2010-12-31,83355000000.0,60381000000.0,22974000000.0,3358000000.0,,772000000.0,,-5560000000.0,,1554000000.0,224000000.0,-21000000.0,4.35,1653000000.0,,,3358000000.0,0.183,6.7976,1.3095,4.35,,0.06764168190127971,0.018643152780277127,-0.27949640287769784,,,,,,0.14616523026029424,16006000000.0,,,,,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2011-03-31,86220000000.0,62844000000.0,23376000000.0,3358000000.0,,1115000000.0,,3808000000.0,,259000000.0,63000000.0,97000000.0,0.76,1003000000.0,,,3358000000.0,,8.3801,1.3678,0.76,,0.011079739904175222,0.003003943400603108,0.06801470588235294,,,,,,0.14365160848733743,15865000000.0,,,,,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2011-06-30,89254000000.0,65141000000.0,24113000000.0,3360000000.0,,833000000.0,,8061000000.0,,866000000.0,125000000.0,219000000.0,2.54,2063000000.0,,,3360000000.0,,8.8126,1.3526,2.54,,0.03591423713349645,0.009702646379994174,0.10743083984617294,,,,,,0.13934392236552898,16217000000.0,4233000000.0,,12.41,12.41,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2011-09-30,51495000000.0,35857000000.0,15638000000.0,3975000000.0,,,,10240000000.0,,1226000000.0,,371000000.0,4.16,1690000000.0,30000000.0,1660000000.0,3975000000.0,,11.3405,1.2179,4.16,,0.0783987722215117,0.023808136712302166,0.1197265625,,,,0.162109375,,0.2541885151553907,16549000000.0,3905000000.0,,11.809999999999999,11.809999999999999,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2011-12-31,87505000000.0,62989000000.0,24516000000.0,3360000000.0,1251000000.0,614000000.0,,-5275000000.0,,-766000000.0,62000000.0,-181000000.0,-2.8099999999999996,-1286000000.0,,,4611000000.0,0.1517,15.3998,1.4034,-2.8099999999999996,,-0.03124490128895415,-0.008753785497971544,0.1452132701421801,,,,,,0.18808125305922663,16834000000.0,1585000000.0,,4.65,4.65,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2012-03-31,50718000000.0,35228000000.0,15490000000.0,3575000000.0,,,,3410000000.0,,506000000.0,,173000000.0,1.83,372000000.0,10000000.0,362000000.0,3575000000.0,,11.1039,1.4541,1.83,,0.032666236281471916,0.009976734098347727,0.14838709677419354,,,,0.106158357771261,,0.23079406068431246,16436000000.0,1832000000.0,,5.720000000000001,5.720000000000001,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2012-06-30,51010000000.0,35449000000.0,15561000000.0,3575000000.0,,,,6833000000.0,,910000000.0,,296000000.0,3.31,886000000.0,21000000.0,865000000.0,3575000000.0,,12.625,1.487,3.31,,0.05847953216374269,0.017839639286414428,0.1331772281574711,,,,0.12659154105078296,,0.2297410192147034,15208000000.0,1876000000.0,,6.49,6.49,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
2012-09-30,93508000000.0,66545000000.0,26963000000.0,3360000000.0,1402000000.0,690000000.0,,13249000000.0,,1941000000.0,187000000.0,405000000.0,5.67,3025000000.0,,,4762000000.0,,9.7496,1.4675,5.67,,0.07198753847865594,0.020757582238952816,0.14650162276398218,,,,,,0.176612394763194,18217000000.0,2591000000.0,,8.0,8.0,0.49602565,345.67,264.1,1.66305,128100.25,12.4249,1.6654,2.1565
