report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-26,8793000000.0,3015000000.0,2313000000.0,,1070000000.0,3124000000.0,118000000.0,2630000000.0,180000000.0,83000000.0,45000000.0,46000000.0,0.22,160000000.0,25000000.0,39000000.0,135000000.0,3124000000.0,,,1.0305,0.22,219000000.0,0.07757009345794393,0.0094393267371773,0.03155893536121673,0.06844106463878327,0.02047082906857728,0.04291845493562232,0.051330798479087454,0.08326996197718631,2.919626168224299,1.3035019455252919,,,,,,,,,,,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2010-06-18,8647000000.0,2951000000.0,2351000000.0,,1224000000.0,2769000000.0,100000000.0,5401000000.0,406000000.0,202000000.0,89000000.0,111000000.0,0.54,522000000.0,64000000.0,81000000.0,458000000.0,2769000000.0,,,1.1502,0.54,487000000.0,0.1650326797385621,0.023360703134034926,0.037400481392334754,0.07517126458063321,0.04695270035850584,0.1016779363886802,0.08479911127568969,0.09016848731716348,2.2622549019607843,1.2552105487026797,,,,,,,,,,,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2010-09-10,8789000000.0,3061000000.0,2496000000.0,,1355000000.0,2600000000.0,223000000.0,8049000000.0,573000000.0,285000000.0,130000000.0,156000000.0,0.76,913000000.0,147000000.0,121000000.0,766000000.0,2600000000.0,,56.2594,1.1436,0.76,694000000.0,0.21033210332103322,0.03242689725793606,0.035408125232948194,0.07118896757361162,0.06519513027648197,0.14487989886219974,0.09516710150329233,0.08622189091812647,1.918819188191882,1.2263621794871795,,,,,,,,,,,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2010-12-31,8983000000.0,3382000000.0,2501000000.0,,1585000000.0,2691000000.0,505000000.0,-4389000000.0,-464000000.0,-112000000.0,-84000000.0,-220000000.0,-0.31000000000000005,-444000000.0,71000000.0,-63000000.0,-515000000.0,2691000000.0,1.3523,33.0367,1.2942,-0.31000000000000005,-527000000.0,-0.07066246056782334,-0.012467995101859067,0.025518341307814992,0.10571884256094782,-0.05165312256484471,-0.10851262862488306,0.11733880154932787,0.12007290954659376,1.6977917981072554,1.3522590963614554,11691000000.0,458000000.0,695000000.0,844000000.0,873000000.0,180000000.0,1.21,1.21,3.082474226804124,3.861111111111111,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2011-03-25,8760000000.0,2999000000.0,2423000000.0,,1386000000.0,2720000000.0,144000000.0,2778000000.0,191000000.0,101000000.0,41000000.0,51000000.0,0.26,139000000.0,62000000.0,35000000.0,77000000.0,2720000000.0,,29.0027,1.1661,0.26,226000000.0,0.07287157287157287,0.011529680365296804,0.03635709143268539,0.0687544996400288,0.02180365296803653,0.04651729176814418,0.02771778257739381,0.08135349172066235,1.9624819624819625,1.237721832439125,11839000000.0,476000000.0,706000000.0,786000000.0,880000000.0,176000000.0,1.25,1.25,3.090909090909091,4.011363636363637,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2011-06-17,8791000000.0,2938000000.0,2917000000.0,,1136000000.0,2440000000.0,117000000.0,5750000000.0,423000000.0,236000000.0,78000000.0,117000000.0,0.63,481000000.0,91000000.0,76000000.0,390000000.0,2440000000.0,,24.2138,0.9895,0.63,499000000.0,0.20774647887323944,0.026845637583892617,0.04104347826086956,0.07356521739130435,0.048117392788078715,0.11828859060402684,0.06782608695652174,0.08678260869565217,2.147887323943662,1.0071991772368871,12188000000.0,510000000.0,723000000.0,718000000.0,892000000.0,165000000.0,1.3399999999999999,1.3399999999999999,2.7354260089686098,4.381818181818182,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2011-09-09,8465000000.0,2678000000.0,3100000000.0,8465000000.0,430000000.0,2623000000.0,220000000.0,8624000000.0,279000000.0,,117000000.0,97000000.0,0.15,885000000.0,128000000.0,,757000000.0,2623000000.0,,40.016,0.7503,0.15,279000000.0,,,,0.03235157699443414,0.03295924394565859,0.09138552243694727,0.08777829313543599,0.03235157699443414,6.1,0.8638709677419355,12763000000.0,,429000000.0,709000000.0,477000000.0,152000000.0,0.73,0.73,5.49895178197065,2.8223684210526314,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2011-12-30,5910000000.0,1324000000.0,2558000000.0,5910000000.0,-781000000.0,1816000000.0,102000000.0,-4835000000.0,-367000000.0,-139000000.0,-72000000.0,-107000000.0,-0.49,-416000000.0,-98000000.0,57000000.0,-514000000.0,1816000000.0,0.5176,49.3719,0.7937,-0.49,-310000000.0,0.17797695262483995,-0.023519458544839257,0.02874870734229576,0.07590486039296794,-0.06209813874788494,-0.3545893719806763,0.1063081695966908,0.0641158221302999,-2.325224071702945,0.5175918686473807,12317000000.0,,526000000.0,710000000.0,694000000.0,164000000.0,0.55,0.55,2.61671469740634,3.207317073170732,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2012-03-23,6171000000.0,1464000000.0,2906000000.0,6171000000.0,-848000000.0,1772000000.0,290000000.0,2552000000.0,175000000.0,104000000.0,33000000.0,43000000.0,0.3,125000000.0,197000000.0,29000000.0,-72000000.0,1772000000.0,,62.8736,1.0452,0.3,204000000.0,-0.12264150943396226,0.016853022200615783,0.04075235109717868,0.06857366771159874,0.028358450818343865,0.1893939393939394,-0.02821316614420063,0.07993730407523511,-2.089622641509434,0.503785271851342,12091000000.0,,510000000.0,561000000.0,672000000.0,156000000.0,0.5900000000000001,0.5900000000000001,2.636904761904762,3.269230769230769,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
2012-06-15,6007000000.0,1355000000.0,2642000000.0,6007000000.0,-1124000000.0,2153000000.0,105000000.0,5328000000.0,418000000.0,247000000.0,67000000.0,109000000.0,0.72,417000000.0,257000000.0,67000000.0,160000000.0,2153000000.0,,60.1512,1.0569,0.72,485000000.0,-0.2197508896797153,0.04111869485600133,0.04635885885885886,0.07845345345345345,0.06958548360246379,0.4062196307094266,0.03003003003003003,0.09102852852852852,-1.9154804270462633,0.5128690386071159,11669000000.0,,505000000.0,331000000.0,658000000.0,145000000.0,0.68,0.68,3.2720364741641337,3.4827586206896552,1.131112,370.0,205.4,1.70908,87956.47,33.8164,82.9746,3.3589
