report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-27,2641987000.0,1510084000.0,551240000.0,978594000.0,1663393000.0,24245000.0,702778000.0,2657111000.0,1936692000.0,853206000.0,,313413000.0,1.69,318555000.0,809352000.0,51620000.0,94011000.0,757732000.0,24245000.0,,18.3329,3.6572,1.69,947217000.0,,,,0.7288713192636664,0.3211028820399298,0.32294102885441905,0.505562211801346,0.2851713759794002,0.35648379010135445,0.014575629451368378,2.739431100790944,,,,,,,,,,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2010-07-03,2467115000.0,1302641000.0,529036000.0,961822000.0,1505293000.0,24159000.0,596470000.0,3607636000.0,2633691000.0,1150171000.0,734940000.0,416988000.0,2.33,315848000.0,990877000.0,81116000.0,126744000.0,909761000.0,24159000.0,2.4624,14.4062,2.9347,2.33,1276915000.0,0.4882371737595272,0.29789450430968967,0.20371789171634833,0.7300323535966489,0.3188157009188288,0.4662008053941547,0.7520151008335012,0.25217649452439217,0.3539478483971221,0.016049367133176066,2.4622917911068436,,,,,,,,,,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2010-10-02,2609830000.0,1425250000.0,569651000.0,1027157000.0,1582673000.0,24064000.0,621371000.0,911669000.0,676171000.0,285660000.0,188876000.0,96222000.0,0.63,301249000.0,177456000.0,23080000.0,32251000.0,154376000.0,24064000.0,,16.1741,3.37,0.63,317911000.0,0.1193398762726097,0.07237099734465463,0.20717606938483155,0.7416847561998927,0.3133374064490511,0.10945540514133105,0.1777888976229464,0.16933338744654036,0.34871318428069836,0.015204656931659288,2.5019705047476437,,,,,,,,,,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2011-01-01,2794671000.0,1622624000.0,593274000.0,1056213000.0,1738458000.0,23550000.0,784232000.0,2176126000.0,1591347000.0,738995000.0,492304000.0,245235000.0,1.62,303106000.0,585216000.0,49198000.0,63479000.0,536018000.0,23550000.0,,19.1278,4.0862,1.62,802474000.0,0.2831842932069685,0.1761581238006191,0.2262295473699593,0.7312752110861228,0.3395920089186012,0.2644300527682865,0.4194050197274927,0.24631753859840835,0.3687626543683592,0.013546487749488339,2.7350330538671845,9352542000.0,,3028032000.0,6837901000.0,2357887000.0,3344517000.0,6.27,6.27,0.0070413754811232835,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2011-04-02,2721865000.0,1562402000.0,550029000.0,979207000.0,1742658000.0,23454000.0,812740000.0,3126832000.0,2283002000.0,992832000.0,678319000.0,312215000.0,2.24,302589000.0,812625000.0,90978000.0,93849000.0,721647000.0,23454000.0,,17.9163,3.8395,2.24,1086681000.0,0.3892439021311124,0.2492111107641268,0.21693490408183105,0.7301326070604369,0.31752009701832395,0.36476166158130546,0.5621568734032723,0.23079174064996136,0.3475341815614014,0.013458750942525728,2.8405811329948056,9822263000.0,2094439000.0,3167658000.0,7184211000.0,2321802000.0,3483981000.0,6.82,6.82,0.0067319540491179485,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2011-07-02,2635116000.0,1452388000.0,593017000.0,1022547000.0,1612569000.0,23360000.0,699782000.0,-2056120000.0,-1526979000.0,-712563000.0,-478699000.0,-233253000.0,-1.5700000000000003,-605386000.0,-542026000.0,-15512000.0,-64473000.0,-557538000.0,23360000.0,2.4492,22.2536,4.7134,-1.5700000000000003,-777036000.0,-0.2968548942711909,-0.18166145247495746,0.23281666439701962,0.742650720775052,0.34655710756181546,-0.27041048667307244,-0.4355708591265269,0.27116024356555063,0.3779137404431648,0.014486201830743367,2.449150698883843,4158507000.0,880800000.0,1304924000.0,3023541000.0,854503000.0,1430030000.0,2.9200000000000004,2.9200000000000004,0.016335321636609022,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2011-10-01,2878078000.0,1689148000.0,631373000.0,1061575000.0,1816503000.0,23264000.0,845719000.0,1050359000.0,764653000.0,321966000.0,214983000.0,105621000.0,0.73,296068000.0,224966000.0,30895000.0,32054000.0,194071000.0,23264000.0,,16.1891,3.4165,0.73,354020000.0,0.11834992840639405,0.07469672468918494,0.20467573467738173,0.7279920484329644,0.3065294818247856,0.11186840662414292,0.17500368253153797,0.1847663513141697,0.33704666690150703,0.012807025366872503,2.6753567225712853,4297197000.0,906907000.0,1341230000.0,3112023000.0,894198000.0,1466139000.0,3.02,3.02,0.01586752688524076,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2011-12-31,3100885000.0,1896006000.0,810996000.0,1232159000.0,1868726000.0,23165000.0,1085595000.0,2499008000.0,1809864000.0,822867000.0,562478000.0,257256000.0,1.9,295572000.0,836070000.0,70185000.0,65082000.0,765885000.0,23165000.0,,18.424,3.9098,1.9,887949000.0,0.3009954375333784,0.18139273142989823,0.22508051194714063,0.7242329756447359,0.3292774572950547,0.2653652102544919,0.4349441907594042,0.30647560952185826,0.35532059121059234,0.012396145823411244,2.3378734297086545,4620079000.0,977081000.0,1425102000.0,3330540000.0,1124065000.0,1551614000.0,3.3,3.3,0.014929615226467408,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2012-03-31,2984870000.0,1759548000.0,623233000.0,1045968000.0,1938902000.0,22607000.0,929670000.0,3607989000.0,2627931000.0,1160359000.0,787480000.0,368074000.0,2.67,294952000.0,938867000.0,111576000.0,98733000.0,827291000.0,22607000.0,,22.8064,4.8663,2.67,1259092000.0,0.40614739682562606,0.26382388512732546,0.21826008893042634,0.7283644711777114,0.3216082421537316,0.38874691360092734,0.5915644536935594,0.22929421348014087,0.34897334775688066,0.011659691928730797,2.8232587170448293,5101236000.0,1086242000.0,1592629000.0,3675469000.0,1229709000.0,1724025000.0,3.7299999999999995,3.7299999999999995,0.0131129188961877,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2012-06-30,3104321000.0,1804528000.0,718160000.0,1111390000.0,1992931000.0,985000.0,917215000.0,-2394176000.0,-1736370000.0,-793203000.0,-526031000.0,-264198000.0,-1.77,-592463000.0,-778214000.0,-28347000.0,-62960000.0,-806561000.0,985000.0,2.5125,16.2011,3.5336,-1.77,-856163000.0,-0.2639484257106744,-0.16945122621017608,0.21971275294715176,0.7252474337726216,0.3313052173273811,-0.2555157794570858,-0.39781164301806093,0.33688458993825016,0.35760236507257614,0.0004942469157236251,2.512710259552189,4763180000.0,1038910000.0,1511989000.0,3466078000.0,980686000.0,1644898000.0,3.53,3.53,0.0005988213250912823,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2012-09-29,3151378000.0,1768587000.0,730903000.0,1157285000.0,1994093000.0,985000.0,760755000.0,1161350000.0,845168000.0,331717000.0,221381000.0,108300000.0,0.77,288497000.0,202174000.0,56290000.0,36104000.0,145884000.0,985000.0,,14.9154,3.1987,0.77,367821000.0,0.11101839282320333,0.070248951411097,0.1906238429414044,0.7277461574891291,0.2856305162095837,0.10526093664422358,0.16626768477222445,0.12561587807293237,0.3167184741895208,0.0004939589076336961,2.419728746495773,4874171000.0,1045308000.0,1521740000.0,3546593000.0,932499000.0,1658699000.0,3.57,3.57,0.0005938389062753399,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2012-12-29,3279429000.0,1848367000.0,768936000.0,1197097000.0,2082332000.0,485000.0,858657000.0,2665124000.0,1930550000.0,858294000.0,574145000.0,280874000.0,2.0,287358000.0,830012000.0,117099000.0,76881000.0,712913000.0,485000.0,,14.9891,3.1946,2.0,935175000.0,0.2757221230812378,0.17507468525770797,0.21542900067689158,0.7243753011116931,0.3220465539314493,0.2617205617197384,0.4120832507128567,0.26749712208512627,0.35089361695740984,0.00023291194679810905,2.4037982354838374,5040287000.0,1056975000.0,1557167000.0,3667279000.0,879527000.0,1705925000.0,3.67,3.67,0.00028430323724665507,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2013-03-30,3272120000.0,1894191000.0,614513000.0,1028155000.0,2243965000.0,485000.0,876359000.0,3852702000.0,2810738000.0,1206787000.0,813077000.0,389692000.0,2.0,286559000.0,1039407000.0,159931000.0,115666000.0,879476000.0,485000.0,,13.1859,2.8028,2.0,1322453000.0,0.36233943042783645,0.24848630245834505,0.21104071895516446,0.7295498068628199,0.31323133738347786,0.3688089067638106,0.5376760453563234,0.2282751170477239,0.3432533842482497,0.00021613527840229238,3.0824262464748506,5285000000.0,1082572000.0,1603595000.0,3850086000.0,931712000.0,1769286000.0,3.0,3.0,0.0002741218774126964,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2013-06-29,3531897000.0,2070947000.0,722510000.0,1122739000.0,2409158000.0,485000.0,1062785000.0,-2603786000.0,-1888308000.0,-872257000.0,-574183000.0,-292760000.0,-1.7699999999999996,-576107000.0,-657619000.0,-91967000.0,-65664000.0,-749586000.0,485000.0,2.8663,15.4893,3.1568,-1.7699999999999996,-937921000.0,-0.2383334758450878,-0.16257070916847235,0.22051850651320806,0.7252162812151229,0.33499565632505895,-0.246965582518403,-0.3619859871358537,0.2878831056008443,0.36021431868824855,0.0002013151482800215,2.866322957467717,5075390000.0,1034420000.0,1524541000.0,3698148000.0,988687000.0,1687528000.0,3.0,3.0,0.0002874026386525142,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2013-09-28,3487390000.0,1872065000.0,707428000.0,1108819000.0,2378571000.0,485000.0,714617000.0,1150760000.0,826573000.0,321634000.0,217883000.0,105379000.0,0.0,284513000.0,164100000.0,45900000.0,44964000.0,118200000.0,485000.0,,14.8633,3.0253,0.0,366598000.0,0.09160247896741362,0.06247738279917073,0.18933835030762278,0.7182844381104662,0.27949702805102716,0.0922277118418072,0.13519395928469108,0.10271472765824324,0.31857033612569086,0.00020390394064335267,2.6462975737460206,5064800000.0,1030922000.0,1514458000.0,3679553000.0,961003000.0,1686305000.0,2.2300000000000004,2.2300000000000004,0.00028761107866014747,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2013-12-28,3543817000.0,1787676000.0,702895000.0,1113090000.0,2430727000.0,,568228000.0,2570384000.0,1809252000.0,757577000.0,515321000.0,245837000.0,1.0,283000000.0,564470000.0,106762000.0,92939000.0,457708000.0,0.0,,16.2125,3.1753,1.0,850516000.0,0.21200282878332286,0.14541411139457822,0.20048405218831117,0.7038839332955699,0.2947330048739799,0.21377430042239765,0.3116668387688128,0.17806989150259261,0.33089063735224,0.0,2.5433044764865307,4970060000.0,972098000.0,1413741000.0,3558255000.0,705798000.0,1601646000.0,1.2300000000000004,1.2300000000000004,0.0,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2014-03-29,3580622000.0,1790089000.0,787946000.0,1191343000.0,2389279000.0,,463463000.0,3670010000.0,2590591000.0,1020286000.0,706061000.0,315877000.0,2.0,281576000.0,669337000.0,157624000.0,138108000.0,511713000.0,0.0,,14.8654,2.8174,2.0,1158394000.0,0.29551216078155795,0.1971894827211585,0.19238666924613285,0.7058811828850603,0.2780063269582372,0.284946581906719,0.42702673065807717,0.13943095522900484,0.31563783204950396,0.0,2.2718422328433676,4787368000.0,865082000.0,1227240000.0,3338108000.0,338035000.0,1437587000.0,1.2300000000000004,1.2300000000000004,0.0,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
2014-06-28,3663131000.0,1855217000.0,813118000.0,1242478000.0,2420653000.0,0.0,591923000.0,-2584928000.0,-1929453000.0,-979423000.0,-657929000.0,-326174000.0,-1.0,-568710000.0,-412497000.0,-90699000.0,-86651000.0,-503196000.0,0.0,2.2816,11.9979,1.9504,-1.0,-1066074000.0,-0.2717981470289215,-0.17960837327411988,0.25452507768108046,0.7464242717785563,0.3788975940529098,-0.267373184305994,-0.4046110698228949,0.19466538332982583,0.41241922405575704,0.0,2.2816085734173885,4806226000.0,781336000.0,1120074000.0,3296963000.0,584425000.0,1309434000.0,2.0,2.0,0.0,1.6010247,161.97,58.39,1.84404,28911.89,55.3549,21.2605,3.8473
