report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,12251342000.0,7130209000.0,4437243000.0,1220392000.0,,379781000.0,52832000.0,52714000.0,92029000.0,0.38,139597000.0,60094000.0,83075000.0,0.0,,43.8757,6.9034,0.38,135907000.0,0.011879899297829757,0.004302712306945639,0.13880104586590694,0.13911175124611289,0.0043123439048554845,0.011906492387277414,0.35785623820043655,0.0,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2010-06-30,12787701000.0,7663109000.0,4443377000.0,1703448000.0,,775739000.0,116885000.0,114132000.0,188784000.0,0.82,139712000.0,210504000.0,164475000.0,0.0,,42.0967,6.4452,0.82,281360000.0,0.02568586910361196,0.008925138302811428,0.14712680424730482,0.15067567828870276,0.009140423286406211,0.02630544290975085,0.3626993099483202,0.0,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2010-09-30,13048836000.0,7915091000.0,4461911000.0,1270074000.0,,388224000.0,56524000.0,57668000.0,97103000.0,0.41,140193.0,,,0.0,,51.4558,7.5487,0.41,56524000.0,0.01292450701056117,0.004419398021402062,0.14854310913287175,0.14559635674249918,0.004331727366333671,0.012668114626221813,0.14559635674249918,0.0,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2010-12-31,13348263000.0,8328418000.0,4372643000.0,478948000.0,,7060000.0,384273000.0,-65442000.0,163000.0,-0.47,-139392193.0,105295000.0,90821000.0,0.0,3.6656,75.8209,7.7786,-0.47,475094000.0,-0.014966234380442218,-0.004902660368618748,-9.269405099150141,54.429603399433425,0.028788240087867612,0.08788117392615862,67.29376770538244,0.0,1550804000.0,159072000.0,610514000.0,948885000.0,378079000.0,1.14,1.14,0.0,1.614778921865536,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2011-03-31,13835473000.0,8490362000.0,4696042000.0,747305000.0,,417875000.0,138022000.0,40813000.0,99151000.0,0.29,142504000.0,132284000.0,109428000.0,0.0,,93.5289,8.6638,0.29,247450000.0,0.00869093589878455,0.002949881077430457,0.09766796290756806,0.3302949446604846,0.00997595094869543,0.029391134065666364,0.5921627280885432,0.0,1588898000.0,147171000.0,695704000.0,1060428000.0,385201000.0,1.0499999999999998,1.0499999999999998,0.0,1.8060804618887283,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2011-06-30,,,,780584000.0,,,,,,,,,,0.0,,106.0117,9.4936,,,,,,,,,,,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2011-09-30,,,,1063024000.0,,,,,,,,,,0.0,,83.0929,7.768,,,,,,,,,,,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2011-12-31,,,,1823208000.0,,,,,,,,474044000.0,329756000.0,0.0,8.1962,55.0488,8.5687,,,,,,,,,,,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2012-03-31,,,,,,443693000.0,143567000.0,48454000.0,103237000.0,0.0,148746000.0,169261000.0,109865000.0,0.0,,56.051,8.8311,0.0,253432000.0,,,0.10920614028168125,0.3235728307636136,,,0.571187735664074,,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
2012-06-30,,,,,,915042000.0,316886000.0,166971000.0,203138000.0,1.0,149720000.0,331080000.0,221940000.0,0.0,,48.4513,9.0597,1.0,538826000.0,,,0.18247359137613356,0.34630760118114795,,,0.588853844960122,,,,,,,,,,,1.0231028,79.33,49.72,2.36977,8472.381,30.6092,2.1326,2.433
