report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,roe,roa,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-09-30,131341000000.0,111958000000.0,19383000000.0,2062000000.0,,668000000.0,262000000.0,317000000.0,1.0,560081031.0,1200000000.0,,,2062000000.0,,1.0,0.03446318939276686,0.005085997517911391,0.10638188102976835,,,,,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2014-12-31,132857000000.0,113589000000.0,19268000000.0,4642000000.0,,865000000.0,363000000.0,403000000.0,1.0,557724936.0,1390000000.0,,,4642000000.0,,1.0,0.04489308698359975,0.006510759688988913,0.24091758355823126,,,,,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2015-03-31,136535000000.0,116971000000.0,19564000000.0,3904000000.0,,209000000.0,106000000.0,106000000.0,0.0,549798717.0,98000000.0,,,3904000000.0,,0.0,0.010682886935187078,0.0015307430329219614,0.19955019423430792,,,,,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2015-06-30,137251000000.0,117665000000.0,19586000000.0,3890000000.0,,399000000.0,218000000.0,198000000.0,0.0,544804268.0,515000000.0,,,3890000000.0,18.6874,0.0,0.02037169406719085,0.0029070826442065996,0.19861125293577045,2141000000.0,949000000.0,2.0,2.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2015-09-30,135447000000.0,115847000000.0,19600000000.0,4153000000.0,,619000000.0,336000000.0,313000000.0,1.0,540926361.0,831000000.0,,,4153000000.0,15.4282,1.0,0.03158163265306122,0.0045700532311531445,0.2118877551020408,2092000000.0,1023000000.0,2.0,2.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2015-12-31,138208000000.0,118562000000.0,19646000000.0,9886000000.0,,-387000000.0,-208000000.0,-194000000.0,0.0,-1097308448.0,-215000000.0,,,9886000000.0,16.451,0.0,-0.01969866639519495,-0.0028001273442926603,0.5032067596457294,840000000.0,452000000.0,1.0,1.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2016-03-31,140077000000.0,120112000000.0,19965000000.0,10035000000.0,,223000000.0,115000000.0,109000000.0,0.0,530446188.0,374000000.0,,,10035000000.0,12.9544,0.0,0.01116954670673679,0.0015919815530029912,0.5026296018031555,854000000.0,461000000.0,1.0,1.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2016-06-30,145183000000.0,124957000000.0,20226000000.0,11810000000.0,,466000000.0,238000000.0,227000000.0,0.0,530396871.0,704000000.0,,,11810000000.0,11.6552,0.0,0.023039651933155346,0.0032097421874461886,0.583901908434688,921000000.0,481000000.0,1.0,1.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2016-09-30,147015000000.0,126834000000.0,20181000000.0,11902000000.0,,763000000.0,372000000.0,357000000.0,1.0,527261384.0,1198000000.0,,,11902000000.0,13.0448,1.0,0.037807839056538325,0.005189946604088018,0.5897626480352807,1065000000.0,517000000.0,1.0,1.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2016-12-31,149520000000.0,129773000000.0,19747000000.0,12790000000.0,,-407000000.0,-217000000.0,-204000000.0,0.0,-1064173725.0,-786000000.0,,,12790000000.0,17.5655,0.0,-0.020610725679850103,-0.002722043873729267,0.6476933205043804,1045000000.0,508000000.0,1.0,1.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2017-03-31,150285000000.0,130438000000.0,19847000000.0,11780000000.0,,320000000.0,155000000.0,114000000.0,0.0,511348200.0,853000000.0,,,11780000000.0,15.409,0.0,0.016123343578374565,0.002129287686728549,0.5935405854789136,1142000000.0,548000000.0,1.0,1.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2017-06-30,151407000000.0,131343000000.0,20064000000.0,13154000000.0,,638000000.0,334000000.0,258000000.0,1.0,509362055.0,537000000.0,,,13154000000.0,14.8314,1.0,0.03179824561403509,0.004213807816019074,0.6556020733652312,1314000000.0,644000000.0,2.0,2.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2017-09-30,151356000000.0,131247000000.0,20109000000.0,13400000000.0,,986000000.0,536000000.0,423000000.0,1.0,507062805.0,1450000000.0,,,13400000000.0,14.6964,1.0,0.049032771395892384,0.006514442770686329,0.666368292804217,1537000000.0,808000000.0,2.0,2.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2017-12-31,152336000000.0,132066000000.0,20270000000.0,11765000000.0,,-292000000.0,-278000000.0,-535000000.0,1.0,-1024087969.0,-957000000.0,,,11765000000.0,12.7108,1.0,-0.014405525407005427,-0.0019168154605608654,0.580414405525407,1652000000.0,747000000.0,3.0,3.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
2018-03-31,153453000000.0,133394000000.0,20059000000.0,13486000000.0,,388000000.0,237000000.0,113000000.0,0.0,489266826.0,704000000.0,,,13486000000.0,11.6542,0.0,0.019342938331920835,0.002528461483320626,0.6723166658357844,1720000000.0,829000000.0,3.0,3.0,1.1125726,68.79,32.6,4.9658,24213.443,13.2242,0.9532,1.48499
