report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-10-02,871645000.0,455710000.0,128438000.0,140938000.0,730707000.0,,,47447000.0,708673000.0,337228000.0,103418000.0,73561000.0,,31151000.0,1.28,57657000.0,101738000.0,23752000.0,23698000.0,77986000.0,0.0,,20.827,2.1513,1.28,127116000.0,0.1006709939825402,0.0843933023191781,0.1038010478739842,0.4758584001365933,0.14593190371299597,0.11864692621422712,0.1415314209388989,0.11004511248488372,0.17937186826646423,0.0,3.548093243432629,,,,,,,,,,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2010-12-31,878864000.0,476304000.0,136051000.0,148832000.0,730032000.0,,,47476000.0,956848000.0,460869000.0,143852000.0,101778000.0,,43157000.0,1.77,57428000.0,140459000.0,30721000.0,31209000.0,109738000.0,0.0,4.3372,21.0956,2.4011,1.77,175061000.0,0.13941580643040305,0.11580631360483533,0.10636799157232915,0.481653303345986,0.1503394478537866,0.16367947714322126,0.19704889648672935,0.11468697222547364,0.18295591358293062,0.0,3.500922448199572,,,,,,,,,,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2011-04-02,894207000.0,548533000.0,128009000.0,139801000.0,754406000.0,,,79685000.0,237301000.0,119998000.0,44362000.0,61634000.0,,14246000.0,1.1,55774000.0,-5169000.0,3922000.0,5932000.0,-9091000.0,0.0,,15.5135,2.3396,1.1,50294000.0,0.0816987139550852,0.06892587510498129,0.2597292046809748,0.505678442147315,0.18694400782129025,0.049610436956990946,0.058803880138811195,-0.038309994479585,0.21194179544123287,0.0,4.285112765508675,,,,,,,,,,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2011-07-02,871369000.0,567845000.0,103815000.0,115669000.0,755700000.0,,,92956000.0,482842000.0,241696000.0,91033000.0,94598000.0,,27328000.0,1.71,55395000.0,7488000.0,11232000.0,12151000.0,-3744000.0,0.0,,15.6507,2.4635,1.71,103184000.0,0.12517930395659654,0.10856250337113209,0.19591916196188403,0.5005695444886733,0.18853579431780998,0.10447124008313355,0.12046182347492392,-0.007754089329428674,0.2137013764336988,0.0,5.469777970428165,2385664000.0,331571000.0,382665000.0,1159791000.0,174889000.0,455655000.0,5.86,5.86,0.0,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2011-10-01,851772000.0,539713000.0,94436000.0,105824000.0,745948000.0,,,43781000.0,736180000.0,365249000.0,139913000.0,139599000.0,,41123000.0,2.55,54770000.0,34723000.0,17829000.0,17985000.0,16894000.0,0.0,,9.6321,1.6661,2.55,157898000.0,0.18714307163502014,0.1638924500922782,0.18962617838028742,0.49614088945638296,0.19005270450161646,0.16426109334422825,0.1875640125048931,0.022948192018256406,0.21448287103697466,0.0,5.715119234190351,2413171000.0,397609000.0,419160000.0,1187812000.0,113797000.0,486437000.0,7.13,7.13,0.0,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2011-12-31,899006000.0,584873000.0,108974000.0,122081000.0,776925000.0,,,36353000.0,-472835000.0,-240174000.0,-93272000.0,-121188000.0,,-33321000.0,-2.1399999999999992,-111748000.0,42579000.0,-6065000.0,-12068000.0,36514000.0,0.0,5.3661,10.6577,1.8922,-2.1399999999999992,-105340000.0,-0.15598416835601892,-0.13480221489066813,0.2563008237545867,0.5079446318483192,0.19726120105322154,-0.10375014182330262,-0.12005277214660359,-0.07722355578584496,0.22278384637347065,0.0,5.367087562170793,983488000.0,174643000.0,182036000.0,486769000.0,40573000.0,206036000.0,3.220000000000001,3.220000000000001,0.0,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2012-03-31,905086000.0,550282000.0,92853000.0,106023000.0,799063000.0,,,41943000.0,243875000.0,119863000.0,42009000.0,30164000.0,,11731000.0,0.58,52301000.0,36553000.0,7654000.0,5959000.0,28899000.0,0.0,,15.0251,2.1733,0.58,47968000.0,0.03774921376662416,0.03332721973381535,0.12368631471040492,0.4914935930292158,0.17225627883136854,0.04641437388270286,0.052572825922361566,0.1184992311635059,0.19669092772936955,0.0,5.926378253799015,990062000.0,143173000.0,179683000.0,486634000.0,78563000.0,203710000.0,2.700000000000001,2.700000000000001,0.0,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2012-06-30,928790000.0,581750000.0,94325000.0,107811000.0,820979000.0,,,105368000.0,490952000.0,240260000.0,81468000.0,60817000.0,,21097000.0,1.17,52156000.0,84655000.0,10599000.0,11964000.0,74056000.0,0.0,,12.4067,1.7629,1.17,93432000.0,0.07407863051308256,0.06547981782749598,0.12387565383173915,0.4893757434535352,0.1659388290504978,0.0877141226757394,0.09923274529555567,0.15084163013899526,0.19030781013215142,0.0,6.167505963424331,998172000.0,109392000.0,170118000.0,485198000.0,156363000.0,193958000.0,2.160000000000001,2.160000000000001,0.0,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2012-09-29,940690000.0,530978000.0,93067000.0,107661000.0,833029000.0,,,52253000.0,742989000.0,367184000.0,120233000.0,87914000.0,,33014000.0,1.69,52041000.0,134983000.0,17140000.0,18906000.0,117843000.0,0.0,,15.709,1.9511,1.69,139139000.0,0.10553534150671826,0.09345693055097853,0.11832476658470045,0.49419843362418553,0.16182339173258284,0.1278136261680256,0.14433231015967032,0.15860665501104323,0.18726925970640212,0.0,5.705330568300257,1004981000.0,57707000.0,150438000.0,487133000.0,257312000.0,175199000.0,1.300000000000001,1.300000000000001,0.0,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
2012-12-31,967748000.0,710863000.0,95214000.0,110746000.0,857002000.0,,,64740000.0,-481648000.0,-235663000.0,-79359000.0,-55991000.0,,-23565000.0,-1.0699999999999998,-104655000.0,-72860000.0,-12950000.0,-10652000.0,-85810000.0,0.0,7.4674,16.2539,2.0069,-1.0699999999999998,-90011000.0,-0.06533356981663986,-0.05785700409610767,0.11624879580108295,0.48928470584327144,0.16476555492808026,-0.08200378610960704,-0.09260071738455686,0.17815915357273363,0.1868812909012391,0.0,7.465950385447519,996168000.0,122904000.0,164351000.0,491644000.0,134988000.0,190528000.0,2.3700000000000006,2.3700000000000006,0.0,1.6759375,352.66,199.05,0.68844,10541.286,25.1582,3.4285,1.9535
