report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-09-30,9937000000.0,2788000000.0,2587000000.0,7059000000.0,2877000000.0,2187000000.0,610000000.0,987000000.0,4093000000.0,459000000.0,322000000.0,-14000000.0,1.66,195000000.0,327000000.0,253000000.0,200000000.0,74000000.0,2797000000.0,1.66,659000000.0,0.11192214111922141,0.03240414612055952,0.07867090153921329,0.11214268262887857,0.046191003320921804,0.08089531194924215,0.018079648179819205,0.16100659662838993,0.9721932568647897,1.0776961731735601,,,,,,,,
2011-12-31,9560000000.0,2534000000.0,1992000000.0,6605000000.0,2954000000.0,2194000000.0,3000000.0,454000000.0,5624000000.0,630000000.0,489000000.0,-75000000.0,2.51,195000000.0,641000000.0,385000000.0,265000000.0,256000000.0,2197000000.0,2.51,895000000.0,0.16553825321597834,0.05115062761506276,0.08694879089615931,0.1120199146514936,0.06589958158995816,0.12230634828188701,0.04551920341394026,0.1591394025604552,0.7437373053486798,1.2720883534136547,,,,,,,,
2012-03-31,9524000000.0,2462000000.0,2350000000.0,6356000000.0,3163000000.0,1648000000.0,552000000.0,657000000.0,1715000000.0,227000000.0,128000000.0,52000000.0,0.65,197000000.0,255000000.0,72000000.0,63000000.0,183000000.0,2200000000.0,0.65,290000000.0,0.04046791021182422,0.013439731205375893,0.07463556851311953,0.13236151603498542,0.023834523309533808,0.0423270557523774,0.10670553935860058,0.16909620991253643,0.6955422067657288,1.047659574468085,,,,,,,,
2012-06-30,8989000000.0,1980000000.0,1823000000.0,5754000000.0,3230000000.0,1652000000.0,0.0,270000000.0,3333000000.0,469000000.0,250000000.0,108000000.0,1.27,197000000.0,546000000.0,150000000.0,125000000.0,396000000.0,1652000000.0,1.27,594000000.0,0.07739938080495357,0.02781176994103905,0.075007500750075,0.1407140714071407,0.05217488040938925,0.09606718557968046,0.1188118811881188,0.1782178217821782,0.5114551083591331,1.086121777290181,14765000000.0,1189000000.0,1785000000.0,909000000.0,2438000000.0,6.09,6.09,0.6776045939294504
2012-09-30,9209000000.0,2250000000.0,1882000000.0,5831000000.0,3373000000.0,1653000000.0,1000000.0,651000000.0,4788000000.0,669000000.0,420000000.0,127000000.0,2.14,197000000.0,901000000.0,249000000.0,186000000.0,652000000.0,1654000000.0,2.14,855000000.0,0.12451823302697895,0.04560755782386795,0.08771929824561403,0.13972431077694236,0.07264632424801824,0.13308136065247664,0.1361737677527151,0.17857142857142858,0.490364660539579,1.1955366631243358,15460000000.0,1287000000.0,1995000000.0,1487000000.0,2634000000.0,6.57,6.57,0.6279422930903569
2012-12-31,8861000000.0,1919000000.0,2029000000.0,5719000000.0,3137000000.0,1273000000.0,2000000.0,305000000.0,-3515000000.0,-453000000.0,-236000000.0,-139000000.0,-1.2000000000000006,-394000000.0,-518000000.0,-109000000.0,-123000000.0,-627000000.0,1275000000.0,-1.2000000000000006,-576000000.0,-0.07523111252789288,-0.02663356280329534,0.06714082503556187,0.12887624466571834,-0.05112289809276605,-0.10267452402538531,0.1783783783783784,0.16386913229018493,0.40643927319094675,0.9457861015278463,6321000000.0,562000000.0,912000000.0,604000000.0,1163000000.0,2.8599999999999994,2.8599999999999994,1.0963026655202064
2013-12-31,8762000000.0,1996000000.0,1924000000.0,5399000000.0,3360000000.0,1265000000.0,2000000.0,616000000.0,6115000000.0,925000000.0,635000000.0,263000000.0,3.28,193000000.0,1151000000.0,364000000.0,267000000.0,787000000.0,1267000000.0,3.28,1192000000.0,0.18898809523809523,0.07247203834740927,0.10384300899427637,0.15126737530662307,0.10556950467929696,0.19991355089690943,0.12869991823385118,0.19493049877350777,0.3770833333333333,1.0374220374220373,10721000000.0,1069000000.0,1610000000.0,1208000000.0,2065000000.0,5.489999999999999,5.489999999999999,0.6135593220338983
