report_date,operating_cash_flow,total_debt
2012-09-30,-22318000.0,0.0
2012-12-31,-34498000.0,0.0
2013-03-31,-41167000.0,0.0
2019-09-30,-52537000.0,0.0
2019-12-31,-69709000.0,0.0
2020-03-31,-69786000.0,0.0
2020-06-30,-302587000.0,0.0
2020-09-30,-313157000.0,0.0
