report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,gross_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-04,93441000000.0,38861000000.0,18499000000.0,40527000000.0,52914000000.0,8059000000.0,4044000000.0,13743000000.0,,11103000000.0,,108000000.0,1754000000.0,1.62,2797300000.0,3690000000.0,397000000.0,734000000.0,3293000000.0,12103000000.0,,13.5686,2.8841,1.62,,,,,,0.22872963676909702,2.100708146386291,,,,,,,,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2010-07-04,92300000000.0,39023000000.0,17164000000.0,39449000000.0,52851000000.0,7937000000.0,3715000000.0,12713000000.0,,21803000000.0,,209000000.0,2525000000.0,2.85,2796100000.0,7527000000.0,897000000.0,1445000000.0,6630000000.0,11652000000.0,,12.0469,2.6033,2.85,,,,,,0.22046886530056195,2.273537636914472,,,,,,,,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2010-10-03,98247000000.0,42717000000.0,17414000000.0,40956000000.0,57291000000.0,9182000000.0,2843000000.0,14338000000.0,,32191000000.0,,317000000.0,3327000000.0,4.08,2792000000.0,12561000000.0,1425000000.0,2170000000.0,11136000000.0,12025000000.0,,12.4921,2.7181,4.08,,,,,,0.20989335148627183,2.4530263006776156,,,,,,,,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2011-01-02,102908000000.0,47307000000.0,23072000000.0,46329000000.0,56579000000.0,9156000000.0,7617000000.0,19355000000.0,,-22302000000.0,,-179000000.0,-3993000000.0,-3.7700000000000005,-5596600000.0,-7393000000.0,-335000000.0,-1410000000.0,-7728000000.0,16773000000.0,2.0504,12.9384,2.8012,-3.7700000000000005,,,,,,0.2964527474858163,2.050407420249653,,,42795000000.0,13331000000.0,455000000.0,4.78,4.78,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2011-04-03,108150000000.0,49221000000.0,24011000000.0,48287000000.0,59863000000.0,9255000000.0,8575000000.0,22356000000.0,,11395000000.0,,125000000.0,1034000000.0,1.25,2772700000.0,2316000000.0,436000000.0,755000000.0,1880000000.0,17830000000.0,,13.4181,2.653,1.25,,,,,,0.29784675007934786,2.0499354462538,,,43087000000.0,11918000000.0,472000000.0,4.41,4.41,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2011-07-03,112114000000.0,52673000000.0,20985000000.0,49982000000.0,62132000000.0,13680000000.0,5046000000.0,14974000000.0,,22820000000.0,,254000000.0,1680000000.0,2.25,2778100000.0,6225000000.0,1054000000.0,1532000000.0,5171000000.0,18726000000.0,,15.9638,2.9238,2.25,,,,,,0.30139058778085365,2.5100309745055993,,,44104000000.0,10459000000.0,517000000.0,3.81,3.81,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2011-10-02,111821000000.0,53443000000.0,21686000000.0,50294000000.0,61527000000.0,13031000000.0,5326000000.0,15617000000.0,,33753000000.0,,388000000.0,2589000000.0,3.4,2777600000.0,10847000000.0,1765000000.0,2315000000.0,9082000000.0,18357000000.0,,14.9281,2.6409,3.4,,,,,,0.29835681895753086,2.464400996034308,,,45666000000.0,8405000000.0,588000000.0,3.13,3.13,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2012-01-01,113644000000.0,54316000000.0,22811000000.0,56564000000.0,57080000000.0,12969000000.0,6658000000.0,24542000000.0,,-23298000000.0,,-196000000.0,-2614000000.0,-3.41,-5553100000.0,-5090000000.0,-362000000.0,-1444000000.0,-5452000000.0,19627000000.0,2.3811,18.5875,2.7665,-3.41,,,,,,0.34385073580939035,2.3811319100434,,,44670000000.0,10681000000.0,571000000.0,3.49,3.49,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2012-04-01,116194000000.0,57007000000.0,21198000000.0,54828000000.0,61366000000.0,13010000000.0,6439000000.0,30267000000.0,,11224000000.0,,147000000.0,1135000000.0,1.41,2774900000.0,2795000000.0,502000000.0,773000000.0,2293000000.0,19449000000.0,,18.0044,2.8014,1.41,,,,,,0.3169344588208454,2.68926313803189,,,44499000000.0,11094000000.0,593000000.0,3.6500000000000004,3.6500000000000004,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2012-07-01,115750000000.0,41615000000.0,23848000000.0,55316000000.0,60434000000.0,11525000000.0,6040000000.0,14042000000.0,,22556000000.0,,290000000.0,1762000000.0,1.91,2792400000.0,7523000000.0,1100000000.0,1625000000.0,6423000000.0,17565000000.0,,21.3554,2.8787,1.91,,,,,,0.29064764867458714,1.745010063737001,,,44235000000.0,12346000000.0,629000000.0,3.31,3.31,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2012-09-30,118951000000.0,44791000000.0,23935000000.0,55190000000.0,63761000000.0,11428000000.0,5423000000.0,15486000000.0,,34011000000.0,8286000000.0,425000000.0,2728000000.0,2.96,2805000000.0,12020000000.0,1782000000.0,2630000000.0,10238000000.0,16851000000.0,,22.3938,2.8912,2.96,0.12995404714480638,0.06965893519180166,,,,0.2642838098524176,1.8713599331522874,,,44493000000.0,13502000000.0,666000000.0,2.87,2.87,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2012-12-30,121347000000.0,46116000000.0,24262000000.0,56521000000.0,64826000000.0,11489000000.0,4676000000.0,14911000000.0,,-22225000000.0,2567000000.0,-330000000.0,-2364000000.0,-2.4199999999999995,-5559700000.0,-6942000000.0,-450000000.0,-1362000000.0,-7392000000.0,16165000000.0,1.9008,17.8997,2.8898,-2.4199999999999995,0.03959830932033443,0.02115421065209688,,,,0.2493598247616697,1.9007501442585113,,,45566000000.0,11562000000.0,532000000.0,3.8600000000000008,3.8600000000000008,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2013-03-31,121536000000.0,47228000000.0,22524000000.0,54681000000.0,66855000000.0,11363000000.0,4529000000.0,14855000000.0,,11951000000.0,3497000000.0,125000000.0,764000000.0,1.0,2858800000.0,2277000000.0,586000000.0,1036000000.0,1691000000.0,15892000000.0,,21.9503,3.341,1.0,0.052307232069403936,0.02877336756187467,,,,0.23770847356218683,2.0967856508613036,,,46293000000.0,10960000000.0,510000000.0,3.450000000000001,3.450000000000001,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
2013-06-30,124325000000.0,51273000000.0,23767000000.0,54660000000.0,69665000000.0,9643000000.0,5339000000.0,17307000000.0,,24339000000.0,7330000000.0,243000000.0,1724000000.0,2.0,2878800000.0,7328000000.0,1357000000.0,2026000000.0,5971000000.0,14982000000.0,,18.9144,3.4766,2.0,0.1052178281777076,0.0589583752262216,,,,0.2150577765018302,2.1573189716834267,,21680000000.0,48076000000.0,10508000000.0,463000000.0,3.540000000000001,3.540000000000001,0.34402633,251.71,141.5,8.07511,585702.1,21.8513,6.1326,6.2181
