report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,eps,ebitda,roe,roa,roi,roic,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2010-06-30,12252000000.0,1318000000.0,1604000000.0,12252000000.0,3544000000.0,4021000000.0,231000000.0,82000000.0,367000000.0,180000000.0,131000000.0,74000000.0,1.45,124500000.0,360000000.0,432000000.0,-72000000.0,4252000000.0,1.45,367000000.0,0.050790067720090294,0.014691478942213516,0.029954293176624226,0.04707542329399692,1.1997742663656885,0.8216957605985037,,,,,,,,,
2010-09-30,12602000000.0,1476000000.0,1968000000.0,12602000000.0,3584000000.0,3865000000.0,335000000.0,27000000.0,563000000.0,281000000.0,198000000.0,112000000.0,2.24,125600000.0,647000000.0,601000000.0,46000000.0,4200000000.0,2.24,563000000.0,0.07840401785714286,0.022298047928900173,0.04467544834153309,0.072327852004111,1.171875,0.75,,,,,,,,,
2010-12-31,12968000000.0,1631000000.0,1867000000.0,12968000000.0,3702000000.0,4152000000.0,420000000.0,55000000.0,768000000.0,376000000.0,266000000.0,159000000.0,2.98,126300000.0,811000000.0,846000000.0,-35000000.0,4572000000.0,2.98,768000000.0,0.10156672069151809,0.028994447871684145,0.05922270203578038,0.09282088469905729,1.2350081037277147,0.8735940010712373,,,,,,,,,
2011-03-31,12873000000.0,1395000000.0,1825000000.0,12873000000.0,3800000000.0,3989000000.0,512000000.0,122000000.0,248000000.0,128000000.0,70000000.0,57000000.0,1.0,129000000.0,241000000.0,293000000.0,-52000000.0,4501000000.0,1.0,248000000.0,0.03368421052631579,0.009943292161889225,0.019265128563660375,0.02987591856402843,1.1844736842105263,0.7643835616438356,965000000.0,1946000000.0,-113000000.0,1946000000.0,665000000.0,7.67,7.67,2.3129496402877696,2.9263157894736844
2011-06-30,13144000000.0,1435000000.0,1653000000.0,13144000000.0,3805000000.0,4379000000.0,546000000.0,166000000.0,390000000.0,184000000.0,139000000.0,80000000.0,1.42,129400000.0,425000000.0,466000000.0,-41000000.0,4925000000.0,1.42,390000000.0,0.04835742444152431,0.01399878271454656,0.029671332927571514,0.044673539518900345,1.2943495400788436,0.868118572292801,969000000.0,1969000000.0,-82000000.0,1969000000.0,673000000.0,7.640000000000001,7.640000000000001,2.5012696800406298,2.925705794947994
2011-09-30,10857000000.0,915000000.0,1148000000.0,10857000000.0,3608000000.0,3226000000.0,497000000.0,17000000.0,605000000.0,289000000.0,212000000.0,124000000.0,2.23,129800000.0,677000000.0,699000000.0,-22000000.0,3723000000.0,2.23,605000000.0,0.08009977827050997,0.026618771299622365,0.05572441742654509,0.08252625835493112,1.0318736141906875,0.7970383275261324,977000000.0,2011000000.0,-150000000.0,2011000000.0,687000000.0,7.63,7.63,1.851317752362009,2.9272197962154296
2011-12-31,13534000000.0,1491000000.0,1642000000.0,13534000000.0,3889000000.0,,653000000.0,29000000.0,-430000000.0,-214000000.0,-137000000.0,-93000000.0,-1.6800000000000002,-258000000.0,-532000000.0,-574000000.0,-1106000000.0,653000000.0,-1.6800000000000002,-430000000.0,-0.05502699922859347,-0.015812028964090438,-0.031771833899807894,-0.09467195068251871,0.16790948830033428,0.9080389768574909,387000000.0,813000000.0,-1221000000.0,813000000.0,284000000.0,2.97,2.97,0.8031980319803198,2.862676056338028
2012-03-31,13580000000.0,1359000000.0,1345000000.0,13580000000.0,3977000000.0,,585000000.0,27000000.0,238000000.0,121000000.0,72000000.0,52000000.0,0.91,132200000.0,185000000.0,321000000.0,-136000000.0,585000000.0,0.91,238000000.0,0.03042494342469198,0.008910162002945508,0.01752577319587629,0.052170100832968,0.14709580085491578,1.0104089219330854,380000000.0,803000000.0,-1305000000.0,803000000.0,286000000.0,2.88,2.88,0.7285180572851806,2.8076923076923075
2012-06-30,13749000000.0,1367000000.0,1622000000.0,13749000000.0,4010000000.0,,670000000.0,28000000.0,409000000.0,193000000.0,145000000.0,85000000.0,1.46,132700000.0,439000000.0,591000000.0,-152000000.0,670000000.0,1.46,409000000.0,0.04812967581047382,0.01403738453705724,0.029747618008582444,0.08739316239316239,0.16708229426433915,0.842786683107275,389000000.0,822000000.0,-1416000000.0,822000000.0,292000000.0,2.92,2.92,0.8150851581508516,2.815068493150685
2012-09-30,13964000000.0,1361000000.0,1411000000.0,13964000000.0,4095000000.0,,394000000.0,41000000.0,647000000.0,315000000.0,219000000.0,136000000.0,2.37,133100000.0,768000000.0,868000000.0,-100000000.0,394000000.0,2.37,647000000.0,0.07692307692307693,0.02255800630191922,0.04633342881695789,0.14413009578970817,0.09621489621489622,0.9645641389085755,415000000.0,864000000.0,-1494000000.0,864000000.0,299000000.0,3.06,3.06,0.45601851851851855,2.8896321070234112
