report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,3293755000000.0,3302126000000.0,-8451000000.0,30477000000.0,1115813353.0,-11530000000.0,36657000000.0,,,,-32903000000.0,0.0,,,0.017,,1.3643355815879779,-0.0035005639460129853,-0.0,,,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2010-06-30,3256267000000.0,3257678000000.0,-1482000000.0,27844000000.0,1116149329.0,-12748000000.0,71842000000.0,,,,-49639000000.0,0.0,,,0.0039,,8.601889338731445,-0.003914912382799077,-0.0,,,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2010-09-30,,,,,,,,,,,,0.0,,,0.0024,,,,,,,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2010-12-31,3221972000000.0,3224489000000.0,-2599000000.0,17297000000.0,,10264000000.0,29362000000.0,,,,,0.0,0.1671,,0.0022,,-3.9492112350904196,0.0031856266907347424,-0.0,,,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2011-03-31,3227042000000.0,3235460000000.0,-8499000000.0,19831000000.0,,-6471000000.0,32155000000.0,,-1.52,5698000000.0,,0.0,,,0.0029,-1.52,0.7613836921990822,-0.002005241952227458,-0.0,,,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2011-06-30,3196112000000.0,3201199000000.0,-5168000000.0,14274000000.0,,-9364000000.0,63957000000.0,,-2.43,5714000000.0,,0.0,,,0.0025,-2.43,1.811919504643963,-0.002929809718808352,-0.0,,,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2011-09-30,3213877000000.0,3221668000000.0,-7853000000.0,24307000000.0,,-14449000000.0,94565000000.0,,-3.74,5730000000.0,-6714000000.0,0.0,,,0.0019,-3.74,1.839933783267541,-0.004495816112439897,-0.0,-20020000000.0,220039000000.0,,,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2011-12-31,3211484000000.0,3216055000000.0,-4624000000.0,17539000000.0,,13429000000.0,-67015000000.0,,3.08,-11405000000.0,-8524000000.0,0.0,2.1773,,0.0017,3.08,-2.9041955017301038,0.0041815559411163186,-0.0,-16855000000.0,123662000000.0,-4.61,-4.61,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2012-03-31,3209940000000.0,3209672000000.0,210000000.0,22049000000.0,,2719000000.0,28587000000.0,,-0.02,5761000000.0,-114000000.0,0.0,,,0.0025,-0.02,12.947619047619048,0.0008470563312709895,0.0,-7665000000.0,120094000000.0,-3.1100000000000003,-3.1100000000000003,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
2012-06-30,3195620000000.0,3192850000000.0,2720000000.0,24728000000.0,,7833000000.0,56330000000.0,,0.35,5893000000.0,24135000000.0,0.0,,0.8669,0.0022,0.35,2.879779411764706,0.0024511675355643036,0.0,9532000000.0,112467000000.0,-0.3300000000000002,-0.3300000000000002,1.7333164,15.99,3.6,4.30144,9438.415,0.6544,0.114,0.0592
