report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,84910000000.0,54518000000.0,26424000000.0,,45710000000.0,3746000000.0,2249000000.0,8155000000.0,46445000000.0,,18168000000.0,14242000000.0,4747000000.0,1.0,8955000000.0,18469000000.0,1219000000.0,17250000000.0,5995000000.0,,14.8589,4.3139,1.0,18168000000.0,0.31157295996499673,0.16773053821693557,0.3066422650446765,,0.39117235439767467,0.21396773053821694,0.35137800986364953,0.37140704058563895,0.39117235439767467,0.13115292058630496,2.0632001211020286,,,,,,,,,,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2010-06-30,86113000000.0,55676000000.0,26147000000.0,,46175000000.0,4939000000.0,1000000000.0,5505000000.0,62484000000.0,,24098000000.0,18760000000.0,6253000000.0,2.0,8927000000.0,24073000000.0,1977000000.0,22096000000.0,5939000000.0,2.1293,10.7493,3.2273,2.0,24098000000.0,0.4062804547915539,0.21785328579889215,0.3002368606363229,,0.38566673068305485,0.27984160347450443,0.4624093333845032,0.3536265283912682,0.38566673068305485,0.12861938278289117,2.1293456228247982,,,,,,,,,,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2010-09-30,91540000000.0,59581000000.0,25857000000.0,44598000000.0,46942000000.0,9665000000.0,1000000000.0,8161000000.0,16195000000.0,,7116000000.0,5410000000.0,1820000000.0,0.0,8695000000.0,8194000000.0,564000000.0,7630000000.0,10665000000.0,,10.229,3.2038,0.0,7116000000.0,0.1152486046610711,0.05909984706139393,0.3340537202840383,,0.43939487496140783,0.07773650863010706,0.12352665474681897,0.47113306576103736,0.43939487496140783,0.22719526223850708,2.304250299725413,,,,,,,,,,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2010-12-31,92306000000.0,59684000000.0,24312000000.0,43825000000.0,48481000000.0,9671000000.0,0.0,4023000000.0,36148000000.0,,15281000000.0,12044000000.0,3683000000.0,1.0,8646000000.0,12380000000.0,1055000000.0,11325000000.0,9671000000.0,,11.6095,3.5805,1.0,15281000000.0,0.248427218910501,0.13047905878274435,0.33318579174504814,,0.42273431448489546,0.1655472016986978,0.2627768606410786,0.3132953413743499,0.42273431448489546,0.19948020874156885,2.4549193813754524,161272000000.0,50456000000.0,64663000000.0,,58301000000.0,64663000000.0,4.0,4.0,0.14956002659944637,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2011-03-31,99727000000.0,66263000000.0,24042000000.0,46275000000.0,53452000000.0,11915000000.0,0.0,7021000000.0,52576000000.0,,20990000000.0,17276000000.0,4476000000.0,2.0,8609000000.0,21052000000.0,1713000000.0,19339000000.0,11915000000.0,,9.7887,3.1092,2.0,20990000000.0,0.32320586694604503,0.17323292588767336,0.32859099208764453,,0.3992315885575167,0.2104745956461139,0.321110040234369,0.3678294278758369,0.3992315885575167,0.22291027463892837,2.7561350969137344,167403000000.0,53490000000.0,67485000000.0,,60390000000.0,67485000000.0,5.0,5.0,0.1765577535748685,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2011-06-30,108704000000.0,74918000000.0,28774000000.0,51621000000.0,57083000000.0,11921000000.0,0.0,9610000000.0,-34976000000.0,,-16226000000.0,-11580000000.0,-5058000000.0,-1.0,-17357000000.0,-14632000000.0,-977000000.0,-15609000000.0,11921000000.0,2.6037,9.4709,3.1347,-1.0,-16226000000.0,-0.20286249846714433,-0.10652781866352665,0.33108417200365964,,0.46391811527904847,-0.14926773623785694,-0.23514578864993332,0.4462774473924977,0.46391811527904847,0.2088362559781371,2.603669979842914,69943000000.0,23150000000.0,27161000000.0,,22685000000.0,27161000000.0,2.0,2.0,0.4389013659290895,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2011-09-30,107415000000.0,75271000000.0,25543000000.0,48024000000.0,59391000000.0,11927000000.0,,12881000000.0,17372000000.0,,7203000000.0,5738000000.0,1568000000.0,0.0,8490000000.0,8493000000.0,436000000.0,8057000000.0,11927000000.0,,8.9467,2.9535,0.0,7203000000.0,0.096613965078884,0.053418982451240514,0.33030163481464425,,0.4146327423440018,0.06705767350928642,0.10099834543873917,0.46379230946350447,0.4146327423440018,0.20082167331750603,2.946834749246369,71120000000.0,23478000000.0,27248000000.0,,23112000000.0,27248000000.0,2.0,2.0,0.43772019964768055,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2012-03-31,118010000000.0,76860000000.0,26170000000.0,49351000000.0,68659000000.0,11938000000.0,,6388000000.0,55664000000.0,,21571000000.0,17470000000.0,4438000000.0,2.0,8502000000.0,23949000000.0,1683000000.0,22266000000.0,11938000000.0,,11.6063,3.7099,2.0,21571000000.0,0.25444588473470336,0.1480383018388272,0.31384736993388906,,0.3875215579189422,0.18278959410219472,0.2676402347481916,0.40000718597298074,0.3875215579189422,0.17387378202420659,2.9369507069163165,90636000000.0,28904000000.0,33538000000.0,,34053000000.0,33538000000.0,3.0,3.0,0.3559544397399964,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2012-06-30,121271000000.0,85084000000.0,32688000000.0,54908000000.0,66363000000.0,10713000000.0,,6938000000.0,73723000000.0,,21763000000.0,16978000000.0,5289000000.0,2.0,8506000000.0,31626000000.0,2305000000.0,29321000000.0,10713000000.0,2.6029,15.1213,3.4824,2.0,21763000000.0,0.2558353299278212,0.1400004947596705,0.23029448069123612,,0.2951995984970769,0.17945757848125274,0.28235767294618297,0.3977184867680371,0.2951995984970769,0.16143031508521313,2.602912383749388,111783000000.0,28606000000.0,34311000000.0,,44035000000.0,34311000000.0,3.0,3.0,0.3122322287313107,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
2012-09-30,121876000000.0,84051000000.0,31402000000.0,53040000000.0,68836000000.0,9714000000.0,,5036000000.0,16008000000.0,11840000000.0,5308000000.0,4466000000.0,1068000000.0,0.0,8494000000.0,8484000000.0,603000000.0,7881000000.0,9714000000.0,,15.8134,3.4324,0.0,5308000000.0,0.06487884246615143,0.036643801897010074,0.27898550724637683,0.7396301849075462,0.331584207896052,0.04355246315927664,0.06757479312539784,0.49231634182908546,0.331584207896052,0.14111801964088558,2.6766129545888795,162767000000.0,44652000000.0,55845000000.0,,67525000000.0,55845000000.0,4.0,4.0,0.1739457426806339,1.105338,555.45,344.79,37.27256,2773175.8,23.2528,10.7635,9.0789
