report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-09-30,25360500000.0,4785100000.0,3333300000.0,,11469400000.0,,740700000.0,636800000.0,16285100000.0,,1282500000.0,1906100000.0,-874500000.0,7.0,,2420900000.0,1252200000.0,740700000.0,1.4356,0.8397,7.1738,7.0,2534700000.0,0.16619003609604688,0.07516019005934425,0.1170456429496902,,0.07875297050678227,0.050570769503755844,0.10503599479119745,0.1556453445173809,0.06458053603501492,1.4355443554435545,,,,,,,,,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2018-12-31,30666900000.0,5226000000.0,3729900000.0,,11603700000.0,,1092800000.0,260700000.0,4327400000.0,,277400000.0,139100000.0,62700000.0,0.0,259500000.0,303100000.0,359100000.0,1092800000.0,,0.5727,10.5199,0.0,636500000.0,0.01198755569344261,0.004535835053428941,0.03214401257105883,,0.06410315662984702,0.009045583348822345,0.021848540936478558,0.14708601007533392,0.09417685738169722,1.4011099493284003,,,,,,,,,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2019-03-31,30693000000.0,5214000000.0,4046600000.0,30693000000.0,11640800000.0,9373100000.0,1422400000.0,154200000.0,8947400000.0,,582700000.0,299500000.0,109900000.0,1.15,259400000.0,665000000.0,742800000.0,10795500000.0,,0.5863,11.9865,1.15,1325500000.0,0.025728472269947084,0.009757925259831232,0.03347341127031316,,0.06512506426447906,0.018984784804352783,0.0259713054291483,0.1481435947873125,0.9273847158270909,1.288489101962141,,,,,,,,,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2019-06-30,30812100000.0,5193700000.0,3590500000.0,,11827700000.0,,779100000.0,179100000.0,13637400000.0,,1004100000.0,552100000.0,187500000.0,2.13,259100000.0,1399600000.0,1128100000.0,779100000.0,,0.5386,11.5742,2.13,2132200000.0,0.046678559652341536,0.017918285348937593,0.040484256529837066,,0.07362840424127766,0.03258784698219206,0.07964749182980614,0.15634945077507442,0.06587079482908766,1.4465116279069767,43197300000.0,2896800000.0,3146700000.0,,6628900000.0,10.28,10.28,0.11753081205026475,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2019-09-30,30156700000.0,4974300000.0,3435100000.0,,11669900000.0,,561100000.0,151600000.0,-8623200000.0,,-369800000.0,-127800000.0,-83300000.0,0.050000000000000266,,-57500000.0,-718800000.0,561100000.0,1.448,0.5129,10.8704,0.050000000000000266,-1088600000.0,-0.010951250653390346,-0.0042378642225442435,0.014820484274979126,,0.04288431208831988,-0.012262614941289995,-0.030234649660698224,0.12624083866777994,0.04808096041954087,1.4480801141160373,18289000000.0,862900000.0,1494400000.0,,3005600000.0,3.33,3.33,0.1866848549374501,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2019-12-31,30936800000.0,4952600000.0,3446800000.0,,11825200000.0,,565100000.0,156400000.0,4423700000.0,,252700000.0,138500000.0,46500000.0,0.53,259900000.0,431200000.0,381200000.0,565100000.0,,0.6027,12.8501,0.53,633900000.0,0.011712275479484491,0.004476868971580771,0.03130863304473631,,0.05712412686212899,0.008168265625404049,0.020394986400652123,0.14329633564663063,0.047787775259615056,1.4368689799234071,18385300000.0,862300000.0,1469700000.0,,3003000000.0,3.8600000000000003,3.8600000000000003,0.18817848817848817,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2020-03-31,30960300000.0,5492200000.0,3139800000.0,,11482400000.0,,432000000.0,640200000.0,8871000000.0,1613800000.0,527100000.0,286600000.0,104300000.0,1.1,260100000.0,598800000.0,755700000.0,432000000.0,,0.401,8.5929,1.1,1282800000.0,0.024959938688775867,0.009257016243382654,0.03230751888174952,0.18191861120505015,0.05941832938789313,0.017025028827240045,0.04424058282414557,0.14460601961447414,0.03762279662788267,1.7492196955220078,18308900000.0,849400000.0,1414100000.0,,2960300000.0,3.8100000000000005,3.8100000000000005,0.14593115562611897,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2020-06-30,30277600000.0,5005900000.0,2786900000.0,,11713100000.0,,213100000.0,291500000.0,13107300000.0,2383800000.0,798700000.0,465100000.0,123500000.0,1.79,260200000.0,1339000000.0,1121400000.0,213100000.0,,0.4126,9.4426,1.79,1920100000.0,0.03970767772835543,0.015361191111580838,0.035484043243078287,0.18186811929230276,0.06093550922005295,0.026379237456073137,0.06697020006372524,0.14649088675776095,0.01819330493208459,1.7962251964548424,17778800000.0,762400000.0,1208700000.0,,2748200000.0,3.4700000000000006,3.4700000000000006,0.07754166363437887,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2020-09-30,28779700000.0,4944700000.0,2928900000.0,,10630600000.0,,222900000.0,251100000.0,-8823200000.0,-800400000.0,-1834700000.0,-1581100000.0,-110800000.0,-6.09,,-298300000.0,-771300000.0,222900000.0,1.6883,0.5131,,-6.09,-2606000000.0,-0.14873102176735087,-0.05493802923588502,0.17919802339287333,0.09071538670777042,0.20794042977604496,-0.06374979586305625,-0.1690422444372783,0.29535769335388523,0.020967772280021824,1.6882447335177029,17578800000.0,-690900000.0,-256200000.0,,1230800000.0,-2.6699999999999995,-2.6699999999999995,0.18110172245693856,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
2020-12-31,28836400000.0,4863800000.0,3049100000.0,,10963000000.0,,168700000.0,253800000.0,4401500000.0,752900000.0,233000000.0,152000000.0,50300000.0,0.57,264800000.0,719400000.0,364500000.0,168700000.0,,0.6523,,0.57,597500000.0,0.01386481802426343,0.0052711156732463136,0.03453368169942065,0.17105532204930138,0.052936498920822445,0.008080065472805204,0.02093121445960635,0.13574917641713052,0.015388123688771321,1.5951592273129775,17556600000.0,-677400000.0,-275900000.0,3950100000.0,1194400000.0,-2.6299999999999994,-2.6299999999999994,0.14124246483590086,0.5515093,39.3,26.84,2.38042,13297.207,43.6117,0.9057,0.6835
