report_date,total_assets,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-06-30,321267000.0,28410000.0,292857000.0,,135768000.0,89400000.0,,22717000.0,,14854000.0,0.58,39396000.0,19409000.0,1516000.0,3189000.0,17893000.0,0.0,,23.6317,5.8461,0.58,,0.07757028174160085,0.07071065500035796,0.25410514541387025,,,,0.2001454138702461,,0.0,,,,,,,,,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2011-09-30,339200000.0,33367000.0,305833000.0,,157622000.0,135964000.0,,36161000.0,,23706000.0,0.91,39539000.0,46791000.0,2517000.0,4988000.0,44274000.0,0.0,,21.975,5.7593,0.91,,0.11823773104929815,0.10660672169811321,0.2659601070871701,,,,0.32563031390662234,,0.0,,,,,,,,,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2011-12-31,349458000.0,37019000.0,312439000.0,,169620000.0,181099000.0,,47704000.0,,31029000.0,1.2,39608000.0,65478000.0,3160000.0,6781000.0,62318000.0,0.0,6.7603,23.4597,6.2664,1.2,,0.15268260364423136,0.13650853607586605,0.26341393381520606,,,,0.3441101276097604,,0.0,,,,,,,,,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2012-03-31,274510000.0,25593000.0,248917000.0,,119809000.0,50735000.0,,13493000.0,,9255000.0,0.35,38695000.0,13374000.0,607000.0,1854000.0,12767000.0,0.0,,28.5861,7.7597,0.35,,0.05420682396140079,0.04915303631925977,0.26595052724943335,,,,0.2516408790775599,,0.0,457198000.0,120075000.0,,137252000.0,,,3.04,3.04,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2012-06-30,289728000.0,27993000.0,261735000.0,,129595000.0,99560000.0,,26122000.0,,17826000.0,0.69,38067.0,25895000.0,1044000.0,3815000.0,24851000.0,0.0,,20.5998,5.6453,0.69,,0.09980323609757961,0.09016042633090347,0.26237444756930495,,,,0.24960827641623143,,0.0,467358000.0,123480000.0,,144210000.0,,,3.15,3.15,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2012-09-30,304928000.0,32994000.0,271934000.0,,150101000.0,147817000.0,,39604000.0,,25553000.0,1.05,37892.0,53270000.0,4955000.0,5896000.0,48315000.0,0.0,,22.8724,6.2569,1.05,,0.1456382798767348,0.12987984048693463,0.26792588132623446,,,,0.3268568567891379,,0.0,479211000.0,126923000.0,,148251000.0,,,3.29,3.29,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2012-12-31,279841000.0,37124000.0,242717000.0,,128908000.0,-99908000.0,,-19150000.0,,-26017000.0,-0.4999999999999998,-954959.0,-10957000.0,-1453000.0,-3332000.0,-12410000.0,0.0,5.2174,21.9045,6.8961,-0.4999999999999998,,-0.0788984702348826,-0.06843171658191616,0.19167634223485608,,,,0.12421427713496416,,0.0,198204000.0,60069000.0,,73523000.0,,,1.59,1.59,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2013-03-31,282881000.0,30380000.0,252501000.0,,125919000.0,55557000.0,,15326000.0,,8987000.0,0.0,37673000.0,10279000.0,794000.0,2569000.0,9485000.0,0.0,,22.5124,7.1609,0.0,,0.06069678931964626,0.05417825870242257,0.2758608276184819,,,,0.1707255611354105,,0.0,203026000.0,61902000.0,,70241000.0,,,1.2400000000000002,1.2400000000000002,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2013-06-30,,,,,,121116000.0,,34669000.0,,21155000.0,0.0,37746000.0,30249000.0,7416000.0,7073000.0,22833000.0,0.0,,26.2653,8.491,0.0,,,,0.28624624327091386,,,,0.18852174774596256,,,224582000.0,70449000.0,,68223000.0,,,0.5500000000000002,0.5500000000000002,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
2013-09-30,,,,,,178291000.0,,52883000.0,,29388000.0,1.0,37820000.0,67329000.0,9357000.0,,57972000.0,0.0,,30.7229,9.925,1.0,,,,0.2966105972819716,,,,0.32515382156138,,,255056000.0,83728000.0,,77880000.0,,,0.5000000000000001,0.5000000000000001,,,1.0173405,232.835,156.17,0.44765,6095.1113,24.7139,5.8807,7.2023
