report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-11-30,659407000.0,278894000.0,85512000.0,116849000.0,542558000.0,,202351000.0,,173289000.0,59429000.0,41601000.0,,17953000.0,0.88,47487000.0,22184000.0,8021000.0,9392000.0,14163000.0,0.0,,26.3995,6.2351,0.88,68821000.0,0.07667567338422805,0.0630885022451991,0.2400671710264356,0.3429473307595981,0.09012491526477577,0.10953483314226313,0.08173051953672766,0.3971458084471605,0.0,3.2614603798297317,,,,,,,,,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2011-02-28,683070000.0,298452000.0,91327000.0,124883000.0,558187000.0,,203105000.0,,350924000.0,117522000.0,86855000.0,,30924000.0,1.83,47495000.0,72481000.0,15433000.0,18758000.0,57048000.0,0.0,,29.363,7.122,1.83,136280000.0,0.15560197568198472,0.1271538788118348,0.24750373300201753,0.3348930252704289,0.1720497167201019,0.2105423451280664,0.16256511381381725,0.38834619461763803,0.0,3.267949237355875,,,,,,,,,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2011-05-31,684631000.0,298490000.0,97277000.0,130194000.0,554437000.0,,208668000.0,,534571000.0,179345000.0,130166000.0,,49608000.0,2.75,47418000.0,136996000.0,22806000.0,27950000.0,114190000.0,0.0,,29.9826,7.2293,2.75,207295000.0,0.23477148891578303,0.19012577578286696,0.2434961866618279,0.33549332081238975,0.26195863173008527,0.32347227908671317,0.21361054004051847,0.38777823712846377,0.0,3.068454002487741,,,,,,,,,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2011-08-31,657440000.0,273170000.0,109423000.0,142252000.0,515188000.0,,181685000.0,,-332274000.0,-117961000.0,-87576000.0,,-30573000.0,-1.85,-95045000.0,-24525000.0,-16917000.0,-19253000.0,-41442000.0,0.0,2.4965,23.5521,5.545,-1.85,-137214000.0,-0.16998843140756384,-0.13320759308834265,0.26356561151338953,0.3550112256751958,-0.17942473837916767,-0.22896690140298298,0.12472236768450135,0.41295436898463317,0.0,2.4964586969832667,726510000.0,171046000.0,238335000.0,143959000.0,275182000.0,3.61,3.61,0.0,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2011-11-30,663506000.0,287561000.0,95281000.0,127141000.0,536365000.0,,193754000.0,,196448000.0,66753000.0,45544000.0,,21486000.0,0.99,46103000.0,54754000.0,6054000.0,8403000.0,48700000.0,0.0,,24.0282,5.6087,0.99,75156000.0,0.08491232649408519,0.06864142901495993,0.23183743280664604,0.3397998452516697,0.10060647529939443,0.12445442935314571,0.2479027528913504,0.3825745235380355,0.0,3.018030877089871,749669000.0,174989000.0,245659000.0,178496000.0,281517000.0,3.7199999999999998,3.7199999999999998,0.0,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2012-02-29,663824000.0,292037000.0,90694000.0,119800000.0,,,184998000.0,,395819000.0,133870000.0,92290000.0,,42353000.0,2.01,45972000.0,98459000.0,10644000.0,16692000.0,87815000.0,0.0,,22.1866,5.0758,2.01,150562000.0,,0.13902781460146063,0.23316212713386675,0.3382101415040713,0.20166489912988986,,0.2218564545916189,0.38038093168847376,,3.2200255805235187,794564000.0,180424000.0,262007000.0,209263000.0,295799000.0,3.8999999999999995,3.8999999999999995,0.0,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2012-05-31,694519000.0,328695000.0,106190000.0,134133000.0,,,228530000.0,,598130000.0,202363000.0,140270000.0,,63349000.0,3.05,45971000.0,174896000.0,16863000.0,25046000.0,158033000.0,0.0,,26.1421,5.994,3.05,227409000.0,,0.20196711681033924,0.23451423603564442,0.33832611639610116,0.2913714383623774,,0.2642117934228345,0.3801999565311889,,3.09534796120162,858123000.0,190528000.0,285025000.0,253106000.0,315913000.0,4.199999999999999,4.199999999999999,0.0,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2012-08-31,694143000.0,299125000.0,113176000.0,141879000.0,552264000.0,,189044000.0,,-384604000.0,-129996000.0,-89295000.0,,-41292000.0,-1.9299999999999997,-92236000.0,-96144000.0,-11041000.0,-16362000.0,-107185000.0,0.0,2.643,21.7331,5.0924,-1.9299999999999997,-146358000.0,-0.1616889748381209,-0.12864064032915407,0.23217387234662146,0.3379996047883017,-0.18727553256317503,-0.23538742340619703,0.27868924920177635,0.3805420640450957,0.0,2.6430073513819186,805793000.0,188809000.0,272990000.0,187363000.0,306769000.0,4.119999999999999,4.119999999999999,0.0,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2012-11-30,711856000.0,320046000.0,95333000.0,125343000.0,,,210712000.0,,211085000.0,71085000.0,49769000.0,,21744000.0,1.11,44984000.0,50636000.0,6097000.0,8917000.0,44539000.0,0.0,,21.1836,4.9842,1.11,80002000.0,,0.06991442089411341,0.23577705663595233,0.336760072956392,0.09985867928345059,,0.21100030793282326,0.37900371888101947,,3.357137612369274,820430000.0,193034000.0,277322000.0,183202000.0,311615000.0,4.24,4.24,0.0,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
2013-02-28,669978000.0,284561000.0,94813000.0,122798000.0,,,151314000.0,,424167000.0,127248000.0,94307000.0,,33726000.0,2.0,44788000.0,97038000.0,9084000.0,18010000.0,87954000.0,0.0,,22.2287,5.0853,2.0,145258000.0,,0.14076133843200822,0.22233459934412625,0.29999504911980424,0.18992862452199924,,0.2073570079709171,0.34245474070354365,,3.0012867433790724,848778000.0,195051000.0,270700000.0,183341000.0,306311000.0,4.23,4.23,0.0,0.7045578,474.79,185.0,1.23766,8446.769,14.3703,6.4553,3.5179
