report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,11118118000.0,3609038000.0,2374934000.0,7623981000.0,5383078000.0,4483221000.0,175010000.0,512837000.0,4598590000.0,1918765000.0,758053000.0,407319000.0,254836000.0,116851000.0,0.92,441817000.0,426338000.0,168474000.0,386451000.0,257864000.0,4658231000.0,,0.92,1144504000.0,0.07566656102698122,0.03663560685360598,0.08857475878475794,0.4172507225040719,0.16484465890631694,0.0681817732101782,0.07549344413163663,0.056074579381940985,0.24888150498304915,0.865347111819669,1.5196371772857689,,,,,,,,,,,
2011-12-31,11598143000.0,3568844000.0,2563156000.0,8093361000.0,5393212000.0,4479080000.0,128054000.0,375056000.0,6129825000.0,2563364000.0,1005449000.0,536810000.0,335944000.0,115833000.0,1.22,438785000.0,720424000.0,279848000.0,510688000.0,440576000.0,4607134000.0,1.3925,1.22,1516137000.0,0.09953437765843434,0.04628413358931684,0.08757346253767441,0.41817898553384475,0.16402572667245802,0.08669051588689672,0.10054142126682417,0.07187415627689209,0.24733772986993918,0.854246782807722,1.3923631647859123,,,,,,,,,,,
2012-03-31,11934195000.0,3739138000.0,2111280000.0,8154840000.0,5657828000.0,4906371000.0,443567000.0,258038000.0,1592408000.0,666273000.0,246372000.0,129079000.0,82409000.0,28844000.0,0.3,432365000.0,-109129000.0,35745000.0,125821000.0,-144874000.0,5349938000.0,1.3925,0.3,372193000.0,0.0228142318925213,0.010815894997526016,0.08105899995478545,0.41840596128630353,0.15471663041130163,0.020644207673831374,0.022381653098367097,-0.0909779403268509,0.23372967229503996,0.9455815906740184,1.7710289492630062,,,,,,,,,,,
2012-06-30,11601971000.0,3751927000.0,2164012000.0,8402850000.0,3199121000.0,5165931000.0,406130000.0,314330000.0,3283945000.0,1365452000.0,504180000.0,267629000.0,158075000.0,79687000.0,0.62,428380000.0,192638000.0,98918000.0,250956000.0,93720000.0,5572061000.0,,0.62,755136000.0,0.08365704204373639,0.023067546022999024,0.08149618827355513,0.4157962450650057,0.15352875885558376,0.043456409260116236,0.057481420406052454,0.02853884580892798,0.22994782190322918,1.7417474987660673,1.7337828995402984,15604768000.0,1340837000.0,2514054000.0,6513854000.0,647286000.0,3787970000.0,831264000.0,3.0599999999999996,3.0599999999999996,1.4709886825925231,3.0243749278207646
2012-09-30,11706418000.0,3750734000.0,2169573000.0,8082182000.0,3624236000.0,4846595000.0,416671000.0,332316000.0,5093717000.0,2153977000.0,834093000.0,478886000.0,234126000.0,132449000.0,1.13,422775000.0,652337000.0,159917000.0,424118000.0,492420000.0,5263266000.0,,1.13,1258211000.0,0.13213433120801185,0.040907987396315425,0.09401503852687536,0.4228693898777651,0.1637493798732831,0.07125091552343339,0.09385010546270482,0.09667203733540752,0.24701234874257835,1.452241520695672,1.7287890289932628,16099895000.0,1412404000.0,2590094000.0,6749066000.0,881842000.0,3901677000.0,810554000.0,3.2699999999999996,3.2699999999999996,1.3489753252255376,3.195461375799762
2012-12-31,11931897000.0,3902717000.0,2193503000.0,8576069000.0,3355828000.0,5337196000.0,298987000.0,349969000.0,-3173960000.0,-1277398000.0,-475296000.0,-234744000.0,-165911000.0,-79835000.0,-0.5299999999999998,-863284000.0,213172000.0,10745000.0,-254291000.0,202427000.0,5636183000.0,1.7789,-0.5299999999999998,-729587000.0,-0.06995114171524881,-0.019673652898612854,0.07395934416312745,0.40246190878271937,0.149748579062118,-0.039834068296097425,-0.052857586584358046,-0.06377742630656971,0.22986647594802706,1.679520821686928,1.7792166229086535,6796110000.0,640850000.0,1109349000.0,2908304000.0,643693000.0,1655953000.0,308699000.0,1.5199999999999998,1.5199999999999998,3.403588749197592,3.5936268015121526
2013-03-31,11885032000.0,3950394000.0,2282370000.0,8997840000.0,2887192000.0,5672142000.0,485486000.0,294421000.0,1631490000.0,693490000.0,213847000.0,106882000.0,77987000.0,31714000.0,0.27,399013000.0,87561000.0,53075000.0,128909000.0,34486000.0,6157628000.0,1.7789,0.27,342756000.0,0.037019359987143216,0.008992992193878821,0.06551189403551355,0.42506543098639893,0.13107466181220848,0.01799296796171857,0.023643035461181097,0.02113773299254056,0.21008771123328981,2.1327393536695864,1.7308297953443132,6835192000.0,618653000.0,1076824000.0,2935521000.0,823053000.0,1626516000.0,304277000.0,1.4899999999999998,1.4899999999999998,3.7857776990819643,3.5389595664476774
2013-12-31,15236341000.0,4471260000.0,2956070000.0,12276434000.0,2959907000.0,7586459000.0,439797000.0,291293000.0,6909143000.0,3040343000.0,1135530000.0,623711000.0,313336000.0,120808000.0,1.58,394454000.0,1106563000.0,334580000.0,515997000.0,771983000.0,8026256000.0,1.5084,1.58,1651527000.0,0.2107197962638691,0.04093574697494628,0.09027327991329749,0.4400463270191397,0.164351787189815,0.07452773602271044,0.10336001750565689,0.11173353916686918,0.23903500043348358,2.711658170341163,1.512569052830278,10460390000.0,974735000.0,1708174000.0,4610412000.0,1501316000.0,2522907000.0,459538000.0,2.45,2.45,3.1813523050988404,3.717155055729885
2019-03-31,31906600000.0,6262300000.0,4157600000.0,20015000000.0,11891600000.0,13086900000.0,400000.0,229800000.0,2495500000.0,805200000.0,24000000.0,-25000000.0,131200000.0,-89500000.0,-0.05,515000000.0,-39700000.0,53100000.0,500500000.0,-92800000.0,13087300000.0,1.388,-0.05,524500000.0,-0.0021023243297790036,-0.000783536948468342,-0.010018032458425166,0.3226607894209577,0.009617311160088158,0.0007521954705296083,0.0009608109244202106,-0.03718693648567421,0.21017832097775996,1.1005499680446702,1.5062295555127958,7862173000.0,470849000.0,898081000.0,3261635000.0,916096000.0,1789196000.0,356612000.0,1.27,1.27,7.314626234353307,2.5183701053245544
