report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-06-30,4422900000.0,1266500000.0,500700000.0,3213900000.0,1209000000.0,,,245700000.0,1060800000.0,390500000.0,-65000000.0,-153300000.0,85300000.0,-45600000.0,,20000000.0,0.0,,,,,-65000000.0,-0.12679900744416872,-0.034660516855456826,-0.14451357466063347,0.3681184012066365,-0.061274509803921566,-0.014696240023513983,-0.053763440860215055,-0.061274509803921566,0.0,2.529458757739165,,,,,,,,,,,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2017-09-30,4552600000.0,1403400000.0,559600000.0,3280800000.0,1271800000.0,,,303000000.0,1710400000.0,644400000.0,31000000.0,-125200000.0,115400000.0,-41200000.0,0.0,83900000.0,0.0,,,,0.0,31000000.0,-0.09844315143890549,-0.027500768791459827,-0.07319925163704397,0.37675397567820396,0.0181244153414406,0.0068092957870228,0.02437490171410599,0.0181244153414406,0.0,2.5078627591136526,,,,,,,,,,,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2017-12-31,4621200000.0,1463600000.0,561800000.0,3144400000.0,1476800000.0,,,393300000.0,2375400000.0,897900000.0,108700000.0,18400000.0,140700000.0,-131200000.0,0.0,200500000.0,0.0,2.605,,,0.0,108700000.0,0.012459371614301192,0.00398164978793387,0.007746063820830176,0.37799949482192474,0.04576071398501305,0.023522028910239766,0.07360509209100759,0.04576071398501305,0.0,2.6051975792096833,,,,,,,,,,,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2018-03-31,4775400000.0,1513400000.0,611100000.0,3207700000.0,1567700000.0,,,353800000.0,619600000.0,231900000.0,89800000.0,42400000.0,26000000.0,23400000.0,0.0,60200000.0,0.0,,84.4708,2.2754,0.0,89800000.0,0.027045990942144542,0.008878837374879591,0.0684312459651388,0.3742737249838606,0.144932214331827,0.018804707459061022,0.05728136760859858,0.144932214331827,0.0,2.4765177548682704,5766200000.0,-217700000.0,164500000.0,2164700000.0,164500000.0,367400000.0,,,0.0,0.4477408818726184,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2018-06-30,4604600000.0,1445600000.0,571400000.0,3035500000.0,1569100000.0,,,337800000.0,1287700000.0,481100000.0,191200000.0,102700000.0,52100000.0,40700000.0,0.0,194500000.0,0.0,,20.6265,2.1741,0.0,191200000.0,0.06545153272576636,0.022303783173348392,0.07975460122699386,0.3736118661178846,0.14848178923662345,0.041523693697606744,0.12185329169587662,0.14848178923662345,0.0,2.529926496324816,5993100000.0,38300000.0,420700000.0,2255300000.0,420700000.0,334200000.0,0.0,0.0,0.0,1.2588270496708558,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2018-09-30,4516400000.0,1407500000.0,586800000.0,2893000000.0,1623400000.0,,,269000000.0,1977100000.0,743500000.0,308900000.0,174900000.0,76500000.0,63200000.0,0.0,298300000.0,0.0,,17.4954,2.109,0.0,308900000.0,0.10773684858938032,0.038725533610840496,0.08846290020737443,0.37605583936067977,0.1562389358150827,0.06839518200336552,0.1902796599728964,0.1562389358150827,0.0,2.398602590320382,6259800000.0,338400000.0,698600000.0,2354400000.0,698600000.0,295300000.0,0.0,0.0,0.0,2.365729766339316,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2018-12-31,4487100000.0,1331200000.0,596400000.0,2811100000.0,1676000000.0,,,221200000.0,-1194600000.0,-444000000.0,-146900000.0,-50600000.0,-55000000.0,-47200000.0,1.0,-108500000.0,0.0,2.2332,15.088,1.5112,1.0,-146900000.0,-0.0301909307875895,-0.011276771188518197,0.0423572744014733,0.37167252636865894,0.12297003180981081,-0.03273829422121192,-0.0876491646778043,0.12297003180981081,0.0,2.2320590207914153,2689800000.0,269400000.0,443000000.0,1012500000.0,443000000.0,99600000.0,1.0,1.0,0.0,4.447791164658635,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2019-03-31,4566800000.0,1398300000.0,616200000.0,2829100000.0,1737700000.0,1622300000.0,,263700000.0,620300000.0,230500000.0,80200000.0,47100000.0,22400000.0,12000000.0,0.23,68800000.0,1622300000.0,,20.443,2.0827,0.23,80200000.0,0.027104793692812337,0.010313567487080668,0.07593100112848622,0.3715943898113816,0.12929227793003387,0.017561531050188317,0.02386904761904762,0.12929227793003387,0.9335903780859757,2.269230769230769,2690500000.0,274100000.0,433400000.0,1011100000.0,433400000.0,96000000.0,1.23,1.23,3.743193354868482,4.514583333333333,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2019-06-30,4594300000.0,1463900000.0,591300000.0,2809000000.0,1785300000.0,,,317500000.0,1249400000.0,464900000.0,154900000.0,92100000.0,44800000.0,20300000.0,0.44,130100000.0,0.0,,27.4553,2.6788,0.44,154900000.0,0.05158796840867081,0.020046579457153428,0.07371538338402434,0.3720986073315191,0.12397951016487914,0.03371569118255229,0.0867641292779925,0.12397951016487914,0.0,2.4757314392017586,2652200000.0,263500000.0,397100000.0,994900000.0,397100000.0,88700000.0,1.67,1.67,0.0,4.476888387824126,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
2019-09-30,4553800000.0,1494100000.0,595800000.0,2763300000.0,1790500000.0,,,406400000.0,1846100000.0,686400000.0,227700000.0,133400000.0,68000000.0,29200000.0,0.64,244300000.0,0.0,,25.3467,2.2565,0.64,227700000.0,0.0745043283998883,0.02929421581975493,0.07226044092952712,0.3718108444829641,0.12334109744867558,0.05000219596820238,0.1271711812342921,0.12334109744867558,0.0,2.5077207116482043,2521200000.0,222000000.0,315900000.0,937800000.0,315900000.0,80200000.0,2.31,2.31,0.0,3.938902743142145,1.369434,100.96,65.61,2.84449,30510.959,52.4784,3.1022,3.9879
