report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,19351000000.0,2384000000.0,3202000000.0,,2709000000.0,8410000000.0,2000000.0,329000000.0,,3023000000.0,357000000.0,114000000.0,122000000.0,102000000.0,0.29,395000000.0,435000000.0,,200000000.0,,8412000000.0,,13.4718,0.6611,0.29,557000000.0,0.042081949058693245,0.005891168415068988,0.03771088322858088,0.11809460800529276,0.01844865898403183,0.032101429727542485,,0.18425405226596098,3.105204872646733,0.7445346658338539,,,,,,,,,,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2010-06-30,19521000000.0,2352000000.0,3032000000.0,19521000000.0,3061000000.0,8410000000.0,32000000.0,583000000.0,,4779000000.0,620000000.0,195000000.0,243000000.0,147000000.0,0.49,399.0,818000000.0,,417000000.0,,8442000000.0,,13.2675,0.6347,0.49,1037000000.0,0.0637046716759229,0.009989242354387582,0.04080351537978657,0.12973425402803934,0.031760667998565646,0.05389898287403286,,0.21699100230173676,2.757922247631493,0.7757255936675461,,,,,,,,,,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2010-09-30,19399000000.0,2143000000.0,2881000000.0,19399000000.0,3129000000.0,8267000000.0,73000000.0,99000000.0,,6687000000.0,947000000.0,318000000.0,364000000.0,223000000.0,0.78,408.0,983000000.0,,660000000.0,,8340000000.0,,15.6723,0.7377,0.78,1607000000.0,0.10162991371045062,0.01639259755657508,0.04755495737999103,0.14161806490204876,0.04881694932728491,0.08257040718458453,,0.24031703304919994,2.6653883029721954,0.7438389448108296,,,,,,,,,,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2011-03-31,19594000000.0,2014000000.0,2201000000.0,,3266000000.0,8732000000.0,0.0,,,2587000000.0,364000000.0,148000000.0,116000000.0,87000000.0,0.35,427415000.0,627000000.0,,201000000.0,,8732000000.0,,15.6784,0.8939,0.35,565000000.0,0.0453153704837722,0.007553332652852914,0.057209122535755705,0.1407035175879397,0.018577115443503114,0.030338389731621937,,0.21839969076149982,2.6736068585425596,0.915038618809632,17076000000.0,775000000.0,2288000000.0,3766000000.0,845000000.0,1.9100000000000001,1.9100000000000001,2.318640467339352,2.707692307692308,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2011-06-30,19677000000.0,2042000000.0,2361000000.0,,3313000000.0,8510000000.0,109000000.0,,,4424000000.0,667000000.0,267000000.0,227000000.0,158000000.0,0.62,427954000.0,1137000000.0,,424000000.0,,8619000000.0,,16.015,0.9765,0.62,1091000000.0,0.08059160881376395,0.013569141637444732,0.06035262206148282,0.15076853526220615,0.03389744371601362,0.055900100569896076,,0.24660940325497288,2.6015695744038636,0.8648877594239729,18477000000.0,928000000.0,2598000000.0,4300000000.0,950000000.0,2.24,2.24,2.0044186046511627,2.734736842105263,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2011-09-30,20951000000.0,1982000000.0,2319000000.0,20951000000.0,4207000000.0,8497000000.0,84000000.0,103000000.0,,6305000000.0,1024000000.0,1240000000.0,341000000.0,362000000.0,2.89,428452000.0,1449000000.0,,677000000.0,,8581000000.0,,6.1256,0.9943,2.89,1701000000.0,0.2947468504872831,0.059185719058756144,0.19666931007137192,0.16241078509119747,0.048875948642069594,0.08007507037847983,,0.2697858842188739,2.039695745186594,0.8546787408365675,20003000000.0,1973000000.0,3002000000.0,4964000000.0,1048000000.0,4.64,4.64,1.7286462530217566,2.864503816793893,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2011-12-31,21703000000.0,2337000000.0,2593000000.0,21703000000.0,4222000000.0,8641000000.0,62000000.0,220000000.0,,-4866000000.0,-757000000.0,-298000000.0,-228000000.0,-203000000.0,-0.6900000000000004,-855097000.0,-1325000000.0,,-416000000.0,,8703000000.0,0.9013,6.243,1.0026,-0.6900000000000004,-1173000000.0,-0.07058266224538133,-0.013730820623876884,0.061241265926839296,0.15556925606247432,-0.03487997051098926,-0.05856866537717602,,0.24106041923551172,2.0613453339649457,0.9012726571538758,8450000000.0,1357000000.0,1298000000.0,2184000000.0,456000000.0,3.169999999999999,3.169999999999999,3.98489010989011,2.8464912280701755,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2012-03-31,22351000000.0,2968000000.0,2735000000.0,22351000000.0,4286000000.0,9005000000.0,9000000.0,1096000000.0,,2084000000.0,338000000.0,147000000.0,110000000.0,72000000.0,0.34,428492000.0,424000000.0,,224000000.0,,9014000000.0,,6.2468,1.0659,0.34,562000000.0,0.034297713485767614,0.0065768869401816475,0.07053742802303263,0.16218809980806143,0.015122365889669366,0.025413533834586464,,0.2696737044145873,2.1031264582361175,1.0851919561243144,7947000000.0,1356000000.0,1272000000.0,2181000000.0,450000000.0,3.1599999999999993,3.1599999999999993,4.132966529115085,2.8266666666666667,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2012-06-30,22475000000.0,2955000000.0,3206000000.0,22475000000.0,4332000000.0,8583000000.0,30000000.0,1123000000.0,,3609000000.0,640000000.0,273000000.0,214000000.0,146000000.0,0.64,429200000.0,927000000.0,,499000000.0,,8613000000.0,,6.5082,1.1618,0.64,1139000000.0,0.06301939058171745,0.012146829810901,0.07564422277639235,0.1773344416735938,0.028476084538375974,0.04943993820007725,,0.315599889165974,1.9882271468144044,0.9217092950717405,7132000000.0,1362000000.0,1245000000.0,2229000000.0,437000000.0,3.1799999999999993,3.1799999999999993,3.864064602960969,2.848970251716247,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
2012-09-30,22477000000.0,2752000000.0,3364000000.0,22477000000.0,4257000000.0,8415000000.0,53000000.0,722000000.0,,5314000000.0,728000000.0,283000000.0,318000000.0,264000000.0,0.66,429655000.0,1379000000.0,,800000000.0,,8468000000.0,,22.598,1.2119,0.66,1528000000.0,0.06647874089734555,0.012590648218178582,0.05325555137372977,0.13699661272111405,0.032388663967611336,0.05721021611001965,,0.2875423409860745,1.9891942682640358,0.8180737217598097,6141000000.0,405000000.0,949000000.0,2056000000.0,414000000.0,0.9499999999999992,0.9499999999999992,4.118677042801556,2.292270531400966,0.5222011,44.39,34.715,4.33348,28236.695,26.841,2.2443,3.7514
