report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,833735000.0,410552000.0,271200000.0,309458000.0,524261000.0,,117975000.0,550007000.0,291645000.0,103263000.0,70219000.0,1054000.0,32175000.0,1.17,59875000.0,75085000.0,17437000.0,22632000.0,57648000.0,0.0,,26.4571,3.2526,1.17,125895000.0,0.13393901129399288,0.08422220489723953,0.12766928420911006,0.5302568876396119,0.18774851956429645,0.12385590145549845,0.19696868544484522,0.10481321146821768,0.22889708676435028,0.0,1.513834808259587,,,,,,,,,,,,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2010-09-30,862297000.0,429911000.0,270933000.0,315645000.0,546614000.0,,133512000.0,819635000.0,433852000.0,153077000.0,104913000.0,1741000.0,46723000.0,1.76,59691000.0,129983000.0,28646000.0,34117000.0,101337000.0,0.0,,26.2145,3.2676,1.76,187194000.0,0.19193251544965917,0.1216668966724922,0.12799965838452482,0.5293234183508513,0.18676240033673525,0.17752236178486067,0.28004588246916473,0.12363674074435572,0.22838702593227472,0.0,1.5867797573569848,,,,,,,,,,,,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2010-12-31,897144000.0,460591000.0,285112000.0,322863000.0,574235000.0,,156915000.0,1103392000.0,578623000.0,203881000.0,141284000.0,2415000.0,60809000.0,2.37,59559000.0,178833000.0,38908000.0,45956000.0,139925000.0,0.0,1.6155,28.1731,3.6074,2.37,249837000.0,0.24603864271596124,0.1574819649911274,0.12804515530292046,0.5244038383457557,0.18477657985557264,0.22725560222216276,0.3550480204097626,0.12681349873843567,0.22642632899277862,0.0,1.615473919021297,,,,,,,,,,,,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2011-03-31,909478000.0,465441000.0,272570000.0,312570000.0,596868000.0,,153459000.0,292672000.0,154925000.0,53532000.0,36612000.0,728000.0,16567000.0,0.62,59090000.0,25218000.0,9575000.0,11464000.0,15643000.0,0.0,,30.6166,3.9337,0.62,64996000.0,0.06134019582219184,0.04025605897009053,0.12509567023835558,0.5293468456155697,0.18290782855893287,0.05886013735351487,0.08968817225919298,0.053448912092718126,0.22207795757708287,0.0,1.707601716990131,2765706000.0,353028000.0,513753000.0,1459045000.0,314553000.0,627922000.0,5938000.0,5.92,5.92,0.0,86.51953519703603,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2011-06-30,950575000.0,493571000.0,298137000.0,341764000.0,608774000.0,,159398000.0,610534000.0,328958000.0,124830000.0,85269000.0,1510000.0,38848000.0,1.45,58934000.0,88310000.0,26173000.0,23343000.0,62137000.0,0.0,,28.4494,3.8212,1.45,148173000.0,0.14006675712169048,0.08970254845751256,0.13966298355210358,0.5388037357460845,0.20446035765411918,0.131320516529469,0.20505146409012212,0.10177483973046546,0.2426941005742514,0.0,1.6555174299063853,2826233000.0,368078000.0,535320000.0,1496358000.0,319042000.0,650200000.0,6394000.0,6.199999999999999,6.199999999999999,0.0,83.72223959962464,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2011-09-30,969199000.0,510752000.0,336369000.0,383231000.0,585942000.0,,181499000.0,911488000.0,487625000.0,180926000.0,123776000.0,2438000.0,55970000.0,2.11,58636000.0,163518000.0,39927000.0,35388000.0,123591000.0,0.0,,24.4808,3.2801,2.11,216314000.0,0.21124275098900575,0.12770958286172396,0.1357955343350653,0.5349768729813228,0.1984952078359781,0.18667580135761594,0.3087780019182786,0.1355925695127089,0.23731963558488978,0.0,1.5184276791261977,2918086000.0,386941000.0,563169000.0,1550131000.0,341296000.0,679320000.0,7091000.0,6.55,6.55,0.0,79.42025102242279,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2011-12-31,1030814000.0,524227000.0,436879000.0,491221000.0,539579000.0,,183895000.0,-596005000.0,-325002000.0,-123063000.0,-83871000.0,-1129000.0,-38717000.0,-1.4,-118446000.0,-56346000.0,-23211000.0,-21993000.0,-79557000.0,0.0,1.1999,27.4486,3.6439,-1.4,-145056000.0,-0.1554378506205764,-0.08136385419678041,0.14072197380894455,0.5453007944564223,0.2064798114109781,-0.11938429241356831,-0.22807225633317826,0.13348377949849413,0.2433805085527806,0.0,1.1999363668201035,1218689000.0,161786000.0,236225000.0,646506000.0,121814000.0,284427000.0,3547000.0,2.78,2.78,0.0,66.59853397237102,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2012-03-31,1061105000.0,544866000.0,437284000.0,494224000.0,566876000.0,,185491000.0,322676000.0,174774000.0,60407000.0,40743000.0,1193000.0,18916000.0,0.72,56439000.0,15184000.0,9446000.0,12705000.0,5738000.0,0.0,,28.9441,3.8459,0.72,73112000.0,0.07187286108425829,0.03839676563582303,0.12626597577756016,0.5416392914254546,0.18720636179945208,0.05692839068706678,0.1065612232657583,0.017782543480147267,0.22658022288611487,0.0,1.2460231794440226,1248693000.0,165917000.0,243100000.0,666355000.0,111909000.0,292543000.0,4012000.0,2.88,2.88,0.0,60.59322033898305,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2012-06-30,1067317000.0,555307000.0,419151000.0,477376000.0,589933000.0,,201813000.0,658325000.0,359463000.0,136224000.0,92060000.0,2119000.0,42967000.0,1.63,56345000.0,78800000.0,24301000.0,25691000.0,54499000.0,0.0,,32.0018,4.2597,1.63,161915000.0,0.1560516194211885,0.08625366222031505,0.1398397448068963,0.5460266585652983,0.20692515095127786,0.12763218425266346,0.2309143580711708,0.08278433904226636,0.24594994873352827,0.0,1.3248375883631436,1296484000.0,172708000.0,254494000.0,696860000.0,104271000.0,306285000.0,4621000.0,3.0599999999999996,3.0599999999999996,0.0,55.07336074442761,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
2012-09-30,1093351000.0,570774000.0,415846000.0,475816000.0,617507000.0,,221441000.0,973800000.0,530098000.0,199136000.0,134913000.0,2992000.0,62606000.0,2.4,56270000.0,153488000.0,43230000.0,38490000.0,110258000.0,0.0,,32.1161,4.3354,2.4,237626000.0,0.21848011439546433,0.12339404271821218,0.13854282193468884,0.5443602382419388,0.2044937358800575,0.18213364235273027,0.3224837937059823,0.11322448141302116,0.2440193058122818,0.0,1.3725609961379934,1358796000.0,183845000.0,272704000.0,739333000.0,90938000.0,327597000.0,5175000.0,3.35,3.35,0.0,52.69642512077295,1.7082675,769.98,356.14,0.5231,45952.62,43.3735,33.6504,10.6775
