report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,10823000000.0,3931000000.0,3818000000.0,,2595000000.0,,561000000.0,3829000000.0,2268000000.0,678000000.0,357000000.0,275000000.0,0.69,733000000.0,92000000.0,0.0,,19.5438,2.6714,0.69,770000000.0,0.1375722543352601,0.032985309064030306,0.09323583180987204,0.5923217550274223,0.17706973100026116,0.06264436847454495,0.261271676300578,0.20109689213893966,0.0,1.029596647459403,,,,,,,,,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2010-06-30,10586000000.0,3811000000.0,2955000000.0,10586000000.0,2632000000.0,3331000000.0,555000000.0,7643000000.0,4510000000.0,1626000000.0,960000000.0,579000000.0,1.86,1302000000.0,185000000.0,3331000000.0,,17.5503,2.4346,1.86,1811000000.0,0.364741641337386,0.09068581144908369,0.12560512887609576,0.5900824283658249,0.2127436870338872,0.1535990931418855,0.27268153613952706,0.23694884207771819,1.2655775075987843,1.289678510998308,,,,,,,,,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2010-09-30,11390000000.0,4091000000.0,3176000000.0,11390000000.0,2672000000.0,3329000000.0,654000000.0,11586000000.0,6854000000.0,2584000000.0,1579000000.0,879000000.0,3.07,2243000000.0,278000000.0,3329000000.0,,16.7869,2.368,3.07,2862000000.0,0.5909431137724551,0.13863037752414398,0.1362851717590195,0.5915760400483342,0.2230277921629553,0.22686567164179106,0.43059490084985835,0.24702226825479026,1.2458832335329342,1.2880982367758187,,,,,,,,,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2010-12-31,11172000000.0,3730000000.0,3728000000.0,8355000000.0,2675000000.0,,490000000.0,-7494000000.0,-4428000000.0,-1399000000.0,-693000000.0,-616000000.0,-1.3099999999999996,-1067000000.0,-179000000.0,0.0,1.0005,17.6093,2.4925,-1.3099999999999996,-1578000000.0,-0.25906542056074766,-0.06203007518796992,0.09247397918334668,0.5908726981585268,0.18668267947691486,-0.1252237737200143,-0.5229906542056075,0.21056845476381106,0.0,1.0005364806866952,15564000000.0,2203000000.0,3489000000.0,9204000000.0,3865000000.0,4.3100000000000005,4.3100000000000005,0.0,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2011-03-31,11931000000.0,4274000000.0,4282000000.0,,2419000000.0,,686000000.0,3994000000.0,2331000000.0,915000000.0,576000000.0,292000000.0,1.16,680000000.0,99000000.0,0.0,,16.3019,2.5102,1.16,1014000000.0,0.23811492352211658,0.048277596178023637,0.1442163244867301,0.5836254381572359,0.22909364046069103,0.07669097309529796,0.3782554774700289,0.2538808212318478,0.0,0.9981317141522653,15729000000.0,2422000000.0,3726000000.0,9267000000.0,4109000000.0,4.78,4.78,0.0,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2011-06-30,13244000000.0,4470000000.0,4249000000.0,,2969000000.0,,739000000.0,8179000000.0,4735000000.0,1883000000.0,1198000000.0,603000000.0,2.42,1154000000.0,202000000.0,0.0,,17.421,2.6413,2.42,2085000000.0,0.403502862916807,0.09045605557233465,0.14647267392101723,0.5789216285609488,0.2302237437339528,0.14217758985200846,0.6342202761872684,0.2549211395036068,0.0,1.0520122381736878,16265000000.0,2660000000.0,3983000000.0,9492000000.0,4383000000.0,5.34,5.34,0.0,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2011-09-30,12768000000.0,4443000000.0,4317000000.0,12768000000.0,2667000000.0,3768000000.0,945000000.0,12562000000.0,7197000000.0,2918000000.0,1841000000.0,952000000.0,3.73,2057000000.0,315000000.0,3768000000.0,,17.4122,2.595,3.73,3233000000.0,0.6902887139107612,0.14418859649122806,0.14655309664066232,0.572918325107467,0.23228785225282597,0.22854010025062657,0.45345765345765343,0.25736347715331953,1.4128233970753656,1.029186935371786,17241000000.0,2922000000.0,4317000000.0,9835000000.0,4754000000.0,6.0,6.0,0.7925957088767354,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2011-12-31,12724000000.0,4402000000.0,3716000000.0,10183000000.0,2375000000.0,4430000000.0,878000000.0,-8001000000.0,-4673000000.0,-1875000000.0,-1184000000.0,-612000000.0,-2.37,-995000000.0,-195000000.0,4430000000.0,1.1846,18.1336,2.6343,-2.37,-2070000000.0,-0.4985263157894737,-0.09305249921408362,0.14798150231221097,0.5840519935008124,0.23434570678665168,-0.14735932096824897,-0.27553269654665685,0.25871766029246346,1.8652631578947367,1.1846071044133477,16734000000.0,2431000000.0,3841000000.0,9590000000.0,4262000000.0,4.9399999999999995,4.9399999999999995,1.0394181135617082,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2012-03-31,13254000000.0,4849000000.0,4107000000.0,13254000000.0,2290000000.0,4595000000.0,1044000000.0,4200000000.0,2437000000.0,938000000.0,593000000.0,295000000.0,1.23,662000000.0,106000000.0,4595000000.0,,19.1913,2.7733,1.23,1044000000.0,0.25895196506550217,0.04474121020069413,0.1411904761904762,0.5802380952380952,0.22333333333333333,0.07077108797344198,0.13623819898329703,0.24857142857142858,2.006550218340611,1.1806671536401265,16940000000.0,2448000000.0,3864000000.0,9696000000.0,4292000000.0,5.01,5.01,1.070596458527493,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
2012-06-30,13153000000.0,4835000000.0,3566000000.0,13153000000.0,2306000000.0,5068000000.0,995000000.0,8467000000.0,4898000000.0,1920000000.0,1220000000.0,606000000.0,2.53,1193000000.0,211000000.0,5068000000.0,,20.0493,2.8893,2.53,2131000000.0,0.5290546400693842,0.09275450467573937,0.14408881540096846,0.5784811621589702,0.22676272587693397,0.14597430244050788,0.26037428803905616,0.25168300460611787,2.1977450130095404,1.3558609085810431,17228000000.0,2470000000.0,3901000000.0,9859000000.0,4338000000.0,5.119999999999999,5.119999999999999,1.1682803135085293,0.33421502,99.33,74.545,7.04717,68243.8,32.0243,1179.5417,3.3482
