report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,,,,,,,,,,,54386690.0,,0.0,,3.7744,1.1012,,,,,,,,,,,,,,,,,,,,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2010-09-30,17701397000.0,12983487000.0,4717910000.0,365997000.0,2418554000.0,,589093000.0,22547000.0,11373000.0,11.05,53317198.0,657561000.0,0.0,,4.6273,1.2399,11.05,,0.12486312795284353,0.03327946376209742,0.24357239904504924,,,,,0.0,,,,,,,,,,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2010-12-31,15770792000.0,11257789000.0,4513003000.0,362740000.0,3244067000.0,,816744000.0,30007000.0,7868000.0,15.55,52521719.0,802074000.0,0.0,1.3626,5.1082,1.3223,15.55,,0.18097572724857483,0.05178839464752309,0.25176545367281256,,,,,0.0,,,,,,,,,,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2011-03-31,17191966000.0,12866431000.0,4325535000.0,406877000.0,775072000.0,,19295000.0,7721000.0,-371000.0,0.41,46820172.0,224580000.0,0.0,,6.7293,1.388,0.41,,0.004460719887828904,0.0011223265564857445,0.02489446141777796,,,,,0.0,,,,,,,,,,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2011-06-30,17213806000.0,12772537000.0,4441269000.0,411001000.0,1550640000.0,,124098000.0,15479000.0,-2102000.0,0.8,139234931.0,446547000.0,0.0,,8.3526,1.3383,0.8,,0.027942013870360025,0.007209213348866601,0.08003018108651912,,,,,0.0,7988333000.0,1549230000.0,,,75754000.0,27.810000000000002,27.810000000000002,,,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2011-09-30,17430028000.0,12955657000.0,4474371000.0,369895000.0,2315633000.0,288717000.0,293086000.0,23604000.0,-4369000.0,1.98,138542558.0,756471000.0,0.0,,8.2776,1.3813,1.98,288717000.0,0.0655032852662419,0.0168150045427351,0.12656841563408364,0.12468167451405296,0.01656434516341569,0.06452683516856336,0.12468167451405296,0.0,7885412000.0,1253223000.0,,,76811000.0,18.740000000000002,18.740000000000002,,,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2011-12-31,17141769000.0,12513283000.0,4628486000.0,351699000.0,-1578038000.0,138295000.0,-121000.0,-15113000.0,-2504000.0,-0.21999999999999975,-186307959.0,-561486000.0,0.0,,11.5309,1.6319,-0.21999999999999975,138295000.0,-2.614245781449917e-05,-7.058781389482031e-06,7.667749445830836e-05,-0.08763730657943598,0.008067720431887748,0.029879100855009607,-0.08763730657943598,0.0,3063307000.0,436358000.0,,,31691000.0,2.97,2.97,,,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2012-03-31,17812783000.0,12973327000.0,4839456000.0,422806000.0,815008000.0,166158000.0,164256000.0,7521000.0,1902000.0,1.14,137814906.0,144821000.0,0.0,,8.8161,1.622,1.14,166158000.0,0.033941004939398146,0.009221242969164335,0.20153912599630924,0.20387284541992226,0.009328020220085767,0.03433402432008887,0.20387284541992226,0.0,3103243000.0,581319000.0,,,31491000.0,3.7,3.7,,,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2012-06-30,18496723000.0,13476407000.0,5020316000.0,355392000.0,1657476000.0,387193000.0,384524000.0,14960000.0,2669000.0,2.68,138017490.0,397268000.0,0.0,,7.7516,1.6802,2.68,387193000.0,0.07659358494564884,0.020788763501513215,0.23199370609287856,0.2336039858194025,0.020933059331644854,0.07712522478664689,0.2336039858194025,0.0,3210079000.0,841745000.0,980363000.0,980363000.0,30972000.0,5.58,5.58,0.0,31.653202892935553,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
2012-09-30,18889757000.0,13540963000.0,5348794000.0,422440000.0,2562275000.0,582290000.0,574180000.0,22338000.0,8110000.0,4.01,138235995.0,731951000.0,0.0,,8.0291,1.7466,4.01,582290000.0,0.1073475628337902,0.030396367724582162,0.22408992009054454,0.22725507605545853,0.030825700934109423,0.10886379247359311,0.22725507605545853,0.0,3456721000.0,1122839000.0,1273936000.0,1273936000.0,29706000.0,7.609999999999999,7.609999999999999,0.0,42.88480441661617,0.39669654,103.39,82.445,2.13797,34420.383,7.8246,1.437,1.7829
