report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-28,28497000000.0,12652000000.0,3330000000.0,7777000000.0,20720000000.0,,,2553000000.0,,5333000000.0,1655000000.0,1615000000.0,,401000000.0,0.96,1685000000.0,2032000000.0,329000000.0,0.0,,22.2517,6.5146,0.96,1984000000.0,0.07794401544401544,0.05667263220689897,0.30283142696418525,0.31033189574348397,0.05807628873214724,0.07987451737451738,0.37202325145321585,0.0,3.7993993993993995,,,,,,,,,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2010-06-27,29401000000.0,11614000000.0,5190000000.0,9515000000.0,19886000000.0,,,2541000000.0,,8039000000.0,2447000000.0,,,606000000.0,1.43,1670000000.0,2983000000.0,495000000.0,0.0,,17.5372,5.2088,1.43,2942000000.0,,,,0.30439109341957954,0.0832284616169518,0.12305139293975662,0.3659659161587262,0.0,2.2377649325626203,,,,,,,,,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2010-09-26,30572000000.0,12133000000.0,5468000000.0,9714000000.0,20858000000.0,,,3547000000.0,,10991000000.0,3283000000.0,,,787000000.0,1.96,1658000000.0,4076000000.0,666000000.0,0.0,2.2189,22.0436,6.5175,1.96,3949000000.0,,,,0.29869893549267584,0.10738584325526626,0.1573976411928277,0.3592939677918297,0.0,2.218910021945867,,,,,,,,,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2010-12-26,31291000000.0,12331000000.0,3943000000.0,8555000000.0,22736000000.0,,,4711000000.0,,3348000000.0,1110000000.0,,,159000000.0,0.71,1648000000.0,48000000.0,201000000.0,0.0,,22.4489,6.8835,0.71,1311000000.0,,,,0.33154121863799285,0.0354734588220255,0.04882125263898663,0.39157706093189965,0.0,3.1273142277453716,27711000000.0,,8495000000.0,10186000000.0,,5.06,5.06,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2011-03-27,33824000000.0,14850000000.0,4385000000.0,8823000000.0,24967000000.0,,,6367000000.0,,7222000000.0,2182000000.0,2168000000.0,,422000000.0,1.3,1669000000.0,1816000000.0,635000000.0,0.0,,22.5712,6.6649,1.3,2817000000.0,0.08683462170064485,0.0640964995269631,0.3001938521185267,0.30213237330379394,0.06451040681173131,0.08739536187767853,0.390058155635558,0.0,3.3865450399087798,29600000000.0,,9022000000.0,11019000000.0,,5.4,5.4,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2011-06-26,35100000000.0,12833000000.0,4464000000.0,8799000000.0,26271000000.0,,,5746000000.0,,10840000000.0,3789000000.0,3204000000.0,,862000000.0,1.9,1682000000.0,3080000000.0,820000000.0,0.0,,22.4697,6.6275,1.9,4609000000.0,0.12195957519698526,0.09128205128205129,0.2955719557195572,0.3495387453874539,0.10794871794871795,0.14422747516272696,0.42518450184501844,0.0,2.8747759856630823,32401000000.0,,10364000000.0,12686000000.0,,5.87,5.87,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2011-09-25,36422000000.0,14293000000.0,5289000000.0,9450000000.0,26951000000.0,,,5462000000.0,,-6453000000.0,-2055000000.0,-1112000000.0,,-311000000.0,-1.3899999999999997,-3308000000.0,-44000000.0,-595000000.0,0.0,2.7024,19.9486,5.6804,-1.3899999999999997,-2650000000.0,-0.04126006456161181,-0.030530997748613474,0.17232295056562838,0.3184565318456532,-0.056421942781835155,-0.07624948981484916,0.41066170773283744,0.0,2.7024012100586123,14957000000.0,,5026000000.0,6087000000.0,,2.5200000000000005,2.5200000000000005,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2011-12-25,37606000000.0,14034000000.0,4994000000.0,9109000000.0,28481000000.0,,,4964000000.0,,4681000000.0,1551000000.0,1401000000.0,,321000000.0,0.81,1721000000.0,1779000000.0,208000000.0,0.0,,20.5379,5.6618,0.81,1759000000.0,0.0491906885291949,0.037254693399989366,0.29929502243110445,0.33133945738090154,0.04124341860341435,0.05445735753660335,0.3757744071779534,0.0,2.8101722066479775,16290000000.0,5661000000.0,5467000000.0,6535000000.0,,2.62,2.62,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2012-03-25,41531000000.0,17861000000.0,5178000000.0,9661000000.0,31882000000.0,,,5998000000.0,,9625000000.0,3066000000.0,3631000000.0,,617000000.0,2.1,1732000000.0,3667000000.0,419000000.0,0.0,,20.2751,6.6813,2.1,3485000000.0,0.11388871463521737,0.0874286677421685,0.3772467532467532,0.3185454545454545,0.07382437215573909,0.0961671162411392,0.36207792207792205,0.0,3.4494013132483583,18693000000.0,7124000000.0,6351000000.0,7203000000.0,,3.420000000000001,3.420000000000001,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2012-06-24,42445000000.0,16377000000.0,5516000000.0,9840000000.0,32584000000.0,,968000000.0,3412000000.0,,14251000000.0,4448000000.0,4838000000.0,,993000000.0,2.78,1740000000.0,4589000000.0,640000000.0,968000000.0,,15.5765,4.9985,2.78,5088000000.0,0.1484777805057697,0.11398280127223466,0.339484948424672,0.31211844782822257,0.10479443986335257,0.13257033857892228,0.3570275770121395,0.02970783206481709,2.9689992748368383,22104000000.0,8758000000.0,7010000000.0,7682000000.0,,4.300000000000001,4.300000000000001,0.1260088518614944,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2012-09-30,43012000000.0,15645000000.0,5302000000.0,9467000000.0,33523000000.0,,,3807000000.0,,-9436000000.0,-3383000000.0,-3761000000.0,,-652000000.0,-2.1799999999999997,-3452000000.0,-4037000000.0,-370000000.0,0.0,2.9508,17.2621,5.5151,-2.1799999999999997,-3753000000.0,-0.11219162962741998,-0.08744071421928765,0.39857990674014415,0.35852055955913525,-0.07865246907839672,-0.10091578915968141,0.3977320898685884,0.0,2.9507732930969444,19121000000.0,6109000000.0,5682000000.0,6579000000.0,,3.5100000000000007,3.5100000000000007,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2012-12-30,44841000000.0,17103000000.0,5005000000.0,9487000000.0,35334000000.0,,,4293000000.0,,6018000000.0,2088000000.0,1906000000.0,,424000000.0,1.09,1751000000.0,1975000000.0,241000000.0,0.0,,16.0494,5.1887,1.09,2329000000.0,0.053942378445689707,0.04250574251243282,0.31671651711532073,0.3469591226321037,0.04656452799892955,0.05909322465613857,0.3870056497175141,0.0,3.4171828171828174,20458000000.0,6614000000.0,6219000000.0,7149000000.0,,3.790000000000001,3.790000000000001,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2013-03-31,47599000000.0,17766000000.0,5263000000.0,9971000000.0,37611000000.0,,,4093000000.0,,12143000000.0,3966000000.0,3772000000.0,,697000000.0,2.15,1757000000.0,4191000000.0,489000000.0,0.0,,18.1435,5.2404,2.15,4455000000.0,0.1002898088325224,0.07924536229752725,0.3106316396277691,0.3266079222597381,0.08332107817391121,0.1054478742920954,0.3668780367289797,0.0,3.375641269238077,22976000000.0,6755000000.0,7119000000.0,8119000000.0,,3.8400000000000003,3.8400000000000003,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2013-06-30,46809000000.0,15972000000.0,5028000000.0,9226000000.0,37578000000.0,,,2533000000.0,,18385000000.0,5642000000.0,5352000000.0,,1028000000.0,3.0,1760000000.0,6268000000.0,744000000.0,0.0,,15.9035,4.5291,3.0,6386000000.0,0.14242375858214912,0.11433698647695956,0.29110688060919226,0.30688060919227633,0.12053237625243009,0.15014103997019532,0.34734838183301603,0.0,3.1766109785202863,27110000000.0,7269000000.0,8313000000.0,9417000000.0,,4.0600000000000005,4.0600000000000005,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2013-09-29,45516000000.0,19555000000.0,5213000000.0,9429000000.0,36088000000.0,,,6142000000.0,,-11680000000.0,-4466000000.0,-4177000000.0,,-800000000.0,-3.24,-3514000000.0,-3656000000.0,-457000000.0,0.0,3.7512,16.8513,4.6442,-3.24,-4923000000.0,-0.11574484593216582,-0.09176992705861675,0.35761986301369864,0.3823630136986301,-0.09811934264873891,-0.12375304810463311,0.42148972602739726,0.0,3.751198925762517,24866000000.0,6853000000.0,7230000000.0,8247000000.0,,3.0,3.0,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
2013-12-29,46282000000.0,20585000000.0,5313000000.0,9255000000.0,37027000000.0,,,8292000000.0,,6622000000.0,1493000000.0,1875000000.0,,313000000.0,1.09,1722000000.0,2781000000.0,272000000.0,0.0,,18.1931,4.8729,1.09,1765000000.0,0.05063872309395846,0.040512510263169266,0.28314708547266687,0.2254605859257022,0.032258761505552916,0.04032192724228266,0.26653578979160375,0.0,3.8744588744588744,25470000000.0,6822000000.0,6635000000.0,7683000000.0,,3.0,3.0,0.0,,1.2945515,205.95,120.8019,16.85175,135295.6,25.2182,8.3718,3.0155
