report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,7508134000.0,4365761000.0,3135649000.0,123297000.0,,215587000.0,,72523000.0,,,0.88,68883000.0,0.0,,41.6413,8.3234,0.88,,0.023128545318688413,0.009659257546548849,0.3363978347488485,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2010-06-30,7704844000.0,4360554000.0,3334909000.0,373721000.0,,436055000.0,,123648000.0,,,1.49,171724000.0,0.0,,38.0751,9.0591,1.49,,0.03707687376177281,0.01604808611309976,0.28356056002109825,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2010-09-30,7674402000.0,4359941000.0,3303831000.0,229111000.0,,663374000.0,,148304000.0,,,1.76,234379000.0,0.0,,52.0646,10.2217,1.76,,0.04488849459914868,0.019324502417256747,0.22356016364825876,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2010-12-31,7821488000.0,4491635000.0,3310618000.0,306426000.0,,-419750000.0,,-169144000.0,,,-2.06,-142880000.0,0.0,1.4267,54.7562,10.9826,-2.06,,-0.05109136723113328,-0.021625552580276285,0.4029636688505063,,,,,0.0,895266000.0,175331000.0,,2.07,2.07,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2011-03-31,7881762000.0,4454248000.0,3416584000.0,291800000.0,,,,,,,,73215000.0,0.0,,78.1871,11.755,,,,,,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2011-06-30,7942742000.0,4456727000.0,3475100000.0,290104000.0,,,,,,,,205879000.0,0.0,,89.4051,12.3938,,,,,,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2011-09-30,8488657000.0,4325551000.0,4148993000.0,690049000.0,,,,,,,,295012000.0,0.0,,77.5111,11.8861,,,,,,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2011-12-31,8482390000.0,4073435000.0,4394741000.0,616890000.0,,,,440450000.0,,,,-144715000.0,0.0,1.7306,27.9991,13.2084,,,0.10022206086775079,0.05192522390505506,,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2012-03-31,8241059000.0,3843592000.0,4383173000.0,248242000.0,,252454000.0,,57758000.0,,,0.6,105340000.0,0.0,,28.7446,14.1372,0.6,,0.013177212033383122,0.007008565282690004,0.22878623432387682,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2012-06-30,8412045000.0,3822489000.0,4578566000.0,358263000.0,,509371000.0,,214667000.0,,,2.24,222468000.0,0.0,,23.4633,14.2008,2.24,,0.04688520379524943,0.025519002810850393,0.4214354566710708,,,,,0.0,,,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2012-09-30,8968566000.0,4240488000.0,4717316000.0,664133000.0,,781276000.0,,301512000.0,,,3.13,375173000.0,0.0,,20.9821,13.3219,3.13,,0.06391600647486834,0.03361875242931813,0.38592251649865095,,,,,0.0,,1014387000.0,,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2012-12-31,11160078000.0,4312258000.0,6837215000.0,2733618000.0,,-504441000.0,,-150068000.0,,,-1.6500000000000004,-162162000.0,0.0,6.3814,35.8912,15.2052,-1.6500000000000004,,-0.02194870279784971,-0.013446859421591855,0.29749366130033045,,,,,0.0,1038660000.0,423869000.0,,4.32,4.32,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2013-03-31,15187364000.0,6507707000.0,8655309000.0,447456000.0,,312131000.0,,75427000.0,,,0.63,81388000.0,0.0,,37.5259,15.6654,0.63,,0.008714535783760002,0.004966431304339582,0.24165174237739923,,,,,0.0,1098337000.0,441538000.0,,4.35,4.35,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2013-06-30,14972185000.0,6388908000.0,8560166000.0,111147000.0,,699600000.0,,111648000.0,,,0.0,267211000.0,0.0,,54.5873,14.6983,0.0,,0.013042737722609585,0.007457027815245403,0.15958833619210977,,,,,0.0,1288566000.0,338519000.0,,2.1099999999999994,2.1099999999999994,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2013-09-30,15145107000.0,6653522000.0,8469751000.0,112910000.0,,1080471000.0,,100929000.0,127772000.0,,0.0,469923000.0,0.0,,73.6489,12.4655,0.0,,0.011916406987643438,0.006664132514877577,0.09341203974933154,,,,,0.0,1587761000.0,137936000.0,,-1.0200000000000005,-1.0200000000000005,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2013-12-31,15328143000.0,6711096000.0,8596132000.0,281541000.0,,-629281000.0,,65137000.0,44630000.0,,2.15,-94021000.0,0.0,0.852,43.3331,10.5429,2.15,,0.00757747787027933,0.004249503674385083,-0.10351019655765867,,,,,0.0,1462921000.0,353141000.0,,2.78,2.78,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2014-03-31,15570239000.0,6947166000.0,8603469000.0,386190000.0,,400075000.0,,141739000.0,42533000.0,,1.0,220317000.0,0.0,,40.5711,10.9777,1.0,,0.016474633662305286,0.00910320002152825,0.35428107229894396,,,,,0.0,1550865000.0,419453000.0,,3.15,3.15,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2014-06-30,15657951000.0,6820335000.0,8821532000.0,425741000.0,,813881000.0,,299825000.0,86255000.0,,2.0,409711000.0,0.0,,34.4474,11.7598,2.0,,0.033987860611966264,0.019148418589379927,0.3683892362642696,,,,,0.0,1665146000.0,607630000.0,301190000.0,5.15,5.15,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2014-09-30,15881178000.0,6823300000.0,9045282000.0,440028000.0,,1244407000.0,,540929000.0,132631000.0,,4.0,641429000.0,0.0,,23.4289,11.4214,4.0,,0.05980233673201123,0.03406101235059515,0.4346881687422202,,,,,0.0,1829082000.0,1047630000.0,306049000.0,9.15,9.15,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2014-12-31,16176723000.0,7117553000.0,9046405000.0,509460000.0,,-773302000.0,,-298926000.0,-80801000.0,9368000.0,-2.0,-384816000.0,0.0,1.2102,31.5683,12.8045,-2.0,,-0.0330436234062039,-0.018478773482119955,0.3865579036391992,,,,,0.0,1685061000.0,683567000.0,180618000.0,5.0,5.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2015-03-31,16263748000.0,7155728000.0,9097512000.0,194928000.0,,442367000.0,,208144000.0,45573000.0,,1.0,236380000.0,0.0,,30.7206,13.3365,1.0,,0.02287922236321315,0.012798034007905188,0.47052334373947424,,,,,0.0,1727353000.0,749972000.0,183658000.0,5.0,5.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2015-06-30,16320476000.0,7099403000.0,9210485000.0,65126000.0,,899826000.0,,380469000.0,90164000.0,,2.0,491902000.0,0.0,,27.6574,11.9321,2.0,,0.04130824815414172,0.023312371526418716,0.42282507951537296,,,,,0.0,1813298000.0,830616000.0,187567000.0,5.0,5.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2015-09-30,16781979000.0,6942014000.0,9829453000.0,318557000.0,,1375187000.0,,586610000.0,133398000.0,,4.0,794272000.0,0.0,,31.8667,12.7941,4.0,,0.0596788041002892,0.034954757123697985,0.4265674413734278,,,,,0.0,1944078000.0,876297000.0,188334000.0,5.0,5.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2015-12-31,16931305000.0,7080782000.0,9840526000.0,400507000.0,,-861352000.0,,-433185000.0,-93520000.0,1861000.0,-2.0,-465800000.0,0.0,0.9631,33.9712,13.5786,-2.0,,-0.04402051272462468,-0.02558485598127256,0.5029128625695418,,,,,0.0,1856028000.0,742038000.0,175615000.0,5.0,5.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2016-03-31,17043390000.0,7186731000.0,9846532000.0,97541000.0,,508498000.0,,237931000.0,43410000.0,37000.0,,277782000.0,0.0,,33.8063,13.5721,,,0.024163939141212357,0.013960309539358074,0.46790941163977046,,,,,0.0,1922159000.0,771825000.0,173452000.0,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2016-06-30,17395067000.0,7528579000.0,9856519000.0,182306000.0,,1010804000.0,,435377000.0,89991000.0,73000.0,3.0,545519000.0,0.0,,31.0884,12.5934,3.0,,0.04417147676578313,0.025028762464668862,0.4307234636982046,,,,,0.0,2033137000.0,826733000.0,173279000.0,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2016-09-30,17588657000.0,7542083000.0,10036624000.0,65899000.0,,1527015000.0,,791767000.0,137862000.0,95000.0,5.0,851668000.0,0.0,,25.7874,12.1642,5.0,,0.07888778138943932,0.04501577351812591,0.5185063669970498,,,,,0.0,2184965000.0,1031890000.0,177743000.0,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2016-12-31,17867271000.0,7688089000.0,10171416000.0,214994000.0,,-1001062000.0,,-431073000.0,-83753000.0,100000.0,-1.0,-531485000.0,0.0,0.7195,23.4614,11.8603,-1.0,,-0.042380824852704876,-0.024126404082638025,0.4306156861413179,,,,,0.0,2045255000.0,1034002000.0,187510000.0,,,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2017-03-31,17978421000.0,7703021000.0,10266622000.0,121705000.0,,522326000.0,,235875000.0,49295000.0,20000.0,1.0,293462000.0,0.0,,24.5169,12.287,1.0,,0.022974937618235092,0.01311989523440351,0.4515857912491433,,,,,0.0,2059083000.0,1031946000.0,193395000.0,8.0,8.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2017-06-30,17943745000.0,7652491000.0,10282412000.0,53477000.0,,1052837000.0,,401100000.0,99397000.0,78000.0,2.0,562360000.0,0.0,,26.4862,12.686,2.0,,0.03900835718312007,0.022353193271527207,0.3809706535769545,,,,,0.0,2101116000.0,997669000.0,202801000.0,7.0,7.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2017-09-30,18177837000.0,7835285000.0,10333813000.0,36042000.0,,1603337000.0,,639348000.0,147138000.0,102000.0,4.0,917573000.0,0.0,,27.8187,11.5589,4.0,,0.06186951515379657,0.03517184140225264,0.3987608344346822,,,,,0.0,2177438000.0,845250000.0,212077000.0,6.0,6.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2017-12-31,18414821000.0,8020719000.0,10388046000.0,67088000.0,,-1019872000.0,,-399402000.0,-96169000.0,-59000.0,-1.0,-517138000.0,0.0,0.4631,27.9096,11.3379,-1.0,,-0.03844823174637463,-0.021689160052112372,0.39161973267233535,,,,,0.0,2158628000.0,876921000.0,199661000.0,6.0,6.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2018-03-31,18646447000.0,8305371000.0,10335124000.0,137244000.0,,560792000.0,,141643000.0,55113000.0,0.0,1.0,315913000.0,0.0,,28.7276,10.2327,1.0,,0.01370501215079761,0.007596246083771348,0.25257671293456396,,,,,0.0,2197094000.0,782689000.0,205479000.0,6.0,6.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2018-06-30,18671008000.0,8266813000.0,10398188000.0,101565000.0,,1130032000.0,,396305000.0,111698000.0,58000.0,2.0,625297000.0,0.0,,27.0363,10.5458,2.0,,0.03811289043821866,0.021225688511300515,0.35070245798349076,,,,,0.0,2274289000.0,777894000.0,217780000.0,6.0,6.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2018-09-30,18662119000.0,8258644000.0,10397398000.0,55887000.0,,1706015000.0,,588791000.0,165795000.0,87000.0,4.0,981359000.0,0.0,,30.099,10.9998,4.0,,0.056628687292724585,0.03155006138370461,0.34512650826634,,,,,0.0,2376967000.0,727337000.0,236437000.0,6.0,6.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2018-12-31,18380200000.0,7744350000.0,10632606000.0,91659000.0,,-1112304000.0,,-152214000.0,-111632000.0,-305000.0,0.0,-621458000.0,0.0,0.3224,24.7396,10.5532,0.0,,-0.014315775455236468,-0.008281411518917096,0.13684568247529452,,,,,0.0,2284535000.0,974525000.0,220974000.0,7.0,7.0,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2019-03-31,18639983000.0,7902588000.0,10733999000.0,62999000.0,,566184000.0,170430000.0,170366000.0,47892000.0,12000.0,1.23,362053000.0,0.0,,27.7402,12.1541,1.23,170430000.0,0.01587162435919735,0.009139815202621162,0.30090218020996706,0.30101521766775463,0.009143248682147402,0.01587758672233899,0.30101521766775463,0.0,2289927000.0,1003248000.0,213753000.0,7.23,7.23,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2019-06-30,18932575000.0,8178707000.0,10750000000.0,243576000.0,,1143446000.0,,338647000.0,97902000.0,-6000.0,2.43,638267000.0,0.0,,30.7588,12.2727,2.43,,0.031502046511627906,0.01788700163606905,0.29616352674284574,,,,,0.0,2303341000.0,945590000.0,199957000.0,7.66,7.66,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2019-09-30,19060467000.0,8242039000.0,10814425000.0,246425000.0,,1731060000.0,,618324000.0,149395000.0,11178000.0,4.43,1014922000.0,0.0,,29.9519,13.0216,4.43,,0.05717585539684264,0.03244012856558027,0.3571938580985061,,,,,0.0,2328386000.0,975123000.0,183557000.0,8.09,8.09,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2019-12-31,19121051000.0,8127601000.0,10989549000.0,39687000.0,,-1116064000.0,,-341363000.0,-91604000.0,1819000.0,-2.46,-693438000.0,0.0,0.2531,37.2562,12.5982,-2.46,,-0.031062512210464688,-0.017852732049090818,0.30586328382601713,,,,,0.0,2324626000.0,785974000.0,203585000.0,5.63,5.63,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2020-03-31,19891336000.0,8976094000.0,10911928000.0,777995000.0,,601651000.0,168097000.0,167971000.0,55914000.0,91000.0,1.19,341704000.0,0.0,,26.4295,8.7759,1.19,168097000.0,0.015393338372467267,0.008444430278589633,0.27918344688199637,0.2793928706176837,0.008450764694739458,0.015404885369478245,0.2793928706176837,0.0,2360093000.0,783579000.0,211607000.0,5.59,5.59,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2020-06-30,19351490000.0,8477931000.0,10870190000.0,322817000.0,,1178056000.0,,338799000.0,109313000.0,-1042000.0,2.41,628917000.0,0.0,,27.6847,9.2255,2.41,,0.03116771647965675,0.01750764411422583,0.2875915915711987,,,,,0.0,2394703000.0,783731000.0,223018000.0,5.57,5.57,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2020-09-30,19144611000.0,8471776000.0,10669644000.0,87530000.0,,1745459000.0,,486502000.0,162562000.0,-1069000.0,3.46,962074000.0,0.0,,31.9216,8.9278,3.46,,0.04559683528335153,0.025411955353911345,0.27872439283878914,,,,,0.0,2409102000.0,651909000.0,236185000.0,4.6,4.6,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2020-12-31,19199144000.0,8444293000.0,10751583000.0,216976000.0,139526671.0,-1223905000.0,,-165642000.0,-113638000.0,-1227000.0,-1.1700000000000008,-713080000.0,0.0,0.4942,27.0632,9.7325,-1.1700000000000008,,-0.015406289473838411,-0.00862757214592484,0.13533893562000318,,,,,0.0,2301261000.0,827630000.0,214151000.0,5.889999999999999,5.889999999999999,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2021-03-31,19120532000.0,8448771000.0,10668329000.0,129298000.0,,551135000.0,141479000.0,142223000.0,52613000.0,-755000.0,1.02,330145000.0,0.0,,32.1257,11.4446,1.02,141479000.0,0.013331328645751364,0.007438234459166722,0.25805474157874203,0.25670480009435076,0.0073993234079470175,0.013261589514159153,0.25670480009435076,0.0,2250745000.0,801882000.0,210850000.0,5.72,5.72,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2021-06-30,19316625000.0,8404999000.0,10908019000.0,297036000.0,,1112879000.0,,590176000.0,108717000.0,-745000.0,4.23,568629000.0,0.0,,27.001,13.0296,4.23,,0.05410478291246101,0.030552749250969048,0.5303146164138239,,,,,0.0,2185568000.0,1053259000.0,210254000.0,7.539999999999999,7.539999999999999,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2021-09-30,19478967000.0,8687601000.0,10787660000.0,322294000.0,,1693653000.0,,669090000.0,164704000.0,1434000.0,4.79,911742000.0,0.0,,30.6387,13.7598,4.79,,0.062023645535732495,0.03434935743769164,0.3950573110312443,,,,,0.0,2133762000.0,1235847000.0,212396000.0,8.87,8.87,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
2021-12-31,19902016000.0,8965555000.0,10932527000.0,420251000.0,,-1062817000.0,,-397190000.0,-105619000.0,5799000.0,-2.8499999999999988,-607346000.0,0.0,0.7494,35.1461,15.3814,-2.8499999999999988,,-0.03633103307222566,-0.01995727468011281,0.37371438356744385,,,,,0.0,2294850000.0,1004299000.0,220415000.0,7.19,7.19,0.763478,216.47,160.095,1.14057,23256.658,22.1218,2.256,7.6484
