report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-02-27,5152130000.0,3563345000.0,1149554000.0,1499226000.0,3652904000.0,,,1096100000.0,,3208119000.0,980687000.0,,385222000.0,2.0,260375000.0,905407000.0,153680000.0,,751727000.0,0.0,1.3629,11.5374,1313.7662,2.0,980687000.0,,,,,,0.1903459345940417,0.26846777249005177,,,0.0,3.099763038534945,,,,,,,,,,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2010-05-29,5361026000.0,3782353000.0,1214682000.0,1577807000.0,3783219000.0,,,1083985000.0,,775036000.0,225394000.0,,88357000.0,0.0,263638000.0,172283000.0,39032000.0,,133251000.0,0.0,,12.0581,752.9608,0.0,225394000.0,,,,,,0.04204307160606943,0.05957730704989587,,,0.0,3.1138627229184266,,,,,,,,,,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2010-08-28,5440012000.0,3852394000.0,1282431000.0,1655271000.0,3784741000.0,,,1040504000.0,,1649954000.0,522296000.0,,203831000.0,1.0,261783000.0,404102000.0,83574000.0,,320528000.0,0.0,,9.6708,714.2255,1.0,522296000.0,,,,,,0.09601008233070074,0.138000460269276,,,0.0,3.0039776019138653,,,,,,,,,,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2010-11-27,5560147000.0,3949015000.0,1369974000.0,1761235000.0,3798912000.0,,,840333000.0,,2546462000.0,827406000.0,,322363000.0,1.0,259834000.0,448067000.0,142186000.0,,305881000.0,0.0,,10.5774,961.3675,1.0,827406000.0,,,,,,0.14881009440937443,0.21780078085515012,,,0.0,2.882547406009165,,,2555783000.0,8179571000.0,1511387000.0,2555783000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2011-02-26,5646193000.0,4073838000.0,1322440000.0,1714534000.0,3931659000.0,,,1183587000.0,,-1348523000.0,-286638000.0,,-112906000.0,1.0,-527176000.0,-37045000.0,-81318000.0,,-118363000.0,0.0,1.0864,11.4874,900.7266,1.0,-286638000.0,,,,,,-0.050766596182595956,-0.07290510189210203,,,0.0,3.080546565439642,,,1288458000.0,3622929000.0,641297000.0,1288458000.0,3.0,3.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2011-05-28,5817533000.0,4279547000.0,1449392000.0,1881756000.0,3935777000.0,,,1228973000.0,,857572000.0,288948000.0,,108922000.0,0.0,249799000.0,258334000.0,33142000.0,,225192000.0,0.0,,11.0627,1231.6837,0.0,288948000.0,,,,,,0.04966847631117864,0.07341574484529992,,,0.0,2.952649800744036,,,1352012000.0,3705465000.0,733238000.0,1352012000.0,3.0,3.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2011-08-27,5748476000.0,4194576000.0,1391696000.0,1837430000.0,3911046000.0,,,1017990000.0,,1808571000.0,660584000.0,409950000.0,249314000.0,1.0,248169000.0,,89598000.0,,,0.0,,13.2896,4408.9394,1.0,660584000.0,0.10481850635354327,0.07131455363125809,,,,0.11491463128662276,0.1689021300184145,,,0.0,3.0140030581391337,,,1490300000.0,3864082000.0,,1490300000.0,3.0,3.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2011-11-26,5855116000.0,4290884000.0,1501528000.0,1944604000.0,3910512000.0,,,765750000.0,,2767264000.0,1017604000.0,638494000.0,377188000.0,2.0,246019000.0,,159244000.0,,,0.0,,12.8736,,2.0,1017604000.0,0.1632763177814056,0.10904890697297885,,,,0.17379741067469884,0.2602227022957608,,,0.0,2.8576783116931552,,,1680498000.0,4084884000.0,,1680498000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2012-02-25,5724546000.0,4142939000.0,1339130000.0,1802018000.0,3922528000.0,,,1003166000.0,,-1502474000.0,-398767000.0,-58907000.0,-155473000.0,1.0,-500097000.0,,-38610000.0,,,0.0,0.9137,13.3585,,1.0,-398767000.0,-0.015017611091622545,-0.01029024834458488,,,,-0.06965914851588231,-0.10166071472275022,,,0.0,3.093754153816284,,,1568369000.0,3930933000.0,,1568369000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2012-05-26,5824332000.0,4199833000.0,1512474000.0,1949763000.0,3874569000.0,,,1075184000.0,,887199000.0,313398000.0,206836000.0,105506000.0,0.0,232683000.0,,70788000.0,,,0.0,,14.8733,,0.0,313398000.0,0.053382969821933746,0.03551239867507553,,,,0.053808402405632096,0.08088589982524508,,,0.0,2.7767968242759875,,1196373000.0,1592819000.0,3960560000.0,,1592819000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2012-08-25,6107482000.0,3721043000.0,1601603000.0,2187386000.0,3920096000.0,,,744465000.0,,1919868000.0,678535000.0,431166000.0,246582000.0,1.0,230995000.0,,158064000.0,,,0.0,,13.5484,,1.0,678535000.0,0.10998863293143842,0.07059636033311273,,,,0.11109897663226842,0.17309142429165,,,0.0,2.3233241945725625,,1217589000.0,1610770000.0,4071857000.0,,1610770000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2012-11-24,6386836000.0,3967853000.0,1836913000.0,2409714000.0,3977122000.0,,,672262000.0,,2993878000.0,1040184000.0,663916000.0,372359000.0,2.0,229551000.0,,238405000.0,,,0.0,,13.5007,5785.84,2.0,1040184000.0,0.1669337777417942,0.10395068857255768,,,,0.16286374035594464,0.26154188883318136,,,0.0,2.1600658278318026,,1243011000.0,1633350000.0,4298471000.0,,1633350000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2013-03-02,6279952000.0,3867485000.0,1635210000.0,2200222000.0,4079730000.0,,,564971000.0,,-1412190000.0,-393899000.0,-264130000.0,-128176000.0,1.0,-465506000.0,,-152575000.0,,,0.0,1.0505,11.5011,860.0816,1.0,-393899000.0,-0.06474202949705005,-0.042059238669340145,,,,-0.06272325011401361,-0.09655026190458682,,,0.0,2.3651304725386955,,1037788000.0,1638218000.0,4388755000.0,,1638218000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2013-06-01,6312648000.0,3875149000.0,1734108000.0,2307597000.0,4005051000.0,,,439850000.0,,1032971000.0,323101000.0,202490000.0,,0.0,218335000.0,,64966000.0,,,0.0,,12.2232,712.8528,0.0,323101000.0,0.050558657055802786,0.03207687170265157,,,,0.05118311681563743,0.08067337968979671,,,0.0,2.234664161632378,,1033442000.0,1647921000.0,4534527000.0,,1647921000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2013-08-31,6307973000.0,3864461000.0,1706295000.0,2281261000.0,4026712000.0,,,383336000.0,,2146455000.0,712867000.0,451794000.0,,2.0,216516000.0,,130322000.0,,,0.0,,12.9943,682.3974,2.0,712867000.0,0.11219923351856304,0.07162269083903815,,,,0.11301047103403898,0.177034513518722,,,0.0,2.264825836095165,,1054070000.0,1682253000.0,4761114000.0,,1682253000.0,5.0,5.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2013-11-30,6544489000.0,4054604000.0,1833360000.0,2414661000.0,4129828000.0,,,471064000.0,,3268145000.0,1087514000.0,688991000.0,,3.0,215116000.0,,228928000.0,,,0.0,,13.3051,700.9578,3.0,1087514000.0,0.1668328559930341,0.10527804386255367,,,,0.16617248497170672,0.26333154794824387,,,0.0,2.211570013527076,,1079145000.0,1729583000.0,5035381000.0,,1729583000.0,6.0,6.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2014-03-01,6356033000.0,3814610000.0,1839959000.0,2414746000.0,3941287000.0,,,366516000.0,,-1881989000.0,-508895000.0,-320985000.0,,-1.0,-436604000.0,,-107036000.0,,,0.0,1.1312,13.11,202.5841,-1.0,-508895000.0,-0.08144167121044471,-0.05050083912402595,,,,-0.0800648769444715,-0.129118990827108,,,0.0,2.073203805084787,,1022290000.0,1614587000.0,4565582000.0,,1614587000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
2014-05-31,6362328000.0,3835249000.0,1887582000.0,2467981000.0,3894347000.0,,,536568000.0,,1030885000.0,300701000.0,187052000.0,,0.0,202096000.0,,67918000.0,,,0.0,,10.5267,173.9318,0.0,300701000.0,0.048031672575659025,0.02939993033996361,,,,0.04726273150331137,0.07721474229183994,,,0.0,2.031831729694392,,1006852000.0,1592187000.0,4563496000.0,,1592187000.0,4.0,4.0,0.0,-50.52968,12.65,3.54,1.37734,318.8225,1.7277,0.3052
