report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-03-31,1000.0,14252841000.0,543269000.0,11945500000.0,1313291000.0,,-73578000.0,42847000.0,944000.0,-9209000.0,,4290000.0,11120000.0,,11945500000.0,1.554,,,0.07886884766110343,42847.0,-0.5823343934328196,,21.98818633126499,,,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2014-06-30,21592330000.0,14676407000.0,293742000.0,202869000.0,87445000.0,,265246000.0,17842000.0,3676000.0,-1428000.0,,11438000.0,19864000.0,,202869000.0,,,,0.060740377610283856,0.0008263119357660799,0.06726585886309312,,0.6906366811691893,,,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2014-09-30,22015235000.0,15262000000.0,294089000.0,13175270000.0,1443231000.0,,440407000.0,31815000.0,569548000.0,971000.0,,14499000.0,28156000.0,,13175270000.0,,,,0.10818153688169228,0.001445135607228358,0.07223999618534674,,44.80028154742272,,,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2014-12-31,21641253000.0,14881880000.0,283639000.0,11640620000.0,1463255000.0,,-28186000.0,-57516000.0,108822000.0,20919000.0,,-13563000.0,-23011000.0,,11640620000.0,1.4157,,,-0.2027788844270358,-0.0026577019362048955,2.0405875257219894,,41.0402659718868,603889000.0,34988000.0,,682990000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2015-03-31,21618156000.0,14815137000.0,289515000.0,11420083000.0,1387389000.0,,181728000.0,18456000.0,126318000.0,5892000.0,,3256000.0,12618000.0,,11420083000.0,,9.024,5.3005,0.06374799233200353,0.0008537268396064863,0.10155837295298469,,39.445565860145415,859195000.0,10597000.0,,808364000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2015-06-30,20443660000.0,14149573000.0,285575000.0,10691112000.0,1482829000.0,,357520000.0,30542000.0,246747000.0,13279000.0,,6768000.0,31667000.0,,10691112000.0,,9.4151,4.6071,0.106949137704631,0.001493959496489376,0.0854273886775565,,37.437142607020924,951469000.0,23297000.0,,1051435000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2015-09-30,4755970000.0,3737467000.0,256048000.0,2714060000.0,473621000.0,,654923000.0,19194000.0,79324000.0,15741000.0,,8589000.0,44156000.0,,2714060000.0,,8.9371,4.5194,0.07496250702993189,0.0040357697798766605,0.029307262075083634,,10.599809410735487,1165985000.0,10676000.0,,561211000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2015-12-31,4321408000.0,3329497000.0,246917000.0,2345606000.0,280990000.0,,-379729000.0,-48814000.0,-347376000.0,-15848000.0,,-7937000.0,-33166000.0,,2345606000.0,1.2026,138.769,3.3593,-0.19769396193862715,-0.01129585542489855,0.12854957087817892,,9.499572730917677,814442000.0,19378000.0,,105013000.0,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2016-03-31,4336333000.0,3375026000.0,,2555203000.0,233805000.0,,,-3090000.0,,4665000.0,,2799000.0,9738000.0,,2555203000.0,,,4.7884,,-0.0007125836507482243,,,,,-2168000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2016-06-30,4671604000.0,3356962000.0,,2347549000.0,498120000.0,,,34484000.0,,231000.0,,5273000.0,19439000.0,,2347549000.0,,129.2269,3.7114,,0.007381618818718368,,,,,1774000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2016-09-30,5319134000.0,3971206000.0,,2762512000.0,550039000.0,,,77793000.0,,7868000.0,,8167000.0,28622000.0,,2762512000.0,,47.572,3.7089,,0.01462512506735119,,,,,60373000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
2016-12-31,5829712000.0,4452450000.0,292851000.0,3429609000.0,798141000.0,,1199205000.0,2621000.0,,-1745000.0,-625655000.0,-4326000.0,-20344000.0,-629981000.0,3429609000.0,1.4981,35.305,3.2917,0.008949943828090053,0.0004495933932928419,0.0021856146363632574,-0.5253321992486689,11.711105647581876,,111808000.0,,,1.6337124,195.26,95.8,4.92036,23855.273,45.2351,8.1979,4.2587
