report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-03,,,,,,,,,,,,,,,,99435000.0,,,,0.0,,19.0487,1.0805,,,,,,,,,,,,,,,,,,,,,,,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2010-10-02,,,,1759088000.0,,,,,,,,,,,,99326000.0,,,,0.0,,17.9869,1.0922,,,,,,,,,,,,,,,,,,,,,,,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2010-12-31,3973533000.0,1069297000.0,546796000.0,1768501000.0,2205032000.0,702521000.0,4933000.0,46056000.0,3030773000.0,930640000.0,334155000.0,197828000.0,37379000.0,97200000.0,1.99,99294000.0,270376000.0,59523000.0,210853000.0,707454000.0,1.9543,18.1552,1.1855,1.99,334155000.0,0.08971661182241346,0.049786424323140135,0.06527311679231668,0.307063577509764,0.11025405069927705,0.08409518682744047,0.11473188197299489,0.06957070028009356,0.11025405069927705,0.3208361602008497,1.9555684386864571,,,,,,,,,,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2011-04-02,4162687000.0,1209077000.0,546361000.0,1880243000.0,2282444000.0,802321000.0,6093000.0,57134000.0,790273000.0,249059000.0,86177000.0,,,25053000.0,0.51,99670000.0,-48180000.0,13268000.0,-61448000.0,808414000.0,,17.781,1.2168,0.51,86177000.0,,,,0.3151556487441682,0.10904712675240075,0.020702253136015272,0.027881254978391112,-0.07775540857399911,0.10904712675240075,0.35418787930832035,2.2129635900073397,,,,,,,,,,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2011-07-02,5052312000.0,1334639000.0,711402000.0,2685458000.0,2366854000.0,1384167000.0,21451000.0,68972000.0,1700448000.0,536795000.0,195599000.0,117253000.0,,52397000.0,1.17,99825000.0,152611000.0,35221000.0,117390000.0,1405618000.0,,18.7191,1.2682,1.17,195599000.0,0.04953959982322526,0.023207790809435365,0.06895418148629068,0.3156785741169386,0.11502792205348238,0.03871475079132088,0.05184902631484077,0.06903474848980974,0.11502792205348238,0.5938760903714382,1.876068664411964,,,,,,,,,,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2011-10-01,4882443000.0,1278248000.0,717602000.0,2584327000.0,2298116000.0,1317454000.0,29705000.0,52665000.0,2590994000.0,808857000.0,288502000.0,168345000.0,,76447000.0,1.69,99759000.0,240559000.0,53063000.0,187496000.0,1347159000.0,,14.3045,0.9126,1.69,288502000.0,0.07325348241777177,0.03447966520039251,0.0649731338629113,0.3121801903053423,0.11134800003396379,0.05908968112889387,0.07914409749607368,0.0723645056684809,0.11134800003396379,0.5862014798208619,1.7812770867416758,8112488000.0,,904433000.0,2525351000.0,454291000.0,904433000.0,5.359999999999999,5.359999999999999,1.4895066854040044,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2011-12-31,4586313000.0,1237835000.0,641841000.0,2538921000.0,2047392000.0,1304225000.0,3694000.0,50077000.0,-1625029000.0,-520989000.0,-401761000.0,-251376000.0,60267000.0,-80838000.0,-3.0300000000000002,-199501000.0,-24764000.0,-28204000.0,-52968000.0,1307919000.0,1.9283,,0.9735,-3.0300000000000002,-401761000.0,-0.12277863740798049,-0.05481004022185141,0.15469016245248546,0.3206028938560481,0.24723312630113062,-0.08759999590084672,-0.1197388259985438,0.032595110610333725,0.24723312630113062,0.6388219744924274,1.9285695366921092,3456686000.0,,168517000.0,1073722000.0,190470000.0,168517000.0,0.3399999999999994,0.3399999999999994,7.7613475198347945,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2012-03-31,4778206000.0,1389207000.0,659323000.0,2634599000.0,2143607000.0,1395093000.0,19190000.0,55438000.0,858177000.0,280719000.0,84952000.0,60814000.0,,9079000.0,0.61,100407000.0,-67509000.0,15621000.0,-83130000.0,1414283000.0,,1666.8429,1.3242,0.61,84952000.0,0.028369939079318177,0.012727370900291867,0.0708641690467118,0.32711084077061026,0.09899123374315555,0.017779057663064337,0.023877073209121136,-0.09686812860284068,0.09899123374315555,0.6597678585673586,2.107020383029259,3524590000.0,95036000.0,167292000.0,1105382000.0,168788000.0,167292000.0,0.4399999999999996,0.4399999999999996,8.453978672022572,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2012-06-30,4586269000.0,1276025000.0,661716000.0,2468397000.0,2117872000.0,1233794000.0,222000.0,60598000.0,1799702000.0,592847000.0,202744000.0,132644000.0,,37943000.0,1.32,100785000.0,166761000.0,31312000.0,135449000.0,1234016000.0,,436.4977,1.0802,1.32,202744000.0,0.06263079166257451,0.028921984297039707,0.07370331310405834,0.3294139807590368,0.11265420608522966,0.04420673972678009,0.060486507902412015,0.07526190447085128,0.11265420608522966,0.5826678855001625,1.9283574826662797,3623844000.0,110427000.0,174437000.0,1161434000.0,186847000.0,174437000.0,0.5899999999999997,0.5899999999999997,7.074278966045048,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2012-09-29,11972335000.0,3740446000.0,2131949000.0,4906094000.0,6966241000.0,1495369000.0,17000.0,642570000.0,2665214000.0,870924000.0,256421000.0,163062000.0,,41966000.0,1.6,101708000.0,247351000.0,49942000.0,197409000.0,1495386000.0,,,2.5211,1.6,256421000.0,0.023407458915073422,0.013619899543405693,0.06118157866497775,0.3267745104145483,0.09621028555305502,0.021417793605006875,0.030303982910142458,0.07406872393736488,0.09621028555305502,0.21466182407413123,1.754472550703605,3698064000.0,105144000.0,142356000.0,1223501000.0,196760000.0,142356000.0,0.5,0.5,10.504551968304813,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2012-12-31,11795311000.0,3260368000.0,1537921000.0,5311954000.0,6366860000.0,2454278000.0,3096000.0,261341000.0,-906947000.0,-474898000.0,-587236000.0,-463706000.0,70537000.0,-168341000.0,-4.37,-175532000.0,-278643000.0,-2343000.0,-280986000.0,2457374000.0,1.9477,,2.2943,-4.37,-587236000.0,-0.07283119151355613,-0.03931274046101879,0.5112823571829446,0.5236226593174684,0.6474865675723057,-0.049785546137783056,-0.06654809924578156,0.3098152372740634,0.6474865675723057,0.3859632534718841,2.1199840563982155,4416146000.0,-107186000.0,-43119000.0,1269592000.0,-31258000.0,-43119000.0,-0.8399999999999999,-0.8399999999999999,-56.99051462232426,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2013-03-30,11721000000.0,3290000000.0,1483000000.0,5378000000.0,6228000000.0,2592000000.0,6000000.0,215000000.0,1774000000.0,524000000.0,74000000.0,52000000.0,,21000000.0,0.25,208200000.0,20000000.0,50000000.0,-30000000.0,2598000000.0,,,1.9795,0.25,74000000.0,0.008349389852280027,0.004436481528879788,0.029312288613303268,0.29537767756482525,0.04171364148816235,0.006313454483405853,0.008384319057330614,-0.016910935738444193,0.04171364148816235,0.41714836223506746,2.218476062036413,5331969000.0,-116000000.0,-54071000.0,1512873000.0,21872000.0,-54071000.0,-1.1999999999999997,-1.1999999999999997,-48.047936971759356,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2013-06-29,11666600000.0,3216500000.0,1686800000.0,5723700000.0,5826000000.0,2737400000.0,2900000.0,253100000.0,3738200000.0,1191200000.0,300200000.0,205800000.0,,73900000.0,0.0,206900000.0,386100000.0,88000000.0,298100000.0,2740300000.0,,,1.9106,0.0,300200000.0,0.03532440782698249,0.017640100800576004,0.05505323417687657,0.31865603766518646,0.08030602963993366,0.02573157560900348,0.035044301507068394,0.07974426194425124,0.08030602963993366,0.47035702025403364,1.9068650699549443,7270467000.0,-42844000.0,43385000.0,2111226000.0,184523000.0,43385000.0,-2.52,-2.52,63.16238331220468,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
2013-09-28,11804200000.0,3211300000.0,1678400000.0,5602500000.0,6082200000.0,2570700000.0,3000000.0,237700000.0,5563000000.0,1828800000.0,540200000.0,378600000.0,,123100000.0,1.0,205600000.0,629800000.0,126300000.0,503500000.0,2573700000.0,,122.6986,1.8707,1.0,540200000.0,0.06224721317944165,0.0320733298317548,0.06805680388279706,0.3287434837317994,0.09710587812331475,0.04576337235899087,0.062408299541353296,0.0905087183174546,0.09710587812331475,0.42315280655026144,1.9133102955195425,10168253000.0,172694000.0,327164000.0,3069102000.0,490614000.0,327164000.0,-3.12,-3.12,7.866696824834028,1.2612427,113.95,74.25,1.53437,14008.913,21.4269,4.4044,3.3546
