report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-05-01,43323000000.0,17222000000.0,10197000000.0,,15597000000.0,,1578000000.0,738900000.0,15593000000.0,,,,187000000.0,384000000.0,0.9,745700000.0,1158000000.0,407000000.0,516000000.0,751000000.0,0.0,,15.9915,0.6378,0.9,,,,,,,,,0.04816263708074136,,0.0,1.6889281161125822,,,,,,,,,,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2010-07-31,43655000000.0,17245000000.0,10100000000.0,,15268000000.0,,1540000000.0,722600000.0,31124000000.0,,,,373000000.0,785000000.0,1.82,741100000.0,1828000000.0,991000000.0,1012000000.0,837000000.0,0.0,,14.0016,0.5724,1.82,,,,,,,,,0.026892430278884463,,0.0,1.7074257425742574,,,,,,,,,,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2010-10-30,44949000000.0,18346000000.0,11790000000.0,,14879000000.0,,936000000.0,707900000.0,46729000000.0,,,,567000000.0,1023000000.0,2.57,734400000.0,2852000000.0,1607000000.0,1545000000.0,1245000000.0,0.0,,13.6771,0.5766,2.57,,,,,,,,,0.02664298401420959,,0.0,1.5560644614079728,,,,,,,,,,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2011-01-29,43705000000.0,17213000000.0,10070000000.0,,15487000000.0,,1712000000.0,704038218.0,-26056000000.0,,,,-370000000.0,-617000000.0,-1.29,-1491800000.0,-567000000.0,-876000000.0,-989000000.0,-1443000000.0,0.0,1.7093,13.2959,0.5761,-1.29,,,,,,,,,0.05538071845256371,,0.0,1.7093346573982124,67390000000.0,,,,1390000000.0,,757000000.0,3.9999999999999996,3.9999999999999996,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2011-04-30,42996000000.0,16368000000.0,10838000000.0,,15230000000.0,,1424000000.0,689000000.0,15935000000.0,,,,183000000.0,392000000.0,0.99,697400000.0,1052000000.0,632000000.0,512000000.0,420000000.0,0.0,,11.4465,0.4965,0.99,,,,,,,,,0.026357075619705052,,0.0,1.5102417420188226,67732000000.0,,,,1059000000.0,,753000000.0,4.09,4.09,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2011-07-30,45499000000.0,16059000000.0,11620000000.0,,15106000000.0,,890000000.0,675200000.0,32175000000.0,,,,374000000.0,797000000.0,2.02,691200000.0,2336000000.0,2379000000.0,1022000000.0,-43000000.0,0.0,,11.885,0.5145,2.02,,,,,,,,,-0.0013364413364413364,,0.0,1.3820137693631669,68783000000.0,,,,179000000.0,,754000000.0,4.289999999999999,4.289999999999999,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2011-10-29,48447000000.0,18372000000.0,14139000000.0,48447000000.0,15264000000.0,,821000000.0,671400000.0,48577000000.0,,,1948000000.0,574000000.0,1100000000.0,2.84,686900000.0,2975000000.0,3750000000.0,1568000000.0,-775000000.0,0.0,,12.3931,0.5339,2.84,,0.12762054507337525,0.04020888806324437,0.040101282499948536,,,,,-0.01595405232929164,,0.0,1.2993846806704858,70631000000.0,,,,-1841000000.0,,761000000.0,4.559999999999999,4.559999999999999,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2012-01-28,46630000000.0,16449000000.0,14287000000.0,46630000000.0,15821000000.0,,794000000.0,669292929.0,-26822000000.0,,,981000000.0,-265000000.0,-762000000.0,-1.5699999999999994,-1391600000.0,-929000000.0,-2393000000.0,-971000000.0,-3322000000.0,0.0,1.1513,11.5008,0.4822,-1.5699999999999994,,0.06200619429871689,0.02103795839588248,-0.036574453806576694,,,,,0.12385355305346357,,0.0,1.1513263806257437,69865000000.0,,,,-3720000000.0,,866000000.0,4.279999999999999,4.279999999999999,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2012-04-28,46175000000.0,15591000000.0,12446000000.0,46175000000.0,15863000000.0,,675000000.0,661000000.0,16867000000.0,,,697000000.0,184000000.0,404000000.0,1.04,672000000.0,1307000000.0,829000000.0,529000000.0,478000000.0,0.0,,13.0597,0.5418,1.04,,0.04393872533568682,0.01509474824038982,0.04132329400604731,,,,,0.028339360882196005,,0.0,1.2526916278322353,70797000000.0,,,,-3662000000.0,,867000000.0,4.33,4.33,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
2012-07-28,47325000000.0,16415000000.0,13329000000.0,47325000000.0,15897000000.0,,1442000000.0,653900000.0,33646000000.0,,,1401000000.0,366000000.0,772000000.0,2.1,667600000.0,2471000000.0,1603000000.0,1060000000.0,868000000.0,0.0,,13.8127,0.5687,2.1,,0.08812983581807889,0.02960380348652932,0.041639422219580335,,,,,0.025798014622837782,,0.0,1.231525245704854,72268000000.0,5027000000.0,,,-2751000000.0,,859000000.0,4.41,4.41,,,1.0298424,126.0,83.44,6.57014,54546.504,14.7224,3.0681,0.5206
