report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-12-31,4602844000.0,1308872000.0,463904000.0,1292121000.0,3310723000.0,313382000.0,,-1163930000.0,-289764000.0,-200525000.0,-8990000.0,-88013000.0,0.0,-350136000.0,-312428000.0,-81425000.0,-162876000.0,-393853000.0,0.0,2.9477,49.7738,4.4554,0.0,-452640000.0,-0.060568341114614545,-0.04356545648733696,0.17228269741307467,0.2489531157372007,-0.06295325238048476,-0.08752287642306529,0.3383820332837885,0.3888893661989982,0.0,2.8214285714285716,2502996000.0,218321000.0,316219000.0,383987000.0,688532000.0,18839000.0,0.9999999999999999,0.9999999999999999,0.0,16.785338924571366,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2018-03-31,4686904000.0,1459726000.0,1130595000.0,1300647000.0,3386257000.0,363703000.0,,668724000.0,68557000.0,53714000.0,4850000.0,13979000.0,0.0,172004000.0,192010000.0,51584000.0,104095000.0,140426000.0,0.0,,58.3195,4.6042,0.0,172652000.0,0.015862351853388565,0.011460443823897395,0.08032312284290678,0.10251912597723425,0.014627353152528834,0.020245657668629406,0.20999096787314347,0.2581812526543088,0.0,1.2911130864721674,2562483000.0,191105000.0,269548000.0,427019000.0,659423000.0,19092000.0,0.9999999999999999,0.9999999999999999,0.0,14.11837418814163,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2018-06-30,5604704000.0,2484160000.0,1136328000.0,2159426000.0,3445278000.0,977488000.0,,,125674000.0,96775000.0,14054000.0,22471000.0,0.0,172156000.0,411691000.0,98300000.0,210393000.0,313391000.0,0.0,,67.4904,4.8584,0.0,336067000.0,0.028089170162756097,0.01726674593341593,,,0.02242295043591954,0.03647717252424913,,,0.0,2.186129357016636,,149178000.0,192783000.0,478040000.0,617312000.0,23903000.0,0.9999999999999999,0.9999999999999999,0.0,8.065221938668786,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2018-09-30,5363887000.0,2429789000.0,1195938000.0,2208357000.0,3155530000.0,705407000.0,,,242211000.0,204358000.0,28620000.0,25658000.0,1.0,170732000.0,722172000.0,143285000.0,318226000.0,578887000.0,0.0,,52.2842,4.5588,1.0,560437000.0,0.06476186250804143,0.03809886375309547,,,0.04515587297047831,0.07675762867093643,,,0.0,2.03170147616348,,154322000.0,146678000.0,638851000.0,616516000.0,38534000.0,0.9999999999999999,0.9999999999999999,0.0,3.8064566356983445,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2018-12-31,5461770000.0,2535354000.0,1210709000.0,2269910000.0,3191860000.0,1036455000.0,,,-73943000.0,-56474000.0,-4322000.0,-17392000.0,0.0,-345704000.0,-317546000.0,-75560000.0,-198194000.0,-393106000.0,0.0,2.0942,33.3373,3.6647,0.0,-272137000.0,-0.017693131904281515,-0.010339871506855836,,,-0.013538285207908791,-0.02316611630835939,,,0.0,2.0941068415283937,,298373000.0,362499000.0,639598000.0,797019000.0,43202000.0,0.9999999999999999,0.9999999999999999,0.0,8.390792092958659,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2019-03-31,5182762000.0,1818418000.0,569706000.0,1899545000.0,3283217000.0,688698000.0,,706508000.0,134525000.0,107130000.0,12116000.0,24425000.0,0.65,164787000.0,160850000.0,69752000.0,108205000.0,91098000.0,0.0,,34.0023,4.3462,0.65,242730000.0,0.032629582510080815,0.02067044560410067,0.15163310252679374,0.19040831809406264,0.025956237234123426,0.04097353297086364,0.1289412151030137,0.34356298867104124,0.0,3.191853341899155,,351789000.0,428467000.0,590270000.0,867097000.0,50468000.0,1.65,1.65,0.0,8.489874772132836,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2019-06-30,5343236000.0,1744794000.0,590814000.0,1948472000.0,3394764000.0,515896000.0,,,270307000.0,221045000.0,20562000.0,43678000.0,1.34,164903000.0,478779000.0,158158000.0,214270000.0,320621000.0,0.0,,31.2118,4.7199,1.34,484577000.0,0.06511351009967115,0.04136912537645726,,,0.05058863205742737,0.07962468083201071,,,0.0,2.9532035462937576,,476059000.0,573100000.0,597500000.0,1015607000.0,56976000.0,2.99,2.99,0.0,10.058621173827577,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2019-09-30,6357434000.0,2253908000.0,602523000.0,2855834000.0,3501600000.0,738462000.0,,,413596000.0,358935000.0,32689000.0,42718000.0,2.18,164788000.0,776164000.0,268766000.0,324874000.0,507398000.0,0.0,,33.2879,5.318,2.18,738470000.0,0.10250599725839617,0.05645909969336685,,,0.06505706547641706,0.11811628969613891,,,0.0,3.7407833393911933,,630636000.0,744485000.0,526011000.0,1193640000.0,61045000.0,4.17,4.17,0.0,12.195675321484151,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2019-12-31,7006886000.0,2231613000.0,693336000.0,3348928000.0,3657958000.0,393745000.0,,,-269510000.0,-209075000.0,-16003000.0,-57471000.0,-1.27,-329905000.0,-357489000.0,-137009000.0,-206675000.0,-494498000.0,0.0,3.2188,29.2031,4.8241,-1.27,-476185000.0,-0.05715620573008219,-0.0298385045796378,,,-0.038463591387101204,-0.07367771855226331,,,0.0,3.2186602166914744,,478035000.0,548918000.0,424619000.0,989592000.0,49364000.0,2.9,2.9,0.0,11.119803905680254,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
2020-03-31,6947956000.0,2014584000.0,630247000.0,3275738000.0,3672218000.0,384103000.0,,,152330000.0,123146000.0,17205000.0,14292000.0,0.75,163684000.0,223243000.0,141095000.0,116208000.0,82148000.0,0.0,,30.0915,5.0367,0.75,268538000.0,0.03353450149201382,0.01772406158012515,,,0.021924433603206468,0.04148174209701058,,,0.0,3.1964991503331235,,494051000.0,566723000.0,415669000.0,1015400000.0,54453000.0,3.0,3.0,0.0,10.407562485078875,0.58600473,121.12,67.51,5.53682,17096.783,37.8221,2.5219,4.0628
