report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,8217323000.0,2409012000.0,682330000.0,2266729000.0,5909372000.0,,,639559000.0,1108860000.0,303689000.0,217442000.0,75310000.0,0.8,272703000.0,336895000.0,38209000.0,82510000.0,298686000.0,0.0,,16.3989,3.4771,0.8,386199000.0,0.03679612655964119,0.026461415718963464,0.1960950886496041,0.27387497069061917,0.036957169628113684,0.05139107844285315,0.26936312970077375,0.34828472485255124,0.0,3.5305673207978545,,,,,,,,,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2010-06-30,7502150000.0,2255231000.0,755658000.0,2290860000.0,5170806000.0,,,720962000.0,2321562000.0,699568000.0,510880000.0,177553000.0,1.91,267272000.0,765376000.0,85260000.0,169961000.0,680116000.0,0.0,,11.5795,2.7727,1.91,869529000.0,0.09880084458786502,0.0680978119605713,0.22005873631632494,0.3013350494193134,0.09324900195277354,0.13529186745741378,0.2929562079324179,0.3745448107782605,0.0,2.9844599011722233,,,,,,,,,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2010-09-30,7394147000.0,2131131000.0,824480000.0,2323946000.0,5030695000.0,,,626757000.0,3497351000.0,893703000.0,764995000.0,252564000.0,2.95,258906000.0,1193617000.0,124220000.0,260089000.0,1069397000.0,0.0,,12.6822,2.9357,2.95,1153792000.0,0.1520654700791839,0.10345953360137417,0.21873555156459845,0.255537119379782,0.12086627436538656,0.17765000660942473,0.3057734268021711,0.3299045477562875,0.0,2.584818309722492,,,,,,,,,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2010-12-31,8092493000.0,2540420000.0,1050122000.0,2643050000.0,5396506000.0,,,759598000.0,-2211350000.0,-648071000.0,-488044000.0,-174094000.0,-1.7200000000000002,-544014000.0,-671215000.0,-74634000.0,-158459000.0,-745849000.0,0.0,2.419,15.8955,3.3877,-1.7200000000000002,-806530000.0,-0.09043703462944357,-0.06030823875905732,0.22069957265923532,0.2930657743007665,-0.08008298555216545,-0.12009085137679824,0.3372822031790535,0.3647229068216248,0.0,2.4191665349359406,4716423000.0,1005273000.0,1248889000.0,1302350000.0,1602990000.0,3.94,3.94,0.0,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2011-03-31,8293524000.0,2628315000.0,978846000.0,2619224000.0,5604159000.0,,,790675000.0,1203342000.0,416283000.0,294331000.0,117468000.0,1.2,244551000.0,253578000.0,32143000.0,92545000.0,221435000.0,0.0,,16.3569,3.6791,1.2,508828000.0,0.05252010158883786,0.03548925643670893,0.24459463726854044,0.34593905971868344,0.050193741526521174,0.0742810830313701,0.1840166802122755,0.42284570803645183,0.0,2.6851159426508358,4810905000.0,1082162000.0,1361483000.0,1225099000.0,1725619000.0,4.34,4.34,0.0,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2011-06-30,8621979000.0,2688623000.0,954330000.0,2565785000.0,5977050000.0,,,697526000.0,2411990000.0,827095000.0,582364000.0,212504000.0,2.38,244899000.0,683244000.0,86229000.0,182845000.0,597015000.0,0.0,,23.9949,5.3747,2.38,1009940000.0,0.0974333492274617,0.06754412183096248,0.24144544546204585,0.3429097964751098,0.09592867252402262,0.1383784642925858,0.24751968291742504,0.41871649550785867,0.0,2.8172885689436566,4901333000.0,1153646000.0,1489010000.0,1141998000.0,1866030000.0,4.8100000000000005,4.8100000000000005,0.0,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2011-09-30,8802204000.0,2837288000.0,885346000.0,2568610000.0,6229148000.0,,,575140000.0,3721924000.0,1315588000.0,934190000.0,339608000.0,3.81,245140000.0,1253767000.0,137578000.0,270212000.0,1116189000.0,0.0,,19.238,4.5727,3.81,1585800000.0,0.1499707504140213,0.10613137346055601,0.2509965276023906,0.35346987203392655,0.14946120312594435,0.21119870646836453,0.2998956991061612,0.42606995736613645,0.0,3.204722221594721,5125906000.0,1322841000.0,1910895000.0,1188790000.0,2298038000.0,5.67,5.67,0.0,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2011-12-31,9049604000.0,2975427000.0,912889000.0,2622617000.0,6425499000.0,,,514542000.0,-2288622000.0,-834275000.0,-576457000.0,-225052000.0,-2.3500000000000005,-489557000.0,-462848000.0,-47930000.0,-186669000.0,-510778000.0,0.0,3.2585,22.3374,5.4612,-2.3500000000000005,-1020944000.0,-0.08971396618379367,-0.0636996933788484,0.25187951527163505,0.3645315827602811,-0.09218911678345262,-0.12983816509815035,0.22318146028483515,0.4460955107483892,0.0,3.259352451393324,5048634000.0,1234428000.0,1724691000.0,1423861000.0,2083624000.0,5.04,5.04,0.0,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2012-03-31,9113549000.0,2677950000.0,1337319000.0,2805001000.0,6305901000.0,,,298139000.0,1292014000.0,369370000.0,302661000.0,82148000.0,1.25,241828000.0,194625000.0,54551000.0,83945000.0,140074000.0,0.0,,24.518,5.931,1.25,453315000.0,0.04799647187610462,0.033210004137795276,0.23425520156902324,0.28588699503256154,0.04052976507834654,0.05857529320552289,0.10841523389065444,0.3508592012160859,0.0,2.002476596832917,5137306000.0,1242758000.0,1677778000.0,1342500000.0,2028111000.0,5.09,5.09,0.0,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
2012-06-30,9162380000.0,2868919000.0,1432865000.0,2891695000.0,6268297000.0,,,456811000.0,2712966000.0,875093000.0,689507000.0,203169000.0,2.86,241245000.0,830206000.0,127447000.0,174569000.0,702759000.0,0.0,,26.0028,6.5206,2.86,1049662000.0,0.1099990954480938,0.07525413702553267,0.25415246634126637,0.32255951604258953,0.0955093545563489,0.139606180115588,0.25903715711881387,0.38690569656973217,0.0,2.0022256109263608,5438282000.0,1349901000.0,1725776000.0,1448244000.0,2067833000.0,5.57,5.57,0.0,0.16792357,202.41,110.035,1.27092,26026.24,20.1301,1.4142,2.6314
