report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,9520582000.0,5123003000.0,989638000.0,2104016000.0,7384276000.0,,2860991000.0,,2790524000.0,928112000.0,712288000.0,1678000.0,306682000.0,3.1,696397000.0,27862000.0,131194000.0,668535000.0,0.0,,18.375,4.9598,3.1,1059306000.0,0.0964600998120872,0.07481559425673767,0.2552524185421806,0.3325941651102087,0.09748479662272748,0.125687609726397,0.23957328444406856,0.3796082742882699,0.0,5.1766433786899855,,,,,,,,,,,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2010-09-30,10708088000.0,6362793000.0,1006642000.0,2958109000.0,7726994000.0,898903000.0,3985312000.0,,5852999000.0,1958680000.0,1445689000.0,16506000.0,618312000.0,6.33,1651039000.0,57403000.0,267445000.0,1593636000.0,898903000.0,6.6832,16.6439,4.1111,6.33,2226125000.0,0.18709591336553386,0.13500906977977767,0.24699970049542125,0.33464553812498515,0.18291594166951186,0.22706971808265275,0.27227682765706945,0.38033920730210274,0.11633281972265024,6.320810178792461,,,,,,,,,,,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2010-12-31,12391955000.0,6808499000.0,1108329000.0,4238432000.0,8129728000.0,898971000.0,4101724000.0,,1700313000.0,659234000.0,501157000.0,7895000.0,207550000.0,2.23,245776000.0,54003000.0,62478000.0,191773000.0,898971000.0,,15.9483,4.1093,2.23,721712000.0,0.06164498984467869,0.04044212555645982,0.29474396772829475,0.38771332101795375,0.053198546960507846,0.07301539236162376,0.11278688100367402,0.42445832032102326,0.11057823828792304,6.143030634405488,,,,,,,,,,,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2011-03-31,12827382000.0,7104202000.0,1171099000.0,4377435000.0,8413508000.0,899039000.0,4234894000.0,,3449876000.0,1288716000.0,1004257000.0,16259000.0,390554000.0,4.47,488344000.0,65148000.0,123627000.0,423196000.0,899039000.0,,16.0563,4.2843,4.47,1412343000.0,0.11936245856068599,0.07829009847839567,0.2910994482120517,0.373554295864547,0.10046601870903978,0.13838491231238886,0.12266991625206239,0.40938949689785953,0.10685661676437462,6.066269376030549,13793712000.0,3663391000.0,4834742000.0,2877140000.0,5419486000.0,42338000.0,16.13,16.13,0.1658900862554124,114.19391563134772,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2011-06-30,13150999000.0,7585897000.0,1280655000.0,4352402000.0,8686499000.0,899106000.0,4481196000.0,,5302909000.0,1971413000.0,1507604000.0,26315000.0,599498000.0,6.73,1008599000.0,84716000.0,181765000.0,923883000.0,899106000.0,,15.4894,4.2639,6.73,2153178000.0,0.1735571488582454,0.11463798301558688,0.2842975431032288,0.3717606694740566,0.14990595011071023,0.20566390958108538,0.17422192234488657,0.40603713923810497,0.10350614211778532,5.9234508903646965,16306097000.0,4458707000.0,5878043000.0,3132488000.0,6513358000.0,66975000.0,19.759999999999998,19.759999999999998,0.13804031653104282,87.76473310936916,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2011-09-30,13775843000.0,7616768000.0,1312064000.0,4653373000.0,8524731000.0,1004381000.0,4699994000.0,,-3313059000.0,-1259536000.0,-1089438000.0,-13033000.0,-394178000.0,-4.8100000000000005,-120941000.0,-72145000.0,-124296000.0,-193086000.0,1004381000.0,7.5025,10.965,2.9541,-4.8100000000000005,-1383832000.0,-0.1277973463326878,-0.07908321835549374,0.32883145153768767,0.38017312701041545,-0.09143077487163581,-0.13217768875001154,0.0582802781357048,0.4176901165961729,0.11781967079078506,5.805180235110482,7140039000.0,1923580000.0,2659827000.0,1345766000.0,2903401000.0,37436000.0,8.62,8.62,0.3459325804461733,71.04997863019554,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2011-12-31,13405487000.0,7084056000.0,1040924000.0,4445586000.0,8273643000.0,974347000.0,4248837000.0,,1701876000.0,632380000.0,480785000.0,8565000.0,201265000.0,2.2,167740000.0,26768000.0,52624000.0,140972000.0,974347000.0,,11.3108,3.0143,2.2,685004000.0,0.05811043575363355,0.035864791782648404,0.28250295556197985,0.3715781878350714,0.047173220935576604,0.06838026425201585,0.0828332969029471,0.4024993595303066,0.11776517309243341,6.805545841963486,7141602000.0,1903208000.0,2632973000.0,1294965000.0,2866693000.0,38106000.0,8.59,8.59,0.33988536616931075,69.09602162389125,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2012-03-31,13662808000.0,7568629000.0,1116704000.0,4286559000.0,8689779000.0,964863000.0,4541927000.0,,3501225000.0,1249537000.0,984004000.0,18198000.0,403416000.0,4.53,478349000.0,45285000.0,108350000.0,433064000.0,964863000.0,,14.3591,3.8004,4.53,1357887000.0,0.11323694192913307,0.07202062709217608,0.2810456340280902,0.35688566144706496,0.09145535822504422,0.1294234421120949,0.12368928018050825,0.387831973095131,0.11103423919066296,6.777650120354185,7192951000.0,1882955000.0,2593794000.0,1304833000.0,2812237000.0,40045000.0,8.65,8.65,0.3430944831463351,64.77198152078911,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2012-06-30,13634313000.0,7341652000.0,1385976000.0,4297694000.0,8749329000.0,666997000.0,4676520000.0,,5284809000.0,1892459000.0,1439271000.0,28287000.0,588322000.0,6.65,885832000.0,61853000.0,162480000.0,823979000.0,666997000.0,,12.9798,3.3813,6.65,2054939000.0,0.16450072914162903,0.10556241447588889,0.2723411574571569,0.35809411465958374,0.13880119959106116,0.20097636806542168,0.15591462245844648,0.3888388397764233,0.07623407463589493,5.2970989396641786,7174851000.0,1814622000.0,2514840000.0,1204929000.0,2713998000.0,42017000.0,8.57,8.57,0.24576178759158998,59.85291667658329,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
2012-09-30,14751500000.0,,,4964300000.0,9201300000.0,1566100000.0,5784300000.0,,-3386910000.0,-1259176000.0,-972660000.0,-18350000.0,-430303000.0,-4.4300000000000015,-465721000.0,-212306000.0,-111454000.0,-678027000.0,1566100000.0,10.7325,13.8532,3.7679,-4.4300000000000015,-1370630000.0,-0.10570897590557855,-0.06593634545639426,0.28718212175699975,0.37177722466791263,-0.08535918381181574,-0.11694336608652042,0.20019043907278317,0.40468450593608923,0.17020421027463511,,7101000000.0,1931400000.0,2515200000.0,719988000.0,2727200000.0,36700000.0,8.95,8.95,0.5742519800528014,68.53405994550408,1.5123583,28.32,16.25,5.43477,12185.8545,19.7566,0.9978,1.3775
