report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-30,115994000000.0,51695000000.0,42271000000.0,,43511000000.0,,3934000000.0,14131000000.0,62026000000.0,,5861000000.0,4450000000.0,1121000000.0,1.84,2412000000.0,5498000000.0,2346000000.0,3934000000.0,,14.2827,1.0123,1.84,8207000000.0,0.1022729884397049,0.0383640533131024,0.07174410730983781,,0.09449263212201335,0.050528475610807456,0.12353251132890715,0.1323154806049076,0.09041391831950542,1.222942442809491,,,,,,,,,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2010-07-31,120017000000.0,54365000000.0,49288000000.0,120017000000.0,42535000000.0,12204000000.0,7842000000.0,14718000000.0,92755000000.0,,8184000000.0,6223000000.0,1537000000.0,2.6,2398000000.0,8771000000.0,3556000000.0,20046000000.0,,12.858,0.8988,2.6,11740000000.0,0.14630304455154577,0.05185098777673163,0.06709072287208237,,0.0882324402997143,0.06819033970187557,0.13077451622696984,0.12656999622661852,0.4712824732573175,1.1030068170751501,,,,,,,,,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2010-10-31,124503000000.0,54184000000.0,49403000000.0,124503000000.0,40449000000.0,15258000000.0,7046000000.0,10929000000.0,126033000000.0,,11479000000.0,8761000000.0,2213000000.0,3.69,2372000000.0,11922000000.0,4820000000.0,22304000000.0,1.0968,10.9983,0.7645,3.69,16299000000.0,0.21659373532102152,0.07036778230243448,0.06951354010457579,,0.0910793204954258,0.09219858156028368,0.18292352556849872,0.12932327247625622,0.5514104180573067,1.0967754994635954,,,,,,,,,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2011-01-31,119933000000.0,51404000000.0,43610000000.0,119933000000.0,41206000000.0,17022000000.0,3381000000.0,9934000000.0,32302000000.0,,3394000000.0,2605000000.0,692000000.0,1.17,2226000000.0,3070000000.0,1255000000.0,20403000000.0,,10.899,0.7814,1.17,4649000000.0,0.06321894869679173,0.02172046059049636,0.08064516129032258,,0.10507089344313046,0.028299133682972995,0.05508935382817445,0.14392297690545477,0.49514633791195456,1.178720476954827,313116000000.0,22039000000.0,28918000000.0,,40895000000.0,9.3,9.3,0.4989118474141093,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2011-04-30,125127000000.0,56075000000.0,51370000000.0,125127000000.0,41423000000.0,14512000000.0,8406000000.0,12738000000.0,63934000000.0,,6362000000.0,4909000000.0,1280000000.0,2.23,2203000000.0,7032000000.0,2497000000.0,22918000000.0,,9.4068,0.6779,2.23,8859000000.0,0.11850904087101369,0.039232140145612056,0.0767823067538399,,0.09950886852066193,0.05084434214837725,0.09887940815343249,0.13856476991897895,0.5532675083890592,1.0915904224255402,315024000000.0,22498000000.0,29419000000.0,,41547000000.0,9.69,9.69,0.5516162418465834,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2011-07-31,124917000000.0,56279000000.0,48938000000.0,124917000000.0,38823000000.0,19030000000.0,6666000000.0,12953000000.0,95123000000.0,,8882000000.0,6835000000.0,1753000000.0,3.16,2161000000.0,10239000000.0,3722000000.0,25696000000.0,,7.7894,0.5686,3.16,12604000000.0,0.1760554310589084,0.05471633164421175,0.07185433596501371,,0.09337384228840553,0.07110321253312199,0.13766487391311086,0.13250212882268222,0.6618756922442882,1.1500061302055662,317392000000.0,23110000000.0,30117000000.0,,42411000000.0,10.25,10.25,0.6058805498573483,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2011-10-31,129517000000.0,51021000000.0,50442000000.0,129517000000.0,38625000000.0,22551000000.0,8083000000.0,8043000000.0,-64114000000.0,,-8961000000.0,-7275000000.0,-1817000000.0,-3.2400000000000007,-4462000000.0,-7702000000.0,-2490000000.0,30634000000.0,1.0115,7.4743,0.4155,-3.2400000000000007,-11451000000.0,-0.1883495145631068,-0.05617023247913401,0.11346975699535203,,0.13976666562685217,-0.06918782862481374,-0.12938390678467782,0.17860373709330254,0.7931132686084142,1.011478529796598,127245000000.0,7074000000.0,9677000000.0,,14661000000.0,3.3199999999999994,3.3199999999999994,2.0894891207966713,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2012-01-31,126596000000.0,48749000000.0,44293000000.0,126596000000.0,39162000000.0,25462000000.0,5438000000.0,8113000000.0,30036000000.0,,2042000000.0,1468000000.0,353000000.0,0.73,1998000000.0,1193000000.0,1303000000.0,30900000000.0,,9.314,0.4425,0.73,3345000000.0,0.03748531739951994,0.011595942999778824,0.04887468371287788,,0.06798508456518844,0.01613005150241714,0.02914561388484485,0.11136636036755893,0.7890301823195955,1.1006028040548168,124979000000.0,5937000000.0,8325000000.0,,13357000000.0,2.879999999999999,2.879999999999999,2.3133937261361086,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2012-04-30,127689000000.0,49689000000.0,42799000000.0,127689000000.0,41288000000.0,25825000000.0,4252000000.0,8311000000.0,60729000000.0,,4264000000.0,3061000000.0,739000000.0,1.53,1995000000.0,3666000000.0,2588000000.0,30077000000.0,,9.3684,0.3947,1.53,6852000000.0,0.07413776399922496,0.0239723077164047,0.050404254968795796,,0.07021357176966524,0.03339363610021223,0.059749176767322915,0.1128291261176703,0.7284683200930052,1.1609850697446202,121774000000.0,4089000000.0,6227000000.0,,11350000000.0,2.179999999999999,2.179999999999999,2.6499559471365637,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2012-07-31,117556000000.0,50237000000.0,44919000000.0,117556000000.0,31601000000.0,24063000000.0,5681000000.0,9509000000.0,90398000000.0,,-4569000000.0,-5796000000.0,539000000.0,-2.93,1977000000.0,6512000000.0,3894000000.0,29744000000.0,,,0.2936,-2.93,-675000000.0,-0.18341191734438783,-0.04930416142093981,-0.06411646275360075,,-0.05054315360959313,-0.03886658273503692,-0.0744803977504279,-0.007466979357950397,0.9412360368342774,1.1183908813642334,117049000000.0,-8542000000.0,-7224000000.0,,-1929000000.0,-3.910000000000001,-3.910000000000001,-15.419388284085018,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2012-10-31,108768000000.0,50637000000.0,46666000000.0,108768000000.0,22436000000.0,21789000000.0,6647000000.0,11301000000.0,-60806000000.0,,-12794000000.0,-11383000000.0,-914000000.0,-5.74,-3996000000.0,-800000000.0,-2690000000.0,28436000000.0,1.0851,,0.2263,-5.74,-15484000000.0,-0.5073542520948475,-0.10465394233598117,0.18720192086307272,,0.2104068677433148,-0.1176265077964107,-0.25149394558892907,0.2546459230996941,1.267427348903548,1.0850940727724683,120357000000.0,-12650000000.0,-11057000000.0,,-5962000000.0,-6.41,-6.41,-4.769540422676954,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2013-01-31,106701000000.0,49552000000.0,44386000000.0,106701000000.0,22895000000.0,21752000000.0,6475000000.0,12589000000.0,28359000000.0,,1752000000.0,1232000000.0,341000000.0,0.63,1956000000.0,2562000000.0,1163000000.0,28227000000.0,,,0.2717,0.63,2915000000.0,0.05381087573706049,0.011546283539985568,0.04344299869529955,,0.061779329313445465,0.01641971490426519,0.03427095966511482,0.10278923798441413,1.2328892771347455,1.1163880502861263,118680000000.0,-12886000000.0,-11347000000.0,,-6392000000.0,-6.510000000000001,-6.510000000000001,-4.4159887359199,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
2013-04-30,106254000000.0,49571000000.0,44658000000.0,106254000000.0,23533000000.0,19863000000.0,6928000000.0,13240000000.0,55941000000.0,,3353000000.0,2309000000.0,672000000.0,1.18,1952000000.0,6118000000.0,2333000000.0,26791000000.0,,,0.3465,1.18,5686000000.0,0.09811753707559596,0.021730946599657425,0.04127562968127134,,0.05993814912139576,0.031556459050953375,0.06662824894682458,0.10164280223807226,1.1384438873071856,1.1100138832907878,113892000000.0,-13638000000.0,-12258000000.0,,-7558000000.0,-6.860000000000001,-6.860000000000001,-3.5447208256152423,1.1726031,29.55,17.56,17.07624,16900.887,6.7361,0.8956,0.3006
