report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-12-31,,,,,,,,,,,2147000000.0,,,3.74,,,,,0.0,2.2788,0.4011,9.0019,3.74,,,,,,,,,,,,,,,,,,,,,,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2012-03-31,23609000000.0,12098000000.0,4946000000.0,23609000000.0,11310000000.0,3984000000.0,42000000.0,1670000000.0,11879000000.0,946000000.0,600000000.0,99000000.0,302000000.0,1.04,921000000.0,228000000.0,237000000.0,693000000.0,4026000000.0,,0.5275,12.2845,1.04,1183000000.0,0.05305039787798409,0.02541403701978059,0.050509302129808906,0.07963633302466537,0.04006946503452073,0.0616849243609807,0.05833824395992929,0.0995875073659399,0.3559681697612732,2.446016983420946,,,,,,,,,,,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2012-06-30,23545000000.0,12366000000.0,4244000000.0,23545000000.0,11492000000.0,4305000000.0,48000000.0,1950000000.0,22982000000.0,2389000000.0,1370000000.0,510000000.0,607000000.0,2.37,1430000000.0,461000000.0,481000000.0,969000000.0,4353000000.0,,0.505,11.4504,2.37,2870000000.0,0.11921336581970066,0.05818645147589722,0.05961187015925507,0.10395091810982508,0.10146527925249522,0.15077311454717576,0.042163432251327126,0.12488034113654164,0.37878524190741386,2.913760603204524,,,,,,,,,,,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2012-09-30,25104000000.0,13395000000.0,4825000000.0,25104000000.0,12312000000.0,4305000000.0,47000000.0,3527000000.0,34255000000.0,3717000000.0,2216000000.0,581000000.0,1042000000.0,3.83,3477000000.0,727000000.0,717000000.0,2750000000.0,4352000000.0,,0.6635,14.9988,3.83,4434000000.0,0.17998700454840805,0.08827278521351178,0.06469128594365786,0.1085097066121734,0.14806405353728488,0.22305568891022565,0.08028025105823967,0.12944095752444898,0.3534762833008447,2.776165803108808,,6333000000.0,,,,,10.98,10.98,,,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2012-12-31,24220000000.0,12286000000.0,5096000000.0,24220000000.0,11139000000.0,4304000000.0,95000000.0,2732000000.0,-58019000000.0,-6093000000.0,,,,-6.15,,,,,4399000000.0,2.4109,0.7241,11.5706,-6.15,-6093000000.0,,,,0.10501732191178752,-0.25156895127993395,-0.39213540996267215,,0.10501732191178752,0.39491875392764164,2.410910518053375,11097000000.0,,959000000.0,,2394000000.0,,1.0899999999999999,1.0899999999999999,1.8375104427736006,,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2013-03-31,24677000000.0,12655000000.0,5107000000.0,,11641000000.0,,115000000.0,2879000000.0,10669000000.0,1267000000.0,901000000.0,71000000.0,357000000.0,1.0,799000000.0,391000000.0,253000000.0,408000000.0,115000000.0,,0.8022,11.3173,1.0,1520000000.0,0.07739884889614294,0.03651173157190907,0.08445027650201518,0.11875527228418783,0.05134335616160798,0.10777475331745491,0.03824163464242197,0.14246883494235635,0.009878876385190275,2.4779714117877423,9887000000.0,,1280000000.0,,2731000000.0,,1.0499999999999998,1.0499999999999998,0.04210911753936287,,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2013-06-30,25048000000.0,13032000000.0,5036000000.0,,12032000000.0,,114000000.0,3233000000.0,21772000000.0,2631000000.0,1830000000.0,141000000.0,767000000.0,3.0,2063000000.0,778000000.0,507000000.0,1285000000.0,114000000.0,,0.8641,11.566,3.0,3138000000.0,0.15209441489361702,0.07305972532737144,0.08405291199706044,0.12084328495315083,0.10503832641328649,0.2166145232998518,0.05902076060995774,0.14413007532610692,0.009474734042553192,2.5877680698967436,8677000000.0,,1522000000.0,,2999000000.0,,1.6799999999999997,1.6799999999999997,0.038012670890296765,,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2013-09-30,26811000000.0,14625000000.0,5378000000.0,,11874000000.0,,114000000.0,4414000000.0,32924000000.0,3838000000.0,2683000000.0,222000000.0,1106000000.0,4.0,3194000000.0,1201000000.0,769000000.0,1993000000.0,114000000.0,,0.9434,12.5662,4.0,4607000000.0,0.2259558699679973,0.1000708664354183,0.08149070586805977,0.11657149799538331,0.1431501995449629,0.3201534868201535,0.06053334953225611,0.1399283197667355,0.009600808489135927,2.71941242097434,7346000000.0,,1643000000.0,,3172000000.0,,1.8499999999999996,1.8499999999999996,0.035939470365699874,,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2013-12-31,27298000000.0,14599000000.0,5510000000.0,27298000000.0,12478000000.0,5776000000.0,58000000.0,4450000000.0,-21303000000.0,-2634000000.0,-1557000000.0,-125000000.0,-1094000000.0,-1.25,-1221000000.0,-809000000.0,-508000000.0,-2030000000.0,5834000000.0,2.6495,1.0087,11.5233,-1.25,-3142000000.0,-0.1247796121173265,-0.057037145578430655,0.07308829742289819,0.12364455710463315,-0.09649058539087113,-0.14384010484927917,0.09529174294700277,0.1474909637140309,0.467542875460811,2.649546279491833,44062000000.0,3857000000.0,5102000000.0,1656000000.0,6123000000.0,309000000.0,6.75,6.75,0.9528009145843541,16.511326860841425,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
2014-03-31,27827000000.0,14993000000.0,5720000000.0,,11791000000.0,,58000000.0,2702000000.0,11135000000.0,1340000000.0,945000000.0,92000000.0,383000000.0,1.0,801000000.0,343000000.0,256000000.0,458000000.0,58000000.0,,1.0845,12.3794,1.0,1596000000.0,0.0801458739716733,0.03395982319330147,0.08486753480017961,0.12034126627750337,0.04815466992489309,0.11308971221200101,0.04113156713066906,0.14333183655141446,0.004919006021541854,2.621153846153846,44528000000.0,3901000000.0,5175000000.0,1706000000.0,6199000000.0,330000000.0,6.75,6.75,0.00935634779803194,15.681818181818182,0.56354856,77.36,41.58,11.2325,23935.617,1.3824,0.7938
