report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,6564500000.0,2400800000.0,1764200000.0,,1895400000.0,2049300000.0,1000000.0,259800000.0,2802600000.0,1059000000.0,333600000.0,188800000.0,65200000.0,85800000.0,0.61,311600000.0,183400000.0,86900000.0,2050300000.0,,0.7249,12.1658,0.61,420500000.0,0.09960958109106258,0.02876075862594257,0.06736601726967816,0.3778634125454935,0.11903232712481267,0.05081879808058497,0.08454773550954203,0.15003924926853635,1.081724174316767,1.3608434417866455,,,,,,,,,,,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2010-09-30,6570200000.0,2325500000.0,1884300000.0,,1869400000.0,2096500000.0,191000000.0,153500000.0,4289900000.0,1626100000.0,508100000.0,217100000.0,95500000.0,-13400000.0,0.7,308100000.0,377900000.0,130200000.0,2287500000.0,,0.9172,18.6181,0.7,638300000.0,0.11613351877607789,0.03304313415116739,0.05060724026201077,0.3790531247814634,0.1184409893004499,0.07733402331740281,0.12223050831148212,0.14879134711764844,1.223654648550337,1.234145305949159,,,,,,,,,,,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2010-12-31,6405300000.0,2132000000.0,1665900000.0,,1902000000.0,2063900000.0,135000000.0,139600000.0,5759200000.0,2170800000.0,629900000.0,292800000.0,118400000.0,7500000.0,0.96,305400000.0,582600000.0,172300000.0,2198900000.0,1.2797,0.9327,18.0248,0.96,802200000.0,0.15394321766561514,0.045712144630228095,0.050840394499236004,0.37692735102097513,0.10937282955966106,0.09834043682575368,0.15360042917408373,0.13929017919155437,1.156098843322818,1.2797887028032895,,,,,,,,,,,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2011-03-31,6637200000.0,2304200000.0,2005000000.0,,2035200000.0,1796300000.0,325000000.0,139700000.0,1302700000.0,490900000.0,130600000.0,75700000.0,21900000.0,26700000.0,0.25,298200000.0,-108300000.0,40700000.0,2121300000.0,,1.0525,19.0958,0.25,171300000.0,0.03719536163522012,0.011405411920689447,0.05811007906655408,0.37683273201811623,0.10025332002763492,0.019676972217200023,0.03142066642607964,0.13149612343594075,1.0423054245283019,1.149226932668329,14154400000.0,774400000.0,1602200000.0,5346800000.0,2032300000.0,301000000.0,2.52,2.52,1.0437927471337893,5.322923588039867,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2011-06-30,6892500000.0,2532200000.0,2123000000.0,,2181200000.0,1805500000.0,313900000.0,143600000.0,2875500000.0,1080800000.0,328500000.0,222400000.0,43200000.0,53000000.0,0.75,297400000.0,-15500000.0,81500000.0,2119400000.0,,0.803,14.0879,0.75,410000000.0,0.1019622226297451,0.03226695683714182,0.07734307077030082,0.37586506694487914,0.11424100156494522,0.04766050054406964,0.07638469050830117,0.14258389845244304,0.9716669723088208,1.1927461139896374,14227300000.0,808000000.0,1597100000.0,5368600000.0,2021800000.0,279000000.0,2.66,2.66,1.048273815412009,5.724372759856631,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2011-09-30,6211800000.0,2288900000.0,1775700000.0,6211800000.0,1895300000.0,1811300000.0,236900000.0,138900000.0,4369400000.0,1648600000.0,131700000.0,44800000.0,65000000.0,-2000000.0,0.15,296800000.0,279800000.0,121100000.0,2048200000.0,,0.5914,28.5175,0.15,252800000.0,0.023637418878277847,0.007212080234392608,0.01025312399871836,0.3773058085778368,0.03014143818373232,0.021201584081908625,0.03339672879421833,0.057856913992767885,1.0806732443412652,1.2890127836909389,14306800000.0,635700000.0,1220700000.0,5391100000.0,1636300000.0,248500000.0,2.11,2.11,1.2517264560288455,4.912273641851106,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2011-12-31,6160900000.0,2148000000.0,1660900000.0,6160900000.0,1849100000.0,1809300000.0,103600000.0,170200000.0,-2683000000.0,-1015100000.0,-333600000.0,-217700000.0,-43900000.0,-59800000.0,-0.73,-596200000.0,405300000.0,-81700000.0,1912900000.0,1.2932,0.8525,37.5286,-0.73,-415300000.0,-0.11773295116543184,-0.03533574640068821,0.08114051434960864,0.3783451360417443,0.12433842713380544,-0.054147932931876835,-0.0886762360446571,0.15478941483414088,1.0345032718619869,1.2932747305677645,5864600000.0,125200000.0,257200000.0,2205200000.0,418800000.0,86200000.0,0.41999999999999993,0.41999999999999993,4.567574021012416,2.9837587006960558,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2012-03-31,6288800000.0,2292000000.0,1727900000.0,6288800000.0,1947300000.0,1803400000.0,496900000.0,190100000.0,1332400000.0,510600000.0,124200000.0,79300000.0,20200000.0,25000000.0,0.27,294700000.0,-47400000.0,39400000.0,2300300000.0,,0.944,40.2214,0.27,163600000.0,0.04072305243157192,0.012609718865284315,0.059516661663164216,0.3832182527769439,0.09321525067547283,0.019749395751176697,0.029240041435163386,0.12278595016511558,1.1812766394494942,1.3264656519474507,5894300000.0,128800000.0,250800000.0,2224900000.0,411100000.0,84500000.0,0.44000000000000006,0.44000000000000006,5.595475553393335,2.9680473372781067,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2012-06-30,6590800000.0,2658700000.0,2448300000.0,6590800000.0,1971200000.0,1372400000.0,175500000.0,370800000.0,2848600000.0,1091800000.0,309700000.0,191100000.0,40700000.0,77500000.0,0.65,294300000.0,55700000.0,80800000.0,1547900000.0,,0.977,55.8531,0.65,390500000.0,0.09694602272727272,0.02899496267524428,0.06708558590184652,0.3832759952257249,0.10872007301832479,0.04698974327850944,0.08800545594043932,0.1370848838025697,0.785257711038961,1.0859371809010334,5867400000.0,97500000.0,232000000.0,2235900000.0,391600000.0,82000000.0,0.3400000000000001,0.3400000000000001,3.952757916241062,2.8292682926829267,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2012-09-30,6363300000.0,2424300000.0,2146200000.0,6363300000.0,2063300000.0,1366100000.0,291000000.0,250100000.0,4383900000.0,1674100000.0,498100000.0,299400000.0,58700000.0,135700000.0,1.02,293800000.0,357200000.0,122100000.0,1657100000.0,,1.0288,14.2891,1.02,620200000.0,0.14510735229971405,0.04705105841308755,0.0682953534524054,0.3818745865553503,0.11362029243367777,0.07827699464114532,0.1338834533921084,0.14147220511416775,0.8031309067997867,1.1295778585406766,5881900000.0,352100000.0,598400000.0,2261400000.0,759000000.0,75700000.0,1.2100000000000002,1.2100000000000002,2.183267457180501,7.904887714663144,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2012-12-31,6222000000.0,2271100000.0,1570800000.0,6222000000.0,1996700000.0,1706500000.0,210700000.0,183800000.0,-2662200000.0,-1047400000.0,-280100000.0,-168500000.0,-43500000.0,-71900000.0,-0.5699999999999998,-589200000.0,253000000.0,-78600000.0,1917200000.0,1.4456,1.1478,15.9603,-0.5699999999999998,-358700000.0,-0.08438924224971202,-0.027081324333011893,0.06329351664037262,0.3934340019532717,0.10521373300277966,-0.045017679202828675,-0.07156544623010297,0.13473818646232438,0.9601843041017679,1.4458237840590782,5902700000.0,401300000.0,651900000.0,2229100000.0,815600000.0,76100000.0,1.3700000000000003,1.3700000000000003,2.350662089259441,8.566360052562418,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2013-03-31,6197200000.0,2356600000.0,1674600000.0,6197200000.0,1985100000.0,1699600000.0,411800000.0,174200000.0,1240800000.0,473600000.0,97800000.0,54200000.0,14600000.0,6400000.0,0.19,293100000.0,-123100000.0,39800000.0,2111400000.0,,1.343,19.8852,0.19,137600000.0,0.027303410407536144,0.008745885238494804,0.04368149580915538,0.38168923275306255,0.0788201160541586,0.015781320596398373,0.023874038813621386,0.11089619600257898,1.0636239987909928,1.4072614355667026,5811100000.0,376200000.0,625500000.0,2192100000.0,789600000.0,70500000.0,1.2900000000000003,1.2900000000000003,2.6740121580547114,8.872340425531915,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
2013-06-30,6402900000.0,2600200000.0,1841400000.0,,2037000000.0,1669000000.0,412400000.0,154100000.0,1474700000.0,582700000.0,185400000.0,109800000.0,15000000.0,49600000.0,0.0,294300000.0,,,2081400000.0,,1.3652,20.357,0.0,185400000.0,0.05390279823269514,0.01714847959518343,0.07445582152302163,0.39513121312809385,0.12572048552247914,0.0289556294803917,0.04501748251748252,0.12572048552247914,1.0217967599410898,1.4120777669164766,4437200000.0,294900000.0,501200000.0,1683000000.0,584500000.0,44800000.0,0.6400000000000003,0.6400000000000003,3.5609923011120617,11.1875,0.9800926,6.635,3.07,6.74402,1421.088,0.6522,0.1973
