report_date,total_assets,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,29660427000.0,24545530000.0,623191000.0,148087000.0,1291717000.0,315097000.0,,11036000.0,,13201000.0,0.26,42784799.0,,148087000.0,,323.6574,6.8327,0.26,,0.017708856514294977,0.0003720782576730942,0.035024135424964374,,,,,0.23762698755277276,,,,,,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2010-12-31,28498768000.0,24278281000.0,487827000.0,187380000.0,1354219000.0,988317000.0,,-9316000.0,,60413000.0,-0.22,42498705.0,1693344000.0,187380000.0,0.5105,,7.1569,-0.22,,-0.019096933954045183,-0.00032689132386354384,-0.009426125423320655,,,,,0.38411158053982253,,,,,,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2011-03-31,30054599000.0,25613802000.0,505258000.0,171398000.0,1176160000.0,385635000.0,,16251000.0,,18732000.0,0.38,42791822.0,-36737000.0,171398000.0,,2072.0532,5.4931,0.38,,0.03216376583844294,0.0005407159150584575,0.042140884515150336,,,,,0.33922867129268613,,,,,,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2011-09-30,33151121000.0,28517855000.0,565679000.0,151834000.0,1555735000.0,1115875000.0,,48306000.0,,46498000.0,1.1,43832558.0,674388000.0,151834000.0,,274.346,4.2047,1.1,,0.08539472032725273,0.0014571452953280222,0.04328979500392069,,,,,0.26841017608926615,2804924000.0,66277000.0,,1.52,1.52,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2011-12-31,30404365000.0,25718324000.0,571235000.0,6538000.0,1695495000.0,1444568000.0,,61858000.0,,53889000.0,1.39,44364902.0,1085873000.0,6538000.0,0.5244,97.6001,4.1826,1.39,,0.10828818262186315,0.0020345105053172466,0.042821106379208176,,,,,0.011445377121499909,3934395000.0,117099000.0,,2.65,2.65,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2012-03-31,32696398000.0,27731203000.0,596963000.0,14474000.0,1551399000.0,323065000.0,,11084000.0,,8734000.0,0.24,45951464.0,-53930000.0,14474000.0,,122.3548,5.0233,0.24,,0.01856731489221275,0.00033899758621729525,0.0343088852088589,,,,,0.024246058800964213,3269143000.0,137499000.0,,3.1100000000000003,3.1100000000000003,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2012-06-30,32383711000.0,27387046000.0,617589000.0,13349000.0,2003505000.0,600086000.0,,19068000.0,,19711000.0,0.43,46452941.0,519558000.0,13349000.0,,105.3475,4.3443,0.43,,0.030874902240810635,0.0005888145432127899,0.031775445519475545,,,,,0.02161469844832081,3483594000.0,140316000.0,,3.1599999999999997,3.1599999999999997,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2012-09-30,33861696000.0,28706854000.0,629609000.0,16870000.0,1659505000.0,932884000.0,,31556000.0,,34458000.0,0.7,46865770.0,211719000.0,16870000.0,,124.8766,4.4697,0.7,,0.050119995108075015,0.0009319084312847177,0.033826284940035416,,,,,0.026794407322639924,3300603000.0,123566000.0,,2.76,2.76,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2012-12-31,33199557000.0,28386410000.0,598498000.0,110420000.0,1614592000.0,-663565000.0,,-21040000.0,,-32889000.0,-0.47999999999999987,-92199653.0,-118979000.0,110420000.0,1.0297,134.6218,4.5911,-0.47999999999999987,,-0.03515467052521479,-0.0006337433960338688,0.03170751923323262,,,,,0.1844951862829951,1192470000.0,40668000.0,,0.8899999999999998,0.8899999999999998,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2013-12-31,37870700000.0,32778574000.0,707264000.0,24635000.0,1213241000.0,1127860000.0,,37003000.0,,33685000.0,0.73,50924736.0,140900000.0,24635000.0,1.0021,264.6288,8.682,0.73,,0.05231851189937562,0.0009770878277929904,0.03280814994768854,,,,,0.03483140666003077,1997265000.0,66587000.0,,1.38,1.38,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2014-06-30,40155499000.0,34879908000.0,762354000.0,15193000.0,999630000.0,690435000.0,,34250000.0,,30401000.0,0.0,56674666.0,-203774000.0,15193000.0,,173.2008,7.2516,0.0,,0.044926635132759844,0.0008529342394674263,0.04960640755465757,,,,,0.0199290618269203,2087614000.0,81769000.0,,0.9499999999999998,0.9499999999999998,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2014-09-30,41608206000.0,36415580000.0,750860000.0,59362000.0,1010759000.0,885539000.0,,37441000.0,,38092000.0,0.0,57196113.0,39215000.0,59362000.0,,248.4626,8.7844,0.0,,0.049864155768052636,0.0008998465350801234,0.042280464214450184,,,,,0.07905867938097648,2040269000.0,87654000.0,,0.2499999999999999,0.2499999999999999,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2014-12-31,43385026000.0,38200398000.0,766324000.0,33791000.0,1269317000.0,1115548000.0,,44533000.0,,47254000.0,0.0,57709668.0,416966000.0,33791000.0,0.979,268.4296,10.6053,0.0,,0.0581124954979878,0.001026460143183964,0.03992029029678687,,,,,0.044094925906013646,3819382000.0,153227000.0,,0.7299999999999998,0.7299999999999998,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2015-03-31,43294000000.0,38256000000.0,748000000.0,29000000.0,990000000.0,187000000.0,,-13000000.0,,-2000000.0,0.0,58473348.0,-220000000.0,29000000.0,,1138.1326,14.7347,0.0,,-0.017379679144385027,-0.0003002725550884649,-0.06951871657754011,,,,,0.03877005347593583,2878522000.0,103224000.0,,0.0,0.0,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2015-06-30,45159000000.0,39925000000.0,774000000.0,9000000.0,1041000000.0,592000000.0,,10000000.0,,17000000.0,0.0,60436914.0,-99000000.0,9000000.0,,836.7858,16.5153,0.0,,0.012919896640826873,0.00022143980158993777,0.016891891891891893,,,,,0.011627906976744186,2780087000.0,78974000.0,,0.0,0.0,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2015-09-30,47226000000.0,41944000000.0,841000000.0,4000000.0,1588000000.0,967000000.0,,32000000.0,,37000000.0,0.0,61646928.0,,4000000.0,,413.0973,13.491,0.0,,0.03804994054696789,0.0006775928513954178,0.033092037228541885,,,,,0.0047562425683709865,2861548000.0,73533000.0,,0.0,0.0,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2015-12-31,48734000000.0,43390000000.0,863000000.0,,1601000000.0,-490000000.0,,20000000.0,,-9000000.0,0.0,-118047394.0,,0.0,0.9986,362.3898,14.1378,0.0,,0.023174971031286212,0.000410391102720893,-0.04081632653061224,,,,,0.0,1256000000.0,49000000.0,,0.0,0.0,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2016-03-31,50186000000.0,44523000000.0,897000000.0,4000000.0,1747000000.0,507000000.0,,33000000.0,,27000000.0,0.0,65255903.0,,4000000.0,,168.5695,10.1612,0.0,,0.03678929765886288,0.0006575538994938828,0.0650887573964497,,,,,0.004459308807134894,1576000000.0,95000000.0,,0.0,0.0,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2016-06-30,51829000000.0,46137000000.0,915000000.0,8000000.0,1443000000.0,894000000.0,,60000000.0,,40000000.0,0.0,65863408.0,,8000000.0,,145.5434,9.2483,0.0,,0.06557377049180328,0.0011576530513805012,0.06711409395973154,,,,,0.008743169398907104,1878000000.0,145000000.0,,0.0,0.0,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2016-09-30,55064000000.0,49194000000.0,981000000.0,24000000.0,1550000000.0,1260000000.0,,80000000.0,,55000000.0,1.0,66738754.0,,24000000.0,,149.1918,9.3425,1.0,,0.08154943934760449,0.001452854859799506,0.06349206349206349,,,,,0.024464831804281346,2171000000.0,193000000.0,,0.9999999999999998,0.9999999999999998,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2016-12-31,54673000000.0,48853000000.0,974000000.0,74000000.0,1925000000.0,-1186000000.0,,-89000000.0,,-60000000.0,0.0,-130558652.0,,74000000.0,0.9944,181.1702,10.3175,0.0,,-0.09137577002053388,-0.001627860186929563,0.07504215851602024,,,,,0.07597535934291581,1475000000.0,84000000.0,,0.9999999999999998,0.9999999999999998,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2017-06-30,57597000000.0,51406000000.0,1049000000.0,9000000.0,2115000000.0,847000000.0,,47000000.0,,35000000.0,0.0,69613567.0,,9000000.0,,215.7887,10.744,0.0,,0.044804575786463297,0.0008160147229890446,0.05548996458087367,,,,,0.008579599618684462,1815000000.0,98000000.0,,0.9999999999999998,0.9999999999999998,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2017-09-30,59843000000.0,53531000000.0,1096000000.0,38000000.0,2056000000.0,1334000000.0,,78000000.0,,56000000.0,1.0,70409619.0,,38000000.0,,233.6976,12.4275,1.0,,0.07116788321167883,0.0013034105910465718,0.05847076461769116,,,,,0.03467153284671533,2255000000.0,116000000.0,,1.9999999999999998,1.9999999999999998,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
2017-12-31,61162000000.0,54729000000.0,1090000000.0,15000000.0,1732000000.0,1927000000.0,,76000000.0,,256000000.0,1.0,70904921.0,,15000000.0,0.9771,322.5368,13.373,1.0,,0.06972477064220184,0.0012426016153821,0.03943954333160353,,,,,0.013761467889908258,2922000000.0,112000000.0,,1.9999999999999998,1.9999999999999998,1.311657,79.18,32.82,4.19032,116115.16,118.0032,20.3387,11.1392
