report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-06-30,768673000.0,324379000.0,107098000.0,,560339000.0,,156974000.0,363392000.0,-12718000.0,-11107000.0,805000.0,-3148000.0,-0.19,,-11991000.0,4544000.0,20449000.0,-16535000.0,0.0,,0.7454,27.6267,-0.19,7731000.0,-0.019821929224987017,-0.014449577388564448,-0.03056478953856992,-0.03499801866854526,-0.01654539706741358,-0.022696974510073367,-0.04550182722789715,0.021274546495244805,0.0,3.028805393191283,,,,,,,,,,,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2011-09-30,748716000.0,316496000.0,110599000.0,748716000.0,536069000.0,,147474000.0,531263000.0,-30661000.0,-21829000.0,1167000.0,-10621000.0,-0.38,,4501000.0,7823000.0,30501000.0,-3322000.0,0.0,,0.5339,105.5842,-0.38,-160000.0,-0.040720504263443695,-0.029155247116396603,-0.0410888768839539,-0.05771341124828945,-0.040951442202383816,-0.05719599529165089,-0.006253023455426032,-0.00030116910080318037,0.0,2.861653360337797,,,,,,,,,,,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2011-12-31,970528000.0,325410000.0,125048000.0,970528000.0,514521000.0,196100000.0,127889000.0,728660000.0,-23373000.0,-15537000.0,1640000.0,-10001000.0,-0.27,57217000.0,14787000.0,12183000.0,40069000.0,2604000.0,196100000.0,2.6032,0.6338,,-0.27,16696000.0,-0.030197018197507974,-0.01600881169837449,-0.02132270194603793,-0.032076688716273706,-0.024082767318408124,-0.03289095030965874,0.00357368319929734,0.022913292893805066,0.3811311880370286,2.6022807242019064,,,,,,,,,,,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2012-03-31,963218000.0,330680000.0,125868000.0,963218000.0,510234000.0,192125000.0,139979000.0,207127000.0,-4173000.0,-4415000.0,3154000.0,-3029000.0,-0.08,,20609000.0,1137000.0,12306000.0,19472000.0,192125000.0,,0.7372,,-0.08,8133000.0,-0.008652892594378266,-0.0045835937451335,-0.021315424835970202,-0.020147059533522912,-0.004332352593078618,-0.005941406033097034,0.09400995524484977,0.0392657644826604,0.3765429195231992,2.6271967457971845,1830442000.0,-52888000.0,-70925000.0,2219000.0,32400000.0,6766000.0,-0.92,-0.92,5.929783950617284,-10.482559858114099,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2012-06-30,957549000.0,335339000.0,128606000.0,957549000.0,508072000.0,188150000.0,167106000.0,424061000.0,10194000.0,1001000.0,6365000.0,1276000.0,0.02,,67938000.0,6086000.0,24909000.0,61852000.0,188150000.0,,0.6937,,0.02,35103000.0,0.001970193200963643,0.0010453773122837578,0.002360509455007652,0.02403899438995805,0.010645930391029597,0.014641881468841834,0.1458563744366966,0.08277818521391969,0.37032152923207734,2.6074910968384057,1891111000.0,-40780000.0,-48013000.0,80606000.0,59772000.0,12326000.0,-0.71,-0.71,3.147794954159138,-3.89526204770404,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2012-09-30,984209000.0,370357000.0,147056000.0,984209000.0,523377000.0,184175000.0,209668000.0,643705000.0,28532000.0,13003000.0,9653000.0,3424000.0,0.22,,124278000.0,14166000.0,37045000.0,110112000.0,184175000.0,,0.6956,30.3107,0.22,65577000.0,0.02484442380922356,0.013211624766690815,0.02020024700755781,0.04432465182032142,0.028989777577729935,0.04032495138166523,0.17105972456327045,0.10187430577671448,0.35189738945349147,2.518475954738331,2003553000.0,-5948000.0,11180000.0,194040000.0,125509000.0,20812000.0,-0.11000000000000001,-0.11000000000000001,1.4674246468380754,0.5371900826446281,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2012-12-31,1030768000.0,402700000.0,146033000.0,1030768000.0,537696000.0,180200000.0,242642000.0,-371435000.0,39347000.0,30599000.0,-6926000.0,15314000.0,0.5299999999999999,55381000.0,-40243000.0,8821000.0,-24928000.0,-49064000.0,180200000.0,2.7582,0.6576,14.7784,0.5299999999999999,14419000.0,0.056907620662976846,0.02968563246045667,-0.08238049726062434,-0.10593239732389247,0.03817250826568151,0.05480877453001549,0.13209309838868175,-0.03881971273574111,0.33513360709397133,2.7575958858614147,903458000.0,40188000.0,73900000.0,142372000.0,123232000.0,12246000.0,0.69,0.69,1.4622825240197352,6.034623550547117,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2013-03-31,1002779000.0,382634000.0,124667000.0,1002779000.0,538419000.0,173575000.0,221200000.0,198653000.0,-3704000.0,,2613000.0,-4950000.0,-0.05,,-10918000.0,4979000.0,11814000.0,-15897000.0,173575000.0,,0.7528,16.0796,-0.05,8110000.0,,,,-0.018645577967611866,-0.0036937351101289516,-0.005202291030542392,-0.08002396137989358,0.04082495607919337,0.32237903937268186,3.069248477945246,894984000.0,,74369000.0,107003000.0,123209000.0,11705000.0,0.7199999999999999,0.7199999999999999,1.408785072519053,6.353609568560445,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2013-06-30,992931000.0,384136000.0,132334000.0,,537729000.0,160950000.0,218101000.0,406506000.0,4482000.0,,5269000.0,-4239000.0,0.0,,,12169000.0,23588000.0,,160950000.0,,1.0626,23.7135,0.0,28070000.0,,,,0.011025667517822616,0.004513908821458893,0.006414963094640028,,0.06905187131309255,0.2993143386352605,2.9027763084316955,877429000.0,,68657000.0,,116176000.0,10609000.0,0.7,0.7,1.3853980168020934,6.471580733339617,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2013-09-30,963737000.0,360148000.0,152383000.0,,503023000.0,145325000.0,202136000.0,596041000.0,-3674000.0,,7924000.0,-7286000.0,0.0,,,15531000.0,35684000.0,,145325000.0,,1.194,54.358,0.0,32010000.0,,,,-0.006164005496266197,-0.0038122433817524906,-0.0056667098533503615,,0.05370435926387614,0.2889032907044012,2.3634394912818357,829765000.0,,36451000.0,,82609000.0,8880000.0,0.4799999999999999,0.4799999999999999,1.7591908871914683,4.104842342342343,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2013-12-31,966130000.0,402054000.0,113121000.0,966130000.0,545773000.0,198000000.0,221255000.0,-384329000.0,16532000.0,-474000.0,-5358000.0,8627000.0,0.04,56516000.0,44423000.0,-12157000.0,-23324000.0,32266000.0,198000000.0,3.5553,2.7974,,0.04,-6792000.0,-0.0008684929448690206,-0.0004906172047240019,0.001233318328827645,-0.04301522913961736,0.017111568836491984,0.022227211797147785,-0.08395411223196793,0.017672358838391067,0.362788192160477,3.5541941814517197,816871000.0,,13636000.0,,61398000.0,10448000.0,-0.010000000000000002,-0.010000000000000002,3.224860744649663,1.3051301684532925,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2014-03-31,951164000.0,352430000.0,112682000.0,,534231000.0,197500000.0,187119000.0,203794000.0,1938000.0,,2254000.0,-149000.0,0.0,,,2584000.0,11729000.0,,197500000.0,,2.9326,621.35,0.0,13667000.0,,,,0.009509602834234571,0.002037503522000412,0.0026485142764212533,,0.06706281833616298,0.36969026507259967,3.1276512663956977,822012000.0,,19278000.0,,66955000.0,10089000.0,0.04,0.04,2.949742364274513,1.910793933987511,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2014-06-30,954857000.0,260264000.0,114377000.0,,531638000.0,197000000.0,91502000.0,415740000.0,-1080000.0,,4297000.0,-2176000.0,0.0,,,8209000.0,23324000.0,,197000000.0,,4.7415,,0.0,22244000.0,,,,-0.0025977774570645116,-0.0011310594151794457,-0.0014822175071846377,,0.05350459421753981,0.370552895015029,2.2754924504052387,831246000.0,,13716000.0,,61129000.0,9117000.0,0.04,0.04,3.2226929935055373,1.5044422507403752,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2014-09-30,978443000.0,289880000.0,136660000.0,,535189000.0,196500000.0,124369000.0,623340000.0,1577000.0,,6347000.0,-341000.0,0.0,,,13437000.0,36519000.0,,196500000.0,,5.0084,329.8411,0.0,38096000.0,,,,0.0025299194661019667,0.0016117443734586481,0.002155287287358427,,0.0611159238938621,0.36716001263105186,2.1211766427630616,858545000.0,,18967000.0,,67215000.0,7540000.0,0.04,0.04,2.923454586029904,2.5155172413793103,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2014-12-31,1032731000.0,328660000.0,134538000.0,,518276000.0,196000000.0,158459000.0,-373806000.0,26702000.0,10529000.0,-4404000.0,4698000.0,0.0,57239000.0,,-5222000.0,-22502000.0,,196000000.0,2.348,2.5377,119.3934,0.0,4200000.0,0.02031543038844168,0.010195297710633263,-0.028167017115830136,-0.07143277528985624,0.025855716541868114,0.037383308412994413,,-0.011235774706666025,0.37817687872870825,2.442878591921985,869068000.0,,29137000.0,,78207000.0,8494000.0,0.0,0.0,2.5061695244671194,3.4303037438191666,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2015-03-31,1032526000.0,336200000.0,138129000.0,,515298000.0,195500000.0,159489000.0,214500000.0,-4468000.0,,2052000.0,-2744000.0,0.0,,,3339000.0,12167000.0,,195500000.0,,3.1604,267.5443,0.0,7699000.0,,,,-0.02082983682983683,-0.004327251807702663,-0.0062858927571546345,,0.03589277389277389,0.3793921187351785,2.4339566636984267,879774000.0,,22731000.0,,72239000.0,8292000.0,0.0,0.0,2.706294383920043,2.741316931982634,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2015-06-30,1698720000.0,332136000.0,97145000.0,,924890000.0,400467000.0,101420000.0,321157000.0,-25306000.0,-36502000.0,6277000.0,-11562000.0,0.0,,-62970000.0,8771000.0,21661000.0,-71741000.0,400467000.0,,3.2364,,0.0,-3645000.0,-0.03946631491312481,-0.021487943863614956,-0.1136578059951986,-0.07879635194001687,-0.01489709899218235,-0.019093723426970997,-0.22338295599971353,-0.011349589141759327,0.43298878785585315,3.4189716403314634,785191000.0,,-1495000.0,,46350000.0,10272000.0,0.0,0.0,8.640064724919094,-0.14554127725856697,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2015-09-30,1681710000.0,294273000.0,111504000.0,,892454000.0,396812000.0,81342000.0,510848000.0,-50663000.0,-60945000.0,10523000.0,-15661000.0,0.0,,-14781000.0,15244000.0,37934000.0,-30025000.0,396812000.0,,2.2407,,0.0,-12729000.0,-0.06828923395491532,-0.03623989867456339,-0.11930163179654223,-0.09917431408168378,-0.03012588377306432,-0.03929600253167306,-0.05877482147331496,-0.024917392257579555,0.4446301994276456,2.6391250538097286,672699000.0,,-53735000.0,,-4475000.0,14448000.0,0.0,0.0,-88.67307262569832,-3.7191998892580287,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
2015-12-31,1680860000.0,302630000.0,119823000.0,,900983000.0,392487000.0,108061000.0,-330849000.0,-2435000.0,14970000.0,-3753000.0,-2788000.0,-1.0,77373000.0,86621000.0,-4249000.0,-19810000.0,82372000.0,392487000.0,2.5259,2.4362,,-1.0,-22245000.0,0.01661518585811275,0.00890615518246612,-0.04524722758720746,0.0073598529842919275,-0.001448663184322311,-0.0018825330313033933,-0.24897158522467955,0.06723611073329525,0.43562087186994647,2.5256419885998516,715656000.0,,-82872000.0,,-30920000.0,15099000.0,-1.0,-1.0,-12.69362871927555,-5.488575402344527,0.7277024,5.39,1.905,0.52215,454.30402,0.2843,0.2112
