report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-07-31,3232416000.0,1809208000.0,790007000.0,1742595000.0,1489821000.0,491954000.0,214957000.0,557766000.0,,2740916000.0,1372517000.0,,315496000.0,,104026000.0,2.67,118266000.0,429987000.0,160771000.0,98106000.0,269216000.0,706911000.0,,,2.67,,0.211767722431084,0.09760377377169276,0.11510604484048398,0.5007512087200046,,,,0.09822117861328111,,0.47449391571202176,2.290116416689979,,,,,,,,,,,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2011-10-31,3232973000.0,1768710000.0,723533000.0,1697923000.0,1535050000.0,494771000.0,144949000.0,475394000.0,,705641000.0,356256000.0,92493000.0,69455000.0,,23038000.0,0.59,117224000.0,78356000.0,56649000.0,,21707000.0,639720000.0,,,0.59,92493000.0,0.04524608318947265,0.02148332200732886,0.09842823758823538,0.5048686229966796,0.13107656726295666,0.028609270785744267,0.04253001466821779,0.030762101408506593,0.13107656726295666,0.41674212566365915,2.444546413225105,,,,,,,,,,,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2012-01-31,3206186000.0,1760300000.0,738506000.0,1632352000.0,1573834000.0,493737000.0,139970000.0,527904000.0,,1403622000.0,716541000.0,204802000.0,154184000.0,,50618000.0,1.31,117555000.0,203983000.0,94285000.0,,109698000.0,633707000.0,,,1.31,204802000.0,0.09796712995144342,0.048089536913953214,0.10984723807406838,0.5104942783740922,0.14590965373868464,0.0638771424989068,0.09277381484647397,0.07815351996477685,0.14590965373868464,0.4026517409078721,2.3835960709865596,,,,,,,,,,,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2012-04-30,3394854000.0,1887392000.0,824005000.0,1731060000.0,1663794000.0,487936000.0,199953000.0,535891000.0,,1949285000.0,1007943000.0,265927000.0,233102000.0,,60691000.0,1.98,117817000.0,326417000.0,126923000.0,,199494000.0,687889000.0,,,1.98,265927000.0,0.14010268098093875,0.06866333574286258,0.11958333440210128,0.5170834434164322,0.13642284222163512,0.07833238189330086,0.11307944140430491,0.10234214083625534,0.13642284222163512,0.4134460155524061,2.290510373116668,6799464000.0,772237000.0,,3453257000.0,600115000.0,,,6.55,6.55,,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2012-07-31,3347892000.0,1852457000.0,852128000.0,1837857000.0,1510035000.0,490706000.0,204940000.0,500274000.0,,-1386892000.0,-700642000.0,-196312000.0,-137432000.0,,-48384000.0,-1.17,-234933000.0,-133908000.0,-118948000.0,111105000.0,-252856000.0,695646000.0,,,-1.17,-85207000.0,-0.09101245997609327,-0.04105030867184485,0.09909351268880345,0.5051885799326841,0.14154815227140974,-0.05863749487737358,-0.08900289751781876,0.18231845017492349,0.06143737219624888,0.46068203717132383,2.1739187070487063,2671656000.0,319309000.0,366910000.0,1380098000.0,78043000.0,478015000.0,,2.71,2.71,1.4552806920284929,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2012-10-31,3520428000.0,2096832000.0,710110000.0,1717619000.0,1802809000.0,488683000.0,130009000.0,909680000.0,,627600000.0,327083000.0,104837000.0,339472000.0,,15672000.0,2.92,116097000.0,38958000.0,23477000.0,,15481000.0,618692000.0,,,2.92,104837000.0,0.18830170029104581,0.0964291841787419,0.5409050350541746,0.5211647546207776,0.16704429572976418,0.029779617705574437,0.043294221228898935,0.024666985340981516,0.16704429572976418,0.3431822228533361,2.952827026798665,2593615000.0,589326000.0,379254000.0,1350925000.0,71817000.0,490359000.0,,5.04,5.04,1.2617123372875791,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2013-01-31,3453093000.0,2040156000.0,803478000.0,1749520000.0,1703573000.0,474492000.0,234964000.0,870232000.0,,1290055000.0,669046000.0,206976000.0,416242000.0,,37492000.0,3.63,114784000.0,89382000.0,42403000.0,,46979000.0,709456000.0,,,3.63,206976000.0,0.2443347012426236,0.12054178674017757,0.3226544604687397,0.5186181984489033,0.1604396711768103,0.05993930658687733,0.08577435248395274,0.03641627682540667,0.1604396711768103,0.41645177518075244,2.5391560192064997,2480048000.0,851384000.0,381428000.0,1303430000.0,9098000.0,492533000.0,,7.359999999999999,7.359999999999999,1.4404232812826754,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2013-04-30,3447241000.0,2051730000.0,768283000.0,1712257000.0,1734984000.0,467616000.0,214960000.0,903967000.0,,1931245000.0,1003125000.0,300730000.0,489307000.0,,56975000.0,4.28,114415000.0,206890000.0,66387000.0,,140503000.0,682576000.0,,,4.28,300730000.0,0.2820239264454312,0.1419416281020097,0.2533635038537317,0.5194188205018007,0.15571820250667315,0.08723788096045504,0.12439401710815864,0.07275255081566555,0.15571820250667315,0.3934191900328764,2.670539371559699,2462008000.0,1107589000.0,416231000.0,1298612000.0,-49893000.0,527336000.0,,9.66,9.66,1.294385363411563,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2014-01-31,3473514000.0,2038849000.0,777264000.0,1726486000.0,1747028000.0,463674000.0,304930000.0,951834000.0,,1306748000.0,669973000.0,201004000.0,155179000.0,,45825000.0,1.38,112532000.0,205595000.0,34663000.0,,170932000.0,768604000.0,,,1.38,201004000.0,0.0888245637734484,0.04467493149588572,0.1187520470664581,0.5127025256591171,0.1538200173254522,0.0578676233923341,0.07990198884415527,0.13080716404387074,0.1538200173254522,0.43994944557270976,2.623110037258898,5155648000.0,1400200000.0,813547000.0,2669227000.0,373895000.0,813547000.0,,12.21,12.21,0.9447567257945761,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
2021-06-30,187851629.0,143902970.0,6214514.0,7440918.0,180410711.0,1226404.0,,142651648.0,,,,-19735956.0,-19993848.0,,0.0,-1.48,13551150.0,-16257254.0,20035.0,,-16277289.0,1226404.0,23.2097,,-1.48,-19735956.0,-0.11082406299036203,-0.10643425402502099,,,,-0.10506140460458822,-0.10865596494416904,,,0.006797844724418829,23.15594912168514,,1040734152.0,688974044.0,,342136711.0,688974044.0,,7.8100000000000005,7.8100000000000005,0.0017800438357297537,,-0.12297441,10.61,5.15,0.69433,159.109,0.5701,1.5139
