report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2020-04-04,15946000000.0,8502000000.0,4515000000.0,10412000000.0,5534000000.0,,1396000000.0,2446000000.0,227379000.0,2777000000.0,50000000.0,40000000.0,19000000.0,0.0,-395000000.0,90000000.0,1396000000.0,,9.0726,0.468,0.0,0.009035056017347307,0.0031355825912454532,0.018005041411595247,0.25225876400433683,1.8830564784053156,13298000000.0,686000000.0,169000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2020-07-04,15471000000.0,8065000000.0,4072000000.0,9944000000.0,5527000000.0,,1107000000.0,2346000000.0,227953000.0,5249000000.0,-42000000.0,82000000.0,-7000000.0,0.0,-152000000.0,188000000.0,1107000000.0,,20.0441,0.6025,0.0,-0.007599059164103492,-0.002714756641458212,-0.008001524099828539,0.20028948796815632,1.9805992141453832,12211000000.0,248000000.0,166000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2020-10-03,15861000000.0,8467000000.0,3991000000.0,10120000000.0,5741000000.0,,859000000.0,2670000000.0,228790000.0,7984000000.0,73000000.0,125000000.0,-6000000.0,0.0,199000000.0,283000000.0,859000000.0,,30.5165,0.6906,0.0,0.012715554781396968,0.0046024840804489,0.009143286573146293,0.14962550078383557,2.121523427712353,10600000000.0,-295000000.0,162000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2021-01-02,15443000000.0,7396000000.0,3270000000.0,9598000000.0,5845000000.0,4369000000.0,,2254000000.0,,-4359000000.0,228000000.0,-81000000.0,-33000000.0,,1116000000.0,-170000000.0,4369000000.0,2.2948,34.3534,0.9111,,0.03900769888793841,0.014763970731075568,-0.05230557467309016,0.7474764756201882,2.2617737003058105,11651000000.0,309000000.0,166000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2021-04-03,15414000000.0,7384000000.0,3123000000.0,9418000000.0,5996000000.0,653000000.0,,2078000000.0,225898000.0,2879000000.0,171000000.0,40000000.0,19000000.0,0.75,181000000.0,90000000.0,653000000.0,,30.3763,1.1114,0.75,0.028519012675116744,0.011093810821331257,0.05939562348037513,0.10890593729152769,2.3643932116554596,11753000000.0,430000000.0,166000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2021-07-03,15379000000.0,7355000000.0,3007000000.0,9278000000.0,6101000000.0,644000000.0,,2188000000.0,224402000.0,6070000000.0,354000000.0,76000000.0,53000000.0,1.55,772000000.0,188000000.0,644000000.0,,21.5496,1.2181,1.55,0.058023274872971646,0.023018401716626568,0.05831960461285008,0.10555646615308965,2.44595942800133,12574000000.0,826000000.0,160000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2021-10-02,15269000000.0,7302000000.0,3052000000.0,9232000000.0,6037000000.0,585000000.0,,2182000000.0,221031000.0,9060000000.0,539000000.0,109000000.0,86000000.0,,1173000000.0,285000000.0,585000000.0,,20.2563,1.2335,,0.08928275633592844,0.035300281616346844,0.059492273730684324,0.09690243498426371,2.392529488859764,13650000000.0,1292000000.0,144000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2022-01-01,15827000000.0,7246000000.0,3136000000.0,9012000000.0,6815000000.0,3767000000.0,,2117000000.0,,-5627000000.0,-318000000.0,-83000000.0,-32000000.0,,-528000000.0,-173000000.0,3767000000.0,2.3728,22.5567,1.359,,-0.04666177549523111,-0.020092247425285904,0.056513239736982405,0.5527512839325018,2.3105867346938775,12382000000.0,746000000.0,142000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2022-04-02,15911000000.0,7496000000.0,3337000000.0,8994000000.0,6917000000.0,470000000.0,,2126000000.0,215751000.0,3001000000.0,193000000.0,33000000.0,39000000.0,,241000000.0,93000000.0,470000000.0,,20.4048,1.2533,,0.02790226977013156,0.01212997297467161,0.06431189603465512,0.06794853260083851,2.246329038058136,12504000000.0,768000000.0,135000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2022-07-02,15879000000.0,7351000000.0,3474000000.0,9078000000.0,6801000000.0,382000000.0,,1841000000.0,211825000.0,6155000000.0,410000000.0,65000000.0,84000000.0,1.88,613000000.0,191000000.0,382000000.0,,16.3887,1.0543,1.88,0.06028525216879871,0.02582026575980855,0.06661251015434606,0.05616821055727099,2.1160046056419115,12589000000.0,824000000.0,124000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2022-10-01,15956000000.0,7413000000.0,3627000000.0,9194000000.0,6762000000.0,380000000.0,,1884000000.0,209067000.0,9233000000.0,635000000.0,96000000.0,123000000.0,,961000000.0,288000000.0,380000000.0,,15.1941,1.019,,0.09390712806861876,0.03979694158937077,0.06877504603054262,0.05619639160011831,2.04383788254756,12762000000.0,920000000.0,111000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2022-12-31,16293000000.0,7401000000.0,3670000000.0,9180000000.0,7113000000.0,3557000000.0,,2035000000.0,,-5520000000.0,-377000000.0,,-92000000.0,,-327000000.0,-175000000.0,3557000000.0,2.0362,17.1672,1.1486,,-0.05300154646422044,-0.02313877125145768,0.06829710144927537,0.5000702938282019,2.0166212534059946,12869000000.0,861000000.0,,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2023-04-01,16393000000.0,7530000000.0,4289000000.0,9385000000.0,7008000000.0,367000000.0,,1799000000.0,201980000.0,3024000000.0,191000000.0,,36000000.0,0.0,163000000.0,92000000.0,367000000.0,,16.9453,1.1291,0.0,0.027254566210045662,0.011651314585493809,0.06316137566137567,0.05236872146118721,1.7556539986010724,12892000000.0,859000000.0,,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2023-07-01,16485000000.0,7585000000.0,4404000000.0,9451000000.0,7034000000.0,354000000.0,,1750000000.0,198230000.0,6448000000.0,454000000.0,,102000000.0,,459000000.0,193000000.0,354000000.0,,15.7546,1.0469,,0.06454364515211829,0.02754018804974219,0.07040942928039702,0.05032698322433893,1.7222979109900092,13185000000.0,903000000.0,,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2023-09-30,16492000000.0,7585000000.0,4387000000.0,9425000000.0,7067000000.0,350000000.0,,1716000000.0,196191000.0,9791000000.0,723000000.0,,134000000.0,,717000000.0,292000000.0,350000000.0,,16.7493,1.1946,,0.10230649497665205,0.043839437302934756,0.07384332550301297,0.049525965756332245,1.7289719626168225,13743000000.0,991000000.0,,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2023-12-30,16856000000.0,7760000000.0,4378000000.0,9869000000.0,6987000000.0,3874000000.0,,2181000000.0,,-5580000000.0,-447000000.0,,-107000000.0,4.0,-73000000.0,-182000000.0,3874000000.0,1.7862,17.1148,1.152,4.0,-0.0639759553456419,-0.0265187470336972,0.08010752688172043,0.5544582796622298,1.7724988579259937,13683000000.0,921000000.0,,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
