report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2024-09-27,11974000000.0,3084000000.0,1965000000.0,7422000000.0,4460000000.0,4643000000.0,452000000.0,,8388000000.0,291000000.0,-82000000.0,-40000000.0,-0.9,47000000.0,11000000.0,36000000.0,4643000000.0,1.5695,,,-0.9,291000000.0,-0.018385650224215247,-0.006848171037247369,-0.00977587029089175,0.03469241773962804,0.024302655754133956,0.03196748324728112,0.004291845493562232,0.03469241773962804,1.0410313901345292,1.5694656488549619,,,,,,,,,1.2670588,38.11,16.01,1.94155,6591.556,67.2608,1.4016,0.4637
2024-12-27,11919000000.0,3140000000.0,1971000000.0,7356000000.0,4475000000.0,4636000000.0,522000000.0,243302257.0,3416000000.0,132000000.0,12000000.0,24000000.0,0.05,110000000.0,8000000.0,102000000.0,4636000000.0,1.5695,,,0.05,132000000.0,0.002681564245810056,0.0010067958721369243,0.00351288056206089,0.03864168618266979,0.011074754593506167,0.014487981560750741,0.029859484777517563,0.03864168618266979,1.035977653631285,1.5930999492643327,,,,,,,,,1.2670588,38.11,16.01,1.94155,6591.556,67.2608,1.4016,0.4637
2025-03-28,12004000000.0,3266000000.0,2097000000.0,7425000000.0,4427000000.0,4636000000.0,546000000.0,,6907000000.0,242000000.0,16000000.0,46000000.0,0.07,167000000.0,12000000.0,155000000.0,4636000000.0,,,,0.07,242000000.0,0.0036141856787892477,0.0013328890369876708,0.0023164905168669464,0.03503691906761257,0.02015994668443852,0.026701975063444777,0.022441001882148544,0.03503691906761257,1.0472103004291846,1.5574630424415832,,,,,,,,,1.2670588,38.11,16.01,1.94155,6591.556,67.2608,1.4016,0.4637
2025-06-27,11808000000.0,3427000000.0,2172000000.0,7219000000.0,4458000000.0,4441000000.0,738000000.0,,10468000000.0,345000000.0,26000000.0,59000000.0,0.11,273000000.0,18000000.0,255000000.0,4441000000.0,,109.3066,0.45,0.11,345000000.0,0.005832211754149843,0.0022018970189701895,0.002483760030569354,0.03295758502101643,0.029217479674796747,0.038768400943926286,0.024359954145968667,0.03295758502101643,0.9961866307761328,1.5778084714548803,29179000000.0,-28000000.0,1010000000.0,548000000.0,1010000000.0,-0.67,-0.67,4.397029702970297,1.2670588,38.11,16.01,1.94155,6591.556,67.2608,1.4016,0.4637
2025-10-03,11460000000.0,3113000000.0,2354000000.0,6840000000.0,4505000000.0,3901000000.0,437000000.0,,-6398000000.0,-239000000.0,12000000.0,-73000000.0,0.04000000000000001,-7000000.0,-11000000.0,-18000000.0,3901000000.0,1.3224,95.6724,0.4387,0.04000000000000001,-239000000.0,0.0026637069922308544,0.0010471204188481676,-0.001875586120662707,0.037355423569865584,-0.020855148342059336,-0.028432072329288603,0.002813379180994061,0.037355423569865584,0.8659267480577136,1.3224299065420562,14393000000.0,66000000.0,480000000.0,494000000.0,480000000.0,0.27,0.27,8.127083333333333,1.2670588,38.11,16.01,1.94155,6591.556,67.2608,1.4016,0.4637
2026-01-02,11198000000.0,2960000000.0,2088000000.0,6536000000.0,4556000000.0,3894000000.0,247000000.0,,3237000000.0,138000000.0,44000000.0,20000000.0,0.18,-136000000.0,6000000.0,-142000000.0,3894000000.0,,75.7639,0.5224,0.18,138000000.0,0.009657594381035996,0.003929273084479371,0.013592832869941304,0.042632066728452274,0.012323629219503482,0.016331360946745564,-0.043867778807537845,0.042632066728452274,0.8546971027216856,1.417624521072797,14214000000.0,98000000.0,486000000.0,250000000.0,486000000.0,0.4,0.4,8.012345679012345,1.2670588,38.11,16.01,1.94155,6591.556,67.2608,1.4016,0.4637
