report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,gross_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,1745794000.0,690863000.0,528973000.0,1028602000.0,717192000.0,204247000.0,111591000.0,885200000.0,464551000.0,89215000.0,9965000.0,31345000.0,2.59,34464277.0,119258000.0,19803000.0,99455000.0,204247000.0,,18.6368,2.0349,2.59,0.12439486218474272,0.05110282198243321,0.10078513330320832,0.5247977858111161,0.11235314053321284,0.2847870584167141,1.3060458662351386,,,,,,,,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2010-09-30,1907627000.0,786729000.0,606024000.0,1152084000.0,755543000.0,245866000.0,142884000.0,1375413000.0,720606000.0,151296000.0,14757000.0,46126000.0,4.41,34318582.0,205270000.0,38564000.0,166706000.0,245866000.0,,18.5079,2.1645,4.41,0.20024803353349843,0.079311102222814,0.11000041442097755,0.5239197244754848,0.12120432190185784,0.3254162900059957,1.2981812601481129,,,,,,,,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2010-12-31,2283063000.0,1144895000.0,542186000.0,1511479000.0,771584000.0,670301000.0,447577000.0,1968178000.0,1037196000.0,232148000.0,20057000.0,75365000.0,6.8,34140097.0,268279000.0,73943000.0,194336000.0,670301000.0,2.1116,21.3756,2.5218,6.8,0.3008719724618447,0.1016826955716947,0.11795071380738938,0.5269828237080183,0.09873903681475964,0.868733669956868,2.1116277439845366,,,,,,,,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2011-03-31,2298846000.0,1117197000.0,524413000.0,1509869000.0,788977000.0,677833000.0,388102000.0,498766000.0,261507000.0,46827000.0,5711000.0,16451000.0,1.41,33291632.0,6524000.0,17559000.0,-11035000.0,677833000.0,,22.9311,2.6965,1.41,0.05935154003221894,0.020369785535873215,0.09388570993211245,0.5243079921245635,-0.02212460352149104,0.8591289733414282,2.1303762492539278,4727557000.0,519486000.0,2483860000.0,449462000.0,50490000.0,15.209999999999999,15.209999999999999,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2011-06-30,2341279000.0,1098169000.0,565995000.0,1502874000.0,838405000.0,621359000.0,328763000.0,1059854000.0,557698000.0,107015000.0,11403000.0,37600000.0,3.23,33152760.0,93553000.0,40517000.0,53036000.0,621359000.0,,21.5116,2.5096,3.23,0.1276411758040565,0.045707922891718586,0.10097145455883547,0.5262026656501745,0.05004085468375833,0.7411203416010163,1.940245055168332,4902211000.0,537286000.0,2577007000.0,403043000.0,51928000.0,15.85,15.85,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2011-09-30,2295437000.0,1053146000.0,617283000.0,1476028000.0,819409000.0,550554000.0,262473000.0,1660968000.0,872115000.0,175211000.0,17296000.0,56462000.0,5.31,32990000.0,177664000.0,64506000.0,113158000.0,550554000.0,,17.2609,1.9614,5.31,0.2138260624425653,0.07633012798870106,0.10548728211500763,0.525064299854061,0.06812774237673454,0.6718915706320043,1.706099147392687,5187766000.0,561201000.0,2728516000.0,349495000.0,54467000.0,16.75,16.75,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2011-12-31,2203474000.0,1018863000.0,609844000.0,1422337000.0,781137000.0,476715000.0,235601000.0,-910260000.0,-473046000.0,-59560000.0,-11184000.0,-30829000.0,-1.7399999999999984,-66595027.0,3139000.0,-24082000.0,-20943000.0,476715000.0,1.6709,17.8594,2.0841,-1.7399999999999984,-0.0762478284859122,-0.027030044375381784,0.06543185463493947,0.5196822885768901,0.02300771208226221,0.6102834714013035,1.6706944726848179,2309328000.0,269493000.0,1218274000.0,134216000.0,23226000.0,8.21,8.21,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2012-03-31,2113443000.0,905582000.0,525419000.0,1306470000.0,806973000.0,444858000.0,156192000.0,535400000.0,277102000.0,52327000.0,5823000.0,16981000.0,1.62,32386924.0,20797000.0,18529000.0,2268000.0,444858000.0,,21.0613,2.4688,1.62,0.06484355734330641,0.024759125275675756,0.09773440418378783,0.5175607022786701,0.00423608516996638,0.5512675145265084,1.7235425441409618,2345962000.0,274993000.0,1233869000.0,147519000.0,23338000.0,8.420000000000002,8.420000000000002,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2012-06-30,2055626000.0,860976000.0,523002000.0,1280652000.0,774974000.0,431730000.0,134766000.0,1105683000.0,576110000.0,114031000.0,11529000.0,37003000.0,3.54,32212927.0,112049000.0,43233000.0,68816000.0,431730000.0,,17.6372,2.0706,3.54,0.14714171056061234,0.05547263947819302,0.10313172943782259,0.5210444584930762,0.062238453516966434,0.5570896572014029,1.6462193261211238,2391791000.0,282009000.0,1252281000.0,163299000.0,23464000.0,8.73,8.73,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
2012-09-30,2061405000.0,838363000.0,555238000.0,1263161000.0,798244000.0,379060000.0,105374000.0,1684236000.0,884267000.0,186214000.0,17097000.0,60425000.0,5.82,32008311.0,215978000.0,64292000.0,151686000.0,379060000.0,,18.749,2.2545,5.82,0.2332795486091972,0.09033353465233664,0.11056289023628518,0.5250255902379477,0.09006220030922032,0.4748673337976859,1.5099164682532535,2415059000.0,293012000.0,1264433000.0,201827000.0,23265000.0,9.240000000000002,9.240000000000002,1.4183888,1525.17,946.69,0.15787,25608.658,29.4626,1299.3992,6.3602
