report_date,total_assets,current_assets,current_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-27,55773000000.0,23724000000.0,8912000000.0,42900000000.0,2052000000.0,330000000.0,4988000000.0,10299000000.0,6529000000.0,3448000000.0,2442000000.0,,0.0,5681000000.0,4079000000.0,928000000.0,3151000000.0,2382000000.0,,3.2294,19.9977,0.0,3448000000.0,0.05692307692307692,0.043784626970039264,0.23711039906787068,0.6339450432080784,0.3347897854160598,0.06182202858013734,0.07614504659688176,0.30595203417807554,0.3347897854160598,0.05552447552447552,2.662028725314183,,,,,,,,,,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2010-06-26,57691000000.0,26464000000.0,7937000000.0,45841000000.0,2058000000.0,215000000.0,5514000000.0,21064000000.0,13764000000.0,7429000000.0,5329000000.0,,0.0,5696000000.0,7565000000.0,1976000000.0,5589000000.0,2273000000.0,,2.7615,11.9661,0.0,7429000000.0,0.11624964551384132,0.09237142708568061,0.25299088492214206,0.6534371439422711,0.3526870489935435,0.1287722521710492,0.154404123539926,0.2653342195214584,0.3526870489935435,0.04958443314936411,3.334257276048885,,,,,,,,,,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2010-09-25,60588000000.0,29499000000.0,8837000000.0,47696000000.0,2073000000.0,259000000.0,5517000000.0,32166000000.0,21085000000.0,11565000000.0,8284000000.0,,1.0,5695000000.0,11142000000.0,3338000000.0,7804000000.0,2332000000.0,,2.5061,10.1363,1.0,11565000000.0,0.17368332774236833,0.13672674456988182,0.2575390163526705,0.6555058135919916,0.359541130386122,0.19087938205585264,0.23117054449508276,0.24261642728346702,0.359541130386122,0.048892988929889296,3.3381237976688922,,,,,,,,,,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2010-12-25,63186000000.0,31611000000.0,9327000000.0,49430000000.0,2077000000.0,38000000.0,5498000000.0,-19906000000.0,-12887000000.0,-6854000000.0,-4591000000.0,,1.0,-11376000000.0,-6094000000.0,-1035000000.0,-7129000000.0,2115000000.0,3.3892,2.6648,10.1401,1.0,-6854000000.0,-0.09287881853125632,-0.07265850030069952,0.23063397970461166,0.647392745905757,0.34431829599115843,-0.10847339600544424,-0.132971190222136,0.35813322616296595,0.34431829599115843,0.042787780699979766,3.3891926664522356,43623000000.0,11464000000.0,15588000000.0,28491000000.0,9415000000.0,15588000000.0,2.0,2.0,0.13568129330254042,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2011-04-02,65552000000.0,22795000000.0,11565000000.0,47349000000.0,2083000000.0,54000000.0,4188000000.0,12847000000.0,7885000000.0,4158000000.0,3160000000.0,,0.0,5606000000.0,4013000000.0,2723000000.0,1290000000.0,2137000000.0,,2.2732,8.6157,0.0,4158000000.0,0.06673847388540413,0.04820600439345863,0.24597182221530317,0.6137619677745777,0.3236553280921616,0.06343055894556993,0.08402376429697288,0.10041254767650035,0.3236553280921616,0.045132948953515384,1.971033290099438,46171000000.0,12182000000.0,16298000000.0,29847000000.0,7554000000.0,16298000000.0,2.0,2.0,0.1311203828690637,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2011-07-02,66089000000.0,23102000000.0,10354000000.0,48723000000.0,2090000000.0,71000000.0,4635000000.0,25879000000.0,15787000000.0,8093000000.0,6114000000.0,,1.0,5527000000.0,7984000000.0,5207000000.0,2777000000.0,2161000000.0,,2.4563,9.7132,1.0,8093000000.0,0.12548488393571824,0.09251161312775197,0.23625333281811509,0.6100312995092546,0.3127246029599289,0.12245608195009759,0.15904803081518748,0.1073070829630202,0.3127246029599289,0.04435276973913757,2.2312149893760864,50986000000.0,12967000000.0,16962000000.0,31870000000.0,4742000000.0,16962000000.0,3.0,3.0,0.12740242895884918,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2011-10-01,70551000000.0,26698000000.0,11909000000.0,46117000000.0,7076000000.0,66000000.0,7057000000.0,40112000000.0,24805000000.0,12878000000.0,9582000000.0,,1.0,5466000000.0,14333000000.0,7920000000.0,6413000000.0,7142000000.0,,2.0996,8.4843,1.0,12878000000.0,0.2077758744064011,0.13581664327932985,0.23888113282808138,0.618393498205026,0.3210510570402872,0.1825346203455656,0.2417995080643647,0.15987734343837257,0.3210510570402872,0.15486696879675607,2.2418339071290623,58932000000.0,14265000000.0,18275000000.0,35590000000.0,3351000000.0,18275000000.0,3.0,3.0,0.39080711354309167,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2011-12-31,71119000000.0,25872000000.0,12028000000.0,45911000000.0,7084000000.0,247000000.0,5065000000.0,-24839000000.0,-14720000000.0,-7652000000.0,-5914000000.0,,0.0,-11188000000.0,-5367000000.0,-5086000000.0,-10453000000.0,7331000000.0,2.151,2.3141,9.6552,0.0,-7652000000.0,-0.12881444533989675,-0.08315639983689309,0.2380933209871573,0.5926164499375981,0.30806393172027857,-0.10759431375581771,-0.14372112242214793,0.420830146141149,0.30806393172027857,0.15967850841846182,2.1509810442301296,53999000000.0,12942000000.0,17477000000.0,33757000000.0,27000000.0,17477000000.0,2.0,2.0,0.4194655833381015,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2012-03-31,71817000000.0,25421000000.0,11941000000.0,46760000000.0,7088000000.0,362000000.0,4429000000.0,12906000000.0,8265000000.0,3810000000.0,2738000000.0,,0.0,5192000000.0,2972000000.0,2974000000.0,-2000000.0,7450000000.0,,2.6291,11.3516,0.0,3810000000.0,0.05855431993156544,0.0381246780010304,0.21214938788160545,0.6403998140399814,0.2952115295211529,0.053051505910856764,0.07028223574986164,-0.0001549666821633349,0.2952115295211529,0.15932420872540634,2.1288836780839127,54058000000.0,12520000000.0,17129000000.0,34137000000.0,-1265000000.0,17129000000.0,2.0,2.0,0.43493490571545335,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
2012-06-30,72352000000.0,25785000000.0,10538000000.0,48779000000.0,7093000000.0,92000000.0,5223000000.0,26407000000.0,16819000000.0,7642000000.0,5565000000.0,,1.0,5196000000.0,7711000000.0,5636000000.0,2075000000.0,7185000000.0,,2.4603,10.8248,1.0,7642000000.0,0.11408597962237849,0.0769156346749226,0.2107395766274094,0.6369144545007006,0.2893929639868217,0.10562251216275984,0.1365520691873347,0.07857764986556595,0.2893929639868217,0.14729699255827303,2.4468589865249575,54586000000.0,11971000000.0,16678000000.0,35169000000.0,-1967000000.0,16678000000.0,2.0,2.0,0.4308070512051805,1.4201043,54.6,17.665,82.83925,224924.86,1.531,4.2557
