report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-06-28,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0,,,,,,0.0,,55.2147,2.3424,,,,,,,,,,,,,,,,,,,,,,,,,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2014-09-27,0.0,0.0,0.0,0.0,0.0,,,1000.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,,31.5555,2.7622,,,,,,,,,,,,,,,,,,,,,,,,,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2014-12-27,1165615000.0,755257000.0,219753000.0,270053000.0,895562000.0,,118093000.0,,1076074000.0,500422000.0,225011000.0,189821000.0,866000.0,34913000.0,2.0,74083000.0,167099000.0,49830000.0,117269000.0,0.0,,25.7157,3.6447,2.0,225011000.0,0.21195740775066382,0.16285051239045484,0.17640143707588885,0.46504422558299896,0.20910364900555167,0.19304058372618746,0.2512511696565955,0.10897856467120291,0.20910364900555167,0.0,3.436845003253653,,,,,,,,,,,,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2015-03-28,6892379000.0,1500105000.0,325310000.0,719219000.0,6173160000.0,,299814000.0,,634892000.0,188886000.0,-102545000.0,6482000.0,555000.0,-109975000.0,0.0,19128000.0,138525000.0,120032000.0,18493000.0,0.0,4.6114,61.566,7.0634,0.0,-102545000.0,0.0010500294824692701,0.0009404590200277727,0.01020961045343145,0.297508867649931,-0.16151565935623696,-0.01487802687577105,-0.0166114275346824,0.029127788663268712,-0.16151565935623696,0.0,4.611309212750914,1710966000.0,196303000.0,,,,,,,,,,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2015-06-27,6909870000.0,1579986000.0,335496000.0,731679000.0,6178191000.0,,325602000.0,,673641000.0,279517000.0,-1335000.0,2036000.0,548000.0,592000.0,0.0,154461000.0,141432000.0,89395000.0,52037000.0,0.0,,73.953,5.7101,0.0,-1335000.0,0.0003295463024694445,0.0002946509847507985,0.003022381357429254,0.41493466104349347,-0.0019817677368212444,-0.00019320189815437918,-0.00021608266885889414,0.07724737657001281,-0.0019817677368212444,0.0,4.709403390800486,2384607000.0,198339000.0,,,,,,,,,,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2015-10-03,6532097000.0,1275982000.0,355474000.0,819999000.0,5712098000.0,75000000.0,169597000.0,,1381976000.0,564365000.0,16704000.0,6484000.0,1208000.0,14376000.0,0.0,152562000.0,310227000.0,169686000.0,140541000.0,75000000.0,,66.4137,2.7733,0.0,16704000.0,0.001135134586276356,0.0009926368209167745,0.004691832564386067,0.40837539870446377,0.012087040585364724,0.002557218608358082,0.002886420793288795,0.1016956879135383,0.012087040585364724,0.01313002683077216,3.589522721774307,3766583000.0,204823000.0,137835000.0,1533190000.0,328340000.0,137835000.0,3177000.0,2.0,2.0,0.5441288497116117,43.38526912181303,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2016-01-02,7011110000.0,1843717000.0,300685000.0,1517038000.0,5494072000.0,987888000.0,851597000.0,,2002657000.0,795353000.0,3491000.0,-4643000.0,8876000.0,4502000.0,0.0,144936000.0,528233000.0,231154000.0,297079000.0,987888000.0,,3982.6778,2.718,0.0,3491000.0,-0.0008450926744316419,-0.0006622346532859989,-0.0023184199790578217,0.39714888770268697,0.0017431841798171129,0.0004979240091797162,0.000538571666594672,0.14834242708561676,0.0017431841798171129,0.1798098022741602,6.131722566805793,4693166000.0,10359000.0,-83685000.0,1828121000.0,508150000.0,-83685000.0,11187000.0,0.0,0.0,-11.804839576985122,-7.480557790292304,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2016-04-02,6596819000.0,1509210000.0,373801000.0,1597147000.0,4999672000.0,988130000.0,425881000.0,,-1447548000.0,-589682000.0,-6892000.0,-32722000.0,12684000.0,6513000.0,0.0,-310022000.0,-291965000.0,-174611000.0,-466576000.0,988130000.0,4.0375,,2.6584,0.0,-6892000.0,-0.006544829340804757,-0.004960269487460547,0.022605122593516762,0.40736611152099966,0.004761154725093745,-0.0010447459601362415,-0.0011510066632129787,0.32232160867895226,0.004761154725093745,0.19763896511611162,4.03746913464651,2610726000.0,-28845000.0,11968000.0,1049553000.0,23081000.0,11968000.0,23316000.0,0.0,0.0,82.56433823529412,0.513295591010465,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2016-07-02,6687987000.0,1485420000.0,420333000.0,1654411000.0,5033576000.0,988372000.0,433034000.0,,698537000.0,276475000.0,5741000.0,-5675000.0,15187000.0,-3993000.0,0.0,127541000.0,59389000.0,130440000.0,-71051000.0,988372000.0,,,2.5129,0.0,5741000.0,-0.0011274290881870066,-0.0008485363383630978,-0.008124122272692784,0.3957914899282357,0.008218605456833353,0.0008584047785978053,0.0009533459936884211,-0.10171401085411366,0.008218605456833353,0.1963558313215098,3.533912398027278,2635622000.0,-36556000.0,19044000.0,1046511000.0,-100007000.0,19044000.0,37955000.0,0.0,0.0,51.89939088426801,0.5017520748254511,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
2016-10-01,6751622000.0,1582536000.0,557445000.0,1775246000.0,4976376000.0,988625000.0,469219000.0,,1563235000.0,593274000.0,51134000.0,6172000.0,30741000.0,13900000.0,0.0,132461000.0,309387000.0,250419000.0,58968000.0,988625000.0,,,2.4805,0.0,51134000.0,0.001240259980355182,0.0009141507033421006,0.00394822275601557,0.379516835280684,0.03271037304052174,0.007573587502380909,0.008572337204972807,0.03772177567672167,0.03271037304052174,0.19866364599459527,2.838909668218389,2816881000.0,-36868000.0,53474000.0,1075420000.0,-181580000.0,53474000.0,67488000.0,0.0,0.0,18.48795676403486,0.7923482693219536,1.3395416,106.3,49.46,1.47551,7295.9385,21.4193,1.9936,1.9509
