report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,5107000000.0,1739200000.0,1440700000.0,5107000000.0,939900000.0,1570000000.0,154300000.0,108100000.0,,1806300000.0,135900000.0,63900000.0,51900000.0,40300000.0,1.74,36.631,333600000.0,111800000.0,114200000.0,221800000.0,1724300000.0,,9.1556,0.4442,1.74,250100000.0,0.06798595595276093,0.012512238104562366,0.03537618335824614,0.0752366716492277,0.026610534560407285,0.05100968395766084,0.12279244865194043,0.1384598350218679,1.8345568677518884,1.2071909488443118,,,,,,,,,,,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2010-09-30,5120100000.0,1768300000.0,1472000000.0,5120100000.0,1073500000.0,1390100000.0,233800000.0,129200000.0,,2873800000.0,352300000.0,186300000.0,81400000.0,116100000.0,5.08,36706000.0,506400000.0,153900000.0,172000000.0,352500000.0,1623900000.0,,8.687,0.4913,5.08,524300000.0,0.1735444806707033,0.036386008085779575,0.06482705825040017,0.12259029855939871,0.0688072498584012,0.13060725142730037,0.12265989282483124,0.1824413668313731,1.512715416860736,1.2012907608695653,,,,,,,,,,,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2010-12-31,5016600000.0,1662000000.0,1424700000.0,,1105400000.0,1313000000.0,221200000.0,89500000.0,,3832300000.0,471600000.0,251100000.0,108300000.0,154800000.0,6.83,36786000.0,553700000.0,183000000.0,230500000.0,370700000.0,1534200000.0,1.1663,8.3131,0.5447,6.83,702100000.0,0.2271575900126651,0.05005382131324004,0.06552201028103227,0.12305925945254807,0.09400789379260854,0.1786634338536142,0.09673042298358688,0.18320590767946143,1.3879138773294735,1.1665613813434408,,,,,,,,,,,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2011-03-31,5111400000.0,1596000000.0,1484400000.0,,1170100000.0,1275200000.0,169800000.0,60200000.0,,965200000.0,133800000.0,74200000.0,23400000.0,46500000.0,2.01,36841000.0,118800000.0,149100000.0,60300000.0,-30300000.0,1445000000.0,,7.1409,0.5759,2.01,194100000.0,0.06341338347149816,0.014516570802519857,0.07687525901367592,0.13862411935350186,0.026176781312360606,0.051164391419066195,-0.03139245752175715,0.20109821798590966,1.2349371848559951,1.0751818916734035,9477600000.0,575500000.0,1093600000.0,914700000.0,1670600000.0,265000000.0,15.66,15.66,0.8649586974739615,4.1267924528301885,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2011-06-30,5233800000.0,1675700000.0,1628000000.0,,1206500000.0,1154900000.0,253900000.0,67000000.0,,2075400000.0,191600000.0,103000000.0,43400000.0,64700000.0,2.8,36775000.0,368700000.0,241100000.0,122000000.0,127600000.0,1408800000.0,,8.4522,0.598,2.8,313600000.0,0.08537090758392044,0.019679773778134433,0.0496289871831936,0.09231955285728052,0.03660820054262677,0.0732611937445035,0.06148212392791751,0.15110340175387876,1.1676750932449234,1.0292997542997544,9746700000.0,614600000.0,1149300000.0,820500000.0,1734100000.0,256500000.0,16.72,16.72,0.8124098956230897,4.480701754385965,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2011-09-30,5260200000.0,1726300000.0,1518300000.0,5260200000.0,1264300000.0,1178800000.0,213600000.0,67500000.0,,3273500000.0,334800000.0,180500000.0,69100000.0,112500000.0,4.91,36725000.0,608800000.0,294500000.0,184200000.0,314300000.0,1392400000.0,,8.2625,0.4789,4.91,519000000.0,0.14276674839832318,0.03431428462796091,0.05513975866809226,0.10227585153505422,0.06364777004676628,0.12602100350058343,0.09601344127081106,0.1585458988849855,1.1013208890295025,1.1369953237173154,10146400000.0,608800000.0,1131800000.0,782300000.0,1728800000.0,244200000.0,16.55,16.55,0.8054141601110597,4.634725634725635,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2011-12-31,5195000000.0,1595500000.0,1509600000.0,5195000000.0,1173200000.0,1099000000.0,207900000.0,102200000.0,,-1996300000.0,-211300000.0,-113200000.0,-48600000.0,-74500000.0,-3.0599999999999987,-73631000.0,-400300000.0,-297300000.0,-119600000.0,-697600000.0,1306900000.0,1.057,10.7453,0.6085,-3.0599999999999987,-330900000.0,-0.09648823729969315,-0.021790182868142445,0.05670490407253419,0.10584581475730101,-0.04067372473532242,-0.08519817749284303,0.34944647598056405,0.16575664980213395,1.113961813842482,1.05690249072602,4317800000.0,244500000.0,448900000.0,-286000000.0,695800000.0,87300000.0,6.660000000000001,6.660000000000001,1.8782696177062375,5.142038946162658,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2012-03-31,5382000000.0,1656900000.0,1673200000.0,5382000000.0,1218000000.0,1036900000.0,210100000.0,48200000.0,,1039300000.0,72400000.0,40800000.0,16600000.0,25800000.0,0.56,72659000.0,183300000.0,98100000.0,63700000.0,85200000.0,1247000000.0,,12.0431,0.5794,0.56,136100000.0,0.033497536945812804,0.00758082497212932,0.039257192340998746,0.069662272683537,0.01345224823485693,0.029371196754563896,0.08197825459443857,0.13095352641200808,1.0238095238095237,0.9902581879034186,4391900000.0,211100000.0,387500000.0,-170500000.0,637800000.0,80500000.0,5.210000000000001,5.210000000000001,1.9551583568516777,4.813664596273292,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2012-06-30,5423600000.0,1698400000.0,1664300000.0,5423600000.0,1283000000.0,957100000.0,183400000.0,35400000.0,,2252500000.0,188200000.0,108300000.0,33800000.0,67400000.0,1.5,72325000.0,455700000.0,254800000.0,129500000.0,200900000.0,1140500000.0,,10.3384,0.575,1.5,317700000.0,0.08441153546375682,0.019968286746810237,0.04807991120976693,0.08355160932297448,0.03470019912972933,0.0776562822364349,0.08918978912319644,0.14104328523862375,0.8889321901792674,1.0204890945142102,4569000000.0,216400000.0,384100000.0,-97200000.0,641900000.0,70900000.0,3.9100000000000015,3.9100000000000015,1.7767565041283688,5.417489421720734,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2012-09-30,5436100000.0,,,,,898900000.0,167200000.0,27500000.0,,3524700000.0,457700000.0,271700000.0,48900000.0,169600000.0,3.77,72059000.0,637300000.0,339700000.0,195400000.0,297600000.0,1066100000.0,,7.3655,0.5415,3.77,653100000.0,,0.04998068468203307,0.07708457457372259,0.12985502312253525,0.08419639079487132,0.429321827220711,0.08443271767810026,0.18529236530768575,,,4820200000.0,307600000.0,507000000.0,-113900000.0,776000000.0,50700000.0,2.7700000000000014,2.7700000000000014,1.373840206185567,10.0,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2012-12-31,5505000000.0,1737000000.0,1501000000.0,5505000000.0,1421000000.0,871000000.0,161000000.0,122000000.0,,-2159500000.0,-186300000.0,-104800000.0,-35300000.0,-64800000.0,-1.4299999999999997,-145259000.0,-523300000.0,-174600000.0,-124600000.0,-697900000.0,1032000000.0,1.1572,9.5906,0.6512,-1.4299999999999997,-310900000.0,-0.07375087966220971,-0.019037238873751135,0.04852975225746701,0.08626996990043992,-0.033841961852861036,-0.07594781899714635,0.32317666126418154,0.14396851122945126,0.7262491203377903,1.1572285143237842,4657000000.0,316000000.0,532000000.0,-114200000.0,796000000.0,64000000.0,4.4,4.4,1.2964824120603016,8.3125,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2013-03-31,5644000000.0,1839000000.0,1598000000.0,5644000000.0,1462000000.0,840000000.0,106000000.0,95000000.0,,1133000000.0,64000000.0,37000000.0,16000000.0,22000000.0,0.51,71414000.0,212000000.0,103000000.0,69000000.0,109000000.0,946000000.0,,14.3856,0.9454,0.51,133000000.0,0.0253077975376197,0.006555634301913536,0.03265666372462489,0.05648720211827008,0.011339475549255847,0.026578073089700997,0.09620476610767872,0.11738746690203,0.6470588235294118,1.1508135168961202,4750700000.0,312200000.0,523600000.0,-90400000.0,792900000.0,63400000.0,4.3500000000000005,4.3500000000000005,1.193088661874133,8.258675078864353,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
2013-06-30,5852000000.0,1986000000.0,1756000000.0,,1543000000.0,814000000.0,110000000.0,57000000.0,,1256000000.0,174000000.0,104000000.0,14000000.0,65000000.0,1.0,71159000.0,,,,,924000000.0,,10.6569,0.7752,1.0,174000000.0,0.06740116655865197,0.0177717019822283,0.08280254777070063,0.13853503184713375,0.029733424470266577,0.07053100932306446,,0.13853503184713375,0.5988334413480233,1.1309794988610478,3754200000.0,307900000.0,509400000.0,,649200000.0,43600000.0,3.8500000000000005,3.8500000000000005,1.423290203327172,11.68348623853211,1.3051703,65.88,33.03,4.8736,4279.5483,42.7955,1.4168,0.3006
