report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual
2011-08-31,19844000000.0,8809000000.0,4729000000.0,19844000000.0,11545000000.0,1543000000.0,678000000.0,2572000000.0,11822000000.0,6079000000.0,2502000000.0,1607000000.0,162000000.0,717000000.0,2.96,542.4,2814000000.0,540000000.0,613000000.0,2274000000.0,2221000000.0,,,2.96,3115000000.0,0.13919445647466436,0.08098165692400726,0.13593300625951615,0.5142107934359669,0.21163931652850618,0.1260834509171538,0.1817521429609182,0.19235323972255117,0.26349179495855185,0.1923776526634907,1.8627616832311271,,,,,,,,,,,,11.11,9.66,0.16842,314.688,31.778,1.3167
2011-11-30,20423000000.0,9734000000.0,5853000000.0,20423000000.0,11041000000.0,1542000000.0,522000000.0,3007000000.0,2439000000.0,1096000000.0,245000000.0,126000000.0,53000000.0,70000000.0,0.23,541.4,1110000000.0,138000000.0,155000000.0,972000000.0,2064000000.0,,,0.23,400000000.0,0.01141200978172267,0.006169514762767468,0.05166051660516605,0.44936449364493647,0.1004510045100451,0.011996278705381188,0.018695154521175122,0.3985239852398524,0.16400164001640016,0.18693958880536182,1.6630787630275072,,,,,,,,,,,,11.11,9.66,0.16842,314.688,31.778,1.3167
2012-02-29,20721000000.0,10024000000.0,5193000000.0,20721000000.0,11994000000.0,1538000000.0,610000000.0,3123000000.0,7187000000.0,3801000000.0,2054000000.0,1337000000.0,100000000.0,610000000.0,2.47,540.9,1672000000.0,239000000.0,311000000.0,1433000000.0,2148000000.0,,,2.47,2365000000.0,0.11147240286810071,0.06452391293856474,0.1860303325448727,0.5288715736746904,0.28579379435091135,0.09912649003426476,0.1452411257247914,0.19938778349798247,0.3290663698344233,0.1790895447723862,1.9302907760446755,,,,,,,,,,,,11.11,9.66,0.16842,314.688,31.778,1.3167
2012-05-31,19984000000.0,9783000000.0,4282000000.0,7571000000.0,12077000000.0,1538000000.0,634000000.0,1716000000.0,11406000000.0,6164000000.0,3404000000.0,2274000000.0,139000000.0,971000000.0,4.21,540.2,853000000.0,376000000.0,466000000.0,477000000.0,2172000000.0,,,4.21,3870000000.0,0.1882917943197814,0.113791032826261,0.19936875328774328,0.5404173242153253,0.29843941785025424,0.17033626901521218,0.2388939574706997,0.041820094687006835,0.33929510783798,0.17984598824211312,2.2846800560485754,32854000000.0,5344000000.0,8205000000.0,17140000000.0,5156000000.0,9750000000.0,454000000.0,9.870000000000001,9.870000000000001,0.22276923076923077,18.072687224669604,11.11,9.66,0.16842,314.688,31.778,1.3167
2012-08-31,20224000000.0,9658000000.0,4221000000.0,20224000000.0,11833000000.0,2038000000.0,36000000.0,3283000000.0,-7528000000.0,-4016000000.0,-2555000000.0,-1692000000.0,-101000000.0,-750000000.0,-3.12,-1082.3,-584000000.0,-107000000.0,-310000000.0,-691000000.0,2074000000.0,,,-3.12,-2865000000.0,-0.14298994337868673,-0.0836629746835443,0.22476089266737515,0.5334750265674814,0.33939957492029754,-0.12633504746835442,-0.18372042856115625,0.09179064824654623,0.3805791710945802,0.17527254288853208,2.2880833925610045,13504000000.0,2045000000.0,3148000000.0,7045000000.0,2191000000.0,3770000000.0,191000000.0,3.79,3.79,0.5501326259946949,16.48167539267016,11.11,9.66,0.16842,314.688,31.778,1.3167
2012-11-30,22537000000.0,12060000000.0,6161000000.0,22537000000.0,12259000000.0,2054000000.0,26000000.0,4637000000.0,2939000000.0,1397000000.0,509000000.0,339000000.0,51000000.0,122000000.0,0.63,540.4,1569000000.0,133000000.0,152000000.0,1436000000.0,2080000000.0,,,0.63,661000000.0,0.02765315278570846,0.015041931046723167,0.1153453555631167,0.47533174549166385,0.173188159237836,0.022585082309091717,0.03549759397447521,0.48860156515821707,0.2249064307587615,0.16967126193001061,1.957474435968187,14004000000.0,2258000000.0,3412000000.0,7346000000.0,2655000000.0,4031000000.0,189000000.0,4.19,4.19,0.5160009923096006,18.052910052910054,11.11,9.66,0.16842,314.688,31.778,1.3167
2021-03-31,251315598.0,1310734.0,121388.0,18620688.0,5000010.0,,,855525.0,,,-252785.0,7590113.0,,,,,-589844.0,,,,0.0,0.1222,,,-252785.0,1.518019563960872,0.030201519764006052,,,,-0.0010058468396378644,-0.050556898886202226,,,0.0,10.797887764853199,,928590113.0,1357747215.0,,,1665747215.0,,,,0.0,,11.11,9.66,0.16842,314.688,31.778,1.3167
2021-06-30,251110620.0,1099523.0,240237.0,23281037.0,5000003.0,,,724990.0,,,-582845.0,2724786.0,,,,,-720379.0,,,,0.0,,,,-582845.0,0.5449568730258761,0.010850938920862845,,,,-0.002321068698727278,-0.11656893005864197,,,0.0,4.576826217443608,,-1342685101.0,-2046835630.0,,,-2204835630.0,,,,-0.0,,11.11,9.66,0.16842,314.688,31.778,1.3167
2021-09-30,250960821.0,943422.0,308237.0,20197737.0,-19236916.0,,,671567.0,,,-806946.0,5658287.0,,,0.38,29510073.0,-773801.0,,,,0.0,,,0.38,-806946.0,-0.29413690843168416,0.022546495414915782,,,,-0.003215426203917304,0.04194778414585789,,,-0.0,3.060703290000876,,354973186.0,507357424.0,,,659357424.0,,,,0.0,,11.11,9.66,0.16842,314.688,31.778,1.3167
2021-12-31,250804476.0,780774.0,468737.0,19166342.0,-18361866.0,,,607255.0,,,512482.0,-9439849.0,,,0.06,438557.0,1245911.0,,,,0.0,1.6657,46.6837,0.06,512482.0,0.5141007455342501,-0.03763827962942735,,,,0.002043352687214402,-0.027910126345546796,,,-0.0,1.6656973953410974,,6533337.0,-1130094.0,,,-1130094.0,,,,-0.0,,11.11,9.66,0.16842,314.688,31.778,1.3167
2022-06-30,250514531.0,224526.0,566238.0,11266238.0,-10814982.0,,,19320.0,,,-685875.0,7610159.0,,41342.0,0.48,31250000.0,-961403.0,,,,0.0,,26.8748,0.48,-685875.0,-0.7036682076770909,0.030378114074348844,,,,-0.0027378651340588304,0.0634189682423882,,,-0.0,0.39652231040657815,,6553383.0,-1563184.0,,,-1563184.0,,,,-0.0,,11.11,9.66,0.16842,314.688,31.778,1.3167
2022-09-30,251398097.0,252228.0,813286.0,10732311.0,-10450083.0,,,141499.0,,,-888572.0,9027652.0,,304721.0,0.58,31250000.0,-1085954.0,,,,0.0,,31.1469,0.58,-888572.0,-0.8638832820753672,0.03590978654066741,,,,-0.0035345215839084096,0.08503013803813807,,,-0.0,0.31013444225032766,,12856249.0,-1868911.0,,,-1868911.0,,1.5,1.5,-0.0,,11.11,9.66,0.16842,314.688,31.778,1.3167
