report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-09-30,66951000000.0,21754000000.0,12887000000.0,66951000000.0,24152000000.0,17042000000.0,2206000000.0,45888000000.0,,2677000000.0,,546000000.0,2.07,1157800000.0,1858000000.0,1620000000.0,2142000000.0,238000000.0,17042000000.0,,,,2.07,,0.1108396820139119,0.03998446625143762,0.05833769177126918,,,,0.005186541143654114,,0.7056144418681682,1.688057732598743,,,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2011-12-31,69224000000.0,23422000000.0,13634000000.0,69224000000.0,22281000000.0,18310000000.0,5444000000.0,59985000000.0,,2742000000.0,,817000000.0,2.05,1158200000.0,3879000000.0,,2883000000.0,,18310000000.0,,,,2.05,,0.12306449441227953,0.03961053969721484,0.04571142785696424,,,,,,0.8217764014182487,1.7179111045914626,,,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2012-03-31,69598000000.0,23911000000.0,13465000000.0,69598000000.0,23026000000.0,18224000000.0,3608000000.0,14719000000.0,,497000000.0,,186000000.0,0.35,1168700000.0,-51000000.0,,679000000.0,,18224000000.0,,,,0.35,,0.021584296013202466,0.007141009799132159,0.03376588083429581,,,,,,0.7914531399287762,1.7757890828072782,,,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2012-06-30,68842000000.0,23198000000.0,12629000000.0,68842000000.0,23121000000.0,18304000000.0,4128000000.0,29232000000.0,,1231000000.0,,430000000.0,0.9,1172700000.0,1421000000.0,,1353000000.0,,18304000000.0,,,,0.9,,0.05324164179750011,0.0178815258127306,0.042111384783798576,,,,,,0.7916612603261105,1.8368833636867528,149824000000.0,7147000000.0,,,5.369999999999999,5.369999999999999,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2012-09-30,69368000000.0,23465000000.0,12795000000.0,69368000000.0,23830000000.0,18216000000.0,3885000000.0,42869000000.0,,1813000000.0,,664000000.0,1.31,1174900000.0,2524000000.0,,2018000000.0,,18216000000.0,,,,1.31,,0.0760805707091901,0.026135970476300313,0.04229163264830064,,,,,,0.7644146034410407,1.833919499804611,146805000000.0,6283000000.0,,,4.609999999999999,4.609999999999999,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2012-12-31,69605000000.0,23684000000.0,11493000000.0,69605000000.0,20877000000.0,19919000000.0,4318000000.0,-30034000000.0,,-2359000000.0,,-715000000.0,-1.86,-2339900000.0,181000000.0,,-1352000000.0,,19919000000.0,,,,-1.86,,-0.11299516214015423,-0.0338912434451548,0.07854431644136645,,,,,,0.9541121808688988,2.0607326198555644,56786000000.0,1182000000.0,,,0.7,0.7,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2013-12-31,69501000000.0,24977000000.0,11971000000.0,69501000000.0,26898000000.0,16820000000.0,5940000000.0,57080000000.0,,4787000000.0,,1988000000.0,3.68,1290400000.0,7823000000.0,,2681000000.0,,16820000000.0,,,,3.68,,0.17796862220239423,0.06887670680997396,0.08386475122634898,,,,,,0.6253253029965053,2.0864589424442403,99147000000.0,5472000000.0,,,4.03,4.03,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2019-03-31,79737000000.0,25661000000.0,15373000000.0,79737000000.0,26966000000.0,17160000000.0,2969000000.0,13582000000.0,858000000.0,541000000.0,247000000.0,272000000.0,,,1426000000.0,,840000000.0,,17160000000.0,2.5323,,,,1698000000.0,0.02006230067492398,0.006784805046590667,0.03983213076130172,0.0631718450890885,0.010760374731931224,0.01944431854235598,,0.12501840671476955,0.6363568938663502,1.6692252650751318,83497000000.0,4782000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2019-06-30,64889000000.0,18637000000.0,11605000000.0,64889000000.0,17911000000.0,17155000000.0,2446000000.0,21983000000.0,512000000.0,631000000.0,,266000000.0,0.84,747600000.0,2256000000.0,,1486000000.0,,17155000000.0,,,,0.84,1998000000.0,0.03522974708279828,0.00972429841729723,0.028703998544329708,0.023290724650866578,0.007890397447949575,0.014601038042548337,,0.09088841377428013,0.9577913014348725,1.605945713054718,62611000000.0,3600000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
2019-09-30,64937000000.0,18949000000.0,11201000000.0,64937000000.0,17399000000.0,17213000000.0,2823000000.0,32747000000.0,949000000.0,964000000.0,,356000000.0,1.29,746100000.0,3980000000.0,,2225000000.0,,17213000000.0,,,,1.29,3174000000.0,0.05540548307373987,0.014845157614303094,0.029437811097199743,0.028979753870583564,0.014614164497897963,0.0274182364497862,,0.09692490915198339,0.9893097304442784,1.6917239532184627,125392000000.0,6923000000.0,,,,,,0.6313665,38.58,20.4019,17.58157,26900.354,1.0381,0.673
