report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,,,,,,9292000000.0,697000000.0,353000000.0,1.15,,,0.0,7.3976,0.8132,1.15,,,0.0750107619457598,,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2010-09-30,,,,,,,30308000000.0,3018000000.0,1306000000.0,5.31,,,0.0,5.1817,0.6408,5.31,,,0.09957766926224099,,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2010-12-31,539854000000.0,506926000000.0,32415000000.0,23653000000.0,1982000000.0,12915000000.0,38414000000.0,3195000000.0,1310000000.0,5.75,6542000000.0,-104000000.0,25635000000.0,8.9186,0.7319,5.75,0.09856547894493291,0.005918266790650805,0.08317280158275629,0.7908375751966682,,,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2011-03-31,599008000000.0,565762000000.0,32696000000.0,24033000000.0,2432000000.0,10995000000.0,10186000000.0,608000000.0,190000000.0,1.2,2231000000.0,-19000000.0,26465000000.0,9.8125,0.756,1.2,0.018595546855884514,0.001015011485656285,0.05968977027292362,0.8094262295081968,88200000000.0,7518000000.0,13.41,13.41,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2011-06-30,613377000000.0,577741000000.0,35043000000.0,24578000000.0,2152000000.0,13909000000.0,22433000000.0,1446000000.0,522000000.0,2.89,5174000000.0,167000000.0,26730000000.0,11.1988,0.7573,2.89,0.04126359044602346,0.0023574408561129615,0.06445861008335933,0.7627771594897698,101341000000.0,8267000000.0,15.149999999999999,15.149999999999999,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2011-09-30,611473000000.0,573669000000.0,37149000000.0,23920000000.0,2899000000.0,15526000000.0,37350000000.0,2980000000.0,1370000000.0,,10821000000.0,202000000.0,26819000000.0,7.297,0.4949,,0.08021750248997281,0.0048734776515070985,0.07978580990629183,0.7219306037847587,108383000000.0,8229000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2011-12-31,624521000000.0,586710000000.0,37223000000.0,24622000000.0,2336000000.0,14251000000.0,-20924000000.0,-1368000000.0,-483000000.0,,-5849000000.0,-60000000.0,26958000000.0,6.7901,0.4885,,-0.0367514708647879,-0.0021904787829392447,0.06537946855285796,0.7242296429626843,49045000000.0,3666000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2012-03-31,637737000000.0,602199000000.0,34942000000.0,24379000000.0,3655000000.0,14201000000.0,9623000000.0,-967000000.0,171000000.0,-2.09,767000000.0,105000000.0,28034000000.0,14.6733,0.6183,-2.09,-0.027674431915746093,-0.0015162990386319126,-0.100488413176764,0.8023009558697269,48482000000.0,2091000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2012-06-30,647463000000.0,608833000000.0,38021000000.0,24299000000.0,3226000000.0,14242000000.0,25759000000.0,1231000000.0,903000000.0,,6036000000.0,203000000.0,27525000000.0,6.4237,0.4255,,0.03237684437547671,0.0019012669449837288,0.047789122248534495,0.723942032034928,51808000000.0,1876000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
2012-09-30,671698000000.0,632332000000.0,38675000000.0,23845000000.0,3013000000.0,13906000000.0,38903000000.0,613000000.0,572000000.0,,11749000000.0,230000000.0,26858000000.0,19.1895,0.4973,,0.015850032320620554,0.0009126125133616595,0.015757139552219624,0.6944537815126051,53361000000.0,-491000000.0,,,0.96128094,119.76,90.38,2.41307,32332.68,9.0416,1.218,0.5789
