report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,2422079000.0,1892949000.0,748437000.0,,1620547000.0,1041648000.0,1201109000.0,100541000.0,61247000.0,87000.0,41528000.0,0.28,216630436.0,127123000.0,9395000.0,0.0,,32.374,1.7899,0.28,109936000.0,0.0377940288063228,0.0252869538937417,0.0509920415216271,0.0837068076252863,0.04151020672736108,0.062041397133190214,0.09152874551768407,0.0,2.529202858757651,,,,,,,,,,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2010-06-30,2546542000.0,2022407000.0,864536000.0,,1626420000.0,960300000.0,2717879000.0,239037000.0,151565000.0,238000.0,101236000.0,0.7,216576596.0,147669000.0,18505000.0,0.0,,26.3893,1.4687,0.7,257542000.0,0.09318933608784939,0.05951796593184012,0.05576591158031686,0.08794983146784681,0.0938672914092915,0.14697126203563654,0.09475844951154927,0.0,2.3392976116668365,,,,,,,,,,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2010-09-30,2716183000.0,2183645000.0,921265000.0,,1728622000.0,1057226000.0,4385438000.0,398658000.0,247670000.0,378000.0,164692000.0,1.14,216497838.0,260687000.0,27590000.0,0.0,,30.9722,1.7415,1.14,426248000.0,0.1432759735789548,0.09118310511478792,0.05647554474604361,0.0909049449564673,0.14677140678665612,0.2306218479227963,0.09719622076517785,0.0,2.3702680553369553,,,,,,,,,,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2010-12-31,2679179000.0,2140355000.0,861978000.0,,1740906000.0,1084465000.0,-2336853000.0,-191006000.0,-116310000.0,-127000.0,-87593000.0,-0.53,-433258214.0,-139961000.0,-18590000.0,0.0,2.4831,33.6957,1.9429,-0.53,-209596000.0,-0.06681004028936657,-0.043412552875339794,0.04977206525185795,0.08173642073335378,-0.07129273557309908,-0.10971643500568096,0.08969156382536685,0.0,2.483073813948848,5967573000.0,344172000.0,547230000.0,584130000.0,576000.0,1.5899999999999999,1.5899999999999999,0.0,950.0520833333334,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2011-03-31,2836732000.0,2280825000.0,914985000.0,,1841909000.0,1238471000.0,1460848000.0,147230000.0,91232000.0,214000.0,59246000.0,0.42,215863386.0,177833000.0,9174000.0,0.0,,28.4245,1.7076,0.42,156404000.0,0.049531220054845275,0.0321609514046445,0.062451398092067074,0.10078392823894067,0.05190127230912191,0.07993337347284801,0.10706384237100643,0.0,2.4927457827177495,6227312000.0,374157000.0,593919000.0,630598000.0,703000.0,1.7299999999999998,1.7299999999999998,0.0,844.8349928876245,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2011-06-30,2878004000.0,2313042000.0,921525000.0,,1872048000.0,1225830000.0,3042216000.0,299505000.0,186232000.0,443000.0,119441000.0,0.86,215780230.0,255890000.0,18431000.0,0.0,,28.699,1.7278,0.86,317936000.0,0.09948035520456741,0.06470873563761552,0.061215903144286925,0.09844961698972066,0.10406691582082582,0.15998788492602753,0.10450802967310671,0.0,2.510015463498006,6551649000.0,408824000.0,654387000.0,690992000.0,908000.0,1.89,1.89,0.0,720.6905286343613,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2011-09-30,2883169000.0,2312613000.0,865501000.0,2883169000.0,1955719000.0,1260814000.0,1606368000.0,163758000.0,106604000.0,279000.0,70283000.0,0.5,214717451.0,93305000.0,9199000.0,0.0,,22.0911,1.3803,0.5,172957000.0,0.05450885326572989,0.03697459288720155,0.06636337377238591,0.10194301679316321,0.05679791923400952,0.08373288800691715,0.10766959999203171,0.0,2.6719934465702524,3772579000.0,267758000.0,419487000.0,437701000.0,809000.0,1.25,1.25,0.0,518.5253399258344,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2011-12-31,2866827000.0,2286883000.0,796145000.0,2866827000.0,2003638000.0,1294356000.0,41066000.0,7834000.0,1611000.0,34000.0,2815000.0,0.010000000000000009,-431327487.0,-69897000.0,-28000.0,0.0,2.8726,22.7178,1.4243,0.010000000000000009,7806000.0,0.0008040374558677765,0.0005619453144539242,0.03922953294696342,0.1907660838649978,0.002732637860603378,0.003909887913884644,0.19008425461452297,0.0,2.872445346011091,6150498000.0,385679000.0,618327000.0,655103000.0,970000.0,1.79,1.79,0.0,637.4505154639176,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2012-03-31,3001223000.0,2410198000.0,828257000.0,3001223000.0,2095454000.0,1412915000.0,1411370000.0,125271000.0,76707000.0,620000.0,52386000.0,0.36,214199510.0,147397000.0,9545000.0,0.0,,26.6198,1.6191,0.36,134816000.0,0.03660638696912459,0.02555858061863447,0.054349320164095875,0.08875844038062308,0.04173998399985606,0.05978227152683858,0.09552137285049278,0.0,2.909963936314453,6101020000.0,371154000.0,596368000.0,633515000.0,1376000.0,1.73,1.73,0.0,433.40697674418607,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
2012-06-30,2992372000.0,2405397000.0,882898000.0,2992372000.0,2043455000.0,1364247000.0,1504952000.0,132403000.0,83955000.0,222000.0,54892000.0,0.39,213212912.0,92814000.0,9670000.0,0.0,,22.6696,1.355,0.39,142073000.0,0.04108482936986623,0.02805633791520573,0.05578583237206237,0.08797822123230509,0.04424683829416931,0.06479369499206002,0.09440367533316678,0.0,2.7244336265344353,4563756000.0,268877000.0,429266000.0,457652000.0,1155000.0,1.26,1.26,0.0,371.65887445887444,1.106407,167.19,100.47,1.40826,19657.08,24.2581,8.4777,1.7759
