report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-24,3197887000.0,1131527000.0,471374000.0,3197887000.0,1912215000.0,575969000.0,12989000.0,2650899000.0,904625000.0,368913000.0,199501000.0,57657000.0,101699000.0,1.31,152142434.0,785000.0,575969000.0,1.31,368913000.0,0.10432979555123247,0.06238525626452717,0.07525786535058485,0.3412521563439422,0.13916524167838912,0.11536148713197183,0.14826596425344749,0.13916524167838912,0.3012051469107815,2.400486662395465,,,,,,,,,,
2011-12-24,3218257000.0,1183509000.0,491692000.0,3218257000.0,2030182000.0,471344000.0,84111000.0,1158216000.0,336604000.0,145838000.0,104414000.0,6463000.0,63247000.0,0.66,159367829.0,134699000.0,471344000.0,0.66,145838000.0,0.0514308569379494,0.03244427029910912,0.09015071454720018,0.29062281992305405,0.1259160640156931,0.04531583400579879,0.05829961391566588,0.1259160640156931,0.23216834746835505,2.4070129267915688,,,,,,,,,,
2012-03-24,3309207000.0,1152722000.0,489066000.0,3309207000.0,2148176000.0,431471000.0,146003000.0,2043268000.0,649642000.0,295431000.0,197445000.0,12505000.0,115705000.0,1.24,159368142.0,370156000.0,431471000.0,1.24,295431000.0,0.09191286002636656,0.05966535185015624,0.09663196408890072,0.3179426291607366,0.14458749415152589,0.08927546690188919,0.1145238088777263,0.14458749415152589,0.20085458547158147,2.356986582588035,,,,,,,,,,
2012-06-23,3337130000.0,1159171000.0,471875000.0,3337130000.0,2214882000.0,399841000.0,138988000.0,2912462000.0,952953000.0,425159000.0,270741000.0,18662000.0,163949000.0,1.7,159364440.0,488182000.0,399841000.0,1.7,425159000.0,0.12223721173407884,0.08112989305181398,0.09295949612389792,0.32719843211688254,0.14597924367768575,0.12740258845175345,0.16260192762292602,0.14597924367768575,0.1805247412728985,2.4565213245033113,8764845000.0,772101000.0,1235341000.0,2843824000.0,1235341000.0,95287000.0,4.91,4.91,0.3236685255326262,12.964423268651547
2012-09-29,3615789000.0,1322956000.0,519987000.0,3615789000.0,2261228000.0,466984000.0,58289000.0,-2254748000.0,-669800000.0,-297532000.0,-209972000.0,-14647000.0,-130260000.0,-1.3199999999999998,-319024765.0,-515252000.0,466984000.0,-1.3199999999999998,-297532000.0,-0.09285750928256682,-0.05807086641394174,0.09312437576172593,0.29706202200866794,0.13195798377468346,-0.08228688123117804,-0.10905750726116592,0.13195798377468346,0.2065178743585344,2.544209759090131,3859198000.0,362628000.0,568896000.0,1269399000.0,568896000.0,22983000.0,2.2800000000000002,2.2800000000000002,0.8208600517493532,24.75290432058478
2012-12-29,3519040000.0,1226410000.0,534865000.0,3519040000.0,2272637000.0,342385000.0,98525000.0,1339059000.0,419163000.0,182441000.0,107583000.0,5730000.0,67379000.0,0.7,152708807.0,337142000.0,342385000.0,0.7,182441000.0,0.04733840028125917,0.030571690006365372,0.08034224033444382,0.3130280293848143,0.13624567700153614,0.051843968809675366,0.06976652586479196,0.13624567700153614,0.15065538403185375,2.2929337309414524,4040041000.0,365797000.0,605499000.0,1351958000.0,605499000.0,22250000.0,2.32,2.32,0.5654592327980723,27.21343820224719
2013-03-30,3490210000.0,1221556000.0,458310000.0,3490210000.0,2388464000.0,272885000.0,221170000.0,2343851000.0,834309000.0,394545000.0,240004000.0,9544000.0,140681000.0,1.57,152550160.0,604685000.0,272885000.0,1.57,394545000.0,0.10048466294656315,0.06876491672420858,0.10239729402594278,0.35595650064786544,0.1683319460153397,0.11304334123161644,0.14825000403930488,0.1683319460153397,0.11425125101320346,2.6653487813925074,4340624000.0,408356000.0,704613000.0,1536625000.0,704613000.0,19289000.0,2.6500000000000004,2.6500000000000004,0.387283515915829,36.529265384415986
2013-12-28,3680108000.0,1470600000.0,545542000.0,3680108000.0,2603233000.0,155764000.0,348665000.0,1386670000.0,464047000.0,226626000.0,138227000.0,2620000.0,79971000.0,0.91,151581897.0,272676000.0,155764000.0,0.91,226626000.0,0.05309820519331155,0.0375605824611669,0.09968269307044934,0.3346484744027058,0.1634318186735128,0.061581344895312855,0.08214071997903585,0.1634318186735128,0.0598348284613786,2.695667794596933,2814832000.0,275842000.0,506080000.0,1047719000.0,506080000.0,3247000.0,1.8600000000000003,1.8600000000000003,0.30778533038254824,155.86079457961196
