report_date,net_income,eps_diluted,shares_diluted,total_debt,eps,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_52w_high,bf_52w_low,bf_10d_avg_vol
2011-12-31,193000000.0,1.19,162000000.0,0.0,1.19,,,,52.7055,48.775,0.0
2012-03-31,29000000.0,0.18,161700000.0,0.0,0.18,,,,52.7055,48.775,0.0
2012-06-30,36000000.0,0.22,161700000.0,0.0,0.22,,,,52.7055,48.775,0.0
2012-09-30,59000000.0,0.36,161900000.0,0.0,0.36,317000000.0,1.95,1.95,52.7055,48.775,0.0
2013-03-31,56000000.0,0.35,162800000.0,0.0,0.35,180000000.0,1.1099999999999999,1.1099999999999999,52.7055,48.775,0.0
2013-12-31,214000000.0,1.3,165000000.0,0.0,1.3,365000000.0,2.2300000000000004,2.2300000000000004,52.7055,48.775,0.0
