report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-03-31,9588161000.0,5930119000.0,3658042000.0,192450000.0,,,12086000.0,-42391000.0,68572000.0,,,70861000.0,270000.0,70591000.0,0.0,1.2,,,,12086000.0,-0.011588439935900134,-0.00442118149663945,,,0.0012605128345258283,0.003303953317102428,,,0.0,,,,,,,,,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2017-06-30,9519326000.0,5875355000.0,3643971000.0,158934000.0,,,65680000.0,-36862000.0,125930000.0,,,167226000.0,1494000.0,165732000.0,0.0,,,,,65680000.0,-0.010115887310848523,-0.003872332978196145,,,0.006899648147358332,0.018024292729003605,,,0.0,,,,,,,,,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2017-09-30,9524524000.0,5922511000.0,3602013000.0,134441000.0,,,95597000.0,-59372000.0,182726000.0,,,267267000.0,2809000.0,264458000.0,0.0,,,,,95597000.0,-0.016483005474994122,-0.006233592355901461,,,0.010036932029359158,0.026539882004867833,,,0.0,,,,,,,,,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2017-12-31,18683638000.0,10033763000.0,8498085000.0,179878000.0,,,-55156000.0,33288000.0,-120258000.0,,,-245565000.0,-487000.0,-246052000.0,0.0,0.6029,,11.5505,,-55156000.0,0.003917117797715603,0.001781665861862663,,,-0.002952101726655162,-0.0064904034261836635,,,0.0,,-105337000.0,118207000.0,254729000.0,118207000.0,256970000.0,,,0.0,0.46000311320387594,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2018-03-31,18696445000.0,10059548000.0,8491936000.0,134893000.0,,,67481000.0,-17269000.0,92299000.0,0.0,519660998.0,130080000.0,29000.0,130051000.0,0.0,,,9.476,0.0,67481000.0,-0.002033576324644934,-0.0009236515284055338,,,0.0036092957778871867,0.00794648004883692,,,0.0,,-80215000.0,173602000.0,314189000.0,173602000.0,280697000.0,,,0.0,0.61846760029498,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2018-06-30,18665362000.0,10081785000.0,8439660000.0,166874000.0,,856095000.0,144947000.0,-31215000.0,189525000.0,0.0,520087371.0,310335000.0,1832000.0,308503000.0,0.0,,,8.2962,0.0,144947000.0,-0.003698608711725354,-0.0016723490281088575,-0.036462074886548804,0.1693118170296521,0.007765560614361511,0.017174507029904047,0.3603607076317465,0.1693118170296521,0.0,,-74568000.0,252869000.0,456960000.0,252869000.0,344292000.0,,,0.0,0.7344608646149199,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2018-09-30,18476648000.0,9912000000.0,8421128000.0,130037000.0,,1290346000.0,228710000.0,-30195000.0,287089000.0,0.0,520267029.0,513081000.0,3548000.0,509533000.0,0.0,,,7.3018,0.0,228710000.0,-0.00358562415866378,-0.0016342249957892795,-0.02340070027728997,0.17724703296635166,0.012378327497498464,0.027159069426328633,0.3948809079115214,0.17724703296635166,0.0,,-45391000.0,385982000.0,702035000.0,385982000.0,448655000.0,,,0.0,0.860309146225942,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2018-12-31,18063428000.0,9694242000.0,8229111000.0,144940000.0,,-423479000.0,,73752000.0,-185318000.0,,,-392255000.0,-1382000.0,-393637000.0,0.0,0.558,,6.0677,,,0.008962328980615282,0.004082945939165036,-0.17415739623452403,,,,0.9295313344935641,,0.0,,-4927000.0,,554450000.0,,383595000.0,,,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2019-03-31,17853619000.0,9632251000.0,8139916000.0,130896000.0,,,,20822000.0,93983000.0,0.04,521817494.0,193183000.0,,,0.0,,381.9458,7.3095,0.04,,0.0025580116551571293,0.0011662621455067457,,,,,,,0.0,,33164000.0,,,,385279000.0,,,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2019-06-30,17714153000.0,9676685000.0,7957679000.0,77046000.0,,,,59764000.0,189689000.0,0.11,524190469.0,375342000.0,,,0.0,,163.8279,8.0787,0.11,,0.0075102300557738,0.0033737994698363506,,,,,,,0.0,,124143000.0,,,,385443000.0,,,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2019-09-30,17660018000.0,9483507000.0,8097260000.0,81531000.0,,,,93471000.0,278756000.0,0.18,529160353.0,590848000.0,,,0.0,,134.294,9.0934,0.18,,0.011543534479564693,0.005292803212318357,,,,,,,0.0,,247809000.0,,,,377110000.0,,,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2019-12-31,17392910000.0,9126832000.0,8214422000.0,92258000.0,,,,-28594000.0,-195255000.0,-0.05999999999999994,-1042668529.0,-497243000.0,,,0.0,0.3352,111.6437,9.1987,-0.05999999999999994,,-0.003480950942135673,-0.0016440032174029533,,,,,,,0.0,,145463000.0,,,,367173000.0,0.27,0.27,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2020-03-31,17593345000.0,9635218000.0,7908243000.0,297060000.0,,,,49956000.0,84757000.0,0.09,543904420.0,177721000.0,,,0.0,,66.5538,6.5319,0.09,,0.006316953083004657,0.0028394827703316227,,,,,,,0.0,,174597000.0,,,,357947000.0,0.32000000000000006,0.32000000000000006,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2020-06-30,17746316000.0,9402443000.0,8293764000.0,571719000.0,,,,92859000.0,170828000.0,0.17,546836809.0,395935000.0,,,0.0,,86.4026,8.6345,0.17,,0.011196243346205656,0.005232578975827997,,,,,,,0.0,,207692000.0,,,,339086000.0,0.38000000000000006,0.38000000000000006,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
2020-09-30,17750787000.0,9419410000.0,8280868000.0,559567000.0,,,,125513000.0,258541000.0,0.23,551947278.0,625672000.0,,,0.0,,88.3407,8.7013,0.23,,0.015156985958476817,0.007070841422411299,,,,,,,0.0,,239734000.0,,,,318871000.0,0.43000000000000005,0.43000000000000005,,,0.8028541,35.799,24.835,6.99948,15234.652,25.9126,1.7985,5.5819
