report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2016-09-30,419720000.0,403512000.0,220922000.0,273986000.0,145734000.0,123968000.0,,33481000.0,10202000.0,2664000.0,10668000.0,-3.0,11461000.0,,3516000.0,2612000.0,,0.0,,,,-3.0,36093000.0,0.07000425432637546,0.024306680644239017,,,0.07976984656437625,0.22974048609109748,,,0.0,1.8264907976570917,,,,,,,,,,,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2016-12-31,537596000.0,516403000.0,344136000.0,373216000.0,164380000.0,133400000.0,,57518000.0,20482000.0,3075000.0,23352000.0,-1.0,18280000.0,,6884000.0,3798000.0,,0.0,1.5007,,,-1.0,61316000.0,0.12460153303321572,0.03809924180983489,,,0.10699112344585897,0.3499087480228738,,,0.0,1.5005782597577701,,,,,,,,,,,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2017-03-31,455267000.0,432681000.0,252895000.0,283336000.0,171931000.0,106573000.0,,1936000.0,4909000.0,364000.0,-3765000.0,0.0,43557000.0,,3602000.0,1493000.0,,0.0,1.5007,,,0.0,3429000.0,0.028552151735289157,0.010782683568103992,,,0.004252449661407482,0.011260331179368468,,,0.0,1.7109116431720675,,,,,,,,,,,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2017-06-30,541258000.0,515318000.0,311509000.0,343029000.0,198229000.0,115859000.0,,21630000.0,23758000.0,777000.0,-4223000.0,0.0,43752000.0,,6707000.0,3189000.0,,0.0,,53.7465,8.0321,0.0,24819000.0,0.11985128311195638,0.043894039441449366,,,0.03996245782972261,0.1091162241649809,,,0.0,1.654263600730637,,59351000.0,114565000.0,,125657000.0,6880000.0,-4.0,-4.0,0.0,16.651889534883722,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2017-09-30,642631000.0,615962000.0,395937000.0,427372000.0,215259000.0,132798000.0,,40038000.0,33987000.0,1290000.0,1602000.0,0.0,43919000.0,,8357000.0,5157000.0,,0.0,,54.9532,8.7372,0.0,45195000.0,0.1578888687581007,0.052887271233413885,,,0.062303250232248364,0.18599919167142837,,,0.0,1.5557070948155893,,83136000.0,121122000.0,,134759000.0,5506000.0,-1.0,-1.0,0.0,21.998183799491464,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2017-12-31,797164000.0,765813000.0,518532000.0,551581000.0,245583000.0,155950000.0,,5752000.0,-11856000.0,-640000.0,19213000.0,1.0,-87172000.0,,-8556000.0,-2630000.0,,0.0,1.477,37.599,6.1852,1.0,3122000.0,-0.048276957281245036,-0.014872723805891887,,,0.007215579228364553,0.023421816656690405,,,0.0,1.4768866723750897,,50798000.0,69356000.0,,76565000.0,1791000.0,1.0,1.0,0.0,38.72473478503629,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2018-03-31,739056000.0,706522000.0,469741000.0,476125000.0,262931000.0,138952000.0,,9930000.0,9070000.0,,160000.0,0.0,44543000.0,,1798000.0,2251000.0,,0.0,,36.7574,5.9265,0.0,12181000.0,0.0344957422289498,0.012272412374705029,,,0.013436058972527115,0.03776656233004096,,,0.0,1.504067134867938,,54959000.0,77350000.0,,85317000.0,,1.0,1.0,0.0,,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2018-06-30,839405000.0,800406000.0,531584000.0,538431000.0,300974000.0,141681000.0,198001000.0,36092000.0,28413000.0,,5915000.0,0.0,44895000.0,12409000.0,6585000.0,4830000.0,5824000.0,0.0,,71.6227,10.4418,0.0,40922000.0,0.09440350329264321,0.03384897635825376,0.14349927525618558,0.18228190766713298,0.04299712296209815,0.1199173350521972,0.029413992858621927,0.2066757238599805,0.0,1.505699945822297,,59614000.0,91812000.0,,101420000.0,,1.0,1.0,0.0,,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2018-09-30,873713000.0,825061000.0,529211000.0,536699000.0,337014000.0,166349000.0,316826000.0,58355000.0,48705000.0,,7728000.0,1.0,45460000.0,38545000.0,10383000.0,8107000.0,28162000.0,0.0,,94.0366,14.6862,1.0,66462000.0,0.1445192187861632,0.05574484985344157,0.1537279137444528,0.1841862725912646,0.06678966662965985,0.17315304408718926,0.0888879069268305,0.20977445032920278,0.0,1.5590397780847336,,74332000.0,110129000.0,,122687000.0,,2.0,2.0,0.0,,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
2018-12-31,1117872000.0,1056523000.0,713991000.0,723305000.0,394567000.0,207232000.0,-37533000.0,2946000.0,1952000.0,1550000.0,3794000.0,0.0,-89105000.0,35649000.0,1029000.0,-3366000.0,34620000.0,0.0,1.4797,56.9657,10.5147,0.0,-420000.0,0.004947195279889093,0.0017461748751198705,-0.05200756667465963,-0.07849092798337463,0.002635364335093821,0.007466412548439175,-0.9223882982974982,0.011190152665654225,0.0,1.4797427418552895,,88140000.0,107323000.0,,119145000.0,,1.0,1.0,0.0,,1.1575377,91.45,21.03,20.73911,9544.739,21.5309,7.389,3.2955
