report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,-25053696.0,,,6157702.0,18895994.0,10311728.0,23066158.0,20732842.0,14034434.0,,1.49,9400891.0,16648970.0,16893.0,9360.0,16632077.0,0.0,,20.0084,11.8289,1.49,20742202.0,0.7427200707197515,-0.5601741954560318,0.6084426370442794,0.8988424513523232,-0.8275362645096356,1.0972083289188175,0.7210597014032419,0.8992482406476189,0.0,,,,,,,,,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2011-12-31,27432257.0,,,6885023.0,20547234.0,13029578.0,34300508.0,30737390.0,20594769.0,10161149.0,2.21,,23931208.0,,12675.0,,0.0,6.1881,18.0568,10.8398,2.21,30750065.0,1.0023134500731339,0.7507500749938294,0.6004216905475569,0.8961205472525363,1.1204834512887512,1.4959380907425301,,0.8964900753073395,0.0,,,,,,,,,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2012-03-31,,,,8525780.0,19581620.0,14658384.0,9574882.0,8773089.0,5938255.0,,0.65,9122337.0,8568732.0,,3021.0,,0.0,,18.9356,11.497,0.65,8776110.0,0.303256574277307,,0.6201909329013141,0.9162607956944012,,0.448026720976099,,0.9165763087210892,0.0,,,,,,,,,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2012-06-30,-25362911.0,,,5648012.0,19714899.0,11585454.0,18276616.0,16724194.0,11222929.0,,1.24,9057829.0,10665957.0,45599.0,6543.0,10620358.0,0.0,,22.4624,13.5944,1.24,16730737.0,0.5692612982699023,-0.4424937263707624,0.6140594626488842,0.915059658746455,-0.659395682143899,0.8483022915816104,0.5810899566965788,0.9154176571855533,0.0,,85218164.0,51790387.0,76967515.0,76999114.0,5.59,5.59,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2012-09-30,25215070.0,,,5644522.0,,11314628.0,25315097.0,23089377.0,15534021.0,,1.73,8998515.0,14861935.0,,9564.0,,0.0,,22.3552,13.5116,1.73,23098941.0,,0.6160609905108334,0.6136267619278726,0.9120793414301356,0.9156975173973342,,,0.9124571397060023,,,87467103.0,53289974.0,79324050.0,79355853.0,5.83,5.83,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2012-12-31,21186872.0,,,5590727.0,15596145.0,8424907.0,-20579139.0,-19283209.0,-13047387.0,9675068.0,-1.42,,-14185134.0,,-2624.0,,0.0,8.1004,24.6537,14.8647,-1.42,-19285833.0,-0.8365776927567677,-0.615824129206048,0.6340103441645445,0.9370270058431502,-0.910148935623909,-1.2364086766313085,,0.9371545136072019,0.0,,32587456.0,19647818.0,29303451.0,29319955.0,2.2,2.2,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2013-03-31,22450132.0,,,6574899.0,15875233.0,9943639.0,6723783.0,5840639.0,4137844.0,1705866.0,0.47,8755321.0,5395639.0,,4095.0,,0.0,,36.7912,22.0826,0.47,5844734.0,0.26064776498083525,0.1843126802105217,0.6154041556665347,0.8686537028336577,0.2601605638666178,0.3679088678572466,,0.8692627349811854,0.0,,29736357.0,17847407.0,26371001.0,26388579.0,2.0200000000000005,2.0200000000000005,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2013-12-31,,,,4427282.0,17929666.0,13239211.0,44109074.0,40130573.0,27218508.0,12924070.0,3.16,,30065354.0,,16286.0,,0.0,12.3292,31.4128,19.3832,3.16,40146859.0,1.5180711118656645,,0.6170727592240998,0.9098031167011124,,2.2382220059202442,,0.9101723377824708,0.0,,55568815.0,33842986.0,49777380.0,49804701.0,3.9400000000000004,3.9400000000000004,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2019-03-31,404906000.0,,,71107000.0,333799000.0,113261000.0,191324000.0,175153000.0,139998000.0,35548000.0,18.04,7759808.0,162001000.0,9247000.0,1204000.0,152754000.0,0.0,,20.2448,14.3527,18.04,176357000.0,0.41940808690259707,0.34575432322563754,0.7317325583826388,0.9154784553950367,0.4325769437844833,0.5247259578369019,0.7984048002341577,0.9217714452969832,0.0,,221577718.0,158306965.0,201841003.0,203062760.0,20.25,20.25,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2020-03-31,544649000.0,,,99306000.0,445343000.0,223743000.0,96594000.0,70542000.0,57401000.0,13967000.0,7.4,7756156.0,68639000.0,,3335000.0,,0.0,,12.4821,7.4474,7.4,73877000.0,0.12889166327976415,0.10539081132986566,0.5942501604654533,0.730293807068762,0.12951827690861453,0.15839925630356827,,0.7648197610617636,0.0,,338750857.0,228755352.0,291666212.0,296225593.0,29.07,29.07,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2020-12-31,571635000.0,,,86451000.0,485184000.0,281046000.0,302554000.0,217251000.0,176049000.0,43613000.0,,7756156.0,207037000.0,,14395000.0,,0.0,15.2754,32.0293,18.6365,,231646000.0,0.3628499703205382,0.3079744942139652,0.581876293157585,0.7180569419012804,0.3800519562308116,0.4477703304313415,,0.7656352254473582,0.0,,634581074.0,400666508.0,503076573.0,522026859.0,,,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
2021-03-31,613802000.0,375847000.0,33848000.0,99867000.0,513935000.0,310655000.0,84155000.0,62022000.0,50052000.0,11975000.0,,7756156.0,52387000.0,,3838000.0,,0.0,,73.0759,42.4917,,65860000.0,0.09738974773074416,0.08154421132547629,0.5947596696571802,0.7369972075337176,0.10104561405795354,0.12068063081907245,,0.7826035292020677,0.0,11.10396478373907,674627000.0,423500000.0,524968000.0,547740000.0,,,0.0,0.83237785,547.2,269.23,0.54656,30626.617,63.6231,13.5721,38.3701
