report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-09-30,24078000000.0,1627000000.0,2242000000.0,24078000000.0,4376000000.0,12531000000.0,350000000.0,390000000.0,3628000000.0,715000000.0,-44000000.0,721000000.0,-73000000.0,-0.06,,1617000000.0,,815000000.0,,12881000000.0,,,,-0.06,1530000000.0,-0.010054844606946984,-0.0018273943018523133,-0.012127894156560088,0.19707828004410144,0.029695157405100092,0.04143246218925653,,0.4217199558985667,2.9435557586837295,0.7256913470115968,,,,,,,,,,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2011-12-31,24314000000.0,1577000000.0,2148000000.0,24314000000.0,4354000000.0,12605000000.0,362000000.0,194000000.0,4860000000.0,1132000000.0,141000000.0,948000000.0,-50000000.0,0.18,,2101000000.0,,1116000000.0,,12967000000.0,,,,0.18,2248000000.0,0.03238401469912724,0.005799128074360451,0.029012345679012345,0.23292181069958848,0.04655753886649667,0.06535419433058137,,0.46255144032921813,2.978180983004134,0.734171322160149,,,,,,,,,,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2012-03-31,24378000000.0,1615000000.0,1936000000.0,24378000000.0,4496000000.0,12620000000.0,361000000.0,305000000.0,1260000000.0,394000000.0,86000000.0,226000000.0,70000000.0,0.11,,516000000.0,,330000000.0,,12981000000.0,,,,0.11,724000000.0,0.01912811387900356,0.003527770941012388,0.06825396825396825,0.3126984126984127,0.01616211338091722,0.022543914859529668,,0.5746031746031746,2.887233096085409,0.8341942148760331,,,,,,,,,,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2013-06-30,228862.0,5397.0,4188.0,,224674.0,,,3139.0,,-114588.0,-114588.0,0.0,,,,-17627.0,,,,0.0,,,,,-114588.0,-0.5100189608054336,-0.5006860029187895,,,-0.5006860029187895,-0.5100189608054336,,,0.0,1.2886819484240688,,182885412.0,2240885412.0,4501885412.0,1895000000.0,,,0.0,1.1825252833773088,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2013-09-30,237233.0,13768.0,56547.0,,180686.0,,,2990.0,,-171076.0,-171076.0,0.0,,,,-73776.0,,,,0.0,,,,,-171076.0,-0.9468138095923314,-0.721130702726855,,,-0.721130702726855,-0.9468138095923314,,,0.0,0.24347887597927387,,226714336.0,1525714336.0,2971714336.0,1174000000.0,,,0.0,1.2995863168654174,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2014-03-31,246170.0,22705.0,114398.0,,131772.0,,,19339.0,,-66251.0,-67167.0,-916.0,,,,-47087.0,,,,0.0,,,,,-66251.0,-0.509721336854567,-0.27284803184790996,,,-0.2691270260389162,-0.5027699359499742,,,0.0,0.19847374954107588,,85647169.0,393648085.0,723648085.0,225999084.0,,,0.0,1.7418127455773227,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2014-06-30,227627.0,4162.0,117524.0,,110103.0,,,795.0,,-99485.0,-101336.0,-1851.0,,,7630609.0,-75731.0,,,,0.0,,,,,-99485.0,-0.9203745583680736,-0.4451844464848195,,,-0.43705272221660874,-0.9035630273471205,,,0.0,0.035414043089071166,,-454167.0,-451400.0,-451400.0,-2767.0,,,-0.0,-163.13697144922298,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2014-09-30,195298.0,3583.0,151263.0,,44035.0,,,216.0,,-77268.0,-78568.0,-1300.0,,,,,,,,0.0,,,,,-77268.0,-1.7842171000340639,-0.4022980266054952,,,-0.3956415324273674,-1.7546951288747588,,,0.0,0.023687220271976624,,-418147.0,-414080.0,-414080.0,-4067.0,,,-0.0,-101.81460536021638,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2014-12-31,82.0,82.0,228.0,,-146.0,,,82.0,,21041.0,10486.0,7218.0,,,,-31746.0,,,,0.0,,,,,21041.0,-71.82191780821918,127.8780487804878,,,256.5975609756098,-144.1164383561644,,,-0.0,0.35964912280701755,,-236585.0,-221963.0,-221963.0,3151.0,,,-0.0,-70.44208187876865,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2015-03-31,127438.0,127438.0,41809.0,,85629.0,,,127438.0,,-61730.0,-61725.0,0.0,,,,-7644.0,,,,0.0,,,,,-61730.0,-0.7208422380268367,-0.4843531756618905,,,-0.4843924104270312,-0.7209006294596457,,,0.0,3.0480996914539933,,-231143.0,-217442.0,-217442.0,4067.0,,,-0.0,-53.46496188836981,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2015-06-30,243907.0,62432.0,0.0,,243907.0,,,62432.0,,-97436.0,-97422.0,0.0,,,,-72650.0,,,,0.0,,,,,-97436.0,-0.3994227307949341,-0.3994227307949341,,,-0.3994801297215742,-0.3994801297215742,,,0.0,,,-227229.0,-215393.0,-215393.0,5918.0,,,-0.0,-36.39624873267996,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2015-09-30,217442.0,35967.0,1250.0,,216192.0,,,35967.0,,-137656.0,-137637.0,0.0,,,,-99115.0,,,,0.0,,,,,-137656.0,-0.6366424289520426,-0.632982588460371,,,-0.633069968083443,-0.6367303137951451,,,0.0,28.7736,,-286298.0,-275781.0,-275781.0,7218.0,,,-0.0,-38.20739817123857,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
2016-03-31,190265.0,8790.0,43198.0,,147067.0,,,8790.0,,-56838.0,-56838.0,,,,,-9315.0,,,,0.0,,,,,-56838.0,-0.38647691188369926,-0.2987307176832313,,,-0.2987307176832313,-0.38647691188369926,,,0.0,0.20348164266864208,,-353622.0,-353660.0,-353660.0,,,,-0.0,,0.35438848,6.2983,2.71,0.06646,103.15923,4.0724,3.0161
