report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,9915496000.0,6633710000.0,3281786000.0,2746626000.0,,2326256000.0,63815000.0,1500000.0,-84049000.0,0.17,380087000.0,850064000.0,8698000.0,24356000.0,841366000.0,0.0,,,0.6153,0.17,0.019445204531922555,0.006435885809444127,0.02743249238260965,0.36168246315108915,0.0,,,,,,,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2010-09-30,9092636000.0,6796213000.0,2296423000.0,2623282000.0,,3384020000.0,-931301000.0,2289000.0,-112770000.0,-2.46,378406.0,798597000.0,11647000.0,34930000.0,786950000.0,0.0,,,0.6554,-2.46,-0.405544187634421,-0.10242365360276162,-0.2752055247900426,0.23254886200436167,0.0,,,,,,,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2010-12-31,7699376000.0,5564209000.0,2135167000.0,1470625000.0,,4569290000.0,-1096729000.0,2729000.0,-137817000.0,-2.9,378585000.0,580256000.0,15179000.0,45660000.0,565077000.0,0.0,9.3789,,0.629,-2.9,-0.5136502203340535,-0.14244388116647375,-0.24002175392675887,0.12366844739554723,0.0,,,,,,,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2011-03-31,7516629000.0,5416489000.0,2100140000.0,1292949000.0,,805202000.0,-39526000.0,351000.0,-5866000.0,-0.1,379544000.0,-159016000.0,6128000.0,8970000.0,-165144000.0,0.0,,,0.6506,-0.1,-0.0188206500519013,-0.005258474244239007,-0.04908830330774141,-0.20509636091316216,0.0,11084768000.0,-2003741000.0,2028249000.0,6869000.0,-5.29,-5.29,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2011-06-30,7425605000.0,5375878000.0,2049727000.0,1075223000.0,,1732414000.0,-94911000.0,668000.0,-3814000.0,-0.25,379663000.0,-220196000.0,10848000.0,16973000.0,-231044000.0,0.0,,,0.7376,-0.25,-0.04630421514670002,-0.012781584800161064,-0.05478540348900436,-0.13336535031464766,0.0,10490926000.0,-2162467000.0,955839000.0,6037000.0,-5.71,-5.71,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2011-09-30,7228654000.0,5305187000.0,1923467000.0,1142513000.0,,2874345000.0,-224209000.0,990000.0,-77016000.0,-0.59,379785000.0,-163730000.0,15162000.0,24629000.0,-178892000.0,0.0,,,0.3725,-0.59,-0.11656503594810828,-0.03101670103452178,-0.07800351036497011,-0.06223748367019269,0.0,9981251000.0,-1455375000.0,-10003000.0,4738000.0,-3.84,-3.84,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2011-12-31,6885620000.0,4947005000.0,1938615000.0,1083071000.0,,-1275271000.0,148258000.0,-696000.0,-13216000.0,0.3899999999999999,-759115000.0,560164000.0,-10900000.0,-18474000.0,549264000.0,0.0,10.4398,,0.6033,0.3899999999999999,0.07647624721773018,0.021531539643488893,-0.116256074199131,-0.43070374845817083,0.0,4136690000.0,-210388000.0,-25816000.0,1313000.0,-0.55,-0.55,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2012-06-30,6952825000.0,4977778000.0,1975047000.0,1310478000.0,,1950441000.0,30770000.0,415000.0,-4335000.0,0.08,382025000.0,211540000.0,6997000.0,14828000.0,204543000.0,0.0,,,0.959,0.08,0.015579376085733655,0.004425539259221971,0.01577591939463947,0.1048701293707423,0.0,5281929000.0,-140092000.0,343871000.0,1377000.0,-0.37000000000000005,-0.37000000000000005,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2012-09-30,7140580000.0,5018534000.0,2122046000.0,1563651000.0,,3253032000.0,147403000.0,616000.0,-15062000.0,0.38,382875000.0,421232000.0,10597000.0,22278000.0,410635000.0,0.0,,36.4698,1.3012,0.38,0.06946267894286928,0.0206430009887152,0.04531249615743097,0.12623146652107942,0.0,6802547000.0,102222000.0,985550000.0,1325000.0,0.25999999999999995,0.25999999999999995,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
2012-12-31,6734409000.0,4544793000.0,2189616000.0,1404760000.0,386608436.0,4819998000.0,206145000.0,819000.0,-22591000.0,0.54,384564000.0,760140000.0,13942000.0,30027000.0,746198000.0,0.0,7.6458,34.056,1.4555,0.54,0.094146644891159,0.030610703923685062,0.0427686899455145,0.1548129273082686,0.0,8748200000.0,532576000.0,1910640000.0,1154000.0,1.39,1.39,1.3361983,144.495,88.07,1.99023,22536.336,10.1573,1.7601,1.3018
