report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-08-31,3269706000.0,2370786000.0,1655287000.0,2025717000.0,1240364000.0,179691000.0,419318000.0,1571664000.0,1122121000.0,230680000.0,188612000.0,2724000.0,44622000.0,1.37,137295000.0,,,,599009000.0,1.37,230680000.0,0.15206181411263145,0.05768469703392293,0.16808525996750795,0.20557497809950978,0.070550685596809,0.1254123008220736,,0.20557497809950978,0.48293001086777754,1.4322507214760944,,,,,,,,,,
2011-11-30,2953651000.0,1986731000.0,1318362000.0,1629334000.0,1323716000.0,86739000.0,27598000.0,1201037000.0,1178690000.0,264485000.0,149314000.0,1999000.0,115932000.0,1.14,130874000.0,,,,114337000.0,1.14,264485000.0,0.11279912005294188,0.05055235029460149,0.12667792209995843,0.2243889402641916,0.0895451087484608,0.18391881244988884,,0.2243889402641916,0.08637577849025017,1.5069692542715885,,,,,,,,,,
2012-02-29,2689602000.0,1692623000.0,1282393000.0,1606041000.0,1085500000.0,93816000.0,33694000.0,800733000.0,969552000.0,106264000.0,63882000.0,1789000.0,43798000.0,0.51,126467000.0,,,,127510000.0,0.51,106264000.0,0.058850299401197605,0.023751469548282608,0.06588816278033566,0.10960113536973777,0.03950919132273102,0.08760356468619385,,0.10960113536973777,0.11746660525103639,1.3198941354171458,,,,,,,,,,
2012-05-31,2269944000.0,1284104000.0,1053111000.0,1368514000.0,903688000.0,90167000.0,35827000.0,602144000.0,1130808000.0,225554000.0,134034000.0,2830000.0,88159000.0,1.13,118793000.0,,,,125994000.0,1.13,225554000.0,0.14831888882003524,0.05904727165075438,0.1185294055224229,0.1994626850888922,0.0993654469008927,0.21905209569556428,,0.1994626850888922,0.13942201290710954,1.219343450025686,4401171000.0,535842000.0,826983000.0,,826983000.0,9342000.0,4.15,4.15,0.15235379687369632,88.52312138728324
2012-08-31,2868322000.0,1937990000.0,1655039000.0,1943999000.0,928378000.0,81323000.0,638588000.0,1276375000.0,974287000.0,80034000.0,75448000.0,5127000.0,35183000.0,0.6700000000000004,-253777000.0,551300000.0,115187000.0,436113000.0,719911000.0,0.6700000000000004,80034000.0,0.08126862118662873,0.026303880805572038,0.07743919399519854,0.08214622590674,0.02790272500786174,0.048555805444312254,0.4476227230785179,0.08214622590674,0.7754503014935726,1.1709633428577817,4253337000.0,422678000.0,676337000.0,,676337000.0,11745000.0,3.45,3.45,1.064426461956096,57.585100042571305
2012-11-30,2368917000.0,1454083000.0,1053525000.0,1348888000.0,1018883000.0,75562000.0,22236000.0,776009000.0,1055183000.0,230946000.0,133495000.0,2042000.0,97512000.0,1.18,112849000.0,210131000.0,27539000.0,182592000.0,97798000.0,1.18,230946000.0,0.13102093174584326,0.05635275528859812,0.12651360001061426,0.21886819632234408,0.09749011890243517,0.20681465879691693,0.17304296979765596,0.21886819632234408,0.0959855056959435,1.380207398970124,4129830000.0,406859000.0,642798000.0,,642798000.0,11788000.0,3.49,3.49,0.15214421949041534,54.529860875466575
2013-02-28,2340064000.0,1466195000.0,1012307000.0,1302523000.0,1036594000.0,71203000.0,20080000.0,821163000.0,1889555000.0,260726000.0,147022000.0,4134000.0,111803000.0,1.3,112984000.0,298950000.0,49024000.0,249926000.0,91283000.0,1.3,260726000.0,0.14183180685977345,0.06282819615190012,0.0778077378006991,0.13798275255284975,0.11141832018269586,0.23116527777408352,0.13226712109464928,0.13798275255284975,0.08806051356654582,1.4483699114991797,5049833000.0,489999000.0,797260000.0,,797260000.0,14133000.0,4.28,4.28,0.11449589845219878,56.41123611405929
2013-05-31,2392954000.0,1532205000.0,973084000.0,1279644000.0,1112167000.0,67578000.0,20063000.0,776739000.0,2836329000.0,392679000.0,226975000.0,6074000.0,161290000.0,2.01,113121000.0,390353000.0,96735000.0,293618000.0,87641000.0,2.01,392679000.0,0.20408355939350836,0.09485138452306228,0.08002421439825916,0.13844620987198594,0.16409801442067,0.32728486557849257,0.10352043081038906,0.13844620987198594,0.07880201444567228,1.5745865721767083,6755354000.0,582940000.0,964385000.0,1162249000.0,964385000.0,17377000.0,5.16,5.16,0.09087760593538888,55.497784427691776
2013-11-30,2463030000.0,1533103000.0,939268000.0,1252085000.0,1210285000.0,54567000.0,21214000.0,788130000.0,856335000.0,169794000.0,98891000.0,2086000.0,70042000.0,0.87,113960000.0,128897000.0,34366000.0,94531000.0,75781000.0,0.87,169794000.0,0.08170885369974841,0.040150140274377494,0.1154816748118435,0.19827987878575556,0.06893704096174225,0.1320258835860679,0.11039020943906298,0.19827987878575556,0.06261417765237114,1.6322316953201854,6637402000.0,606383000.0,1054145000.0,820667000.0,1054145000.0,14336000.0,5.36,5.36,0.0718885921765981,73.53131975446429
2013-12-31,0.0,0.0,43381.0,0.0,-43381.0,,,,0.0,-10829.0,-10829.0,,0.0,-0.01,,0.0,,,0.0,-0.01,-10829.0,0.24962541204674857,,,,,0.24962541204674857,,,-0.0,0.0,5582219000.0,472877171.0,823188171.0,,823188171.0,,4.17,4.17,0.0,
