report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-03,13995600000.0,4872400000.0,3074700000.0,,6609200000.0,2318700000.0,343900000.0,1598400000.0,3627600000.0,-62800000.0,46100000.0,-35500000.0,-0.49,129163000.0,188300000.0,,152400000.0,,2662600000.0,,146.5709,1.4386,-0.49,-0.009501906433456395,-0.004487124524850668,-0.017311721248208182,,0.4028626762694426,1.5846749276352163,,,,,,,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2010-10-02,14872700000.0,5102300000.0,3157100000.0,,6909200000.0,2719200000.0,305700000.0,1635900000.0,5996700000.0,60400000.0,75300000.0,9300000.0,0.42,143766000.0,387400000.0,,238800000.0,,3024900000.0,,87.6576,1.4735,0.42,0.008741967232096335,0.004061132141440357,0.010072206380175763,,0.4378075609332484,1.616135060656932,,,,,,,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2011-01-01,15139400000.0,4815600000.0,2742200000.0,,7017000000.0,3018100000.0,1600000.0,1745400000.0,8409600000.0,198200000.0,110000000.0,38900000.0,1.32,,739300000.0,165400000.0,348700000.0,573900000.0,3019700000.0,1.7659,57.0136,1.3543,1.32,0.02824568904090067,0.01309166809781101,0.02356830289193303,0.06824343607305935,0.43034060139660824,1.7561082342644592,,,,,,,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2011-07-02,16033500000.0,5339000000.0,3404700000.0,,7531400000.0,2729000000.0,626900000.0,1915000000.0,5003900000.0,356000000.0,68700000.0,51000000.0,2.06,172429000.0,297700000.0,,197700000.0,,3355900000.0,,20.1353,1.2833,2.06,0.04726876809092599,0.022203511398010415,0.07114450728431823,,0.445587805720052,1.5681264134872381,23037800000.0,551800000.0,,300100000.0,3.31,3.31,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2011-10-01,16483000000.0,4737300000.0,3810300000.0,16483000000.0,7038000000.0,2738700000.0,560900000.0,851900000.0,7640300000.0,510600000.0,103600000.0,84400000.0,2.99,170976000.0,454700000.0,,298000000.0,,3299600000.0,,12.5283,0.8813,2.99,0.07254901960784314,0.03097737062427956,0.0668298365247438,,0.4688263711281614,1.2432879300842454,27050500000.0,1125200000.0,,357600000.0,6.79,6.79,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2011-12-31,15949000000.0,4322700000.0,3268500000.0,15949000000.0,7003600000.0,2925800000.0,200000.0,906900000.0,10376400000.0,674600000.0,140300000.0,88600000.0,3.97,,998900000.0,302100000.0,228500000.0,696800000.0,2926000000.0,1.5285,17.5863,1.3696,3.97,0.09632189159860644,0.04229732271615775,0.06501291392004935,0.06715238425658225,0.41778513907133474,1.322533272143185,31430200000.0,1739400000.0,,422600000.0,10.34,10.34,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2012-03-31,16350300000.0,4603300000.0,3437100000.0,16350300000.0,7203100000.0,2905700000.0,197000000.0,883600000.0,2652900000.0,121800000.0,33900000.0,36600000.0,0.72,168948000.0,-32300000.0,61500000.0,63200000.0,-93800000.0,3102700000.0,,20.872,1.5252,0.72,0.016909386236481513,0.0074494045980807696,0.0459120208074183,-0.035357533265483056,0.43074509586150406,1.3392976637281429,25673500000.0,1663000000.0,,346500000.0,9.74,9.74,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2012-06-30,16350400000.0,4305800000.0,3771100000.0,16350400000.0,6844400000.0,2924500000.0,789200000.0,577800000.0,2814200000.0,154800000.0,34600000.0,51300000.0,0.92,167921000.0,299200000.0,109000000.0,59600000.0,190200000.0,3713700000.0,,18.0912,1.2391,0.92,0.02261702998071416,0.009467658283589392,0.0550067514746642,0.06758581479638974,0.5425895622698849,1.141788867969558,23483800000.0,1461800000.0,,312400000.0,8.6,8.6,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2012-09-29,17114200000.0,4753900000.0,4670300000.0,17114200000.0,7204400000.0,2728900000.0,1336700000.0,769500000.0,2786700000.0,115200000.0,36700000.0,28800000.0,0.69,166043000.0,151200000.0,89000000.0,53000000.0,62200000.0,4065600000.0,,23.0146,1.3751,0.69,0.015990228193881517,0.006731252410279183,0.04133921843040155,0.022320307173359172,0.5643218033424019,1.017900349013982,18630200000.0,1066400000.0,855400000.0,245500000.0,6.3,6.3,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2012-12-29,15844000000.0,4098300000.0,3073400000.0,15844000000.0,6667100000.0,3526500000.0,1100000.0,716000000.0,1936700000.0,492000000.0,39000000.0,-37800000.0,2.9699999999999998,,548100000.0,126500000.0,62100000.0,421600000.0,3527600000.0,1.3369,14.1266,1.2277,2.9699999999999998,0.07379520331178474,0.031052764453420853,0.25404037796251355,0.21768988485568236,0.5291056081354711,1.333474328105681,10190500000.0,883800000.0,580200000.0,144200000.0,5.3,5.3,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2013-03-30,16897500000.0,4425900000.0,4132600000.0,16897500000.0,6614700000.0,3494100000.0,1331900000.0,557500000.0,2487200000.0,81100000.0,39900000.0,8800000.0,0.51,158994000.0,-147500000.0,79500000.0,58500000.0,-227000000.0,4826000000.0,,15.2745,1.2602,0.51,0.01226057115213086,0.004799526557183015,0.03260694757156642,-0.09126728851720811,0.7295871316915356,1.0709722692735808,10024800000.0,843100000.0,447000000.0,150200000.0,5.09,5.09,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2013-06-29,16702900000.0,4256900000.0,3929900000.0,,6645900000.0,3428900000.0,1277600000.0,561700000.0,5356500000.0,268200000.0,79600000.0,62000000.0,1.0,158483000.0,36700000.0,167900000.0,115500000.0,-131200000.0,4706500000.0,,14.4918,1.207,1.0,0.04035570803051505,0.016057091882247992,0.05007000840100812,-0.02449360589937459,0.7081809837644262,1.0832082241278405,12567100000.0,956500000.0,125600000.0,195200000.0,5.17,5.17,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2013-09-28,17023700000.0,4431200000.0,3948800000.0,,6936900000.0,3396900000.0,1206500000.0,469100000.0,8095200000.0,434200000.0,118600000.0,80500000.0,2.0,158717000.0,136300000.0,262100000.0,172400000.0,-125800000.0,4603400000.0,,15.6535,1.3485,2.0,0.06259280081880955,0.025505618637546478,0.05363672299634351,-0.015540073129755905,0.6636105464977151,1.122163695299838,17875600000.0,1275500000.0,-62400000.0,277100000.0,6.4799999999999995,6.4799999999999995,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2013-12-28,16535100000.0,3968700000.0,3221000000.0,16535100000.0,6799200000.0,3799400000.0,392700000.0,496200000.0,-4937700000.0,-293200000.0,-77700000.0,-82000000.0,-0.41999999999999993,,842500000.0,-143900000.0,-108400000.0,698600000.0,4192100000.0,1.2413,29.3153,1.3199,-0.41999999999999993,-0.04312272032003765,-0.017731976220282913,0.05937987322032525,-0.14148287664297143,0.6165578303329804,1.2321328779882024,11001200000.0,490300000.0,214600000.0,160400000.0,3.09,3.09,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2014-03-29,16832900000.0,4271200000.0,3455800000.0,,6897800000.0,3831100000.0,675000000.0,432600000.0,2640800000.0,161900000.0,44300000.0,46800000.0,1.0,158951000.0,-152000000.0,57800000.0,64400000.0,-209800000.0,4506100000.0,,22.1544,1.1469,1.0,0.02347125170344168,0.009618069376043344,0.061307179642532565,-0.07944562253862465,0.6532662588071559,1.235951154580705,11154800000.0,571100000.0,231800000.0,164800000.0,3.58,3.58,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2014-06-28,16958800000.0,4400600000.0,3387000000.0,,7054900000.0,3849300000.0,475300000.0,515700000.0,2885500000.0,216500000.0,43300000.0,73700000.0,1.0,159666000.0,437200000.0,61400000.0,67000000.0,375800000.0,4324600000.0,,22.8231,1.2422,1.0,0.03068789068590625,0.012766233459914617,0.07503032403396291,0.13023739386588112,0.6129923882691463,1.2992618836728669,8683800000.0,519400000.0,738800000.0,128500000.0,3.58,3.58,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2014-09-27,16733800000.0,4452100000.0,3387300000.0,,6960800000.0,3856800000.0,426500000.0,486800000.0,8427200000.0,615100000.0,131100000.0,177300000.0,3.0,159755000.0,534300000.0,179400000.0,197200000.0,354900000.0,4283300000.0,,20.9499,1.2607,3.0,0.08836627973796116,0.03675793902162091,0.07298984241503702,0.04211363204860452,0.6153459372485921,1.3143506627697576,9015800000.0,700300000.0,1219500000.0,141000000.0,4.58,4.58,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2015-01-03,15849100000.0,3948800000.0,2832000000.0,,6429100000.0,3839800000.0,1600000.0,496600000.0,-2614900000.0,-232600000.0,-41500000.0,-70700000.0,-1.0,,476400000.0,-7600000.0,-65200000.0,468800000.0,3841400000.0,1.3944,19.3463,1.3065,-1.0,-0.036179247484095754,-0.01467591219690708,0.08895177635856055,-0.1792802784045279,0.5975019831702727,1.3943502824858758,11338600000.0,760900000.0,989700000.0,177200000.0,4.0,4.0,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2015-04-04,15943700000.0,4324700000.0,3446800000.0,,5615200000.0,3855700000.0,600400000.0,435500000.0,2630000000.0,162300000.0,44400000.0,55300000.0,1.0,156537000.0,-197500000.0,45900000.0,62900000.0,-243400000.0,4456100000.0,,19.4557,1.313,1.0,0.02890368998432825,0.01017956935968439,0.06171102661596958,-0.09254752851711026,0.7935781450349052,1.254700011604967,11327800000.0,761300000.0,956100000.0,177300000.0,4.0,4.0,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2015-07-04,15998800000.0,4344800000.0,3385000000.0,,5784200000.0,3823200000.0,420200000.0,391900000.0,5496900000.0,389500000.0,90600000.0,133800000.0,2.0,154881000.0,115100000.0,111600000.0,125400000.0,3500000.0,4243400000.0,,21.3823,1.4625,2.0,0.06733861208118667,0.024345575918193866,0.07085812003129037,0.0006367225163273845,0.7336191694616369,1.2835450516986706,13939200000.0,934300000.0,583800000.0,224600000.0,5.0,5.0,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2015-10-03,15870900000.0,4273300000.0,3422300000.0,,5639000000.0,3847300000.0,452000000.0,293300000.0,8326400000.0,618200000.0,135800000.0,209500000.0,4.0,153405000.0,354100000.0,180100000.0,190200000.0,174000000.0,4299300000.0,,20.0153,1.3607,4.0,0.10962936690902643,0.03895179227391011,0.07424577248270561,0.02089738662567256,0.7624224153218656,1.2486631797329282,13838400000.0,937400000.0,402900000.0,229300000.0,6.0,6.0,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2016-01-02,15172300000.0,3662100000.0,2802600000.0,,5811600000.0,3836600000.0,2500000.0,465400000.0,-5281500000.0,-286300000.0,-90400000.0,-150000000.0,-2.0,,910600000.0,-26200000.0,-121600000.0,884400000.0,3839100000.0,1.3065,17.7682,1.4055,-2.0,-0.049263541881753733,-0.018869914251629614,0.054208084824387014,-0.16745242828741835,0.6605926078876729,1.306679511881824,11171800000.0,883700000.0,818500000.0,180400000.0,5.0,5.0,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2016-04-02,15607400000.0,4016800000.0,3696600000.0,,5668600000.0,3817200000.0,484000000.0,352200000.0,2672100000.0,189400000.0,47300000.0,65500000.0,1.0,147619000.0,-93100000.0,64900000.0,64200000.0,-158000000.0,4301200000.0,,17.3532,1.4094,1.0,0.03341212997918357,0.012135269167189922,0.0708805808165862,-0.05912952359567381,0.7587764174575733,1.0866201374235784,11213900000.0,910800000.0,903900000.0,183300000.0,5.0,5.0,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
2016-07-02,15740800000.0,4293200000.0,3709900000.0,,5803500000.0,3814100000.0,351100000.0,568200000.0,5604500000.0,460900000.0,95000000.0,156000000.0,3.0,147543000.0,403300000.0,143600000.0,129800000.0,259700000.0,4165200000.0,,17.5092,1.4826,3.0,0.07941759283191177,0.029280595649522262,0.08223748773307164,0.046337764296547415,0.7177048332902559,1.1572279576268902,11321500000.0,982200000.0,1160100000.0,187700000.0,6.0,6.0,1.2095261,93.37,53.9101,1.65743,10644.623,26.4858,1.3207,0.7035
