report_date,total_assets,current_assets,current_liabilities,total_equity,cash,total_debt,bf_current_ratio,bf_ps,debt_equity,current_ratio,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2025-09-30,43181000000.0,13202000000.0,9884000000.0,12005000000.0,3263000000.0,0.0,,0.7232,0.0,1.3356940509915014,1.4498328,20.86,8.615,13.17608,10283.885,1.2648,0.356
2025-12-31,43342000000.0,13320000000.0,10599000000.0,11693000000.0,3274000000.0,0.0,1.2567,0.5119,0.0,1.2567223322954997,1.4498328,20.86,8.615,13.17608,10283.885,1.2648,0.356
