report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-04,4839700000.0,829077000.0,437593000.0,,2168484000.0,,18002000.0,508380000.0,,1714468000.0,-98996000.0,,-70667000.0,-10017000.0,,,91270000.0,18002000.0,,229.2068,1.4036,,-7726000.0,,,,-0.05774152681764839,-0.020454986879352027,-0.04527630179200782,-0.004506354157674568,0.008301652214173588,1.8946303985667048,,,,,,,,,,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2010-10-03,4854680000.0,854730000.0,457121000.0,,2174587000.0,,17923000.0,520514000.0,,2575682000.0,119341000.0,,104535000.0,-9594000.0,,,137448000.0,17923000.0,,282.9906,1.0102,,256789000.0,,,,0.046333747721962575,0.024582670742458824,0.05443122266261043,0.0996974781824775,0.008242024807469188,1.8698112753516027,,,,,,,,,,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2011-01-02,4732654000.0,754788000.0,421486000.0,4732654000.0,2163174000.0,1553987000.0,18415000.0,512508000.0,,3416414000.0,132388000.0,,137229000.0,-17670000.0,,226250000.0,182172000.0,1572402000.0,1.7907,,0.8119,,314560000.0,,,,0.03875057296920104,0.027973310535695194,0.0354397822450942,0.09207315038516994,0.7268957559586052,1.790778341392122,,,,,,,,,,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2011-04-03,4740741000.0,802053000.0,412092000.0,4740741000.0,2167113000.0,1526674000.0,,500061000.0,,847824000.0,30640000.0,-1409000.0,34328000.0,-1956000.0,,53463000.0,43125000.0,1526674000.0,,,0.9005,,73765000.0,-0.0006501737565138505,-0.00029721092124627773,-0.0016619015267319633,0.036139576138443825,0.006463124646547871,0.008295009972150533,0.08700508596123724,0.7044736476593514,1.9462959727439504,8554388000.0,,183373000.0,637388000.0,205425000.0,,,2.3952035494863413,0.8926518193988073,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2012-01-01,4300668000.0,746936000.0,368268000.0,4300668000.0,1996069000.0,1350402000.0,,475231000.0,,2431358000.0,137121000.0,,114110000.0,6528000.0,0.02,246717000.0,,1350402000.0,2.1841,207.0152,0.8429,0.02,137121000.0,,,,0.05639687779422035,0.0318836515629665,0.04097480599712354,0.05639687779422035,0.6765307211323857,2.0282403032574106,9271278000.0,,419490000.0,782235000.0,390202000.0,,,1.726337993058352,1.075058559412817,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2012-04-01,4266104000.0,713913000.0,323561000.0,4266104000.0,2007341000.0,1344687000.0,,418410000.0,,593187000.0,20916000.0,12350000.0,28235000.0,6878000.0,0.03,-15144000.0,,1344687000.0,,82.4532,0.8002,0.03,20916000.0,0.006152417551377669,0.002894913016654071,0.02081974149804362,0.0352603816334478,0.004902834061241826,0.006239804679435852,0.0352603816334478,0.6698846882517718,2.2064247545285123,7288783000.0,,321065000.0,546362000.0,313902000.0,,,2.461164941924951,1.0228192238341902,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2012-07-01,4310481000.0,729976000.0,348453000.0,4310481000.0,1993574000.0,1384373000.0,,435100000.0,,1239055000.0,59307000.0,6857000.0,56237000.0,-1795000.0,0.02,68530000.0,,1384373000.0,,265.2884,0.7424,0.02,59307000.0,0.0034395512782570397,0.001590773744275871,0.005534056196052637,0.04786470334246664,0.013758789332327413,0.017557113832751076,0.04786470334246664,0.6944176639542852,2.0949051952487134,5111424000.0,,247984000.0,291109000.0,232910000.0,,,4.755514257546142,1.0647202782190546,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2012-09-30,4340079000.0,733680000.0,343924000.0,4340079000.0,1971744000.0,1447328000.0,,453592000.0,,1875363000.0,90490000.0,-19305000.0,77803000.0,-14467000.0,-0.05,124631000.0,,1447328000.0,,,0.6668,-0.05,90490000.0,-0.009790824772384245,-0.004448075714750814,-0.010294007080229267,0.048251991747730975,0.020849850889810992,0.02646624581172903,0.048251991747730975,0.7340344385478034,2.1332619997441293,6138963000.0,,307834000.0,307834000.0,276385000.0,0.019999999999999997,0.019999999999999997,4.701650889765263,1.1137869276552634,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2012-12-30,4303199000.0,709827000.0,286862000.0,4303199000.0,1985855000.0,1444651000.0,,453361000.0,,-1202363000.0,-47966000.0,7181000.0,-63671000.0,-11699000.0,0.02,12398000.0,,1444651000.0,2.474,258.8873,0.7337,0.02,-47966000.0,0.0036160746882325247,0.0016687585212768455,-0.005972406003844097,0.039893110483273354,-0.011146591175541731,-0.013982193880436297,0.039893110483273354,0.7274705353613431,2.4744546158082983,2505242000.0,7083000.0,122747000.0,122747000.0,98604000.0,0.019999999999999997,0.019999999999999997,11.769338558172501,1.2448480791854286,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2013-03-31,4256978000.0,695666000.0,271625000.0,,1971479000.0,,,428684000.0,,603682000.0,22464000.0,2133000.0,20964000.0,-2904000.0,,32604000.0,52382000.0,0.0,,,0.894,,74846000.0,0.0010819288463128443,0.0005010596719081001,0.0035333172100543,0.037211644541331364,0.00527698287376632,0.011394491140915019,0.12398249409457297,0.0,2.561126553152324,2515737000.0,-3134000.0,124295000.0,176677000.0,91333000.0,,,0.0,1.360899127369078,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2013-06-30,4316695000.0,775795000.0,535018000.0,,1966133000.0,,,489017000.0,,1254226000.0,79454000.0,14357000.0,39928000.0,2149000.0,,143364000.0,91470000.0,0.0,,160.331,0.9224,,170924000.0,0.00730215097350993,0.0033259241155559984,0.011446900319400172,0.06334902960072586,0.01840621123336256,0.04041130483034464,0.136278469749471,0.0,1.4500353259142682,2530908000.0,4366000.0,144442000.0,288294000.0,75024000.0,,,0.0,1.9252772446150566,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2013-09-29,4323955000.0,858799000.0,352846000.0,,1923722000.0,,,513431000.0,,1895005000.0,106264000.0,12418000.0,55548000.0,17774000.0,,252691000.0,138924000.0,0.0,,85.9601,1.3209,,245188000.0,0.006455194669500063,0.0028719077788737393,0.006553017010509207,0.056075841488544886,0.024575648914015064,0.055238750713460676,0.12938646599877046,0.0,2.4339201804753348,2550550000.0,36089000.0,160216000.0,442992000.0,52769000.0,,,0.0,3.0361765430461065,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2013-12-29,4363040000.0,922411000.0,349526000.0,4363040000.0,1929486000.0,1425285000.0,,580152000.0,,-1265503000.0,-73040000.0,16579000.0,-47428000.0,-2865000.0,0.11,-98812000.0,-82557000.0,1425285000.0,2.6392,75.1501,1.3747,0.11,-155597000.0,0.00859244379072976,0.0037998734827093036,-0.01310071963480134,0.0577161808387653,-0.016740621218233158,-0.021771977878668917,0.12295269153846336,0.7386863651770471,2.639034006053913,2487410000.0,45487000.0,135142000.0,335361000.0,69012000.0,,,4.2500022363960035,1.9582391468150466,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2014-03-30,4154077000.0,710738000.0,308911000.0,,1723154000.0,,,384695000.0,,523196000.0,89014000.0,46303000.0,12994000.0,30240000.0,,14741000.0,42496000.0,0.0,,37.2285,1.396,,131510000.0,0.02687107478495828,0.01114639906771107,0.088500294344758,0.17013509277593866,0.021428105449176796,0.051657599959144686,0.2513589553436953,0.0,2.300785663184542,2406924000.0,89657000.0,201692000.0,392025000.0,61042000.0,,,0.0,3.304151240129747,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2014-06-29,4157055000.0,672934000.0,321010000.0,,1744366000.0,,,371660000.0,,1046623000.0,152868000.0,75310000.0,26124000.0,52814000.0,,81009000.0,81991000.0,0.0,,29.3794,1.392,,234859000.0,0.04317327900222774,0.018116190428079493,0.0719552312532784,0.14605832281537862,0.03677314829849497,0.08763527837621234,0.22439694140105845,0.0,2.0963022958786333,2199321000.0,150610000.0,275106000.0,455960000.0,47238000.0,,,0.0,5.823828273847326,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
