report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2014-09-28,4179455000.0,670233000.0,339144000.0,,1728715000.0,,,342446000.0,,1559112000.0,199791000.0,98140000.0,39328000.0,64076000.0,,182596000.0,118265000.0,0.0,,23.1063,1.4411,,318056000.0,0.05677049137654269,0.023481530486630434,0.06294608725992745,0.12814409740929453,0.04780312265594438,0.11557197108835175,0.20399817331917142,0.0,1.9762490269619983,1863428000.0,236332000.0,368633000.0,528828000.0,31018000.0,,,0.0,11.884486427235798,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2014-12-28,4145842000.0,562102000.0,340224000.0,,1717576000.0,,,267276000.0,,-1067868000.0,-190165000.0,-98319000.0,-26254000.0,-67295000.0,0.0,-23570000.0,-82892000.0,0.0,1.6523,27.2897,1.6576,0.0,-273057000.0,-0.057242881828809905,-0.02371508610313659,0.09207036824776096,0.1780791258844726,-0.045868848836979316,-0.11071708035044737,0.2557029520502534,0.0,1.6521526993980435,2061063000.0,121434000.0,251508000.0,411368000.0,52192000.0,,,0.0,4.818899448191294,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2015-03-29,4133835000.0,538422000.0,332604000.0,,1715860000.0,,,202862000.0,,466246000.0,52270000.0,27507000.0,12757000.0,12245000.0,0.0,21740000.0,36880000.0,0.0,,39.916,2.109,0.0,89150000.0,0.016031028172461624,0.006654111738857502,0.05899675278715528,0.1121082003920677,0.01264443307485664,0.030462858275150655,0.19120807470734333,0.0,1.6188079517985352,2004113000.0,102638000.0,214764000.0,369008000.0,51955000.0,,,0.0,4.133654123760947,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2015-06-28,5106545000.0,1553919000.0,297900000.0,3368119000.0,1738426000.0,,,1197567000.0,,941303000.0,102219000.0,67702000.0,29944000.0,22516000.0,0.0,53114000.0,78799000.0,0.0,,35.771,2.1143,0.0,181018000.0,0.038944424439119066,0.013257887671605753,0.07192370575680732,0.10859308851666254,0.020017252369263366,0.05879974183543044,0.19230577189279116,0.0,5.216243705941591,1898793000.0,95030000.0,164115000.0,315167000.0,55775000.0,,,0.0,2.942447333034514,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2015-09-27,4080782000.0,595042000.0,304907000.0,3375325000.0,705457000.0,,,175700000.0,,1405932000.0,158158000.0,75286000.0,57882000.0,42408000.0,,118629000.0,118708000.0,0.0,,25.8487,1.3462,,276866000.0,0.10671947404306711,0.018448914938362305,0.05354882028433808,0.11249334960723563,0.03875678730204162,0.2241922611867201,0.19692702065249243,0.0,1.9515524405802425,1745613000.0,72176000.0,122482000.0,273977000.0,74329000.0,,,0.0,1.647835972500639,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2016-01-03,4108720000.0,616569000.0,268774000.0,3355806000.0,752914000.0,,,327216000.0,,-943184000.0,-38177000.0,-9353000.0,-14516000.0,16980000.0,0.0,18997000.0,-80655000.0,0.0,2.2939,18.1019,1.5602,0.0,-118832000.0,-0.012422401496053998,-0.0022763780447438617,0.009916410795772617,0.04047672564420092,-0.009291701551821492,-0.05070565828235363,0.12599026276951264,0.0,2.294005372543475,1870297000.0,161142000.0,274470000.0,428202000.0,86067000.0,,,0.0,3.1890271532643175,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2016-04-03,4150310000.0,607355000.0,256995000.0,3416721000.0,733589000.0,,,312923000.0,,378787000.0,63829000.0,25363000.0,28109000.0,10619000.0,0.0,47274000.0,33290000.0,0.0,,18.3581,1.6251,0.0,97119000.0,0.03457385538768984,0.006111109772523016,0.0669584753436628,0.16850895094076618,0.015379333110056839,0.0870092108796615,0.25639475483583124,0.0,2.363295005739411,1782838000.0,158998000.0,286029000.0,436171000.0,101419000.0,,,0.0,2.8202703635413484,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2016-07-03,4135220000.0,655732000.0,277954000.0,3442056000.0,693164000.0,,,266180000.0,,761505000.0,129477000.0,51843000.0,56752000.0,21420000.0,0.0,100958000.0,64694000.0,0.0,,17.5611,1.5104,0.0,194171000.0,0.07479182415705374,0.012536938784393575,0.06807965804558079,0.17002777394764315,0.03131078878511905,0.18679129325816113,0.25498322401034795,0.0,2.3591385624959527,1603040000.0,143139000.0,313287000.0,449324000.0,128227000.0,,,0.0,2.4432217863632464,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2016-10-02,4114424000.0,612837000.0,264986000.0,3435849000.0,678575000.0,,,308784000.0,,1125517000.0,235565000.0,100733000.0,85483000.0,50385000.0,0.0,130797000.0,94056000.0,0.0,,15.0148,1.7632,0.0,329621000.0,0.14844785027447224,0.024482892380561654,0.08949931453723045,0.2092949284639859,0.05725345759211982,0.3471465939652949,0.29286185815052107,0.0,2.3127146339806632,1322625000.0,168586000.0,390694000.0,502079000.0,155828000.0,0.0,0.0,0.0,2.5072130810894064,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2017-01-01,3939314000.0,452532000.0,230081000.0,3411578000.0,527736000.0,,,198240000.0,,-830391000.0,-114091000.0,-48315000.0,-55542000.0,-10358000.0,0.0,-97621000.0,-67736000.0,0.0,1.9665,26.5946,2.403,0.0,-181827000.0,-0.09155145754695529,-0.012264825804695945,0.058183434069010866,0.13739431183623135,-0.028962149247305495,-0.2161895341610199,0.21896552347026882,0.0,1.9668377658302945,1435418000.0,129624000.0,314780000.0,439084000.0,114802000.0,0.0,0.0,0.0,2.7419382937579484,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2017-04-02,3952325000.0,438530000.0,208614000.0,3427476000.0,524849000.0,,,193235000.0,,285819000.0,60720000.0,22341000.0,28975000.0,9793000.0,,38652000.0,29165000.0,0.0,,26.3912,2.4889,,89885000.0,0.04256652865871898,0.005652622190735833,0.07816485258152887,0.21244213995570624,0.015363109056061938,0.11569041762487878,0.31448224225821236,0.0,2.102112034666897,1342450000.0,126602000.0,311671000.0,431850000.0,115668000.0,,,0.0,2.6945308987792647,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2017-07-02,4108663000.0,440923000.0,229530000.0,3621614000.0,487049000.0,,,204543000.0,,606161000.0,86514000.0,20496000.0,57910000.0,11341000.0,,120583000.0,60474000.0,0.0,,38.429,2.9512,,146988000.0,0.042082008175768765,0.004988484088376194,0.03381279890986058,0.14272445769358305,0.02105648479809612,0.1776289449316188,0.24249003152627768,0.0,1.9209820067093626,1187106000.0,95255000.0,268708000.0,384667000.0,116826000.0,,,0.0,2.3000701898549982,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2017-10-01,4090273000.0,420881000.0,234422000.0,3627678000.0,462595000.0,,,186629000.0,,914161000.0,148171000.0,34753000.0,87887000.0,28639000.0,0.0,176743000.0,91690000.0,0.0,,58.4372,3.0412,0.0,239861000.0,0.0751261902960473,0.008496498888949466,0.038016279408113016,0.1620841405397955,0.03622521039549194,0.3203039375695803,0.26238375953469906,0.0,1.7953988960080538,975750000.0,29275000.0,181314000.0,294907000.0,119230000.0,,,0.0,1.5207078755346808,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2017-12-31,4096938000.0,404353000.0,227162000.0,3523735000.0,573203000.0,,,171447000.0,,-582733000.0,-80647000.0,116439000.0,-56713000.0,-142783000.0,0.0,-84338000.0,-55642000.0,0.0,1.7799,20.364,3.2311,0.0,-136289000.0,0.20313745741037642,0.028420981718541995,-0.19981535282882554,0.13839442763667065,-0.019684701110927235,-0.14069535574656797,0.23387898059660256,0.0,1.7800204259515235,1223408000.0,194029000.0,214758000.0,340445000.0,118059000.0,,,0.0,1.8190735140904124,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2018-04-01,4109838000.0,442414000.0,250106000.0,3646841000.0,462997000.0,,,187709000.0,,380564000.0,55262000.0,20159000.0,30178000.0,-5806000.0,,68711000.0,32152000.0,0.0,,21.0859,3.0715,,87414000.0,0.04354023892163448,0.004905059518161056,0.05297137932121798,0.1452107924028547,0.013446272091503363,0.1193571448627097,0.22969592499553296,0.0,1.7689059838628423,1318153000.0,191847000.0,209300000.0,337974000.0,119262000.0,,,0.0,1.7549596686287334,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2018-07-01,4080179000.0,433445000.0,252762000.0,3649640000.0,430539000.0,,,194939000.0,,791566000.0,126745000.0,50035000.0,60314000.0,6582000.0,0.0,148421000.0,65579000.0,0.0,,18.4356,2.9273,0.0,192324000.0,0.11621479122681104,0.012262942385615925,0.06321014293185913,0.16011930780250794,0.03106358814159869,0.2943868035183804,0.2429664740527006,0.0,1.71483450835173,1503558000.0,221386000.0,249531000.0,383310000.0,121666000.0,,,0.0,2.0509509641148718,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2018-09-30,4507432000.0,856090000.0,339103000.0,3724114000.0,783318000.0,,,634751000.0,,1192116000.0,204093000.0,441284000.0,89939000.0,114250000.0,1.0,229662000.0,94649000.0,0.0,,6.7396,2.696,1.0,298742000.0,0.5633523039174384,0.09790142147457799,0.37016867486050015,0.17120229910512064,0.04527921885454955,0.2605493554341915,0.25059809615842754,0.0,2.5245721801340597,1781513000.0,627917000.0,305453000.0,442191000.0,123718000.0,,,0.0,2.468945505100309,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2018-12-30,4292035000.0,665718000.0,284185000.0,3643586000.0,648449000.0,,,431405000.0,,-774310000.0,-136208000.0,-51363000.0,-60813000.0,-225000.0,0.0,-222566000.0,-63501000.0,0.0,2.3424,8.0329,2.3245,0.0,-199709000.0,-0.07920900487162444,-0.011967050594880983,0.06633389727628469,0.17590887370691324,-0.03173506273830479,-0.2100519855840629,0.25791866306776356,0.0,2.342551506940901,1589936000.0,460115000.0,249892000.0,378771000.0,119618000.0,,,0.0,2.089083582738384,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2019-03-31,5185661000.0,663764000.0,323637000.0,4544967000.0,640694000.0,2301563000.0,,414168000.0,,408583000.0,66266000.0,31894000.0,29082000.0,7990000.0,0.14,62021000.0,33185000.0,2301563000.0,,8.6959,2.5357,0.14,99451000.0,0.04978039438483894,0.00615042132526596,0.0780600269712641,0.1621849171404586,0.012778698800403651,0.022522165806725926,0.24340464483348548,3.59229679066762,2.0509521470042054,1617955000.0,471850000.0,260896000.0,390808000.0,118522000.0,1.1400000000000001,1.1400000000000001,5.889242287773024,2.201245338418184,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2019-06-30,5163893000.0,672383000.0,341275000.0,4515845000.0,648048000.0,2274967000.0,,426216000.0,,843931000.0,146839000.0,64280000.0,59013000.0,21343000.0,0.0,154060000.0,64669000.0,2274967000.0,,9.3156,2.6904,0.0,211508000.0,0.09919018344320174,0.012447972876277646,0.07616736439353454,0.17399408245460826,0.028435717006529762,0.050235458935380076,0.25062238500540923,3.5104915068019653,1.9702087759138525,1670320000.0,486095000.0,280990000.0,409992000.0,117221000.0,1.1400000000000001,1.1400000000000001,5.548808269429648,2.397096083466273,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2019-09-29,5136220000.0,673774000.0,337446000.0,4486629000.0,649591000.0,2270866000.0,,439421000.0,,1281811000.0,225862000.0,110407000.0,86943000.0,28527000.0,0.0,237500000.0,97975000.0,2270866000.0,,35.6614,2.7432,0.0,323837000.0,0.16996386957331613,0.021495769262220077,0.08613360315990423,0.1762053844131467,0.04397436246889736,0.07733789608955037,0.25264020982812596,3.4958396898971813,1.9966868773077766,1760015000.0,155218000.0,302759000.0,435087000.0,114225000.0,0.14,0.14,5.219337741647073,2.6505493543444953,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2019-12-29,4994529000.0,554047000.0,349698000.0,4478170000.0,516359000.0,2257561000.0,,300195000.0,,-825323000.0,-176388000.0,-69641000.0,-59067000.0,-23319000.0,-0.14,-164648000.0,-64136000.0,2257561000.0,1.5842,37.2377,2.9829,-0.14,-240524000.0,-0.13486934477756754,-0.013943456930573434,0.08438029716850251,0.21371996176042593,-0.035316243033126846,-0.06358799100190345,0.29143014310760756,4.37207640420715,1.5843585036231262,1709002000.0,136940000.0,262579000.0,394272000.0,115971000.0,0.0,0.0,5.7258973500527555,2.2641781134938905,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2020-03-29,4981716000.0,591883000.0,430759000.0,4530641000.0,451075000.0,2244930000.0,,294890000.0,,404960000.0,48732000.0,14441000.0,28525000.0,6842000.0,,-19369000.0,31046000.0,2244930000.0,,27.9073,1.9539,,79778000.0,0.032014631713129744,0.0028988003330579263,0.035660312129593044,0.12033781114184117,0.009782171444538388,0.018075634132726014,0.19700217305412882,4.976844205509062,1.37404674075295,1705379000.0,119487000.0,245045000.0,374599000.0,115414000.0,,,5.992888395324067,2.1231826294903566,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2020-06-28,5070356000.0,697908000.0,492635000.0,4586373000.0,483983000.0,2238705000.0,,338002000.0,223749000.0,807266000.0,109393000.0,39345000.0,57610000.0,13370000.0,0.0,30562000.0,65760000.0,2238705000.0,,43.1057,2.8842,0.0,175153000.0,0.08129417768805929,0.007759810159286646,0.048738581830524264,0.13551047610081435,0.02157501366767935,0.04017830908278877,0.2169706143947596,4.625586022649556,1.416683751661981,1668714000.0,94552000.0,207599000.0,338244000.0,114011000.0,,,6.618609642743109,1.8208681618440326,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2020-09-27,4963024000.0,607736000.0,360250000.0,4441489000.0,521535000.0,2226243000.0,,313187000.0,224081000.0,1259508000.0,190741000.0,79098000.0,86696000.0,26060000.0,0.0,205759000.0,98726000.0,2226243000.0,,46.9467,2.9392,0.0,289467000.0,0.15166383847680404,0.01593746070943844,0.06280071265922885,0.15144088008968581,0.03843241539835391,0.06941645212968442,0.22982545565411255,4.26863585377779,1.6869840388619015,1646411000.0,63243000.0,172478000.0,303874000.0,113764000.0,,,7.32620428203795,1.516103512534721,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2021-01-03,5040006000.0,687623000.0,413308000.0,4490410000.0,549596000.0,2218163000.0,,306989000.0,224268000.0,-737909000.0,-79558000.0,-15052000.0,-55094000.0,-11309000.0,0.52,67409000.0,-62757000.0,2218163000.0,1.6637,40.6762,2.7637,0.52,-142315000.0,-0.027387390010116523,-0.002986504381145578,0.020398179179275493,0.10781546234020727,-0.015785298668295235,-0.028744554710146367,0.19286253454016689,4.035988253189616,1.6637060013355658,1733825000.0,117832000.0,269308000.0,402083000.0,117737000.0,,,5.516679392065817,2.2873693061654365,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2021-04-04,4956670000.0,641497000.0,396519000.0,4436005000.0,520665000.0,2205652000.0,,316488000.0,221784000.0,460203000.0,83122000.0,41366000.0,28786000.0,13099000.0,0.18,85830000.0,31542000.0,2205652000.0,,31.7821,2.5724,0.18,114664000.0,0.0794483977221438,0.008345522296219035,0.08988641968870259,0.18062029148006423,0.01676972644941059,0.03048875094128819,0.24915960999819645,4.236220986622876,1.61782159240793,1789068000.0,144757000.0,303698000.0,436969000.0,117998000.0,0.7,0.7,5.047616650151384,2.573755487381142,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2021-07-04,5166874000.0,839526000.0,372786000.0,4596518000.0,570356000.0,2373610000.0,,568139000.0,222960000.0,953540000.0,209868000.0,107090000.0,56990000.0,28161000.0,0.47,158751000.0,62303000.0,2373610000.0,,27.5232,2.7175,0.47,272171000.0,0.18775992537993813,0.020726265049234797,0.11230782138137886,0.2200935461543302,0.040617982942878036,0.07128750807584056,0.28543217903811063,4.161628877402885,2.2520319969097553,1935342000.0,212502000.0,404173000.0,533987000.0,117378000.0,1.17,1.17,4.445070760149592,3.4433454310006986,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2021-10-03,5156947000.0,843485000.0,407185000.0,4614193000.0,542754000.0,2360763000.0,,571502000.0,221301000.0,1423795000.0,290063000.0,148261000.0,82990000.0,41356000.0,0.66,276673000.0,93243000.0,2360763000.0,,26.4374,2.6045,0.66,383306000.0,0.27316426963228274,0.02874976221396109,0.10413086153554409,0.20372525539140116,0.05624703918810878,0.09990056886183205,0.2692143180724753,4.349600371438995,2.0715031251151195,2099629000.0,281665000.0,503495000.0,627826000.0,113672000.0,1.83,1.83,3.7602185955981433,4.429366950524315,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2022-01-02,5101391000.0,592849000.0,426925000.0,4664986000.0,436405000.0,2356416000.0,,249438000.0,215849000.0,-940540000.0,-216093000.0,-96325000.0,-59581000.0,-42430000.0,-0.42000000000000004,-175482000.0,-61548000.0,2356416000.0,1.3886,26.2988,2.7786,-0.42000000000000004,-277641000.0,-0.22072386888326212,-0.018882104900408536,0.10241457035320135,0.22975418376677229,-0.042359623091035366,-0.07737445400188554,0.29519318689263613,5.399608162142964,1.3886490601393688,1896998000.0,200392000.0,366960000.0,492500000.0,109185000.0,0.89,0.89,4.784601015228426,3.3609012226954253,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
2022-04-03,5563099000.0,1079827000.0,407649000.0,5108564000.0,454535000.0,2836838000.0,,741216000.0,215375000.0,488643000.0,74881000.0,37402000.0,26365000.0,13432000.0,0.17,20982000.0,33231000.0,2836838000.0,,24.1001,2.4586,0.17,108112000.0,0.08228629258472944,0.006723231062398854,0.07654258835182332,0.1532427559588493,0.013460303330931195,0.022750687934791954,0.22124946023988884,6.241187147304388,2.6489136487517446,1925438000.0,196428000.0,358719000.0,485948000.0,106764000.0,0.88,0.88,5.837739840476758,3.3599246937169833,0.35286516,13.06,6.63,7.83838,1278.0494,7.7422,13.4506,0.5871
