report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,168060000000.0,143113000000.0,24648000000.0,3191000000.0,880000000.0,2703000000.0,,654000000.0,423000000.0,40000000.0,228000000.0,2.17,192152251.0,-164000000.0,44000000.0,-208000000.0,4071000000.0,,34.0786,7.248,2.17,654000000.0,0.017161635832521907,0.0025169582292038557,,,0.003891467333095323,0.02277238065392249,,,0.1651655306718598,,,,,,,,,,,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2010-06-30,162266000000.0,137018000000.0,24954000000.0,3191000000.0,444000000.0,2183000000.0,,1351000000.0,855000000.0,78000000.0,461000000.0,4.38,192213593.0,310000000.0,66000000.0,244000000.0,3635000000.0,,19.2617,4.0986,4.38,1351000000.0,0.03426304400096177,0.005269126002982757,,,0.008325835356759887,0.047255937598377,,,0.14566802917367958,,,,,,,,,,,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2010-09-30,174504000000.0,148824000000.0,25400000000.0,3191000000.0,100000000.0,2636000000.0,,2058000000.0,1406000000.0,115000000.0,662000000.0,7.21,192280679.0,1415000000.0,96000000.0,1319000000.0,3291000000.0,,19.6181,4.2549,7.21,2058000000.0,0.055354330708661414,0.008057121899784532,,,0.011793425938660432,0.07172981074204454,,,0.12956692913385826,,,,,,,,,,,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2010-12-31,178459000000.0,152125000000.0,26094000000.0,3192000000.0,100000000.0,3367000000.0,,-1065000000.0,-621000000.0,-83000000.0,-380000000.0,-3.209999999999999,-383954476.0,927000000.0,-75000000.0,852000000.0,3292000000.0,1.4181,17.6568,4.2297,-3.209999999999999,-1065000000.0,-0.023798574384916074,-0.003479790876335741,,,-0.005967757299996077,-0.03624174777104744,,,0.12615927033034413,,2063000000.0,2998000000.0,2207000000.0,2998000000.0,150000000.0,10.55,10.55,1.0980653769179454,19.986666666666668,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2011-03-31,178422000000.0,151706000000.0,26479000000.0,3192000000.0,,2779000000.0,,798000000.0,568000000.0,38000000.0,249000000.0,2.89,194296504.0,-156000000.0,83000000.0,-239000000.0,3192000000.0,,17.4582,4.3317,2.89,798000000.0,0.021450961139015824,0.0031834639226104404,,,0.004472542623667485,0.026894947928954197,,,0.12054835907700442,,2208000000.0,3142000000.0,2176000000.0,3142000000.0,148000000.0,11.270000000000001,11.270000000000001,1.0159134309357098,21.22972972972973,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2011-06-30,185048000000.0,160378000000.0,24424000000.0,4688000000.0,600000000.0,2796000000.0,,1664000000.0,1187000000.0,79000000.0,469000000.0,6.1,192429367.0,717000000.0,159000000.0,558000000.0,5288000000.0,,15.4004,4.003,6.1,1664000000.0,0.04859973796265968,0.006414551900047555,,,0.008992261467294971,0.05600430802369413,,,0.21650835244022273,,2540000000.0,3455000000.0,2490000000.0,3455000000.0,149000000.0,12.990000000000002,12.990000000000002,1.5305354558610709,23.187919463087248,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2011-09-30,174282000000.0,149343000000.0,24727000000.0,4690000000.0,100000000.0,2983000000.0,,2441000000.0,1782000000.0,128000000.0,564000000.0,9.33,188792952.0,1953000000.0,218000000.0,1735000000.0,4790000000.0,,10.8689,2.8361,9.33,2441000000.0,0.07206697132688963,0.010224808069680173,,,0.014006036194213974,0.0826981061761019,,,0.19371537186071905,,2916000000.0,3838000000.0,2906000000.0,3838000000.0,162000000.0,15.11,15.11,1.2480458572173008,23.691358024691358,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2011-12-31,179896000000.0,154534000000.0,25048000000.0,4690000000.0,100000000.0,3506000000.0,,-1654000000.0,-1200000000.0,-69000000.0,-486000000.0,-5.950000000000001,-388402413.0,312000000.0,-213000000.0,99000000.0,4790000000.0,2.332,13.8761,3.571,-5.950000000000001,-1654000000.0,-0.047908016608112426,-0.006670520745319518,,,-0.009194201093965402,-0.055432669749983246,,,0.19123283296071542,,2337000000.0,3249000000.0,2153000000.0,3249000000.0,176000000.0,12.37,12.37,1.474299784549092,18.460227272727273,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2012-03-31,185518000000.0,159915000000.0,25303000000.0,4690000000.0,100000000.0,2552000000.0,,815000000.0,572000000.0,49000000.0,263000000.0,3.14,181917864.0,-102000000.0,41000000.0,-143000000.0,4790000000.0,,15.8097,4.0905,3.14,815000000.0,0.02260601509702407,0.0030832587673433305,,,0.004393104712211214,0.027082710264845645,,,0.1893056159348694,,2341000000.0,3266000000.0,2249000000.0,3266000000.0,187000000.0,12.619999999999997,12.619999999999997,1.4666258420085732,17.46524064171123,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
2012-06-30,182480000000.0,157558000000.0,24672000000.0,6185000000.0,100000000.0,3595000000.0,,1644000000.0,1126000000.0,101000000.0,492000000.0,6.22,180753515.0,865000000.0,98000000.0,767000000.0,6285000000.0,,12.8961,3.2868,6.22,1644000000.0,0.04563878080415045,0.006170539237176677,,,0.009009206488382288,0.05310592111638725,,,0.25474221789883267,,2280000000.0,3246000000.0,2458000000.0,3246000000.0,209000000.0,12.739999999999997,12.739999999999997,1.9362292051756007,15.5311004784689,1.5006335,1219.94,773.7401,0.82433,150340.67,27.0738,3.1244,6.2083
