report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-11-30,14199400000.0,5524300000.0,1770000000.0,,10241200000.0,,54500000.0,3659400000.0,,,1273000000.0,1068500000.0,1323300000.0,390900000.0,2.96,447100000.0,1087900000.0,585700000.0,210400000.0,502200000.0,54500000.0,,15.5199,3.5646,2.96,1278900000.0,0.12921337343280084,0.09319407862304041,,,,0.07524965843627196,0.10378119020561982,,,0.005321641995078702,3.1210734463276837,,,,,,,,,,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2011-02-28,14699100000.0,5693600000.0,1534500000.0,,10983400000.0,,74200000.0,3352100000.0,,,2126600000.0,1839300000.0,1865400000.0,566800000.0,4.17,447300000.0,1453800000.0,897300000.0,324500000.0,556500000.0,74200000.0,,16.9365,4.2854,4.17,2163800000.0,0.1698381193437369,0.1269057289221789,,,,0.1251301100067351,0.16633808421357257,,,0.006755649434601307,3.710394265232975,,,,,,,,,,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2011-05-31,15786900000.0,6684900000.0,1928500000.0,,11641600000.0,,23600000.0,3906400000.0,,,3121800000.0,2664200000.0,2514600000.0,752800000.0,5.62,447500000.0,2426700000.0,1263200000.0,447400000.0,1163500000.0,23600000.0,3.4655,12.5808,3.1834,5.62,3111600000.0,0.21600123694337547,0.15928396328601563,,,,0.1687601745751224,0.22838871172375955,,,0.002027212754260583,3.466372828623282,,,,,,,,,,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2011-08-31,16180800000.0,6757800000.0,1783900000.0,,12218200000.0,,13600000.0,4038000000.0,,,848200000.0,729600000.0,526000000.0,205100000.0,1.17,447900000.0,554300000.0,391400000.0,120300000.0,162900000.0,13600000.0,,11.5824,2.9327,1.17,849900000.0,0.0430505311748048,0.03250766340354,,,,0.04509047760308514,0.059647803266894485,,,0.0011130935817059795,3.7882168282975504,,6229300000.0,6301600000.0,7369600000.0,2385100000.0,7404200000.0,13.92,13.92,0.00183679533237892,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2011-11-30,15802300000.0,6359400000.0,2098700000.0,15802300000.0,11300100000.0,1008900000.0,28300000.0,3627600000.0,,,1729400000.0,1526600000.0,1149600000.0,435800000.0,2.58,446300000.0,1072000000.0,778500000.0,240500000.0,293500000.0,1037200000.0,,10.0666,2.1092,2.58,1767100000.0,0.10173361297687632,0.07274890364060928,,,,0.0966061902381299,0.12373858137517933,,,0.09178679834691729,3.0301615285653023,,6055600000.0,6759700000.0,7826000000.0,2176400000.0,7892400000.0,13.540000000000001,13.540000000000001,0.13141756626628148,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2012-02-29,15936700000.0,5930400000.0,1614800000.0,15936700000.0,11810900000.0,1010600000.0,81600000.0,3201900000.0,,,2251200000.0,1940300000.0,1422900000.0,522800000.0,3.24,439800000.0,1476500000.0,1190300000.0,368400000.0,286200000.0,1092200000.0,,11.8563,2.2038,3.24,2308700000.0,0.120473460955558,0.08928448173084767,,,,0.12175042511937854,0.1503747161534825,,,0.09247390122683284,3.6725291057716127,,5613100000.0,6860700000.0,7950600000.0,1906100000.0,8037300000.0,12.610000000000001,12.610000000000001,0.13589140631804214,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2012-05-31,16690400000.0,6581100000.0,1917700000.0,16690400000.0,11983100000.0,1010000000.0,42500000.0,3811000000.0,,,-1743800000.0,-1585400000.0,-1168300000.0,-452300000.0,-2.5700000000000003,-897500000.0,-397000000.0,-720900000.0,-221100000.0,-1117900000.0,1052500000.0,3.4312,10.5098,1.8263,-2.5700000000000003,-1806500000.0,-0.09749563969256703,-0.06999832238891818,,,,-0.09498873603987922,-0.12162079229187762,,,0.08783203010907027,3.4317672211503365,,1930200000.0,2611100000.0,3085000000.0,-375300000.0,3119200000.0,4.42,4.42,0.337426263144396,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2012-08-31,17070100000.0,6540900000.0,1676100000.0,17070100000.0,12562400000.0,1010900000.0,17600000.0,3594800000.0,,,747300000.0,610200000.0,429400000.0,163300000.0,1.01,426700000.0,339300000.0,449100000.0,137400000.0,-109800000.0,1028500000.0,,13.4429,2.3409,1.01,747600000.0,0.034181366617843725,0.02515509575222172,,,,0.03574671501631508,0.04489768889477518,,,0.08187129847799783,3.9024521209951675,,1833600000.0,2491700000.0,2984100000.0,-648000000.0,3016900000.0,4.26,4.26,0.3409128575690278,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2012-11-30,17440700000.0,6533100000.0,1647400000.0,17440700000.0,13082400000.0,1010600000.0,21200000.0,3420700000.0,,,1423200000.0,1169800000.0,1058200000.0,85200000.0,2.48,426800000.0,661700000.0,842600000.0,284800000.0,-180900000.0,1031800000.0,,12.514,2.2893,2.48,1454600000.0,0.08088729896655047,0.06067417018812318,,,,0.06707299592332877,0.08288107012795624,,,0.07886932061395463,3.965703532839626,,1742200000.0,2134900000.0,2677900000.0,-1122400000.0,2704400000.0,4.16,4.16,0.3815264014199083,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
2013-02-28,17322100000.0,6342000000.0,1536600000.0,17322100000.0,13124600000.0,1010400000.0,61200000.0,3322700000.0,,,1991600000.0,1588900000.0,1402800000.0,194100000.0,3.29,426800000.0,1032800000.0,1240400000.0,437000000.0,-207600000.0,1071600000.0,,13.7009,2.5905,3.29,2025900000.0,0.10688325739451107,0.08098325260794015,,,,0.09172675368459944,0.11192431777517928,,,0.08164820261188913,4.127294025771183,,1722100000.0,1783500000.0,2418300000.0,-1616200000.0,2421600000.0,4.21,4.21,0.4425173439048563,0.9392208,38.23,22.36,14.19983,8318.638,15.3849,0.6327,0.6902
