report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-02-28,11746500000.0,3995300000.0,1996700000.0,6583200000.0,5163300000.0,,785600000.0,,,,635200000.0,122000000.0,313200000.0,1.42,1106500000.0,363300000.0,249500000.0,743200000.0,0.0,,13.5173,0.8943,1.42,,0.12302209827048594,0.05407568211807773,,,,,,,,0.0,2.0009515700906495,,,,,,,,,,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2010-05-30,11738000000.0,3960100000.0,2036200000.0,6809100000.0,4923900000.0,,953200000.0,,,,725800000.0,160400000.0,362100000.0,1.62,1472700000.0,482900000.0,326800000.0,989800000.0,0.0,1.945,14.7455,0.8908,1.62,,0.14740348098052358,0.06183336173112967,,,,,,,,0.0,1.9448482467341126,,,,,,,,,,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2010-08-29,11647700000.0,3985700000.0,2078400000.0,6735600000.0,4907100000.0,,840900000.0,,,,146400000.0,,67000000.0,0.33,108800000.0,129100000.0,86400000.0,-20300000.0,0.0,,13.3587,0.7907,0.33,,0.029834321697132727,0.012569005039621555,,,,,,,,0.0,1.9176770592763663,,,,,,,,,,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2010-11-28,11603500000.0,4193800000.0,2280000000.0,6651800000.0,4946700000.0,,545200000.0,,,,347300000.0,71000000.0,168400000.0,0.78,319100000.0,211200000.0,175500000.0,107900000.0,0.0,,14.3411,0.799,0.78,,0.07020842177613358,0.029930624380574828,,,,,,,,0.0,1.8393859649122808,,1854700000.0,,,1820600000.0,,,4.15,4.15,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2011-02-27,11472800000.0,4035500000.0,2303400000.0,6848600000.0,4617300000.0,,882900000.0,,,,562100000.0,122600000.0,285400000.0,1.27,939900000.0,347400000.0,266300000.0,592500000.0,0.0,,15.4607,0.8346,1.27,,0.1217378121412947,0.04899414266787532,,,,,,,,0.0,1.7519753408005556,,1781600000.0,,,1669900000.0,,,4.0,4.0,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2011-05-29,11408700000.0,3899300000.0,2125600000.0,6700200000.0,4701500000.0,,972400000.0,,,,-238800000.0,-16100000.0,-99800000.0,-0.5,-15500000.0,-221500000.0,-167300000.0,-237000000.0,0.0,1.834,12.7178,0.8452,-0.5,,-0.050792300329682016,-0.020931394462121014,,,,,,,,0.0,1.8344467444486263,,817000000.0,,,443100000.0,,,1.8800000000000001,1.8800000000000001,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2011-08-28,11610700000.0,4093600000.0,2334200000.0,6880400000.0,4723400000.0,,1095200000.0,,,,85300000.0,52900000.0,43600000.0,0.2,315100000.0,95600000.0,91500000.0,219500000.0,0.0,,13.229,0.8029,0.2,,0.018059025278401152,0.007346671604640547,,,,,,,,0.0,1.753748607660012,,755900000.0,,,682900000.0,,230400000.0,1.75,1.75,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2011-11-27,11478400000.0,4007800000.0,2343100000.0,6790700000.0,4680900000.0,,706500000.0,,,,257100000.0,103500000.0,131300000.0,0.61,489900000.0,160500000.0,186500000.0,329400000.0,0.0,,13.5381,0.7818,0.61,,0.054925334871499074,0.02239859213827711,,,,,,,,0.0,1.710469036746191,,665700000.0,,,904400000.0,,262900000.0,1.58,1.58,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2012-02-26,11747900000.0,3825400000.0,2175400000.0,6625000000.0,5022500000.0,,604200000.0,,,,528700000.0,153200000.0,238300000.0,1.26,779400000.0,239100000.0,277100000.0,540300000.0,0.0,,13.5609,0.8353,1.26,,0.10526630164260826,0.04500378791103091,,,,,,,,0.0,1.7584811988599798,,632300000.0,,,852200000.0,,293500000.0,1.57,1.57,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2012-05-27,11441900000.0,3218800000.0,2225200000.0,6905900000.0,4439500000.0,,103000000.0,,,,-403200000.0,-105600000.0,-217400000.0,-0.9500000000000002,-532400000.0,-158500000.0,-183300000.0,-690900000.0,0.0,1.4467,22.4238,0.7849,-0.9500000000000002,,-0.09082103840522582,-0.035238902629807986,,,,,,,,0.0,1.4465216609742944,,467900000.0,,,398300000.0,,204000000.0,1.12,1.12,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2012-08-26,11928600000.0,3475900000.0,2594300000.0,7278400000.0,4553500000.0,,116500000.0,,,,250100000.0,49300000.0,123500000.0,0.61,323900000.0,98600000.0,91400000.0,225300000.0,0.0,,16.2831,0.7492,0.61,,0.05492478313385308,0.020966416846905755,,,,,,,,0.0,1.3398219172801913,,632700000.0,,,404100000.0,,200400000.0,1.5299999999999998,1.5299999999999998,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2012-11-25,12524500000.0,4065000000.0,2388300000.0,7824200000.0,4602300000.0,,476800000.0,,,,461700000.0,102700000.0,232600000.0,1.12,478600000.0,180400000.0,185800000.0,298200000.0,0.0,,17.5856,0.8318,1.12,,0.10031940551463399,0.03686374705577069,,,,,,,,0.0,1.7020474814721769,,837300000.0,,,372900000.0,,199600000.0,2.04,2.04,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2013-02-24,21107500000.0,5146000000.0,3422500000.0,15983700000.0,5023200000.0,,723800000.0,,,,581700000.0,173300000.0,310600000.0,1.0,781700000.0,289100000.0,299200000.0,492600000.0,0.0,,28.0765,0.9723,1.0,,0.11580267558528429,0.027558924552884046,,,,,,,,0.0,1.5035792549306062,,890300000.0,,,325200000.0,,219700000.0,1.7799999999999998,1.7799999999999998,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2013-05-26,20405300000.0,4379800000.0,3401300000.0,15042300000.0,5264400000.0,,183900000.0,,,,-519600000.0,-49700000.0,-266500000.0,-1.73,-172000000.0,-109400000.0,-131200000.0,-281400000.0,0.0,1.2879,18.8395,1.0817,-1.73,,-0.09870070663323456,-0.025463972595355128,,,,,,,,0.0,1.2876841207773497,,773900000.0,,,734700000.0,,275600000.0,1.0,1.0,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2013-08-25,20468800000.0,4457400000.0,3463300000.0,15017000000.0,5364700000.0,,194200000.0,,,,144300000.0,,33900000.0,0.34,166100000.0,181100000.0,147000000.0,-15000000.0,0.0,,21.7918,1.0481,0.34,,0.02689805580927172,0.007049753771593841,,,,,,,,0.0,1.2870383738053301,,668100000.0,,,494400000.0,,,0.73,0.73,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2013-11-24,20786400000.0,4755600000.0,3729500000.0,15224700000.0,5472200000.0,,192700000.0,,,,393000000.0,,151800000.0,0.0,555700000.0,332200000.0,292400000.0,223500000.0,0.0,,19.4465,0.9533,0.0,,0.07181755052812397,0.018906592772197205,,,,,,,,0.0,1.275130714572999,,599400000.0,,,419700000.0,,,-0.39000000000000007,-0.39000000000000007,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2014-02-23,20433300000.0,4520600000.0,3240500000.0,14715500000.0,5626600000.0,,239200000.0,,,,627300000.0,,240900000.0,1.0,942300000.0,471000000.0,447400000.0,471300000.0,0.0,,14.6671,0.8295,1.0,,0.11148828777592151,0.030699886949244616,,,,,,,,0.0,1.3950316309211541,,645000000.0,,,398400000.0,,,-0.3900000000000001,-0.3900000000000001,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2014-05-25,19366400000.0,4230800000.0,2642400000.0,14011200000.0,5258500000.0,,183100000.0,,,,-861500000.0,,-128400000.0,-1.34,-112900000.0,-381900000.0,-283900000.0,-494800000.0,0.0,1.6014,43.8522,1.1228,-1.34,,-0.16382998954074357,-0.04448426140118969,,,,,,,,0.0,1.6011201937632455,,303100000.0,,,185000000.0,,,-2.220446049250313e-16,-2.220446049250313e-16,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
2014-08-24,19373100000.0,3691400000.0,2900100000.0,13624800000.0,5661300000.0,,133700000.0,,,,482300000.0,,42500000.0,1.0,233600000.0,111700000.0,148100000.0,121900000.0,0.0,,21.2778,1.2532,1.0,,0.08519244696447813,0.024895344575726137,,,,,,,,0.0,1.2728526602530947,,641100000.0,,,321900000.0,,,0.6599999999999997,0.6599999999999997,,0.033187434,27.68,15.035,18.5272,7519.9604,1.1971,0.6725
